Zone,Year,value_annual
NW,1981,0
NW,1982,10.385188043590563
NW,1983,25.152245668536118
NW,1984,5.5775434830363695
NW,1985,6.801066954249217
NW,1986,6.1894308827165965
NW,1987,12.196524975379784
NW,1988,28.514602803595874
NW,1989,58.93453672484893
NW,1990,38.63749876717033
NW,1991,13.769413867089195
NW,1992,0
NW,1993,6.335013750190861
NW,1994,14.255384055737986
NW,1995,39.013441074491936
NW,1996,20.11671509967489
NW,1997,63.07960939587211
NW,1998,19.86699630999292
NW,1999,20.086404364168366
NW,2000,17.762136304087868
NW,2001,14.440248736942927
NW,2002,31.544257743541564
NW,2003,20.96075444121558
NW,2004,20.06778483083016
NW,2005,25.023154280380133
NW,2006,37.707552079009716
NW,2007,35.677751998844954
NW,2008,27.260210381305576
NW,2009,32.83747358279935
NW,2010,34.51177275526511
NW,2011,37.27843393053181
NW,2012,38.77879637212652
NW,2013,25.464723821784933
NW,2014,45.22026877378492
NW,2015,39.13419109037667
NW,2016,27.747314517875868
NW,2017,26.650277099422876
NW,2018,7.075574393821759
NW,2019,7.429332787149067
NW,2020,35.47423109895959
NW,2021,25.744734103047243
NW,2022,46.097782279582496
NW,2023,56.84957550686409
NW,2024,45.97508161151715
NW,2025,33.453242104002875
SW,1981,10.531437411693222
SW,1982,0
SW,1983,11.860217319957494
SW,1984,0
SW,1985,7.581580555062749
SW,1986,8.844071642099948
SW,1987,14.888878242546399
SW,1988,4.398595875866799
SW,1989,24.03467050706159
SW,1990,29.077064055860625
SW,1991,8.37656764718292
SW,1992,0
SW,1993,0
SW,1994,8.3440051070334
SW,1995,26.715108483483387
SW,1996,9.771489511719398
SW,1997,29.879245459060975
SW,1998,12.416807927551407
SW,1999,12.962145894664788
SW,2000,20.27223144257927
SW,2001,4.351960538986456
SW,2002,20.935471061156214
SW,2003,13.177339617532558
SW,2004,8.941430876129719
SW,2005,21.176710542218107
SW,2006,34.15741962482031
SW,2007,17.364605393493097
SW,2008,7.496403251689269
SW,2009,17.37721480446387
SW,2010,17.505358586582158
SW,2011,28.350206548627607
SW,2012,18.078285809968204
SW,2013,14.064907093554096
SW,2014,19.561691518572
SW,2015,32.03317540470806
SW,2016,25.24439558143594
SW,2017,25.078528438404177
SW,2018,11.583176742747469
SW,2019,3.0428728871412147
SW,2020,18.48685572543968
SW,2021,8.376458956744703
SW,2022,21.9600500322887
SW,2023,42.00317686415261
SW,2024,25.93906503746898
SW,2025,36.75501905831041
S,1981,8.005802222052516
S,1982,5.645991443220213
S,1983,8.436905090871686
S,1984,0
S,1985,5.898637775644474
S,1986,0
S,1987,10.861548394162075
S,1988,2.9493188878222214
S,1989,8.211662196620427
S,1990,11.37619833058184
S,1991,5.454167376009206
S,1992,0
S,1993,2.7621734563968596
S,1994,2.855746172109538
S,1995,14.043462318184407
S,1996,8.28652036919058
S,1997,16.42666627594489
S,1998,5.514989641222452
S,1999,2.7621734563968645
S,2000,8.216340832406066
S,2001,0
S,2002,5.71149234421909
S,2003,5.477560554937376
S,2004,2.7621734563968614
S,2005,8.266469072966427
S,2006,16.793604996846785
S,2007,10.987871560374192
S,2008,11.153963130764222
S,2009,8.169554474549727
S,2010,19.829812834973662
S,2011,19.73055891866413
S,2012,2.724744370111788
S,2013,16.6174877783447
S,2014,11.001907467731103
S,2015,10.973835653017293
S,2016,16.907229008783617
S,2017,16.825687070805404
S,2018,2.7621734563968605
S,2019,5.758278702075424
S,2020,19.400715095776913
S,2021,5.430774197081037
S,2022,13.951226355553342
S,2023,22.332656193538188
S,2024,11.385555602153111
S,2025,22.350033983599147
