season,Year,NW,SW,S
DJF,1981,0,1.696524739265442,1.4885945320129397
DJF,1982,0.4070684115091959,0,0
DJF,1983,0.455450693766276,0.5184943675994873,0.5416048367818196
DJF,1984,0,0,0
DJF,1985,0,0,0
DJF,1986,0,0,0
DJF,1987,0,0,0
DJF,1988,0.4199807643890382,0.44800778230031335,0
DJF,1989,1.1065117716789246,0.6747571031252543,0
DJF,1990,0.7927481333414713,0.6752758423487345,0
DJF,1991,0,0,0
DJF,1992,0,0,0
DJF,1993,0,0,0
DJF,1994,0.4447214603424072,0.3923855622609457,0.36096294720967614
DJF,1995,0.7949060996373495,0.6980770428975424,0.7649409373601277
DJF,1996,0.7771969238917034,0.38935422897338867,0.36610285441080737
DJF,1997,0.773570696512858,0.3669757048288981,0
DJF,1998,0.7403557697931926,0.41844968001047766,0.40229757626851403
DJF,1999,0,0,0
DJF,2000,0,0,0
DJF,2001,0,0,0
DJF,2002,0.7027697165807089,0.6895124117533366,0.29602593183517456
DJF,2003,0,0,0
DJF,2004,0,0,0.28576433658599854
DJF,2005,0,0,0
DJF,2006,0.48593382040659583,0.5470513502756755,0.4802010854085287
DJF,2007,0.7836232582728068,0.7005053361256918,0.6781496405601501
DJF,2008,0.3649303913116454,0.710791289806366,0.6615433494249979
DJF,2009,0.3734184900919596,0,0
DJF,2010,0.41845365365346276,0.3280055522918701,0.3571035464604696
DJF,2011,0.6394586364428202,0.7195327281951904,0.34963349501291907
DJF,2012,0,0,0
DJF,2013,0,0,0
DJF,2014,0.40863335132598877,0,0.4533085425694784
DJF,2015,0.4350057442982992,0.43115433057149255,0.4618168274561564
DJF,2016,1.176698644955953,1.112101674079895,1.1100218693415325
DJF,2017,0,0.8131291468938191,0.8273952802022297
DJF,2018,0,0,0
DJF,2019,0,0.35860391457875573,0.36208252112070716
DJF,2020,0.7023950616518656,0.8100866874059041,1.0639525651931763
DJF,2021,0,0,0
DJF,2022,0.4742979208628336,0.437329093615214,0.3970179557800293
DJF,2023,1.1809480388959248,0.7762020428975422,0.8862877289454142
DJF,2024,1.3102241357167561,1.3824772834777832,1.4250216881434123
DJF,2025,0.6623785694440206,0.6196548144022623,0.5890199939409891
MAM,1982,0,0,0.6036439736684163
MAM,1983,0,0.40603395303090417,0.3734508355458578
MAM,1984,0,0,0
MAM,1985,0,0,0
MAM,1986,0,0,0
MAM,1987,0.42994650204976403,0.8295124769210815,0.40015641848246253
MAM,1988,0.3837010463078817,0,0
MAM,1989,0.9512417713801066,0.4411503473917643,0
MAM,1990,0.9469642241795858,0.78650665283203125,0.765586256980896
MAM,1991,0,0,0
MAM,1992,0,0,0
MAM,1993,0,0,0
MAM,1994,0,0,0
MAM,1995,0.3888336420059204,0.38757260640462243,0.4086296558380127
MAM,1996,0.5951260328292847,0,0
MAM,1997,1.8069953521092732,1.5867727994918823,1.3371621767679849
MAM,1998,0.861631989479065,0.7473173141479492,0.8861691951751709
MAM,1999,0,0.4364104668299357,0.4106605052947998
MAM,2000,0.5849006970723469,0.8383260170618693,0.7862065633138021
MAM,2001,0.9669165213902792,0,0
MAM,2002,0.41030430793762207,0.757770856221517,0.35366082191467285
MAM,2003,0.3534828027089437,0,0
MAM,2004,0,0,0
MAM,2005,0.5230520963668823,0,0
MAM,2006,0.5384273131688435,1.0989279747009277,0
MAM,2007,0.3127369284629822,0,0
MAM,2008,1.3052683273951213,0.39368561903635657,0.41843911012013757
MAM,2009,0,0,0
MAM,2010,1.2395912408828735,1.316590388615926,1.0222872495651245
MAM,2011,1.2948071559270222,1.6775572697321575,1.6116357644399006
MAM,2012,1.0554478565851848,0,0.5690406163533528
MAM,2013,0,0,0.9779659907023112
MAM,2014,1.1633842786153157,0.44848271210988366,0.5741112629572551
MAM,2015,0,0.8506818215052286,0.5868690411249797
MAM,2016,0,0,0
MAM,2017,1.4397638440132141,0.9410295089085896,1.0211914777755737
MAM,2018,0,0,0
MAM,2019,0,0.2743357022603353,0
MAM,2020,0.975166102250417,0.5084967613220215,1.1126880248387654
MAM,2021,0.9745323260625204,0.8469969828923544,0.8547174135843912
MAM,2022,0,0.4624168872833252,0.6284490823745728
MAM,2023,1.6300411621729531,1.344470779101054,1.189645787080129
MAM,2024,0.8592514991760254,0.8139403065045675,0.8143359820048015
MAM,2025,1.4139134486516316,1.2597543001174927,1.221382737159729
JJA,1982,0.36160238583882653,0,0
JJA,1983,0.9217004776000978,0.31351959705352783,0
JJA,1984,0.5362702210744221,0,0
JJA,1985,0.5585433642069499,0.4435093402862549,0
JJA,1986,0,0,0
JJA,1987,0,0.5792678594589233,1.020622968673706
JJA,1988,1.2376806735992432,0,1.2382194995880127
JJA,1989,1.6828066905339558,1.634187936782837,1.4385573863983154
JJA,1990,1.7501850525538125,1.0668044487635295,1.3028263648351033
JJA,1991,0.5960747400919597,0.7194139162699382,0.7421218554178874
JJA,1992,0,0,0
JJA,1993,0.4950410922368368,0,1.0932138363520305
JJA,1994,0.5236605008443196,0.4800947507222494,0
JJA,1995,1.1424747308095298,0.9576087395350138,0
JJA,1996,0,0.9532721837361654,1.2353483438491821
JJA,1997,1.0302461385726929,1.4051589171091716,1.2586432298024495
JJA,1998,0,0,0
JJA,1999,1.2032315731048584,0.5246548652648926,0
JJA,2000,0.9347236553827921,1.6196046272913616,0.777590274810791
JJA,2001,0.55421777566274,0,0
JJA,2002,0,0,0
JJA,2003,0.5626014073689778,0.8593184351921082,1.3366060654322307
JJA,2004,1.7939334710439048,1.0659184058507283,0
JJA,2005,1.613867918650309,1.5737092892328899,1.760834813117981
JJA,2006,1.8732774257659912,1.7884173393249512,2.0789796511332197
JJA,2007,1.0844498872756958,0.9354114532470703,0
JJA,2008,1.128552794456482,0,2.000927289326986
JJA,2009,1.2886536121368408,1.135451118151347,1.858278473218282
JJA,2010,1.216443141301473,0.5085296630859375,2.3304271697998047
JJA,2011,0.5761358340581257,0.6069093545277913,1.4530489444732666
JJA,2012,1.1795790592829387,0.7009807427724202,0
JJA,2013,1.2285527388254802,0.8780341545740763,1.38868514696757
JJA,2014,1.755293567975362,0.7286372184753418,0
JJA,2015,1.7294373909632368,1.5136995315551758,0.6808241208394368
JJA,2016,0.7017221450805664,1.9343400796254475,1.568895975748698
JJA,2017,0.5479532082875569,1.1416408220926921,1.4931306044260662
JJA,2018,0.6120757659276326,0.34596474965413415,0
JJA,2019,0.4852471351623534,0,0
JJA,2020,1.3108580112457275,1.2269152005513508,1.6159776051839192
JJA,2021,0.49291038513183594,0,0
JJA,2022,1.6090978384017944,0.5199650128682454,0.749197244644165
JJA,2023,0.5641203324000041,1.5133066177368164,1.4420512119928997
JJA,2024,0,0.36274496714274096,0
JJA,2025,0,1.6252642075220745,2.48007861773173
SON,1981,0,0.5682600736618042,0.5384356180826824
SON,1982,0,0,0.6446544329325357
SON,1983,0.5615368286768596,0.6012260913848877,1.1899499893188477
SON,1984,0,0,0
SON,1985,0,0.5317927201588948,1.0656554698944092
SON,1986,1.1348522106806438,0.94645889600118,0
SON,1987,1.1379729906717937,1.198910395304362,1.1664808591206868
SON,1988,0.5231942733128865,0.521950364112854,0
SON,1989,1.1157034635543823,1.128297249476115,1.1853899161020915
SON,1990,0,1.0783353646596272,0
SON,1991,0.6968554655710857,0.5940953890482585,0.5227661927541096
SON,1992,0,0,0
SON,1993,0,0,0
SON,1994,0,0,0
SON,1995,0.9515630801518759,1.7156350612640383,1.142998218536377
SON,1996,0,0,0
SON,1997,1.0633233388264973,1.1755603949228923,1.6908212900161743
SON,1998,0,0,0
SON,1999,0.6708285013834634,0.4879401524861654,0
SON,2000,0,0,0
SON,2001,0,0.3699413140614828,0
SON,2002,1.145075758298238,1.5428532361984253,0
SON,2003,1.146111528078715,0.9663086732228597,0
SON,2004,0,0,0
SON,2005,0,1.4163542588551838,0
SON,2006,1.89441978931427,1.8506310780843098,1.3524055083592732
SON,2007,0,1.2051923672358196,1.204087456067403
SON,2008,0.5296663443247478,0,0.9781711498896282
SON,2009,1.0720045169194539,1.1593861977259317,1.2626233100891113
SON,2010,0.6521943807601929,0.49729887644449866,0.7442222436269124
SON,2011,1.0687481562296548,1.0791161060333252,1.1747171481450398
SON,2012,1.1029473145802815,1.6451441844304402,0
SON,2013,1.0687663952509563,1.1029823621114094,1.2863420248031616
SON,2014,2.2286255757013955,2.0456491708755493,1.778608798980713
SON,2015,1.4997539122899373,1.5166041453679404,0.5233014424641926
SON,2016,0,1.1121245622634888,1.3178756634394326
SON,2017,0,1.2144766251246133,1.1639207204182942
SON,2018,0,1.2863024075826008,1.6517078081766765
SON,2019,0,0,0.6984623273213704
SON,2020,0,0.495391845703125,0.46392651398976636
SON,2021,0.692763090133667,0.5494283437728882,0.534748633702596
SON,2022,1.666389505068461,1.033130447069804,1.032015363375346
