season,Year,NW,SW,S
DJF,1981,0,0,0
DJF,1982,2,0,0
DJF,1983,1.6666666666666665,0,0
DJF,1984,0,0,0
DJF,1985,0,0,0
DJF,1986,0,0,0
DJF,1987,0,0,0
DJF,1988,0,0,0
DJF,1989,7.426900584795321,4.355555555555556,0
DJF,1990,9.214833759590793,7.481481481481482,0
DJF,1991,0,0,0
DJF,1992,0,0,0
DJF,1993,0,0,0
DJF,1994,3.666666666666667,3.2666666666666666,1.8888888888888888
DJF,1995,9.735632183908047,7.090909090909092,6.166666666666667
DJF,1996,4.794871794871795,3.4444444444444446,2.666666666666667
DJF,1997,26.272727272727273,14.5,0
DJF,1998,8.639655172413793,3.9523809523809526,5
DJF,1999,0,0,0
DJF,2000,0,0,0
DJF,2001,0,0,0
DJF,2002,7.972222222222222,6.560846560846561,2
DJF,2003,0,0,0
DJF,2004,0,0,1.7777777777777777
DJF,2005,0,0,0
DJF,2006,2.7435897435897436,2,1.8333333333333335
DJF,2007,7.504901960784315,2.7666666666666666,4.2444444444444445
DJF,2008,4.830065359477124,8.274074074074074,9.416666666666666
DJF,2009,1.6666666666666665,0,0
DJF,2010,0,2.5,2.666666666666667
DJF,2011,4.777777777777778,5.5476190476190474,2.333333333333333
DJF,2012,0,0,0
DJF,2013,0,0,0
DJF,2014,0,0,0
DJF,2015,10.600000000000001,11.523809523809522,13.722222222222221
DJF,2016,8.792380952380952,14.37689393939394,18.75
DJF,2017,0,1.8333333333333335,0
DJF,2018,0,0,0
DJF,2019,0,2,2
DJF,2020,5.266666666666667,3.5,15
DJF,2021,0,0,0
DJF,2022,15.807017543859647,9.055555555555557,10.444444444444443
DJF,2023,9.473214285714285,14.058823529411764,18.53333333333333
DJF,2024,25.546031746031748,21.566666666666666,22.166666666666668
DJF,2025,5.7272727272727275,5.185185185185185,4.166666666666666
MAM,1982,0,0,1.6666666666666665
MAM,1983,0,2.8095238095238093,2.166666666666667
MAM,1984,0,0,0
MAM,1985,0,0,0
MAM,1986,0,0,0
MAM,1987,2,3.3333333333333335,2.2777777777777777
MAM,1988,1.6666666666666665,0,0
MAM,1989,4.933333333333334,2,0
MAM,1990,5.82106782106782,6.222222222222222,4
MAM,1991,0,0,0
MAM,1992,0,0,0
MAM,1993,0,0,0
MAM,1994,0,0,0
MAM,1995,1.6666666666666665,2.2857142857142856,2.5999999999999996
MAM,1996,1.6666666666666665,0,0
MAM,1997,26.65277777777778,23.655555555555555,11.341666666666667
MAM,1998,6.158730158730156,6.658730158730159,4.633333333333333
MAM,1999,0,1.8333333333333335,2
MAM,2000,1.7333333333333334,4.055555555555555,4.166666666666667
MAM,2001,1.6666666666666665,0,0
MAM,2002,2.791666666666667,2.6428571428571432,1.8888888888888888
MAM,2003,1.6666666666666665,0,0
MAM,2004,0,0,0
MAM,2005,1.6666666666666665,0,0
MAM,2006,8.117647058823529,7,0
MAM,2007,2.385964912280702,0,0
MAM,2008,1.6666666666666665,0,0
MAM,2009,0,0,0
MAM,2010,6.455555555555556,7.911111111111111,6.444444444444445
MAM,2011,11.27891156462585,19.044973544973544,22.725
MAM,2012,5.3809523809523805,0,1.8000000000000003
MAM,2013,0,0,4.222222222222222
MAM,2014,4.190476190476191,2,2.6111111111111107
MAM,2015,0,9.11111111111111,6.166666666666666
MAM,2016,0,0,0
MAM,2017,6.708333333333333,9.044444444444444,5.972222222222222
MAM,2018,0,0,0
MAM,2019,0,0,0
MAM,2020,7.8017094017094015,5.166666666666666,6.833333333333334
MAM,2021,5.515151515151515,5.428571428571429,5.944444444444445
MAM,2022,0,3.5555555555555554,1.7777777777777777
MAM,2023,30.055555555555554,15.736507936507936,11.542857142857143
MAM,2024,5.416666666666667,3.095238095238096,3.2777777777777777
MAM,2025,8.34984370559818,7.388888888888889,4.75
JJA,1982,1.6666666666666665,0,0
JJA,1983,5.071428571428571,2.25,0
JJA,1984,2.583333333333333,0,0
JJA,1985,1.7777777777777777,1.6666666666666665,0
JJA,1986,0,0,0
JJA,1987,0,1.7777777777777777,3.5
JJA,1988,3.3333333333333335,0,2.666666666666667
JJA,1989,19.881818181818183,16.365384615384617,7.611111111111111
JJA,1990,7.389655172413794,6.582417582417583,5.444444444444445
JJA,1991,8.423076923076923,9.928571428571427,5.111111111111111
JJA,1992,0,0,0
JJA,1993,1.9047619047619047,0,1.8888888888888888
JJA,1994,3.56140350877193,2.333333333333333,0
JJA,1995,7.318840579710145,5.127946127946128,0
JJA,1996,0,5.8,5.2592592592592595
JJA,1997,3.911111111111111,5.111111111111111,3.6666666666666665
JJA,1998,0,0,0
JJA,1999,6.548245614035088,3.4444444444444446,0
JJA,2000,4.333333333333333,7.055555555555555,2.833333333333333
JJA,2001,2,0,0
JJA,2002,0,0,0
JJA,2003,2.5999999999999996,4.844444444444444,4.25
JJA,2004,21.337662337662337,6.666666666666667,0
JJA,2005,5.939417989417989,7.390313390313391,9.190476190476192
JJA,2006,11.591963780418789,23.555555555555557,14.174603174603176
JJA,2007,3.8333333333333335,2.416666666666667,0
JJA,2008,2.125,0,2
JJA,2009,7.827586206896552,8.357142857142858,6.277777777777778
JJA,2010,4.15,1.6666666666666665,14.650793650793652
JJA,2011,0,2,3.7777777777777777
JJA,2012,7.798029556650246,4.5,0
JJA,2013,6.923076923076923,8.833333333333334,10.283333333333333
JJA,2014,6.017543859649122,1.6666666666666665,0
JJA,2015,5.878787878787879,8.166666666666666,2.8888888888888884
JJA,2016,2.8505747126436782,11.481481481481481,10.428571428571429
JJA,2017,2.333333333333333,4.666666666666667,7.5777777777777775
JJA,2018,4.333333333333334,2.666666666666667,0
JJA,2019,2.041666666666667,0,0
JJA,2020,2.8431372549019605,4.333333333333333,4.055555555555555
JJA,2021,6.666666666666666,0,0
JJA,2022,8.613918757467145,3.2962962962962967,3.166666666666667
JJA,2023,8.06172839506173,6.311111111111111,5.3809523809523805
JJA,2024,0,2,0
JJA,2025,1.8333333333333335,13.166666666666666,12.88888888888889
SON,1981,0,1.7916666666666665,1.6666666666666665
SON,1982,0,0,2.533333333333333
SON,1983,4.279569892473118,7.895833333333334,4.523809523809524
SON,1984,0,0,0
SON,1985,0,1.6666666666666665,3.6666666666666665
SON,1986,2.549019607843137,3.8333333333333335,0
SON,1987,1.7333333333333334,4.212121212121213,4.777777777777779
SON,1988,3.2777777777777777,3.9523809523809526,0
SON,1989,2,3,3.9333333333333336
SON,1990,0,2.3636363636363633,0
SON,1991,5.75,4.666666666666666,2.166666666666667
SON,1992,0,0,0
SON,1993,0,0,0
SON,1994,0,0,0
SON,1995,2.1944444444444446,14.133333333333333,7.619047619047619
SON,1996,0,0,0
SON,1997,6.149350649350649,4.1,6.317460317460318
SON,1998,0,0,0
SON,1999,2.1111111111111107,2.5555555555555554,0
SON,2000,0,0,0
SON,2001,0,1.6666666666666665,0
SON,2002,5.933333333333334,6.166666666666667,0
