Zone,Year,value_annual
NW,1981,0
NW,1982,7644277821.674263
NW,1983,500529437385.3301
NW,1984,61028676877.520676
NW,1985,64118711609.39675
NW,1986,163644513916.38272
NW,1987,65942524856.4923
NW,1988,161601549377.84457
NW,1989,1173473548795.0188
NW,1990,1371909895444.446
NW,1991,907181750393.565
NW,1992,0
NW,1993,70705319697.97147
NW,1994,135455143517.06802
NW,1995,665168790360.8748
NW,1996,445562399087.27
NW,1997,2723181098248.392
NW,1998,1141035982520.2683
NW,1999,713168102466.096
NW,2000,167864772398.6741
NW,2001,13707552697.671024
NW,2002,481206581087.7334
NW,2003,493757528033.60754
NW,2004,1513674460681.2065
NW,2005,220226441697.94424
NW,2006,4068469884462.0044
NW,2007,364215600272.8069
NW,2008,434982799948.28766
NW,2009,1207165049147.3203
NW,2010,706899956507.0765
NW,2011,1848954835804.6802
NW,2012,917641339445.2119
NW,2013,692276209235.832
NW,2014,3220712322193.0576
NW,2015,1078981026539.7739
NW,2016,1014980459097.7487
NW,2017,297216680388.9327
NW,2018,211294232416.24008
NW,2019,43758471925.275314
NW,2020,1230700269178.9658
NW,2021,1110002263236.0884
NW,2022,2260442346782.173
NW,2023,6193661133932.422
NW,2024,2251437772219.8833
NW,2025,869052619319.2249
SW,1981,57840125572.25342
SW,1982,0
SW,1983,527697113305.256
SW,1984,0
SW,1985,12947635900.65565
SW,1986,14790506568.896118
SW,1987,252768574944.07742
SW,1988,172862766151.40958
SW,1989,848828997055.0587
SW,1990,534383769468.021
SW,1991,579636259699.4519
SW,1992,0
SW,1993,0
SW,1994,133857603183.60269
SW,1995,677686674530.0153
SW,1996,239344867124.87802
SW,1997,1369063007758.9329
SW,1998,381868530997.0763
SW,1999,61642597876.57559
SW,2000,144664811508.53427
SW,2001,6723570543.247814
SW,2002,350327852668.50287
SW,2003,223450017986.38086
SW,2004,253777882543.37363
SW,2005,317303868806.6698
SW,2006,2174991031064.7502
SW,2007,129739550735.35321
SW,2008,419329517712.3533
SW,2009,617830011134.3849
SW,2010,345767413886.6766
SW,2011,1647828125266.8115
SW,2012,348075062826.624
SW,2013,297252028514.96014
SW,2014,1212861390875.6719
SW,2015,757401511883.6974
SW,2016,896006291021.592
SW,2017,539514437477.35
SW,2018,112192769175.23325
SW,2019,11005541720.845932
SW,2020,466124406290.70184
SW,2021,395924475269.19434
SW,2022,369797647768.8779
SW,2023,1689294337828.4004
SW,2024,1412102402413.0603
SW,2025,290370265169.5171
S,1981,4679380352.144885
S,1982,93165783002.08545
S,1983,84405765575.38559
S,1984,0
S,1985,14951900671.15613
S,1986,0
S,1987,203829994417.34848
S,1988,9547623579.887533
S,1989,292332902504.6435
S,1990,97810928477.68323
S,1991,184306223169.58054
S,1992,0
S,1993,19041280989.65789
S,1994,16821658237.430408
S,1995,238077511033.03882
S,1996,203028810856.34247
S,1997,476233033867.969
S,1998,226575642120.80615
S,1999,23648684299.114517
S,2000,78142408480.66847
S,2001,0
S,2002,36719435536.066055
S,2003,81794564218.95667
S,2004,26664408513.826725
S,2005,227170336892.74524
S,2006,737834072483.3187
S,2007,143491225105.5728
S,2008,203956504660.74164
S,2009,164714883759.03943
S,2010,443767157245.05695
S,2011,917543814949.4944
S,2012,39082214234.493866
S,2013,473699547147.4556
S,2014,292896503180.80396
S,2015,575566427578.0261
S,2016,681132802607.4175
S,2017,826527568040.1825
S,2018,303938128004.0595
S,2019,41874261032.30842
S,2020,510256355279.35754
S,2021,146785866416.69687
S,2022,202318789840.17593
S,2023,895815016168.4077
S,2024,780478205584.348
S,2025,576824910316.4956
