season,Year,NW,SW,S
DJF,1981,0,0,0
DJF,1982,20.7703760871811,0,0
DJF,1983,25.469341840117323,0,0
DJF,1984,0,0,0
DJF,1985,0,0,0
DJF,1986,0,0,0
DJF,1987,0,0,0
DJF,1988,0,0,0
DJF,1989,81.60583188238273,36.49708664753071,0
DJF,1990,52.43553307201821,34.50384959685759,0
DJF,1991,0,0,0
DJF,1992,0,0,0
DJF,1993,0,0,0
DJF,1994,31.578033598233084,14.415920762397558,11.235839257012795
DJF,1995,53.64927317195116,28.456855097135573,22.050601293318575
DJF,1996,50.74868856371068,12.91980055825621,11.048693825587431
DJF,1997,52.407302382643515,15.459019970977725,0
DJF,1998,53.20127135114377,15.724634798949065,10.955121109874764
DJF,1999,0,0,0
DJF,2000,0,0,0
DJF,2001,0,0,0
DJF,2002,45.62773162819201,32.827914754269656,11.797275551288916
DJF,2003,0,0,0
DJF,2004,0,0,10.898977480447158
DJF,2005,0,0,0
DJF,2006,26.53740667254356,11.797275551288884,11.048693825587446
DJF,2007,58.28472365853293,26.400297767453697,21.78993444240464
DJF,2008,51.56143666661057,29.80004358294887,21.93576205130753
DJF,2009,31.949888545955297,0,0
DJF,2010,0,13.481124554170151,11.797275551288948
DJF,2011,48.40330002866989,30.06606618256858,11.797275551288916
DJF,2012,0,0,0
DJF,2013,0,0,0
DJF,2014,0,0,0
DJF,2015,25.630371100755085,15.724634798949065,10.955121109874764
DJF,2016,83.44209268204555,43.05496547869659,33.18351056304743
DJF,2017,0,18.528870290793662,0
DJF,2018,0,0,0
DJF,2019,0,12.171491548564859,11.797275551288887
DJF,2020,55.05749417742775,31.262133122558378,32.39749975106088
DJF,2021,0,0,0
DJF,2022,26.010627011594224,15.243943692041519,10.955121109874764
DJF,2023,74.28217697794763,33.614115706886885,21.723096788324167
DJF,2024,79.21175440230145,35.375482959832716,23.594551102577864
DJF,2025,52.4944401111641,36.04766758498986,11.04869382558746
MAM,1982,0,0,11.123551998157595
MAM,1983,0,13.48099622723187,10.898977480447147
MAM,1984,0,0,0
MAM,1985,0,0,0
MAM,1986,0,0,0
MAM,1987,25.107855331951875,31.447173976930408,10.995223702323052
MAM,1988,28.152857945252364,0,0
MAM,1989,52.667652841965555,14.603392907260858,0
MAM,1990,52.829684394457,34.49795529764797,23.594551102577835
MAM,1991,0,0,0
MAM,1992,0,0,0
MAM,1993,0,0,0
MAM,1994,0,0,10.674402962736725
MAM,1995,31.949888545955382,13.060098139980688,11.048693825587446
MAM,1996,29.718171834988887,0,0
MAM,1997,79.74068062260645,43.5275394780087,32.46947876314756
MAM,1998,25.002870839417007,32.89901699372965,10.95512110987476
MAM,1999,0,16.286202879119912,10.955121109874774
MAM,2000,25.466197517633525,34.97321866979247,21.7979549608943
MAM,2001,28.042823112782884,0,0
MAM,2002,24.89670898112069,15.724634798949065,10.955121109874764
MAM,2003,30.83432370278834,0,0
MAM,2004,0,0,0
MAM,2005,25.248119263556312,0,0
MAM,2006,24.305193106947492,32.19560597148236,10.674402962736721
MAM,2007,27.129180976309208,0,0
MAM,2008,23.383199611129406,0,0
MAM,2009,0,0,0
MAM,2010,56.51281441276453,44.42894931127333,21.629524072611467
MAM,2011,57.34355454517627,31.324881720667936,32.86536332962431
MAM,2012,58.71552308672414,0,10.834813332529887
MAM,2013,0,0,22.75239666116372
MAM,2014,55.763156550825364,11.79727555128887,10.955121109874764
MAM,2015,0,29.907054742207233,10.995223702323052
MAM,2016,0,0,0
MAM,2017,84.31926997970781,28.87537421255246,22.79249925361194
MAM,2018,0,0,0
MAM,2019,0,0,0
MAM,2020,55.704933726239354,16.23449239940519,22.75239666116371
MAM,2021,48.24265219091994,15.724634798949065,10.955121109874764
MAM,2022,0,17.03399684800238,10.898977480447162
MAM,2023,72.87895933066723,47.4570180249669,32.96963006998984
MAM,2024,49.406448252947584,15.986458748793073,10.923930204637205
MAM,2025,78.17635730172006,55.64008860244148,21.91024221974955
JJA,1982,20.77037608718115,0,0
JJA,1983,48.65168359287699,16.51023707691234,0
JJA,1984,22.31017393214548,0,0
JJA,1985,27.204267816996868,18.52904666896213,0
JJA,1986,0,0,0
JJA,1987,0,14.041800277542013,21.348805925473417
JJA,1988,61.66806038094411,0,11.797275551288887
JJA,1989,78.68547137266997,30.326775644808873,21.59833316737391
JJA,1990,48.61635358336273,30.29001017768934,21.797954960894305
JJA,1991,25.445807034588434,15.724634798949065,10.834813332529876
JJA,1992,0,0,0
JJA,1993,25.40679899310326,0,11.048693825587439
JJA,1994,48.92794722988846,18.902663921188598,0
JJA,1995,47.18120962441331,32.1598435515292,0
JJA,1996,0,26.493731476871705,22.003814935462202
JJA,1997,57.89485042561947,31.671763262391387,21.3488059254734
JJA,1998,0,0,0
JJA,1999,52.33882018757199,19.276281173415065,10.674402962736721
JJA,2000,46.70222155793949,45.33072801708604,21.62952407261147
JJA,2001,29.718171834988816,0,0
JJA,2002,0,0,0
JJA,2003,26.76027271508209,35.18737712899168,21.91024221974951
JJA,2004,79.11244241626027,33.67365051463357,21.348805925473442
JJA,2005,74.5129588525654,45.885916511023105,32.73436152762651
JJA,2006,52.03019672546039,49.00661067273567,33.08993784733475
JJA,2007,50.85851835385634,19.08947254730183,0
JJA,2008,27.901585001150828,0,11.235839257012838
JJA,2009,46.377004106324186,35.3745332245906,21.79795496089431
JJA,2010,51.744307450469144,15.164460249298319,33.791733215179896
JJA,2011,0,18.52904666896213,21.6295240726115
JJA,2012,51.01394415726077,19.08947254730183,0
JJA,2013,50.70719602897374,26.15939227871161,21.842189335594842
JJA,2014,54.126099112668044,18.529046668962124,0
JJA,2015,75.03210612949745,46.93296350264626,10.67440296273671
JJA,2016,25.60662801914306,45.795212562206025,22.059958564889826
JJA,2017,21.25041133062976,27.392317716352352,22.078673108032355
JJA,2018,28.302297575287035,18.52904666896213,0
JJA,2019,29.717331148596266,0,0
JJA,2020,27.877117297979865,29.606936403863525,10.995223702323052
JJA,2021,29.718171834988887,0,0
JJA,2022,76.81366620545413,17.40751074639266,11.123551998157595
JJA,2023,49.65393415389608,32.835676206306964,22.72120575592609
JJA,2024,0,17.407842155945865,0
JJA,2025,24.501661405392966,42.68606759697733,32.678217898198895
SON,1981,0,14.15415621666267,10.67440296273669
SON,1982,0,0,11.235839257012824
SON,1983,25.95726305582358,15.388106117950226,22.792499253612
SON,1984,0,0,0
SON,1985,0,11.79727555128887,23.033114808301786
SON,1986,24.625725084534785,35.37628656839979,0
SON,1987,23.678244569567255,14.387195549635887,10.955121109874764
SON,1988,23.72680273705071,17.033552804409133,0
SON,1989,20.770376087181127,14.202218833305462,11.048693825587435
SON,1990,0,15.682097142849827,0
SON,1991,27.201765914654196,17.407842155945787,10.955121109874757
SON,1992,0,0,0
SON,1993,0,0,0
SON,1994,0,0,0
SON,1995,22.636538699446014,30.327258594372758,22.09738765117488
SON,1996,0,0,0
SON,1997,84.35060564935746,27.522437474885407,22.204327897703667
SON,1998,0,0,0
