Zone,Year,value_annual
NW,1981,0
NW,1982,0.9166666666666666
NW,1983,2.750180375180375
NW,1984,0.6458333333333333
NW,1985,0.44444444444444436
NW,1986,0.6296296296296295
NW,1987,0.9333333333333333
NW,1988,2.0892857142857144
NW,1989,8.568846358320043
NW,1990,5.565349606118106
NW,1991,3.4970238095238093
NW,1992,0
NW,1993,0.47619047619047616
NW,1994,1.8041666666666667
NW,1995,5.152889784946237
NW,1996,1.6153846153846156
NW,1997,15.739604076479077
NW,1998,3.651478494623656
NW,1999,2.1840277777777777
NW,2000,1.5583333333333331
NW,2001,0.9166666666666666
NW,2002,4.060416666666667
NW,2003,1.8661757830762038
NW,2004,5.325
NW,2005,1.9140211640211642
NW,2006,14.113990870240869
NW,2007,3.431050051599587
NW,2008,2.7835227272727274
NW,2009,3.676332646991535
NW,2010,3.208333333333333
NW,2011,5.135010255293274
NW,2012,4.581383670093348
NW,2013,3.3696581196581197
NW,2014,9.604563492063491
NW,2015,6.016029948993658
NW,2016,2.886552846405581
NW,2017,2.2475490196078427
NW,2018,1.0833333333333335
NW,2019,0.5104166666666667
NW,2020,4.458071135430917
NW,2021,4.30012077294686
NW,2022,17.509457231412856
NW,2023,18.5589745995996
NW,2024,10.54964451058201
NW,2025,4.45765114379085
SW,1981,1.325
SW,1982,0
SW,1983,3.025
SW,1984,0
SW,1985,0.8333333333333334
SW,1986,0.9583333333333335
SW,1987,2.3669871794871793
SW,1988,1.0055555555555553
SW,1989,6.198809523809524
SW,1990,5.506801994301995
SW,1991,3.703125
SW,1992,0
SW,1993,0
SW,1994,1.347222222222222
SW,1995,7.695751633986927
SW,1996,2.2847222222222223
SW,1997,11.925978407557354
SW,1998,2.572916666666667
SW,1999,1.9722222222222223
SW,2000,2.791666666666667
SW,2001,0.4166666666666667
SW,2002,3.7819940476190474
SW,2003,1.7691798941798942
SW,2004,2.088888888888889
SW,2005,2.92521645021645
SW,2006,14.070202020202021
SW,2007,3.1597222222222223
SW,2008,2.0122887864823347
SW,2009,3.896634615384615
SW,2010,3.8551136363636362
SW,2011,8.525132275132275
SW,2012,3.7451298701298703
SW,2013,3.5780573593073592
SW,2014,5.911458333333334
SW,2015,8.560681216931217
SW,2016,6.883638420403126
SW,2017,5.379524886877828
SW,2018,2.395833333333333
SW,2019,0.5
SW,2020,3.7608225108225106
SW,2021,2.3858173076923075
SW,2022,9.740728715728716
SW,2023,19.389870263322276
SW,2024,9.119298245614036
SW,2025,6.720436507936508
S,1981,1.25
S,1982,1.1833333333333333
S,1983,1.6642857142857141
S,1984,0
S,1985,0.875
S,1986,0
S,1987,2.6706349206349205
S,1988,0.6666666666666667
S,1989,2.75
S,1990,2.404166666666667
S,1991,2.077380952380952
S,1992,0
S,1993,0.4722222222222222
S,1994,0.9166666666666666
S,1995,4.130787037037036
S,1996,1.9710648148148147
S,1997,6.109025234025235
S,1998,2.4861111111111116
S,1999,0.9375
S,2000,2.408333333333333
S,2001,0
S,2002,0.9791666666666665
S,2003,1.0238095238095237
S,2004,1.4333333333333331
S,2005,2.2583333333333337
S,2006,7.042361111111111
S,2007,2.8892857142857142
S,2008,3.100378787878788
S,2009,2.3111111111111113
S,2010,6.595833333333333
S,2011,9.261904761904763
S,2012,0.4523809523809524
S,2013,5.224242424242425
S,2014,5.302083333333334
S,2015,6.173611111111112
S,2016,7.544907407407408
S,2017,8.493452380952382
S,2018,2.09375
S,2019,1.1041666666666665
S,2020,7.152579365079365
S,2021,2.583333333333333
S,2022,5.972916666666666
S,2023,20.867493386243385
S,2024,10.873842592592592
S,2025,7.232638888888889
