Zone,Year,value_annual
NW,1981,0
NW,1982,2
NW,1983,47
NW,1984,8
NW,1985,12
NW,1986,18
NW,1987,13
NW,1988,21
NW,1989,77
NW,1990,134
NW,1991,32
NW,1992,0
NW,1993,14
NW,1994,25
NW,1995,77
NW,1996,15
NW,1997,99
NW,1998,97
NW,1999,47
NW,2000,25
NW,2001,3
NW,2002,65
NW,2003,55
NW,2004,67
NW,2005,40
NW,2006,128
NW,2007,47
NW,2008,70
NW,2009,84
NW,2010,58
NW,2011,90
NW,2012,76
NW,2013,51
NW,2014,103
NW,2015,83
NW,2016,81
NW,2017,40
NW,2018,15
NW,2019,8
NW,2020,80
NW,2021,81
NW,2022,149
NW,2023,163
NW,2024,122
NW,2025,119
SW,1981,10
SW,1982,0
SW,1983,33
SW,1984,0
SW,1985,3
SW,1986,3
SW,1987,23
SW,1988,15
SW,1989,45
SW,1990,73
SW,1991,17
SW,1992,0
SW,1993,0
SW,1994,21
SW,1995,66
SW,1996,17
SW,1997,68
SW,1998,43
SW,1999,9
SW,2000,25
SW,2001,2
SW,2002,51
SW,2003,26
SW,2004,20
SW,2005,43
SW,2006,70
SW,2007,22
SW,2008,38
SW,2009,35
SW,2010,37
SW,2011,70
SW,2012,23
SW,2013,28
SW,2014,37
SW,2015,71
SW,2016,47
SW,2017,40
SW,2018,9
SW,2019,3
SW,2020,38
SW,2021,29
SW,2022,39
SW,2023,98
SW,2024,52
SW,2025,34
S,1981,1
S,1982,11
S,1983,13
S,1984,0
S,1985,3
S,1986,0
S,1987,20
S,1988,1
S,1989,17
S,1990,11
S,1991,11
S,1992,0
S,1993,3
S,1994,5
S,1995,28
S,1996,23
S,1997,46
S,1998,20
S,1999,5
S,2000,11
S,2001,0
S,2002,10
S,2003,9
S,2004,7
S,2005,15
S,2006,43
S,2007,20
S,2008,22
S,2009,13
S,2010,26
S,2011,39
S,2012,7
S,2013,31
S,2014,20
S,2015,35
S,2016,33
S,2017,40
S,2018,8
S,2019,5
S,2020,37
S,2021,12
S,2022,22
S,2023,46
S,2024,20
S,2025,35
