Zone,Year,value_annual
NW,1981,0
NW,1982,124.62225652308675
NW,1983,3653.538267510644
NW,1984,535.4441743714915
NW,1985,979.3536414118876
NW,1986,1329.789154564878
NW,1987,957.7621965103538
NW,1988,1603.8227652777477
NW,1989,6039.642242198749
NW,1990,10380.391952255548
NW,1991,2463.868981881279
NW,1992,0
NW,1993,1067.0855577103368
NW,1994,1947.1133104277772
NW,1995,5919.001014190444
NW,1996,1280.2968699014784
NW,1997,7974.273382237546
NW,1998,7487.4911815398955
NW,1999,3740.830182786168
NW,2000,1853.180929465911
NW,2001,257.41145418166377
NW,2002,4812.272673307434
NW,2003,4316.436902502388
NW,2004,5198.510851486111
NW,2005,2992.635848613516
NW,2006,9741.418763811242
NW,2007,3874.928861181726
NW,2008,5472.721714669157
NW,2009,6469.232169674658
NW,2010,4567.2795543747325
NW,2011,6665.44371130799
NW,2012,5823.121077379768
NW,2013,4037.1083394114435
NW,2014,8012.302080222897
NW,2015,6309.714767247991
NW,2016,6265.571054729367
NW,2017,3072.9509582586143
NW,2018,1273.6033908879165
NW,2019,713.2159475663104
NW,2020,6236.721564746886
NW,2021,6245.503520693141
NW,2022,11513.107770491335
NW,2023,12435.899209847103
NW,2024,9293.740016585592
NW,2025,9214.023718267177
SW,1981,424.6246864998801
SW,1982,0
SW,1983,1494.4838326842637
SW,1984,0
SW,1985,146.56610666763936
SW,1986,160.03419294256136
SW,1987,992.4453550275991
SW,1988,766.5098761984109
SW,1989,2080.7574661107938
SW,1990,3479.064316141319
SW,1991,807.0059968173924
SW,1992,0
SW,1993,0
SW,1994,948.5836964601656
SW,1995,3126.9361864759453
SW,1996,719.5018466739232
SW,1997,3113.6039690004095
SW,1998,2073.9221468743767
SW,1999,453.17609466427507
SW,2000,1160.81456934052
SW,2001,104.44705293567496
SW,2002,2481.6142264070572
SW,2003,1253.4296527939166
SW,2004,977.1303256336693
SW,2005,2006.5937765979156
SW,2006,3244.951494930607
SW,2007,973.8693182237223
SW,2008,1748.8578794397472
SW,2009,1686.4000408727468
SW,2010,1689.9021546137603
SW,2011,3332.4648185379706
SW,2012,1180.9129857322896
SW,2013,1226.6271682399624
SW,2014,1733.6451999200049
SW,2015,3411.6075161251847
SW,2016,2097.7147079831575
SW,2017,1836.4528330742257
SW,2018,379.13104946045127
SW,2019,109.54342393708372
SW,2020,1769.0420308957325
SW,2021,1400.0215167620263
SW,2022,1939.0789234539202
SW,2023,4623.043913429628
SW,2024,2516.9957263070983
SW,2025,1674.5677819203704
S,1981,32.023208888210064
S,1982,369.09838659859474
S,1983,429.77618660935815
S,1984,0
S,1985,102.80686219594386
S,1986,0
S,1987,653.9386488268291
S,1988,35.39182665386666
S,1989,557.8690221621986
S,1990,365.7297688329379
S,1991,358.99253330162446
S,1992,0
S,1993,99.43824443028694
S,1994,166.8532799723637
S,1995,923.5987909951368
S,1996,760.114128788429
S,1997,1510.122404279889
S,1998,657.3072665924857
S,1999,163.48466220670747
S,2000,362.3611510672812
S,2001,0
S,2002,333.7065599447278
S,2003,291.5774977595477
S,2004,227.53107998312765
S,2005,493.82260438577845
S,2006,1414.0527776152587
S,2007,653.938648826829
S,2008,724.7223021345628
S,2009,423.03895107804505
S,2010,862.9209909843734
S,2011,1285.9599420624186
S,2012,227.53107998312765
S,2013,1016.2997998941107
S,2014,653.9386488268294
S,2015,1147.7612532126077
S,2016,1097.1893064988142
S,2017,1324.7203864819412
S,2018,262.9229066369943
S,2019,170.2218977380204
S,2020,1215.1762887546847
S,2021,391.0157421898349
S,2022,724.7223021345628
S,2023,1510.1224042798888
S,2024,660.6758843581425
S,2025,1151.1298709782648
