season,Year,NW,SW,S
DJF,1981,0,0,0
DJF,1982,20.7703760871811,0,0
DJF,1983,127.34670920058664,0,0
DJF,1984,0,0,0
DJF,1985,0,0,0
DJF,1986,0,0,0
DJF,1987,0,0,0
DJF,1988,0,0,0
DJF,1989,624.8949178092552,162.2748808779553,0
DJF,1990,1554.3886784222918,226.29927540156493,0
DJF,1991,0,0,0
DJF,1992,0,0,0
DJF,1993,0,0,0
DJF,1994,94.73410079469926,259.4865737231561,44.94335702805118
DJF,1995,962.0613395102836,211.71223010144905,108.98977480447158
DJF,1996,397.0474514655039,51.67920223302484,66.29216295352458
DJF,1997,892.5704574048368,293.7213794485767,0
DJF,1998,1345.6983352334491,251.59415678318504,87.64096887899811
DJF,1999,0,0,0
DJF,2000,0,0,0
DJF,2001,0,0,0
DJF,2002,680.218027444605,438.59125136340873,23.59455110257783
DJF,2003,0,0,0
DJF,2004,0,0,54.49488740223579
DJF,2005,0,0,0
DJF,2006,344.98628674306633,23.594551102577768,66.2921629535247
DJF,2007,597.2528277992299,187.03354214526655,119.66417776720823
DJF,2008,1468.094080465047,582.9526264799157,208.42801923475855
DJF,2009,31.949888545955297,0,0
DJF,2010,0,26.962249108340302,11.797275551288948
DJF,2011,481.4441775521643,326.29483665335476,23.59455110257783
DJF,2012,0,0,0
DJF,2013,0,0,0
DJF,2014,0,0,0
DJF,2015,820.1718752241627,251.59415678318504,87.64096887899811
DJF,2016,1294.718216316354,478.5154636024932,132.58432590704942
DJF,2017,0,37.057740581587325,0
DJF,2018,0,0,0
DJF,2019,0,36.51447464569458,11.797275551288887
DJF,2020,369.0917999946512,79.18300646041426,151.6873866554184
DJF,2021,0,0,0
DJF,2022,494.2019132202903,213.41521168858134,87.64096887899811
DJF,2023,872.4602187405286,348.18320913021023,76.96656591626142
DJF,2024,1049.6305744721085,212.25289775899628,35.39182665386678
DJF,2025,1012.5321063633857,183.62759001912482,33.146081476762376
MAM,1982,0,0,55.617759990787974
MAM,1983,0,107.84796981785496,54.49488740223573
MAM,1984,0,0,0
MAM,1985,0,0,0
MAM,1986,0,0,0
MAM,1987,200.862842655615,31.447173976930408,76.96656591626137
MAM,1988,140.76428972626184,0,0
MAM,1989,241.7279306343575,29.206785814521716,0
MAM,1990,858.8295225297068,259.4467796575376,23.594551102577835
MAM,1991,0,0,0
MAM,1992,0,0,0
MAM,1993,0,0,0
MAM,1994,0,0,10.674402962736725
MAM,1995,63.899777091910764,104.4807851198455,66.2921629535247
MAM,1996,29.718171834988887,0,0
MAM,1997,360.6045698198742,325.7473043318293,283.1488399739156
MAM,1998,1150.1320586131824,439.71322550827387,131.46145331849715
MAM,1999,0,48.85860863735972,43.8204844394991
MAM,2000,127.33098758816763,126.91314013469807,66.29216295352468
MAM,2001,56.08564622556577,0,0
MAM,2002,398.347343697931,251.59415678318504,87.64096887899811
MAM,2003,30.83432370278834,0,0
MAM,2004,0,0,0
MAM,2005,25.248119263556312,0,0
MAM,2006,461.7986690320025,57.28702106316401,10.674402962736721
MAM,2007,515.454438549875,0,0
MAM,2008,70.14959883338821,0,0
MAM,2009,0,0,0
MAM,2010,969.8624410130923,509.3767332956593,108.98977480447151
MAM,2011,1377.814186504667,477.35039087733264,229.77682516023205
MAM,2012,519.26605465057,0,75.84369332770922
MAM,2013,0,0,55.61775999078803
MAM,2014,390.3420958557776,11.79727555128887,87.64096887899811
MAM,2015,0,212.2943599319019,153.93313183252275
MAM,2016,0,0,0
MAM,2017,875.5641067717964,310.0035798684557,165.73040738381164
MAM,2018,0,0,0
MAM,2019,0,0,0
MAM,2020,1215.1340181014716,357.15883278691433,99.43824443028704
MAM,2021,1288.0290383042786,251.59415678318504,87.64096887899811
MAM,2022,0,51.10199054400715,54.494887402235804
MAM,2023,1274.5817665240077,579.0050654998334,207.30514664620634
MAM,2024,837.1439234712722,239.79688123189607,98.31537184173484
MAM,2025,1919.633190628128,221.22561307836764,86.51809629044595
JJA,1982,20.77037608718115,0,0
JJA,1983,233.90969912744964,82.5511853845617,0
JJA,1984,178.48139145716385,0,0
JJA,1985,326.45121380396256,37.05809333792425,0
JJA,1986,0,0,0
JJA,1987,0,112.3344022203361,53.37201481368354
JJA,1988,61.66806038094411,0,11.797275551288887
JJA,1989,1105.0504801149416,303.27309167817776,119.66417776720824
JJA,1990,1046.9124497998514,470.07478746428916,98.31537184173482
JJA,1991,712.4825969684762,251.59415678318504,75.84369332770913
JJA,1992,0,0,0
JJA,1993,355.6951859034456,0,33.14608147676232
JJA,1994,554.3036693478931,56.7079917635658,0
JJA,1995,675.4007570679347,352.6739079183242,0
JJA,1996,0,188.15474665828287,187.07921330928505
JJA,1997,486.8281210687061,317.86291715357845,42.69761185094682
JJA,1998,0,0,0
JJA,1999,1164.4913414057621,57.8288435202452,10.674402962736721
JJA,2000,490.39598890046943,260.0250496454752,54.494887402235726
JJA,2001,29.718171834988816,0,0
JJA,2002,0,0,0
JJA,2003,829.5684541675448,299.3245150859442,97.19249925318258
JJA,2004,1732.8369504953707,310.5456482952581,21.348805925473442
JJA,2005,972.2971636076156,612.1566004357394,164.60753479525948
JJA,2006,1342.963043564025,520.5961557223158,219.10242219749532
JJA,2007,178.93568737813726,76.35789018920732,0
JJA,2008,223.21268000920662,0,22.471678514025676
JJA,2009,835.3462207677973,290.8939536344681,108.98977480447155
JJA,2010,442.62992519063783,15.164460249298319,155.05600442107504
JJA,2011,0,18.52904666896213,54.49488740223582
JJA,2012,971.6566815602589,76.35789018920732,0
JJA,2013,743.1340016127125,124.12936819453687,185.9563407207329
JJA,2014,1082.5219822533609,18.529046668962124,0
JJA,2015,430.9412859048364,240.91555157353537,64.04641777642027
JJA,2016,793.8054685934351,208.92549684060373,209.55089182331082
JJA,2017,148.7528793144083,214.53282369711414,143.25872886978607
JJA,2018,424.5344636293055,18.52904666896213,0
JJA,2019,237.73864918877013,0,0
JJA,2020,473.91099406565775,128.62163862351002,76.96656591626137
JJA,2021,29.718171834988887,0,0
JJA,2022,1671.1966887758288,174.0751074639266,55.617759990787974
JJA,2023,871.789093428302,279.68102101208575,110.11264739302372
JJA,2024,0,17.407842155945865,0
JJA,2025,73.50498421617888,141.5387819913421,164.60753479525948
SON,1981,0,141.5415621666267,10.67440296273669
SON,1982,0,0,67.41503554207694
SON,1983,856.5896808421783,307.7621223590045,88.76384146755032
SON,1984,0,0,0
SON,1985,0,11.79727555128887,34.268954065314624
SON,1986,443.2630515216259,53.34473098085379,0
SON,1987,118.39122284783625,187.03354214526655,87.64096887899811
SON,1988,332.17523831870994,255.50329206613696,0
SON,1989,41.540752174362254,198.83106366627646,66.29216295352461
SON,1990,0,203.86726285704776,0
SON,1991,108.80706365861678,17.407842155945787,43.820484439499026
SON,1992,0,0,0
SON,1993,0,0,0
SON,1994,0,0,0
SON,1995,271.63846439335214,373.44513901902974,132.58432590704933
SON,1996,0,0,0
SON,1997,918.0879791190983,100.53638873281852,177.52768293510056
SON,1998,0,0,0
