x,seasonal,trend,remainder,remainder_l1,remainder_l2,anomaly,observed,Zone
1981.6666666666667,519656.6792987457,-395305.7473026614,-124350.93199608428,-9039020.260764131,10698579.184366552,No,0,NW
1981.75,183007.10193436212,-391573.8616840307,208566.75974966856,-9039020.260764131,10698579.184366552,No,0,NW
1981.8333333333335,82255.43860890517,-387841.9760654,305586.5374564948,-9039020.260764131,10698579.184366552,No,-1.4551915228366852e-11,NW
1981.9166666666667,-1123246.8986867089,-384110.09044676926,1507356.9891334781,-9039020.260764131,10698579.184366552,No,0,NW
1982,2058314.0495669178,-380378.2048281385,-1677935.8447387794,-9039020.260764131,10698579.184366552,No,0,NW
1982.0833333333335,-680481.3173664269,-376646.3192095078,4393670868.477567,-9039020.260764131,10698579.184366552,No,4392613740.840991,NW
1982.1666666666667,-1169470.0165848525,-372914.4335908771,1542384.4501757296,-9039020.260764131,10698579.184366552,No,0,NW
1982.25,1170976.1297533938,-369182.54797224636,-801793.5817811475,-9039020.260764131,10698579.184366552,No,0,NW
1982.3333333333335,1851419.9072602855,-365450.6623536156,-1485969.24490667,-9039020.260764131,10698579.184366552,No,-2.3283064365386963e-10,NW
1982.4166666666667,1607740.9018465276,-361718.77673498495,-1246022.1251115426,-9039020.260764131,10698579.184366552,No,0,NW
1982.5,-2353071.1967283445,-357986.8911163542,3254375138.9211164,-9039020.260764131,10698579.184366552,No,3251664080.833272,NW
1982.5833333333335,-2147101.1517575015,-354255.00549772347,2501356.157255225,-9039020.260764131,10698579.184366552,No,0,NW
1982.6666666666667,519656.6792987457,-350523.11987909273,-169133.55941965297,-9039020.260764131,10698579.184366552,No,0,NW
1982.75,183007.10193436212,-346791.23426046205,163784.13232609993,-9039020.260764131,10698579.184366552,No,0,NW
1982.8333333333335,82255.43860890517,-343059.3486418313,260803.91003292613,-9039020.260764131,10698579.184366552,No,-1.4551915228366852e-11,NW
1982.9166666666667,-1123246.8986867089,-339637.8471267554,1462884.7458134643,-9039020.260764131,10698579.184366552,No,0,NW
1983,2058314.0495669178,-336216.34561167954,-1722097.7039552382,-9039020.260764131,10698579.184366552,No,0,NW
