Year,Month,Zone,activity_degC_days_m2,mean_area_km2,mean_duration_days,mean_intensity_degC,number_of_events,sum_area_km2
1981,9,NW,0.0,,,,,
1981,9,S,0.0,,,,,
1981,9,SW,0.0,,,,,
1981,10,NW,0.0,,,,,
1981,10,S,0.0,,,,,
1981,10,SW,0.0,,,,,
1981,11,NW,0.0,,,,,
1981,11,S,998540252.8807513,32.023208888210064,5.0,1.6153068542480469,1.0,32.023208888210064
1981,11,SW,13449683038.280348,42.54674264370835,5.375,1.708693027496338,8.0,340.3739411496668
1981,12,NW,0.0,,,,,
1981,12,S,3680840099.2641335,,,1.4885945320129395,,
1981,12,SW,34447591985.54343,,,1.705268383026123,,
1982,1,NW,0.0,,,,,
1982,1,S,0.0,,,,,
1982,1,SW,0.0,,,,,
1982,2,NW,4392613740.840991,62.31112826154329,6.0,1.221205234527588,1.0,62.31112826154329
1982,2,S,0.0,,,,,
1982,2,SW,0.0,,,,,
1982,3,NW,0.0,,,,,
1982,3,S,0.0,,,,,
1982,3,SW,0.0,,,,,
1982,4,NW,0.0,,,,,
1982,4,S,0.0,,,,,
1982,4,SW,0.0,,,,,
1982,5,NW,0.0,,,,,
1982,5,S,22506838518.33915,33.70751777103843,5.0,1.810931921005249,4.0,134.83007108415373
1982,5,SW,0.0,,,,,
1982,6,NW,0.0,,,,,
1982,6,S,0.0,,,,,
1982,6,SW,0.0,,,,,
1982,7,NW,3251664080.833272,62.31112826154345,5.0,1.0848071575164795,1.0,62.31112826154345
1982,7,S,0.0,,,,,
1982,7,SW,0.0,,,,,
1982,8,NW,0.0,,,,,
1982,8,S,0.0,,,,,
1982,8,SW,0.0,,,,,
1982,9,NW,0.0,,,,,
1982,9,S,45981551968.97427,34.04437954760412,7.6,1.9339632987976074,5.0,170.2218977380206
1982,9,SW,0.0,,,,,
1982,10,NW,0.0,,,,,
1982,10,S,0.0,,,,,
1982,10,SW,0.0,,,,,
1982,11,NW,0.0,,,,,
1982,11,S,0.0,,,,,
1982,11,SW,0.0,,,,,
1982,12,NW,0.0,,,,,
1982,12,S,0.0,,,,,
1982,12,SW,0.0,,,,,
1983,1,NW,0.0,,,,,
1983,1,S,0.0,,,,,
1983,1,SW,0.0,,,,,
1983,2,NW,0.0,,,,,
1983,2,S,0.0,,,,,
1983,2,SW,0.0,,,,,
1983,3,NW,0.0,,,,,
1983,3,S,18407201752.910477,32.86536332962425,6.5,1.1203525066375732,4.0,131.461453318497
1983,3,SW,41886573974.56303,41.16458325709975,8.428571428571429,1.1593588590621948,7.0,288.15208279969823
1983,4,NW,0.0,,,,,
1983,4,S,0.0,,,,,
1983,4,SW,0.0,,,,,
1983,5,NW,0.0,,,,,
1983,5,S,0.0,,,,,
1983,5,SW,0.0,,,,,
1983,6,NW,0.0,,,,,
1983,6,S,0.0,,,,,
1983,6,SW,0.0,,,,,
1983,7,NW,46532548134.97229,81.96379916501739,7.714285714285714,1.4332821369171143,7.0,573.7465941551218
1983,7,S,0.0,,,,,
1983,7,SW,17480289189.834522,49.69865936433461,6.75,1.0610133409500122,4.0,198.79463745733844
1983,8,NW,12102410342.648714,63.99125161361358,7.5,1.3318192958831787,2.0,127.98250322722716
1983,8,S,0.0,,,,,
1983,8,SW,0.0,,,,,
1983,9,NW,0.0,,,,,
1983,9,S,0.0,,,,,
1983,9,SW,0.0,,,,,
1983,10,NW,0.0,,,,,
1983,10,S,7123560724.650721,35.39182665386684,6.0,1.926918387413025,1.0,35.39182665386684
1983,10,SW,0.0,,,,,
1983,11,NW,169209378707.61438,78.55055794012836,12.838709677419354,1.6792508363723755,31.0,2435.067296143979
1983,11,S,34963681066.2394,32.98567110696916,7.571428571428571,1.642931580543518,7.0,230.89969774878412
1983,11,SW,280606541068.7939,47.17405477353668,23.6875,1.7591592073440552,16.0,754.7848763765869
1983,12,NW,249196818933.22595,76.40802552035197,5.0,1.3526837825775146,5.0,382.04012760175993
1983,12,S,19528615262.742725,,,1.624814510345459,,
1983,12,SW,128030099056.71213,,,1.5585205554962158,,
1984,1,NW,0.0,,,,,
1984,1,S,0.0,,,,,
1984,1,SW,0.0,,,,,
1984,2,NW,0.0,,,,,
1984,2,S,0.0,,,,,
1984,2,SW,0.0,,,,,
1984,3,NW,0.0,,,,,
1984,3,S,0.0,,,,,
1984,3,SW,0.0,,,,,
1984,4,NW,0.0,,,,,
1984,4,S,0.0,,,,,
1984,4,SW,0.0,,,,,
1984,5,NW,0.0,,,,,
1984,5,S,0.0,,,,,
1984,5,SW,0.0,,,,,
1984,6,NW,0.0,,,,,
1984,6,S,0.0,,,,,
1984,6,SW,0.0,,,,,
1984,7,NW,61028676877.520676,66.93052179643644,7.75,1.6088106632232666,8.0,535.4441743714915
1984,7,S,0.0,,,,,
1984,7,SW,0.0,,,,,
1984,8,NW,0.0,,,,,
1984,8,S,0.0,,,,,
1984,8,SW,0.0,,,,,
1984,9,NW,0.0,,,,,
1984,9,S,0.0,,,,,
1984,9,SW,0.0,,,,,
1984,10,NW,0.0,,,,,
1984,10,S,0.0,,,,,
1984,10,SW,0.0,,,,,
1984,11,NW,0.0,,,,,
1984,11,S,0.0,,,,,
1984,11,SW,0.0,,,,,
1984,12,NW,0.0,,,,,
1984,12,S,0.0,,,,,
1984,12,SW,0.0,,,,,
1985,1,NW,0.0,,,,,
1985,1,S,0.0,,,,,
1985,1,SW,0.0,,,,,
1985,2,NW,0.0,,,,,
1985,2,S,0.0,,,,,
1985,2,SW,0.0,,,,,
1985,3,NW,0.0,,,,,
1985,3,S,0.0,,,,,
1985,3,SW,0.0,,,,,
1985,4,NW,0.0,,,,,
1985,4,S,0.0,,,,,
1985,4,SW,0.0,,,,,
1985,5,NW,0.0,,,,,
1985,5,S,0.0,,,,,
1985,5,SW,0.0,,,,,
1985,6,NW,0.0,,,,,
1985,6,S,0.0,,,,,
1985,6,SW,0.0,,,,,
1985,7,NW,64118711609.39675,81.61280345099061,5.333333333333333,1.6756300926208496,12.0,979.3536414118875
1985,7,S,0.0,,,,,
1985,7,SW,8032718739.893671,55.587140006886386,5.0,1.3305280208587646,2.0,111.17428001377277
1985,8,NW,0.0,,,,,
1985,8,S,0.0,,,,,
1985,8,SW,0.0,,,,,
1985,9,NW,0.0,,,,,
1985,9,S,5123421561.487721,35.39182665386684,6.0,1.6630585193634033,1.0,35.39182665386684
1985,9,SW,0.0,,,,,
1985,10,NW,0.0,,,,,
1985,10,S,5670653360.008413,35.39182665386684,5.0,1.5339078903198242,1.0,35.39182665386684
1985,10,SW,4914917160.761978,35.39182665386661,5.0,1.5953781604766846,1.0,35.39182665386661
1985,11,NW,0.0,,,,,
1985,11,S,0.0,,,,,
1985,11,SW,0.0,,,,,
1985,12,NW,0.0,,,,,
1985,12,S,0.0,,,,,
1985,12,SW,0.0,,,,,
1986,1,NW,0.0,,,,,
1986,1,S,0.0,,,,,
1986,1,SW,0.0,,,,,
1986,2,NW,0.0,,,,,
1986,2,S,0.0,,,,,
1986,2,SW,0.0,,,,,
1986,3,NW,0.0,,,,,
1986,3,S,0.0,,,,,
1986,3,SW,0.0,,,,,
1986,4,NW,0.0,,,,,
1986,4,S,0.0,,,,,
1986,4,SW,0.0,,,,,
1986,5,NW,0.0,,,,,
1986,5,S,0.0,,,,,
1986,5,SW,0.0,,,,,
1986,6,NW,0.0,,,,,
1986,6,S,0.0,,,,,
1986,6,SW,0.0,,,,,
1986,7,NW,0.0,,,,,
1986,7,S,0.0,,,,,
1986,7,SW,0.0,,,,,
1986,8,NW,0.0,,,,,
1986,8,S,0.0,,,,,
1986,8,SW,0.0,,,,,
1986,9,NW,154926767379.53555,74.16228136164742,7.647058823529412,1.8663618564605713,17.0,1260.758783148006
1986,9,S,0.0,,,,,
1986,9,SW,9687801341.770943,53.905333237362,5.5,1.4355827569961548,2.0,107.810666474724
1986,10,NW,2704177485.249396,,,1.5254827737808228,,
1986,10,S,0.0,,,,,
1986,10,SW,5102705227.125173,52.22352646783737,6.0,1.4037939310073853,1.0,52.22352646783737
1986,11,NW,0.0,,,,,
1986,11,S,0.0,,,,,
1986,11,SW,0.0,,,,,
1986,12,NW,0.0,,,,,
1986,12,S,0.0,,,,,
1986,12,SW,0.0,,,,,
1987,1,NW,0.0,,,,,
1987,1,S,0.0,,,,,
1987,1,SW,0.0,,,,,
1987,2,NW,0.0,,,,,
1987,2,S,0.0,,,,,
1987,2,SW,0.0,,,,,
1987,3,NW,38847741227.21188,75.32356599585563,6.0,1.289839506149292,8.0,602.588527966845
1987,3,S,32142496625.963795,33.146081476762326,6.833333333333333,1.2004692554473877,6.0,198.87648886057394
1987,3,SW,3432069753.4802327,35.39182665386661,5.0,1.1140470504760742,1.0,35.39182665386661
1987,4,NW,0.0,,,,,
1987,4,S,0.0,,,,,
1987,4,SW,0.0,,,,,
1987,5,NW,0.0,,,,,
1987,5,S,0.0,,,,,
1987,5,SW,4134560361.6623077,58.949695276924615,5.0,1.3744903802871704,1.0,58.949695276924615
1987,6,NW,0.0,,,,,
1987,6,S,0.0,,,,,
1987,6,SW,0.0,,,,,
1987,7,NW,0.0,,,,,
1987,7,S,9191629492.102331,32.023208888210114,5.5,1.3305109739303589,2.0,64.04641777642023
1987,7,SW,0.0,,,,,
1987,8,NW,0.0,,,,,
1987,8,S,10702799945.395113,32.023208888210114,5.0,1.7313579320907593,2.0,64.04641777642023
1987,8,SW,34964886066.83912,42.12541021846583,5.333333333333333,1.7540863752365112,6.0,252.75246131079498
1987,9,NW,20332983471.30605,71.03473370870176,5.2,1.7870235443115234,5.0,355.17366854350877
1987,9,S,104949741416.41568,33.146081476762326,14.333333333333334,2.0332531929016113,6.0,198.87648886057394
1987,9,SW,116762732269.15176,43.349989189598745,12.636363636363637,1.8748815059661865,11.0,476.8498810855863
1987,10,NW,6761800157.974371,,,1.6268954277038574,,
1987,10,S,3625439005.3011303,,,1.4661893844604492,,
1987,10,SW,48854764396.26767,,,1.7185161113739014,,
1987,11,NW,0.0,,,,,
1987,11,S,0.0,,,,,
1987,11,SW,0.0,,,,,
1987,12,NW,0.0,,,,,
1987,12,S,0.0,,,,,
1987,12,SW,0.0,,,,,
1988,1,NW,0.0,,,,,
1988,1,S,0.0,,,,,
1988,1,SW,0.0,,,,,
1988,2,NW,0.0,,,,,
1988,2,S,0.0,,,,,
1988,2,SW,0.0,,,,,
1988,3,NW,17037222784.299187,84.4585738357571,5.0,1.151103138923645,5.0,422.29286917878545
1988,3,S,0.0,,,,,
1988,3,SW,0.0,,,,,
1988,4,NW,0.0,,,,,
1988,4,S,0.0,,,,,
1988,4,SW,0.0,,,,,
1988,5,NW,0.0,,,,,
1988,5,S,0.0,,,,,
1988,5,SW,0.0,,,,,
1988,6,NW,6034207914.769803,89.15451550496645,5.0,2.0732250213623047,1.0,89.15451550496645
1988,6,S,0.0,,,,,
1988,6,SW,0.0,,,,,
1988,7,NW,4736208700.0783825,95.84966563786587,5.0,1.6398169994354248,1.0,95.84966563786587
1988,7,S,1078956802.049064,35.39182665386666,8.0,1.7511425018310547,1.0,35.39182665386666
1988,7,SW,0.0,,,,,
1988,8,NW,0.0,,,,,
1988,8,S,8468666777.838469,,,1.9635159969329834,,
1988,8,SW,0.0,,,,,
1988,9,NW,0.0,,,,,
1988,9,S,0.0,,,,,
1988,9,SW,0.0,,,,,
1988,10,NW,0.0,,,,,
1988,10,S,0.0,,,,,
1988,10,SW,0.0,,,,,
1988,11,NW,103362091814.23657,71.81866404779781,9.833333333333334,1.5549205541610718,12.0,861.8239685735738
1988,11,S,0.0,,,,,
1988,11,SW,148993588801.7571,51.260782678718876,11.857142857142858,1.5528382062911987,14.0,717.6509575020642
1988,12,NW,8374683609.201977,,,1.2599422931671143,,
1988,12,S,0.0,,,,,
1988,12,SW,9684493421.635754,,,1.34402334690094,,
1989,1,NW,5501910528.018648,94.17631837311566,5.0,0.9507481455802917,2.0,188.35263674623133
1989,1,S,0.0,,,,,
1989,1,SW,0.0,,,,,
1989,2,NW,11408851300.212358,73.49064072031774,6.333333333333333,1.0275508165359497,3.0,220.47192216095323
1989,2,S,0.0,,,,,
1989,2,SW,9550103715.042212,56.707639007228934,5.666666666666667,0.9343156218528748,3.0,170.1229170216868
1989,3,NW,15151294704.18602,64.83100072641079,6.0,1.036534309387207,4.0,259.32400290564317
1989,3,S,0.0,,,,,
1989,3,SW,0.0,,,,,
1989,4,NW,0.0,,,,,
1989,4,S,0.0,,,,,
1989,4,SW,0.0,,,,,
1989,5,NW,41302964837.91681,93.17195779948588,8.8,1.8171910047531128,5.0,465.85978899742935
1989,5,S,0.0,,,,,
1989,5,SW,8086960181.116023,43.81017872178258,6.0,1.323451042175293,2.0,87.62035744356515
1989,6,NW,73398762839.98546,86.47046631476482,6.1,1.7420066595077515,10.0,864.7046631476483
1989,6,S,0.0,,,,,
1989,6,SW,1489493172.9820719,,,1.2187738418579102,,
1989,7,NW,22378444578.26822,70.70853945991124,32.0,1.44424307346344,8.0,565.6683156792899
1989,7,S,80001242280.46738,33.146081476762326,17.833333333333332,2.209437131881714,6.0,198.87648886057394
1989,7,SW,173457801750.14584,46.00967039949132,31.846153846153847,1.5831336975097656,13.0,598.1257151933871
