year,duration,start_time,end_time,area,lat,lon
1983,9,438912000000000000,439689600000000000,62311128.26154364,39.125,349.875
1988,10,595555200000000000,596419200000000000,62311128.26154364,39.125,349.875
1989,6,603158400000000000,603676800000000000,62311128.26154364,39.125,349.875
1989,24,618364800000000000,620438400000000000,62311128.26154364,39.125,349.875
1990,10,648518400000000000,649382400000000000,62311128.26154364,39.125,349.875
1991,10,683942400000000000,684806400000000000,62311128.26154364,39.125,349.875
1995,16,820368000000000000,821750400000000000,62311128.26154364,39.125,349.875
1997,67,857001600000000000,862790400000000000,62311128.26154364,39.125,349.875
1998,11,887673600000000000,888624000000000000,62311128.26154364,39.125,349.875
1998,12,890524800000000000,891561600000000000,62311128.26154364,39.125,349.875
1999,17,935539200000000000,937008000000000000,62311128.26154364,39.125,349.875
2002,5,1010188800000000000,1010620800000000000,62311128.26154364,39.125,349.875
2002,18,1011139200000000000,1012694400000000000,62311128.26154364,39.125,349.875
2002,5,1016582400000000000,1017014400000000000,62311128.26154364,39.125,349.875
2003,6,1061424000000000000,1061942400000000000,62311128.26154364,39.125,349.875
2003,16,1063670400000000000,1065052800000000000,62311128.26154364,39.125,349.875
2004,17,1087344000000000000,1088812800000000000,62311128.26154364,39.125,349.875
2004,24,1091318400000000000,1093392000000000000,62311128.26154364,39.125,349.875
2005,6,1121385600000000000,1121904000000000000,62311128.26154364,39.125,349.875
2005,5,1123891200000000000,1124323200000000000,62311128.26154364,39.125,349.875
2006,10,1147478400000000000,1148342400000000000,62311128.26154364,39.125,349.875
2006,15,1149292800000000000,1150588800000000000,62311128.26154364,39.125,349.875
2006,5,1151712000000000000,1152144000000000000,62311128.26154364,39.125,349.875
2006,22,1153094400000000000,1154995200000000000,62311128.26154364,39.125,349.875
2006,9,1160092800000000000,1160870400000000000,62311128.26154364,39.125,349.875
2006,39,1162512000000000000,1165881600000000000,62311128.26154364,39.125,349.875
2007,5,1185926400000000000,1186358400000000000,62311128.26154364,39.125,349.875
2008,5,1202169600000000000,1202601600000000000,62311128.26154364,39.125,349.875
2008,20,1203206400000000000,1204934400000000000,62311128.26154364,39.125,349.875
2009,14,1246060800000000000,1247270400000000000,62311128.26154364,39.125,349.875
2009,29,1255219200000000000,1257724800000000000,62311128.26154364,39.125,349.875
2010,11,1271894400000000000,1272844800000000000,62311128.26154364,39.125,349.875
2011,9,1296432000000000000,1297209600000000000,62311128.26154364,39.125,349.875
2011,15,1302134400000000000,1303430400000000000,62311128.26154364,39.125,349.875
2011,43,1303689600000000000,1307404800000000000,62311128.26154364,39.125,349.875
2011,6,1318377600000000000,1318896000000000000,62311128.26154364,39.125,349.875
2012,45,1344902400000000000,1348790400000000000,62311128.26154364,39.125,349.875
2012,13,1349308800000000000,1350432000000000000,62311128.26154364,39.125,349.875
2012,5,1351123200000000000,1351555200000000000,62311128.26154364,39.125,349.875
2014,16,1409443200000000000,1410825600000000000,62311128.26154364,39.125,349.875
2014,17,1411171200000000000,1412640000000000000,62311128.26154364,39.125,349.875
2014,25,1413590400000000000,1415750400000000000,62311128.26154364,39.125,349.875
2014,11,1416009600000000000,1416960000000000000,62311128.26154364,39.125,349.875
2015,5,1437177600000000000,1437609600000000000,62311128.26154364,39.125,349.875
2015,6,1440633600000000000,1441152000000000000,62311128.26154364,39.125,349.875
2015,15,1446768000000000000,1448064000000000000,62311128.26154364,39.125,349.875
2015,18,1450051200000000000,1451606400000000000,62311128.26154364,39.125,349.875
2016,7,1452556800000000000,1453161600000000000,62311128.26154364,39.125,349.875
2016,11,1453420800000000000,1454371200000000000,62311128.26154364,39.125,349.875
2016,10,1454803200000000000,1455667200000000000,62311128.26154364,39.125,349.875
2016,5,1465171200000000000,1465603200000000000,62311128.26154364,39.125,349.875
2017,12,1493683200000000000,1494720000000000000,62311128.26154364,39.125,349.875
2017,5,1495497600000000000,1495929600000000000,62311128.26154364,39.125,349.875
2017,7,1497744000000000000,1498348800000000000,62311128.26154364,39.125,349.875
2020,15,1581292800000000000,1582588800000000000,62311128.26154364,39.125,349.875
2020,7,1588377600000000000,1588982400000000000,62311128.26154364,39.125,349.875
2020,24,1589500800000000000,1591574400000000000,62311128.26154364,39.125,349.875
2020,6,1599955200000000000,1600473600000000000,62311128.26154364,39.125,349.875
2021,14,1618704000000000000,1619913600000000000,62311128.26154364,39.125,349.875
2021,5,1620950400000000000,1621382400000000000,62311128.26154364,39.125,349.875
2021,5,1630627200000000000,1631059200000000000,62311128.26154364,39.125,349.875
2022,23,1654300800000000000,1656288000000000000,62311128.26154364,39.125,349.875
2022,14,1657152000000000000,1658361600000000000,62311128.26154364,39.125,349.875
2022,6,1660176000000000000,1660694400000000000,62311128.26154364,39.125,349.875
2022,17,1662595200000000000,1664064000000000000,62311128.26154364,39.125,349.875
2022,5,1668038400000000000,1668470400000000000,62311128.26154364,39.125,349.875
2022,70,1669420800000000000,1675468800000000000,62311128.26154364,39.125,349.875
2023,5,1676592000000000000,1677024000000000000,62311128.26154364,39.125,349.875
2023,63,1678579200000000000,1684022400000000000,62311128.26154364,39.125,349.875
2023,31,1685404800000000000,1688083200000000000,62311128.26154364,39.125,349.875
2023,9,1688774400000000000,1689552000000000000,62311128.26154364,39.125,349.875
2023,94,1695427200000000000,1703548800000000000,62311128.26154364,39.125,349.875
2023,68,1703894400000000000,1709769600000000000,62311128.26154364,39.125,349.875
2024,13,1712966400000000000,1714089600000000000,62311128.26154364,39.125,349.875
2024,10,1729123200000000000,1729987200000000000,62311128.26154364,39.125,349.875
2024,41,1732320000000000000,1735862400000000000,62311128.26154364,39.125,349.875
2025,9,1736467200000000000,1737244800000000000,62311128.26154364,39.125,349.875
2025,14,1740787200000000000,1741996800000000000,62311128.26154364,39.125,349.875
2025,6,1744070400000000000,1744588800000000000,62311128.26154364,39.125,349.875
2025,10,1747440000000000000,1748304000000000000,62311128.26154364,39.125,349.875
2025,5,1761955200000000000,1762387200000000000,62311128.26154364,39.125,349.875
1983,10,438825600000000000,439689600000000000,62311128.26154316,39.125,350.125
1988,12,595468800000000000,596505600000000000,62311128.26154316,39.125,350.125
1989,6,603158400000000000,603676800000000000,62311128.26154316,39.125,350.125
1989,28,618019200000000000,620438400000000000,62311128.26154316,39.125,350.125
1990,6,636076800000000000,636595200000000000,62311128.26154316,39.125,350.125
1990,5,637286400000000000,637718400000000000,62311128.26154316,39.125,350.125
1990,5,638236800000000000,638668800000000000,62311128.26154316,39.125,350.125
1990,15,648172800000000000,649468800000000000,62311128.26154316,39.125,350.125
1991,18,683596800000000000,685152000000000000,62311128.26154316,39.125,350.125
1995,24,819849600000000000,821923200000000000,62311128.26154316,39.125,350.125
1997,69,856915200000000000,862876800000000000,62311128.26154316,39.125,350.125
1997,5,866073600000000000,866505600000000000,62311128.26154316,39.125,350.125
1998,11,887673600000000000,888624000000000000,62311128.26154316,39.125,350.125
1998,6,889056000000000000,889574400000000000,62311128.26154316,39.125,350.125
1998,12,890524800000000000,891561600000000000,62311128.26154316,39.125,350.125
1999,16,935539200000000000,936921600000000000,62311128.26154316,39.125,350.125
2000,5,962582400000000000,963014400000000000,62311128.26154316,39.125,350.125
2002,29,1010188800000000000,1012694400000000000,62311128.26154316,39.125,350.125
2002,5,1017100800000000000,1017532800000000000,62311128.26154316,39.125,350.125
2003,7,1061424000000000000,1062028800000000000,62311128.26154316,39.125,350.125
2003,16,1063670400000000000,1065052800000000000,62311128.26154316,39.125,350.125
2004,10,1087948800000000000,1088812800000000000,62311128.26154316,39.125,350.125
2004,23,1091404800000000000,1093392000000000000,62311128.26154316,39.125,350.125
2005,5,1121385600000000000,1121817600000000000,62311128.26154316,39.125,350.125
2005,5,1123891200000000000,1124323200000000000,62311128.26154316,39.125,350.125
2006,37,1147564800000000000,1150761600000000000,62311128.26154316,39.125,350.125
2006,5,1151712000000000000,1152144000000000000,62311128.26154316,39.125,350.125
2006,19,1153353600000000000,1154995200000000000,62311128.26154316,39.125,350.125
2006,16,1159488000000000000,1160870400000000000,62311128.26154316,39.125,350.125
2006,43,1162166400000000000,1165881600000000000,62311128.26154316,39.125,350.125
2007,7,1185753600000000000,1186358400000000000,62311128.26154316,39.125,350.125
2008,5,1202169600000000000,1202601600000000000,62311128.26154316,39.125,350.125
2008,20,1203206400000000000,1204934400000000000,62311128.26154316,39.125,350.125
2009,23,1245888000000000000,1247875200000000000,62311128.26154316,39.125,350.125
2009,17,1254614400000000000,1256083200000000000,62311128.26154316,39.125,350.125
2009,23,1256342400000000000,1258329600000000000,62311128.26154316,39.125,350.125
2010,12,1271894400000000000,1272931200000000000,62311128.26154316,39.125,350.125
2011,10,1296345600000000000,1297209600000000000,62311128.26154316,39.125,350.125
