year,duration,start_time,end_time,area,lat,lon
1983,6,416188800000000000,416707200000000000,32023208.888210166,36.875,350.875
1987,5,552614400000000000,553046400000000000,32023208.888210166,36.875,350.875
1987,13,559008000000000000,560131200000000000,32023208.888210166,36.875,350.875
1989,24,616723200000000000,618796800000000000,32023208.888210166,36.875,350.875
1989,5,619920000000000000,620352000000000000,32023208.888210166,36.875,350.875
1989,13,623721600000000000,624844800000000000,32023208.888210166,36.875,350.875
1990,10,648518400000000000,649382400000000000,32023208.888210166,36.875,350.875
1991,37,682819200000000000,686016000000000000,32023208.888210166,36.875,350.875
1994,7,787622400000000000,788227200000000000,32023208.888210166,36.875,350.875
1995,7,791769600000000000,792374400000000000,32023208.888210166,36.875,350.875
1995,5,814579200000000000,815011200000000000,32023208.888210166,36.875,350.875
1995,22,815356800000000000,817257600000000000,32023208.888210166,36.875,350.875
1996,12,836956800000000000,837993600000000000,32023208.888210166,36.875,350.875
1997,7,857260800000000000,857865600000000000,32023208.888210166,36.875,350.875
1997,18,858211200000000000,859766400000000000,32023208.888210166,36.875,350.875
1997,15,860371200000000000,861667200000000000,32023208.888210166,36.875,350.875
1997,7,862272000000000000,862876800000000000,32023208.888210166,36.875,350.875
1997,15,864950400000000000,866246400000000000,32023208.888210166,36.875,350.875
1997,6,870220800000000000,870739200000000000,32023208.888210166,36.875,350.875
1997,9,874368000000000000,875145600000000000,32023208.888210166,36.875,350.875
1998,7,887760000000000000,888364800000000000,32023208.888210166,36.875,350.875
1998,12,890870400000000000,891907200000000000,32023208.888210166,36.875,350.875
1999,5,933897600000000000,934329600000000000,32023208.888210166,36.875,350.875
2000,8,962064000000000000,962755200000000000,32023208.888210166,36.875,350.875
2002,6,1016668800000000000,1017187200000000000,32023208.888210166,36.875,350.875
2003,8,1060300800000000000,1060992000000000000,32023208.888210166,36.875,350.875
2003,5,1062115200000000000,1062547200000000000,32023208.888210166,36.875,350.875
2004,5,1076371200000000000,1076803200000000000,32023208.888210166,36.875,350.875
2004,5,1087862400000000000,1088294400000000000,32023208.888210166,36.875,350.875
2004,7,1092614400000000000,1093219200000000000,32023208.888210166,36.875,350.875
2005,13,1119225600000000000,1120348800000000000,32023208.888210166,36.875,350.875
2005,5,1121212800000000000,1121644800000000000,32023208.888210166,36.875,350.875
2005,9,1123977600000000000,1124755200000000000,32023208.888210166,36.875,350.875
2006,5,1143763200000000000,1144195200000000000,32023208.888210166,36.875,350.875
2006,20,1149465600000000000,1151193600000000000,32023208.888210166,36.875,350.875
2006,32,1152662400000000000,1155427200000000000,32023208.888210166,36.875,350.875
2006,11,1157241600000000000,1158192000000000000,32023208.888210166,36.875,350.875
2006,19,1162771200000000000,1164412800000000000,32023208.888210166,36.875,350.875
2006,5,1165190400000000000,1165622400000000000,32023208.888210166,36.875,350.875
2007,7,1168992000000000000,1169596800000000000,32023208.888210166,36.875,350.875
2007,8,1192579200000000000,1193270400000000000,32023208.888210166,36.875,350.875
2007,15,1194307200000000000,1195603200000000000,32023208.888210166,36.875,350.875
2007,8,1198454400000000000,1199145600000000000,32023208.888210166,36.875,350.875
2008,7,1201305600000000000,1201910400000000000,32023208.888210166,36.875,350.875
2008,5,1202169600000000000,1202601600000000000,32023208.888210166,36.875,350.875
2008,22,1202947200000000000,1204848000000000000,32023208.888210166,36.875,350.875
2009,23,1245024000000000000,1247011200000000000,32023208.888210166,36.875,350.875
2009,6,1256688000000000000,1257206400000000000,32023208.888210166,36.875,350.875
2010,13,1271721600000000000,1272844800000000000,32023208.888210166,36.875,350.875
2010,6,1274227200000000000,1274745600000000000,32023208.888210166,36.875,350.875
2011,5,1301356800000000000,1301788800000000000,32023208.888210166,36.875,350.875
2011,5,1302652800000000000,1303084800000000000,32023208.888210166,36.875,350.875
2011,52,1303603200000000000,1308096000000000000,32023208.888210166,36.875,350.875
2011,16,1317600000000000000,1318982400000000000,32023208.888210166,36.875,350.875
2012,6,1336867200000000000,1337385600000000000,32023208.888210166,36.875,350.875
2013,9,1372809600000000000,1373587200000000000,32023208.888210166,36.875,350.875
2013,7,1377907200000000000,1378512000000000000,32023208.888210166,36.875,350.875
2013,9,1380499200000000000,1381276800000000000,32023208.888210166,36.875,350.875
2014,6,1400371200000000000,1400889600000000000,32023208.888210166,36.875,350.875
2014,33,1409788800000000000,1412640000000000000,32023208.888210166,36.875,350.875
2014,15,1413763200000000000,1415059200000000000,32023208.888210166,36.875,350.875
2015,13,1430784000000000000,1431907200000000000,32023208.888210166,36.875,350.875
2015,5,1434499200000000000,1434931200000000000,32023208.888210166,36.875,350.875
2015,5,1435363200000000000,1435795200000000000,32023208.888210166,36.875,350.875
2015,8,1447459200000000000,1448150400000000000,32023208.888210166,36.875,350.875
2015,29,1449964800000000000,1452470400000000000,32023208.888210166,36.875,350.875
2016,31,1452729600000000000,1455408000000000000,32023208.888210166,36.875,350.875
2016,25,1471219200000000000,1473379200000000000,32023208.888210166,36.875,350.875
2017,26,1494028800000000000,1496275200000000000,32023208.888210166,36.875,350.875
2017,12,1497657600000000000,1498694400000000000,32023208.888210166,36.875,350.875
2017,13,1511827200000000000,1512950400000000000,32023208.888210166,36.875,350.875
2018,18,1538006400000000000,1539561600000000000,32023208.888210166,36.875,350.875
2020,18,1580428800000000000,1581984000000000000,32023208.888210166,36.875,350.875
2020,9,1582243200000000000,1583020800000000000,32023208.888210166,36.875,350.875
