"Series","Trend","Estimate","CI_low","CI_high","p_value","significant","stars"
"Zone_NW_Bath_1000","X1",0.861090017153374,0.624572620404294,1.09760741390245,9.63306687950997e-13,TRUE,"***"
"Zone_NW_Bath_200","X1",0.960363529501429,0.687906819801563,1.23282023920129,4.89668794905562e-12,TRUE,"***"
"Zone_NW_Bath_400","X1",0.86561905368438,0.603505595307983,1.12773251206078,9.62660277957903e-11,TRUE,"***"
"Zone_NW_Bath_600","X1",0.896379568105344,0.61387461970213,1.17888451650856,5.00633646559352e-10,TRUE,"***"
"Zone_NW_Bath_800","X1",0.871589994147968,0.611003597330947,1.13217639096499,5.54402437131074e-11,TRUE,"***"
"Zone_SW_Bath_1000","X1",0.0176311111973318,-0.331536027831174,0.366798250225837,0.921163746903376,FALSE,""
"Zone_SW_Bath_200","X1",0.239383392134215,-0.118932874669555,0.597699658937984,0.190395577562516,FALSE,""
"Zone_SW_Bath_400","X1",0.24586462110285,-0.113768014942626,0.605497257148325,0.180265170473031,FALSE,""
"Zone_SW_Bath_600","X1",0.221803796334733,-0.13315008291154,0.576757675581006,0.22067188299039,FALSE,""
"Zone_SW_Bath_800","X1",0.282606432498888,-0.072312684242753,0.637525549240529,0.118610405426184,FALSE,""
"Zone_S_Bath_1000","X1",-0.670097029453472,-0.992944483901953,-0.347249575004991,4.74041421853074e-05,TRUE,"***"
"Zone_S_Bath_200","X1",-0.466593835690741,-0.792050643451002,-0.14113702793048,0.00495540428009352,TRUE,"**"
"Zone_S_Bath_400","X1",-0.466593835690742,-0.792050643451004,-0.141137027930481,0.00495540428009338,TRUE,"**"
"Zone_S_Bath_600","X1",-0.441869588520465,-0.767292688355183,-0.116446488685747,0.00778395804690901,TRUE,"**"
"Zone_S_Bath_800","X1",-0.641521718607114,-0.939704821335832,-0.343338615878395,2.47863720684752e-05,TRUE,"***"
"Zone_NW_Bath_1000","X2",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X2",-0.298640173767695,-0.4256879713871,-0.171592376148291,4.0829157965313e-06,TRUE,"***"
"Zone_NW_Bath_400","X2",-0.329031308021417,-0.455106741336209,-0.202955874706626,3.13560757143253e-07,TRUE,"***"
"Zone_NW_Bath_600","X2",-0.422183627359562,-0.564723331323431,-0.279643923395692,6.4307484776238e-09,TRUE,"***"
"Zone_NW_Bath_800","X2",-0.286706341206683,-0.421612447598874,-0.151800234814493,3.1084544289189e-05,TRUE,"***"
"Zone_SW_Bath_1000","X2",0.579692470385095,0.195170449143918,0.964214491626272,0.00312896340071649,TRUE,"**"
"Zone_SW_Bath_200","X2",-0.0707973840199203,-0.529109353674666,0.387514585634825,0.762069790670573,FALSE,""
"Zone_SW_Bath_400","X2",-0.10306202031749,-0.561727188902405,0.355603148267424,0.659644728713801,FALSE,""
"Zone_SW_Bath_600","X2",-0.162702309898621,-0.612560632023129,0.287156012225886,0.478405706942027,FALSE,""
"Zone_SW_Bath_800","X2",-0.120514871854436,-0.568740361045314,0.327710617336441,0.598209119316413,FALSE,""
"Zone_S_Bath_1000","X2",-0.320949303633289,-0.719621730121118,0.0777231228545398,0.114597890736154,FALSE,""
"Zone_S_Bath_200","X2",0.517981382506025,0.139170025657406,0.896792739354644,0.00736161116805054,TRUE,"**"
"Zone_S_Bath_400","X2",0.517981382506025,0.139170025657406,0.896792739354644,0.00736161116805055,TRUE,"**"
"Zone_S_Bath_600","X2",0.662787247077985,0.329383546477881,0.996190947678088,9.76754540583201e-05,TRUE,"***"
"Zone_S_Bath_800","X2",-0.1039526167333,-0.491772653264673,0.283867419798073,0.599336090019316,FALSE,""
"Zone_NW_Bath_1000","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_400","X3",-0.0235290971381248,-0.134775154472914,0.0877169601966644,0.678477083908596,FALSE,""
"Zone_NW_Bath_600","X3",0.0482634981537502,-0.0855936941488815,0.182120690456382,0.479762958060429,FALSE,""
"Zone_NW_Bath_800","X3",0.126724628692541,0.0209787231386443,0.232470534246437,0.0188341516276435,TRUE,"*"
"Zone_SW_Bath_1000","X3",-0.687208366292666,-0.97362337291963,-0.400793359665702,2.56832269555666e-06,TRUE,"***"
"Zone_SW_Bath_200","X3",-0.915444116377818,-1.14594773323241,-0.684940499523225,7.02731602618145e-15,TRUE,"***"
"Zone_SW_Bath_400","X3",-0.91582390261851,-1.14750663963867,-0.684141165598353,9.36561081574169e-15,TRUE,"***"
"Zone_SW_Bath_600","X3",-0.893592904884416,-1.12754780228859,-0.659638007480239,7.09499912756765e-14,TRUE,"***"
"Zone_SW_Bath_800","X3",-0.894859819701133,-1.12141180737611,-0.668307832026155,9.8111581783251e-15,TRUE,"***"
"Zone_S_Bath_1000","X3",0.639486258078195,0.305417494661246,0.973555021495145,0.000175546757594341,TRUE,"***"
"Zone_S_Bath_200","X3",0.604528419672614,0.324216439294294,0.884840400050935,2.36920807737228e-05,TRUE,"***"
"Zone_S_Bath_400","X3",0.604528419672614,0.324216439294293,0.884840400050935,2.36920807737231e-05,TRUE,"***"
"Zone_S_Bath_600","X3",0.4425574445189,0.146497013539737,0.738617875498064,0.00339184649416485,TRUE,"**"
"Zone_S_Bath_800","X3",0.634010430743938,0.343309489949942,0.924711371537935,1.91458967958158e-05,TRUE,"***"
