"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Zone_NW_Bath_1000",0,637023151.806189,0,0,0,245834316.840854,676180015.797437,1914510022.40502,4004758858.12919,167169348.514094,0,0,281781689.138932,567512288.914754,1989886474.98397,0,276105160.705785,0,0,0,1142296058.13925,842503015.262882,341632381.122027,0,515110388.725515,1181237035.61479,624166765.346506,1198854831.39217,161779136.091806,310782996.569286,1947358727.56063,0,0,0,1801909640.38756,467948555.592593,586152520.444644,0,0,875817675.229538,191284831.865819,0,1546703264.93062,981395536.483217,234480473.527646
"Zone_NW_Bath_200",0,637023151.806189,0,0,0,245834316.840854,676180015.797437,1914510022.40502,4231684349.03978,167169348.514094,0,0,0,0,1989886474.98397,519641736.805113,0,0,0,0,1142296058.13925,842503015.262882,341632381.122027,0,515110388.725515,1181237035.61479,624166765.346506,370680681.789417,161779136.091806,310782996.569286,1129662751.70335,0,0,0,1862261090.31493,467948555.592593,586152520.444644,0,0,0,627272341.517228,277542818.529629,0,0,0
"Zone_NW_Bath_400",0,637023151.806189,0,0,0,245834316.840854,676180015.797437,1914510022.40502,3508259643.79237,167169348.514094,0,0,0,281731428.917127,1989886474.98397,519641736.805113,276105160.705785,0,0,0,1142296058.13925,842503015.262882,341632381.122027,0,515110388.725515,1181237035.61479,624166765.346506,1198854831.39217,161779136.091806,310782996.569286,1270411820.0674,0,0,0,2547640505.01006,467948555.592593,586152520.444644,0,0,875817675.229538,191284831.865819,0,0,0,1595469894.52112
"Zone_NW_Bath_600",0,637023151.806189,0,0,0,245834316.840854,676180015.797437,1914510022.40502,3508259643.79237,167169348.514094,0,0,0,567512288.914754,1989886474.98397,519641736.805113,276105160.705785,0,0,0,1142296058.13925,842503015.262882,341632381.122027,0,515110388.725515,1181237035.61479,624166765.346506,1198854831.39217,161779136.091806,310782996.569286,470984076.283983,0,0,0,1722701323.75389,467948555.592593,586152520.444644,0,0,875817675.229538,191284831.865819,0,0,0,234480473.527646
"Zone_NW_Bath_800",0,637023151.806189,0,0,0,245834316.840854,676180015.797437,1914510022.40502,3508259643.79237,167169348.514094,0,0,281781689.138932,567512288.914754,1989886474.98397,0,276105160.705785,0,0,0,1142296058.13925,842503015.262882,341632381.122027,0,515110388.725515,1181237035.61479,624166765.346506,1198854831.39217,161779136.091806,310782996.569286,1640673073.4104,0,0,0,1722701323.75389,467948555.592593,586152520.444644,0,0,875817675.229538,191284831.865819,0,0,0,234480473.527646
"Zone_SW_Bath_1000",0,0,0,0,1078969658.38797,1232542214.07468,840736679.460282,880408492.875978,661173923.288743,0,0,0,0,0,1833988460.81677,356240968.318315,0,0,0,777757479.318573,560297545.270651,425410471.162646,1418839439.73496,60959856.4549406,2389171162.39412,1147384279.84488,941530389.979636,835046509.819328,0,2758166577.35979,876146846.713488,998558276.908184,449405386.580483,1389381755.99087,1827877372.85752,2301847649.86123,1909989231.08726,501281425.369714,1881788583.6375,999012754.671845,0,1022997634.22229,8934075276.26861,791133461.973136,449655576.479972
"Zone_SW_Bath_200",0,0,809443711.530073,0,1078969658.38797,1232542214.07468,840736679.460282,880408492.875978,2732365295.59147,0,0,0,0,0,871561557.299902,356240968.318315,0,0,1303603828.24399,777757479.318573,560297545.270651,425410471.162646,860402171.8304,0,2039837677.11775,1580641417.99756,2139598457.73441,0,0,1839771689.81669,876146846.713488,670446524.273398,449405386.580483,1285820047.71479,1854721359.51643,2301847649.86123,2801565620.81694,501281425.369714,917128476.737161,1287094346.19407,565631362.020598,96184929.6823214,2441354429.38971,791133461.973136,2532993004.62346
"Zone_SW_Bath_400",0,0,0,0,1078969658.38797,1232542214.07468,840736679.460282,880408492.875978,2732365295.59147,0,0,0,0,0,0,356240968.318315,0,0,1649894543.44378,777757479.318573,560297545.270651,425410471.162646,683239125.024819,434462660.876651,2123707699.90589,1604292864.7372,1689046965.55419,0,0,1290768647.20926,876146846.713488,670446524.273398,347760960.229621,1285820047.71479,2680102743.57615,2301847649.86123,2801565620.81694,501281425.369714,622888755.590505,1662871199.76149,415819504.600264,96184929.6823214,2441354429.38971,791133461.973136,1678243852.95222
"Zone_SW_Bath_600",0,0,0,0,1078969658.38797,1232542214.07468,840736679.460282,880408492.875978,2732365295.59147,0,0,0,0,0,871561557.299902,356240968.318315,0,0,958066589.851279,777757479.318573,560297545.270651,425410471.162646,860402171.8304,434462660.876651,2123707699.90589,2393208551.89756,2139598457.73441,0,0,2583452357.91725,876146846.713488,670446524.273398,449405386.580483,1285820047.71479,2937229435.20099,2301847649.86123,2801565620.81694,501281425.369714,917128476.737161,2665840821.60029,565631362.020598,96184929.6823214,2441354429.38971,791133461.973136,2532993004.62346
"Zone_SW_Bath_800",0,0,0,0,1078969658.38797,1232542214.07468,840736679.460282,880408492.875978,2732365295.59147,0,0,0,0,0,871561557.299902,356240968.318315,0,0,0,777757479.318573,560297545.270651,425410471.162646,1240632842.95248,0,2587382426.91415,2393208551.89756,2139598457.73441,391379898.839158,0,2583452357.91725,876146846.713488,670446524.273398,449405386.580483,1285820047.71479,3245890628.97441,2301847649.86123,2801565620.81694,501281425.369714,917128476.737161,1706524381.45777,565631362.020598,659532276.959231,2441354429.38971,791133461.973136,2532993004.62346
"Zone_S_Bath_1000",1169845088.03622,0,791506747.183413,0,1245991722.59634,0,753906904.577513,795635298.323961,474522812.66819,849081170.329744,0,0,158396431.617633,227066752.194583,1363494270.73261,0,2395563488.69481,0,495759672.973321,1189082714.95759,0,596928274.682614,191843045.419801,1505199322.26622,0,466459969.195364,642983598.686957,3412438394.65949,1354063961.7824,1154119390.66061,0,434180522.180441,1418635407.17141,336747452.253804,82551750.8646085,0,1908720901.18779,223527319.933497,1706109483.18263,1851242822.86464,2606554433.10179,0,0,141138655.313741,0
"Zone_S_Bath_200",1169845088.03622,0,791506747.183413,0,899506243.458011,0,1424118721.93372,795635298.323961,474522812.66819,849081170.329744,0,0,158396431.617633,0,387355361.284861,0,2247702200.26247,0,0,547979156.87521,0,596928274.682614,0,750819714.027782,603442270.068021,0,0,1752769087.77383,1294577529.89224,938722507.999206,3039656720.38637,0,768701870.988747,0,0,0,1204172261.90998,0,365064804.2159,854924486.161977,1172900850.56163,252207384.972381,1446533092.49898,424215067.864176,1108051229.16805
"Zone_S_Bath_400",1169845088.03622,0,791506747.183413,0,899506243.458011,0,1424118721.93372,795635298.323961,474522812.66819,849081170.329744,0,0,158396431.617633,0,387355361.284861,0,2247702200.26247,0,0,547979156.87521,0,596928274.682614,0,750819714.027782,603442270.068021,0,0,1752769087.77383,1294577529.89224,938722507.999206,3039656720.38637,0,768701870.988747,0,0,0,1204172261.90998,0,365064804.2159,854924486.161977,1172900850.56163,252207384.972381,1446533092.49898,424215067.864176,1108051229.16805
