"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.730625638979934,1.21602519393691e-08,TRUE
"Zone_NW_Bath_200","X1",0.792791086487761,8.54389178099869e-11,TRUE
"Zone_NW_Bath_400","X1",0.706870270322479,5.73113898235697e-08,TRUE
"Zone_NW_Bath_600","X1",0.736112176908291,8.30523316223928e-09,TRUE
"Zone_NW_Bath_800","X1",0.736045528038875,8.34425765202061e-09,TRUE
"Zone_SW_Bath_1000","X1",-0.0381681349870976,0.803418580217535,FALSE
"Zone_SW_Bath_200","X1",0.0700497976027486,0.647493205894957,FALSE
"Zone_SW_Bath_400","X1",0.0731119839645827,0.633156785877068,FALSE
"Zone_SW_Bath_600","X1",0.0513940720547826,0.73741240677668,FALSE
"Zone_SW_Bath_800","X1",0.105924804541768,0.488609652870926,FALSE
"Zone_S_Bath_1000","X1",-0.502986889535313,0.000429106634159939,TRUE
"Zone_S_Bath_200","X1",-0.27320837140569,0.0693881056509634,FALSE
"Zone_S_Bath_400","X1",-0.27320837140569,0.0693881056509634,FALSE
"Zone_S_Bath_600","X1",-0.26414798377729,0.0795356248782839,FALSE
"Zone_S_Bath_800","X1",-0.463471402275171,0.00134431086523827,TRUE
"Zone_NW_Bath_1000","X2",0.0637676698364116,0.677297967526175,FALSE
"Zone_NW_Bath_200","X2",-0.198181825522982,0.191885536817921,FALSE
"Zone_NW_Bath_400","X2",-0.232402277973712,0.124476772094954,FALSE
"Zone_NW_Bath_600","X2",-0.314493391196891,0.0353755760396205,TRUE
"Zone_NW_Bath_800","X2",-0.194665118761131,0.200051182463961,FALSE
"Zone_SW_Bath_1000","X2",0.52793238388108,0.000193734235753281,TRUE
"Zone_SW_Bath_200","X2",-0.0407019729934903,0.79065219880491,FALSE
"Zone_SW_Bath_400","X2",-0.0693000784792312,0.651022776647391,FALSE
"Zone_SW_Bath_600","X2",-0.124941365384193,0.413495081538683,FALSE
"Zone_SW_Bath_800","X2",-0.0824455814424895,0.590289480394374,FALSE
"Zone_S_Bath_1000","X2",-0.341735396844951,0.0215860455878793,TRUE
"Zone_S_Bath_200","X2",0.429461410596895,0.00324007997640398,TRUE
"Zone_S_Bath_400","X2",0.429461410596895,0.00324007997640398,TRUE
"Zone_S_Bath_600","X2",0.562687905088984,5.73886884255083e-05,TRUE
"Zone_S_Bath_800","X2",-0.14404734138226,0.345147667218542,FALSE
"Zone_NW_Bath_1000","X3",0.123899630270203,0.417430632183144,FALSE
"Zone_NW_Bath_200","X3",0.13804472619487,0.365829165439761,FALSE
"Zone_NW_Bath_400","X3",0.106160944214832,0.487635480379546,FALSE
"Zone_NW_Bath_600","X3",0.170150721967003,0.26379826086437,FALSE
"Zone_NW_Bath_800","X3",0.230398207361714,0.127850465891048,FALSE
"Zone_SW_Bath_1000","X3",-0.565815350781242,5.10915742954698e-05,TRUE
"Zone_SW_Bath_200","X3",-0.718297602301217,2.7723305309945e-08,TRUE
"Zone_SW_Bath_400","X3",-0.717500720687012,2.91967187287111e-08,TRUE
"Zone_SW_Bath_600","X3",-0.70228301139929,7.59803807419035e-08,TRUE
"Zone_SW_Bath_800","X3",-0.694924216202691,1.18150695781221e-07,TRUE
"Zone_S_Bath_1000","X3",0.433275085705919,0.00294864670164559,TRUE
"Zone_S_Bath_200","X3",0.428571035921207,0.00331165755385489,TRUE
"Zone_S_Bath_400","X3",0.428571035921207,0.00331165755385489,TRUE
"Zone_S_Bath_600","X3",0.297969186315873,0.0468112365990534,TRUE
"Zone_S_Bath_800","X3",0.431571002592485,0.00307588871669314,TRUE
