"Parameter","m","R_structure","AICc","logLik","converged","degenerate","min_R_variance","min_Q_variance","degenerate_R_series","degenerate_Q_trend","delta_AICc","AICc_support"
"activity_degC_days_m2",3,"diagonal and unequal",152.601871389649,-479.710954472656,FALSE,TRUE,-4.21749415700663e-11,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"activity_degC_days_m2",3,"equalvarcov",1150.71864461346,-528.216465163871,TRUE,FALSE,0.44458293956822,1,NA,NA,998.116773223807,"No support"
"activity_degC_days_m2",2,"diagonal and unequal",1258.46414779083,-582.08921675256,TRUE,FALSE,0.0202319626631304,1,NA,NA,1105.86227640119,"No support"
"activity_degC_days_m2",2,"equalvarcov",1277.66876121459,-606.291612333578,TRUE,FALSE,0.514111412538262,1,NA,NA,1125.06688982494,"No support"
"activity_degC_days_m2",3,"diagonal and equal",1312.81851518445,-610.410842378278,TRUE,FALSE,0.170820143977337,1,NA,NA,1160.2166437948,"No support"
"activity_degC_days_m2",1,"equalvarcov",1536.28084946748,-750.67467130908,TRUE,FALSE,0.691735183125277,1,NA,NA,1383.67897807783,"No support"
"activity_degC_days_m2",1,"diagonal and unequal",1538.22912383457,-737.670462538401,TRUE,FALSE,0.0280663780636758,1,NA,NA,1385.62725244492,"No support"
"activity_degC_days_m2",2,"diagonal and equal",1582.04012763219,-759.575964437211,TRUE,FALSE,0.362028450850486,1,NA,NA,1429.43825624254,"No support"
"activity_degC_days_m2",1,"diagonal and equal",1734.3740494227,-850.77365085117,TRUE,FALSE,0.606178061952375,1,NA,NA,1581.77217803306,"No support"
"mean_area_km2",3,"diagonal and unequal",-178.955557047611,-228.92290760144,FALSE,TRUE,-4.07983089359614e-09,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"mean_area_km2",2,"diagonal and unequal",730.611753830534,-317.892083811819,FALSE,TRUE,2.32149590300002e-05,1,"Zone_SW_Bath_600",NA,909.567310878146,"No support"
"mean_area_km2",3,"equalvarcov",762.223046845988,-333.697730319546,TRUE,FALSE,0.384557109260773,1,NA,NA,941.178603893599,"No support"
"mean_area_km2",2,"equalvarcov",950.861190312644,-442.757745240639,TRUE,FALSE,0.523490109838155,1,NA,NA,1129.81674736026,"No support"
"mean_area_km2",3,"diagonal and equal",967.653280929053,-437.570186075542,TRUE,FALSE,0.096903582581848,1,NA,NA,1146.60883797666,"No support"
"mean_area_km2",1,"diagonal and unequal",1227.63338294521,-582.251034906948,TRUE,FALSE,0.001609065938119,1,NA,NA,1406.58893999282,"No support"
"mean_area_km2",2,"diagonal and equal",1311.82530302799,-624.346994948339,TRUE,FALSE,0.238869120135684,1,NA,NA,1490.7808600756,"No support"
"mean_area_km2",1,"equalvarcov",1334.87591203165,-649.93383739968,TRUE,FALSE,0.578529704125925,1,NA,NA,1513.83146907926,"No support"
"mean_area_km2",1,"diagonal and equal",1577.37031465676,-772.237788907329,TRUE,FALSE,0.549320781191258,1,NA,NA,1756.32587170437,"No support"
"mean_duration_days",3,"diagonal and unequal",-904.056086935026,114.359686150906,FALSE,TRUE,-6.705114753035e-10,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"mean_duration_days",2,"diagonal and unequal",-772.309660482811,-33.3387654547327,FALSE,TRUE,-1.71253330112433e-09,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,131.746426452215,"No support"
"mean_duration_days",3,"equalvarcov",93.8516380807004,0.487974063098059,FALSE,FALSE,0.717557497541275,1,NA,NA,997.907725015727,"No support"
"mean_duration_days",2,"equalvarcov",325.908565415549,-130.281432792091,TRUE,FALSE,0.742792521661915,1,NA,NA,1229.96465235058,"No support"
"mean_duration_days",3,"diagonal and equal",350.801815584383,-129.144453403207,FALSE,FALSE,0.0334460820383824,1,NA,NA,1254.85790251941,"No support"
"mean_duration_days",1,"diagonal and unequal",477.6860166487,-207.277351758694,TRUE,FALSE,0.000129084722021269,1,NA,NA,1381.74210358373,"No support"
"mean_duration_days",1,"equalvarcov",678.590246200884,-321.791004484297,TRUE,FALSE,0.840652791821965,1,NA,NA,1582.64633313591,"No support"
"mean_duration_days",2,"diagonal and equal",706.749033598493,-321.80886023359,TRUE,FALSE,0.0907724527198022,1,NA,NA,1610.80512053352,"No support"
"mean_duration_days",1,"diagonal and equal",1123.59537870199,-545.350320929944,TRUE,FALSE,0.254291868112988,1,NA,NA,2027.65146563702,"No support"
"mean_intensity_degC",3,"diagonal and unequal",-479.592277087062,-82.698216561863,FALSE,TRUE,-2.19611081056503e-10,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"mean_intensity_degC",3,"equalvarcov",382.308829739502,-143.740621766303,TRUE,FALSE,0.58170358387631,1,NA,NA,861.901106826564,"No support"
"mean_intensity_degC",2,"diagonal and unequal",438.798042223253,-171.985228008178,FALSE,FALSE,0.000686468535153399,1,NA,NA,918.390319310315,"No support"
"mean_intensity_degC",2,"equalvarcov",634.491183745012,-284.572741956823,TRUE,FALSE,0.601034153464309,1,NA,NA,1114.08346083207,"No support"
"mean_intensity_degC",3,"diagonal and equal",680.551252143604,-294.019171682817,TRUE,FALSE,0.0539377113533695,1,NA,NA,1160.14352923067,"No support"
"mean_intensity_degC",1,"diagonal and unequal",1054.93995290481,-495.904319886749,TRUE,FALSE,0.00274935864933907,1,NA,NA,1534.53222999187,"No support"
"mean_intensity_degC",1,"equalvarcov",1092.84777248236,-528.919767625034,TRUE,FALSE,0.819532035314593,1,NA,NA,1572.44004956942,"No support"
"mean_intensity_degC",2,"diagonal and equal",1141.53522142636,-539.201954147522,TRUE,FALSE,0.184767068567946,1,NA,NA,1621.12749851342,"No support"
"mean_intensity_degC",1,"diagonal and equal",1431.29293036752,-699.199096762707,TRUE,FALSE,0.428416733909646,1,NA,NA,1910.88520745458,"No support"
"number_of_events",3,"diagonal and unequal",-286.10520192937,-177.351864348841,FALSE,TRUE,-1.60722560124224e-10,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"number_of_events",3,"equalvarcov",560.933366721117,-233.05289025711,FALSE,FALSE,0.467251716092245,1,NA,NA,847.038568650487,"No support"
"number_of_events",2,"equalvarcov",668.26681163977,-301.460555904202,TRUE,FALSE,0.49914790076204,1,NA,NA,954.372013569141,"No support"
"number_of_events",3,"diagonal and equal",710.663473689861,-309.075282455946,FALSE,FALSE,0.0579673695039751,1,NA,NA,996.768675619231,"No support"
"number_of_events",2,"diagonal and unequal",746.60671010866,-325.889561950882,TRUE,FALSE,0.00127008371884307,1,NA,NA,1032.71191203803,"No support"
"number_of_events",1,"diagonal and unequal",1170.36835966449,-553.618523266588,TRUE,FALSE,0.000249314392781322,1,NA,NA,1456.47356159386,"No support"
"number_of_events",1,"equalvarcov",1316.69554530835,-640.843654038028,TRUE,FALSE,0.766606877406321,1,NA,NA,1602.80074723772,"No support"
"number_of_events",2,"diagonal and equal",1370.71590954896,-653.792298208821,TRUE,FALSE,0.293050133701262,1,NA,NA,1656.82111147833,"No support"
"number_of_events",1,"diagonal and equal",1580.47740746791,-773.791335312901,TRUE,FALSE,0.565146272944602,1,NA,NA,1866.58260939728,"No support"
"sum_area_km2",3,"diagonal and unequal",-249.606029489979,-193.002453683951,FALSE,TRUE,-2.21455074568028e-10,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"sum_area_km2",3,"equalvarcov",543.542519316941,-224.357466555022,FALSE,FALSE,0.465356891841065,1,NA,NA,793.14854880692,"No support"
"sum_area_km2",2,"equalvarcov",646.332805858615,-290.493553013624,TRUE,FALSE,0.49573429410791,1,NA,NA,895.938835348594,"No support"
"sum_area_km2",3,"diagonal and equal",686.866784741532,-297.176937981781,FALSE,FALSE,0.0554543673108704,1,NA,NA,936.472814231511,"No support"
"sum_area_km2",2,"diagonal and unequal",717.805537382287,-311.488975587695,TRUE,FALSE,0.00114843482111705,1,NA,NA,967.411566872266,"No support"
"sum_area_km2",1,"diagonal and unequal",1156.91297170243,-546.890829285557,TRUE,FALSE,0.000212525762179218,1,NA,NA,1406.51900119241,"No support"
"sum_area_km2",1,"equalvarcov",1323.46401439356,-644.227888580636,TRUE,FALSE,0.76837286185461,1,NA,NA,1573.07004388354,"No support"
"sum_area_km2",2,"diagonal and equal",1376.45653265884,-656.662609763763,TRUE,FALSE,0.295684225186322,1,NA,NA,1626.06256214882,"No support"
"sum_area_km2",1,"diagonal and equal",1582.71303005173,-774.909146604811,TRUE,FALSE,0.56860290546912,1,NA,NA,1832.31905954171,"No support"
