"Trend_A","Trend_B","Correlation","p_value","significant","Parameter_A","Parameter_B","same_parameter"
"mean_area_km2_X1","mean_area_km2_X1",1,NA,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_area_km2_X2","mean_area_km2_X1",0.454649811547533,0.00193231051239953,TRUE,"mean_area_km2","mean_area_km2",TRUE
"mean_area_km2_X3","mean_area_km2_X1",-0.0211096572443212,0.89181371409032,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_duration_days_X1","mean_area_km2_X1",-0.0464373089239778,0.764692781736581,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_duration_days_X2","mean_area_km2_X1",-0.178356045905048,0.246726265955624,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_duration_days_X3","mean_area_km2_X1",-0.0766607441359523,0.620882785836418,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_intensity_degC_X1","mean_area_km2_X1",0.0701151785592679,0.6510819865007,FALSE,"mean_intensity_degC","mean_area_km2",FALSE
"mean_intensity_degC_X2","mean_area_km2_X1",0.0250732675702684,0.871656663695447,FALSE,"mean_intensity_degC","mean_area_km2",FALSE
"mean_intensity_degC_X3","mean_area_km2_X1",-0.40991358839693,0.00572078487518059,TRUE,"mean_intensity_degC","mean_area_km2",FALSE
"number_of_events_X1","mean_area_km2_X1",0.142246507923865,0.357004060605596,FALSE,"number_of_events","mean_area_km2",FALSE
"number_of_events_X2","mean_area_km2_X1",-0.162483599495694,0.291979543032292,FALSE,"number_of_events","mean_area_km2",FALSE
"number_of_events_X3","mean_area_km2_X1",0.274199427784583,0.0716762700012461,FALSE,"number_of_events","mean_area_km2",FALSE
"mean_area_km2_X1","mean_area_km2_X2",0.454649811547533,0.00193231051239953,TRUE,"mean_area_km2","mean_area_km2",TRUE
"mean_area_km2_X2","mean_area_km2_X2",1,NA,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_area_km2_X3","mean_area_km2_X2",-0.0289133427534,0.852204047154952,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_duration_days_X1","mean_area_km2_X2",0.112587297227238,0.466835008987313,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_duration_days_X2","mean_area_km2_X2",-0.169476975371863,0.271419690572256,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_duration_days_X3","mean_area_km2_X2",-0.054656014347236,0.724558223033627,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_intensity_degC_X1","mean_area_km2_X2",0.178208529878362,0.247123694473894,FALSE,"mean_intensity_degC","mean_area_km2",FALSE
"mean_intensity_degC_X2","mean_area_km2_X2",0.0548120096896408,0.723803076675743,FALSE,"mean_intensity_degC","mean_area_km2",FALSE
