"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.820852702695541,1.58603826500117e-11,TRUE
"Zone_NW_Bath_200","X1",0.808564270170198,5.45509550015664e-11,TRUE
"Zone_NW_Bath_400","X1",0.817760136882467,2.18318282721072e-11,TRUE
"Zone_NW_Bath_600","X1",0.817686123712787,2.19978061610769e-11,TRUE
"Zone_NW_Bath_800","X1",0.822812153154907,1.29123944426327e-11,TRUE
"Zone_SW_Bath_1000","X1",-0.612393031351667,2.08788547516486e-05,TRUE
"Zone_SW_Bath_200","X1",-0.585539205815987,5.78121258480714e-05,TRUE
"Zone_SW_Bath_400","X1",-0.588924503148365,5.10993731887466e-05,TRUE
"Zone_SW_Bath_600","X1",-0.61752868686747,1.70000513762009e-05,TRUE
"Zone_SW_Bath_800","X1",-0.632795462207878,9.02737628885639e-06,TRUE
"Zone_S_Bath_1000","X1",-0.18040722495965,0.259008570345024,FALSE
"Zone_S_Bath_200","X1",0.0543710717968163,0.735643441948334,FALSE
"Zone_S_Bath_400","X1",0.0543710717968163,0.735643441948334,FALSE
"Zone_S_Bath_600","X1",0.0803534936746501,0.617490057634281,FALSE
"Zone_S_Bath_800","X1",-0.0963630745240043,0.54894584268951,FALSE
"Zone_NW_Bath_1000","X2",0.282706426079537,0.0662284121507164,FALSE
"Zone_NW_Bath_200","X2",0.387983163238346,0.0101468408565504,TRUE
"Zone_NW_Bath_400","X2",0.350925364368131,0.0210391826983393,TRUE
"Zone_NW_Bath_600","X2",0.331683377512197,0.0297933661932011,TRUE
"Zone_NW_Bath_800","X2",0.312444403332765,0.0413658018808702,TRUE
"Zone_SW_Bath_1000","X2",0.230483274472051,0.147121369188731,FALSE
"Zone_SW_Bath_200","X2",0.316141263674402,0.044044803406176,TRUE
"Zone_SW_Bath_400","X2",0.306108211436281,0.0516016765873329,FALSE
"Zone_SW_Bath_600","X2",0.27221630540121,0.0851030711049671,FALSE
"Zone_SW_Bath_800","X2",0.262636288097847,0.0971253540173109,FALSE
"Zone_S_Bath_1000","X2",-0.828741321627062,2.23198221960023e-11,TRUE
"Zone_S_Bath_200","X2",-0.128422170361437,0.423598040356871,FALSE
"Zone_S_Bath_400","X2",-0.128422170361437,0.423598040356871,FALSE
"Zone_S_Bath_600","X2",-0.210775610345277,0.185901098693204,FALSE
"Zone_S_Bath_800","X2",-0.541878126571951,0.000253039858087565,TRUE
"Zone_NW_Bath_1000","X3",-0.0977643747448652,0.532831253811711,FALSE
"Zone_NW_Bath_200","X3",-0.103150631876577,0.510389331174178,FALSE
"Zone_NW_Bath_400","X3",-0.0821847911583932,0.600327922913833,FALSE
"Zone_NW_Bath_600","X3",-0.0816644068494153,0.602645197050451,FALSE
"Zone_NW_Bath_800","X3",-0.100634567119771,0.520812990839549,FALSE
"Zone_SW_Bath_1000","X3",-0.193858956434525,0.224565676974527,FALSE
"Zone_SW_Bath_200","X3",-0.200355848991167,0.209111988394666,FALSE
"Zone_SW_Bath_400","X3",-0.224049849925702,0.159063357785291,FALSE
"Zone_SW_Bath_600","X3",-0.20762873661701,0.192709001771775,FALSE
"Zone_SW_Bath_800","X3",-0.175419751417098,0.272627525445323,FALSE
"Zone_S_Bath_1000","X3",0.152923073851013,0.339813426734958,FALSE
"Zone_S_Bath_200","X3",0.844444053897452,3.97239055288005e-12,TRUE
"Zone_S_Bath_400","X3",0.844444053897452,3.97239055288005e-12,TRUE
"Zone_S_Bath_600","X3",0.803252268670146,2.61494840327804e-10,TRUE
"Zone_S_Bath_800","X3",0.399081217052091,0.00974576370076765,TRUE
