"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.5469345625273,0.000147660273115924,TRUE
"Zone_NW_Bath_200","X1",0.542819109587742,0.000169402044798407,TRUE
"Zone_NW_Bath_400","X1",0.552790915169868,0.000121066639615762,TRUE
"Zone_NW_Bath_600","X1",0.549887428366941,0.000133653555389554,TRUE
"Zone_NW_Bath_800","X1",0.551912693847767,0.000124755364947583,TRUE
"Zone_SW_Bath_1000","X1",0.0615162807351023,0.702404085276753,FALSE
"Zone_SW_Bath_200","X1",0.232387593719456,0.14371624406216,FALSE
"Zone_SW_Bath_400","X1",0.182905096138449,0.252361075434464,FALSE
"Zone_SW_Bath_600","X1",0.177620453971474,0.266561293029149,FALSE
"Zone_SW_Bath_800","X1",0.147347761688424,0.357917650618592,FALSE
"Zone_S_Bath_1000","X1",-0.126664007697587,0.430024531118316,FALSE
"Zone_S_Bath_200","X1",-0.436864554524008,0.00429244502796044,TRUE
"Zone_S_Bath_400","X1",-0.436864554524008,0.00429244502796044,TRUE
"Zone_S_Bath_600","X1",-0.400904820573244,0.00938696209098121,TRUE
"Zone_S_Bath_800","X1",-0.204114741534004,0.20051704741194,FALSE
"Zone_NW_Bath_1000","X2",0.0234650194623951,0.881272127672616,FALSE
"Zone_NW_Bath_200","X2",0.04978152924216,0.751230905094108,FALSE
"Zone_NW_Bath_400","X2",0.02576354539164,0.869737663521678,FALSE
"Zone_NW_Bath_600","X2",0.0239936551480993,0.878617091367203,FALSE
"Zone_NW_Bath_800","X2",0.0257896068744045,0.869607030051626,FALSE
"Zone_SW_Bath_1000","X2",0.417388653471293,0.0066255733616429,TRUE
"Zone_SW_Bath_200","X2",0.492323410087673,0.0010766967394268,TRUE
"Zone_SW_Bath_400","X2",0.481001271258886,0.00145523638500994,TRUE
"Zone_SW_Bath_600","X2",0.464248718341521,0.00223126138419776,TRUE
"Zone_SW_Bath_800","X2",0.439110908115166,0.00407619036847691,TRUE
"Zone_S_Bath_1000","X2",-0.29861205953698,0.0579016048052104,FALSE
"Zone_S_Bath_200","X2",-0.321340452971877,0.0404973856253698,TRUE
"Zone_S_Bath_400","X2",-0.321340452971877,0.0404973856253698,TRUE
"Zone_S_Bath_600","X2",-0.331153831370697,0.0344363076047764,TRUE
"Zone_S_Bath_800","X2",-0.332652020985367,0.0335801853607299,TRUE
"Zone_NW_Bath_1000","X3",-0.0592327188494551,0.705949903142419,FALSE
"Zone_NW_Bath_200","X3",-0.0747439000502695,0.633822807409912,FALSE
"Zone_NW_Bath_400","X3",-0.0654804357550889,0.676547133741928,FALSE
"Zone_NW_Bath_600","X3",-0.0602307124166277,0.701223380142002,FALSE
"Zone_NW_Bath_800","X3",-0.0677255440921718,0.666093485655215,FALSE
"Zone_SW_Bath_1000","X3",-0.0825169049059273,0.608019709327283,FALSE
"Zone_SW_Bath_200","X3",0.054270346757601,0.736115595826259,FALSE
"Zone_SW_Bath_400","X3",0.113915872988714,0.478216714188993,FALSE
"Zone_SW_Bath_600","X3",0.111408738162441,0.48801684206203,FALSE
"Zone_SW_Bath_800","X3",0.0541040907284267,0.736895139102154,FALSE
"Zone_S_Bath_1000","X3",0.438847350272404,0.00410106090124542,TRUE
"Zone_S_Bath_200","X3",0.0275936693793575,0.864023963203791,FALSE
"Zone_S_Bath_400","X3",0.0275936693793575,0.864023963203791,FALSE
"Zone_S_Bath_600","X3",0.0759253342460516,0.637064741600025,FALSE
"Zone_S_Bath_800","X3",0.351504922721272,0.0242227182791758,TRUE
