"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Zone_NW_Bath_1000",NA,1.15300619602203,1.44719725847244,1.60881066322327,1.67563009262085,1.69021934270859,1.56791949272156,1.52642347812653,1.43390731811523,1.4527850661959,1.87460654973984,NA,1.17367807030678,1.28116359313329,1.39859848363059,1.3575408856074,1.51101129055023,1.17068281769753,1.82851600646973,1.51293162504832,1.52113429705302,1.3332039475441,1.53210499882698,1.75720806916555,1.57923710346222,1.75861813127995,1.27363613843918,1.34797149151564,1.58107011318207,1.73409680525462,1.40268576145172,1.57545908292135,1.71604141592979,1.78642153739929,1.49498874800546,1.38190105557442,1.45763485133648,1.82811903953552,1.45574140548706,1.46841680152076,1.59981685876846,1.54657769203186,1.55461094776789,1.33932027220726,1.17515403032303
"Zone_NW_Bath_200",NA,1.15300619602203,1.45401600003242,1.60881066322327,1.67563009262085,1.70227831602097,1.56791949272156,1.53873405456543,1.45687910914421,1.49567031860352,1.93939530849457,NA,1.48512327671051,1.45257294178009,1.40476180825915,1.37232295672099,1.55804517534044,1.20149081945419,1.87406007448832,1.51962435245514,1.52113429705302,1.35488986968994,1.54664680361748,1.7939334710439,1.60269001126289,1.79702188074589,1.30848604440689,1.42646479606628,1.64044597148895,1.763341208299,1.5339213354247,1.6689871152242,1.72298935055733,1.85197892453935,1.57037016323635,1.40881559252739,1.49078778922558,1.8362272977829,1.45574140548706,1.494209587574,1.62015435099602,1.60705082757132,1.67012137770653,1.35175595964704,1.24577521085739
"Zone_NW_Bath_400",NA,1.15300619602203,1.44925901293755,1.60881066322327,1.67563009262085,1.6959223151207,1.56791949272156,1.53580160140991,1.44914229512215,1.46346708706447,1.89667284488678,NA,1.45989286899567,1.28153888384501,1.40328906263624,1.36569674809774,1.53203860521317,1.18267810344696,1.85804184277852,1.51962435245514,1.52113429705302,1.34116809368134,1.54430145025253,1.79671569665273,1.58782449364662,1.77742977440357,1.2884493470192,1.35152315348387,1.60383539199829,1.74124262730281,1.51425999403,1.59073577324549,1.72298935055733,1.80647787782881,1.55394896439144,1.39069050550461,1.45881150662899,1.8362272977829,1.45574140548706,1.47236533675875,1.62949928641319,1.55941636221749,1.61111462116241,1.33822202682495,1.17838857322931
"Zone_NW_Bath_600",NA,1.15300619602203,1.44825932383537,1.60881066322327,1.67563009262085,1.69021934270859,1.56791949272156,1.53388202190399,1.44332677721977,1.45543914181846,1.88076502084732,NA,1.45989286899567,1.28116359313329,1.40031245776585,1.36441179116567,1.52256708145142,1.17711254954338,1.85043327013652,1.51293162504832,1.52113429705302,1.33698509931564,1.53650397062302,1.79139542579651,1.58491146564484,1.76966565847397,1.27525418996811,1.35193704813719,1.59101774692535,1.73728841543198,1.49080106190273,1.5793455640475,1.72181987762451,1.7944473028183,1.5163322857448,1.38424462080002,1.45654208958149,1.8362272977829,1.45574140548706,1.46896772725242,1.62202176451683,1.55132108075278,1.59857546199452,1.33477200780596,1.17653366178274
"Zone_NW_Bath_800",NA,1.15300619602203,1.44825932383537,1.60881066322327,1.67563009262085,1.69021934270859,1.56791949272156,1.52711298465729,1.44038342833519,1.45500046866281,1.87743049860001,NA,1.17367807030678,1.28116359313329,1.39859848363059,1.35790987809499,1.51383256912231,1.17230007052422,1.8344357808431,1.51293162504832,1.52113429705302,1.33470097780228,1.53539898991585,1.79384851455688,1.58491146564484,1.76597380638123,1.27450906038284,1.34782398492098,1.58760566711426,1.73687169949214,1.41974268853664,1.58005911111832,1.71604141592979,1.79043853282928,1.51347756385803,1.38287770748138,1.45680622756481,1.82811903953552,1.45574140548706,1.46817259277616,1.62237751483917,1.55125793388912,1.60554604096846,1.33620699814388,1.1822217181325
"Zone_SW_Bath_1000",1.68331044912338,NA,1.36354586482048,NA,1.46295309066772,1.41968834400177,1.50585443973541,1.44484883546829,1.45616060495377,1.33365452289581,1.92459720373154,NA,NA,1.29294431209564,1.37633652985096,1.32719659805298,1.48002978165944,1.13696014881134,1.41546138127645,1.42439818382263,1.10982394218445,1.26245519093105,1.45744043588638,1.43030777573586,1.41936375413622,1.56672276258469,1.31866922974586,1.09923825263977,1.71106612682343,1.28665577513831,1.48623353242874,1.44372926155726,1.46253675222397,1.8802223443985,1.40854908360375,1.51117523014545,1.5100035816431,1.55962506930033,1.01206429799398,1.37087540494071,1.39787164330482,1.30690810084343,1.39565937717756,1.29561901837587,1.28486434221268
"Zone_SW_Bath_200",1.70065248012543,NA,1.37945550680161,NA,1.46295309066772,1.41968834400177,1.56461443901062,1.45493721961975,1.45439723879099,1.35259586572647,1.9702639579773,NA,NA,1.30872046947479,1.40958504378796,1.34262641270955,1.51148927211761,1.16576699415843,1.44900548458099,1.47475838661194,1.10982394218445,1.28148707321712,1.36922033131123,1.59887760877609,1.49503177404404,1.58550832271576,1.42055457830429,1.10447690884272,1.72112798690796,1.32521224021912,1.53116829693317,1.75959369540215,1.48576238751411,1.93366146087646,1.43737994299995,1.55946236848831,1.54135353863239,1.63226715723673,0.949409425258636,1.5204452474912,1.39642532666524,1.47170486450195,1.44548226486553,1.33925428241491,1.32236381371816
"Zone_SW_Bath_400",1.70698070526123,NA,1.38451299071312,NA,1.46295309066772,1.41968834400177,1.56720428466797,1.44843077659607,1.46090675145388,1.34711766988039,1.97372454404831,NA,NA,1.30637407302856,1.45213842391968,1.33350026607513,1.5047949552536,1.14970751603444,1.43082368373871,1.45014700889587,1.10982394218445,1.27824950218201,1.35527046024799,1.53315122922262,1.46583622694016,1.59554492235184,1.48386375904083,1.09529362122218,1.7294382750988,1.29563037554423,1.52138149738312,1.77600491046906,1.504847407341,1.96044580936432,1.4440465370814,1.53838092088699,1.53543883562088,1.61203889052073,0.957440853118896,1.51493883132935,1.3850976228714,1.4638810634613,1.45014491948214,1.33442814648151,1.31484219431877
"Zone_SW_Bath_600",1.68331044912338,NA,1.37392839789391,NA,1.46295309066772,1.41968834400177,1.51483347415924,1.44492524862289,1.44367557018995,1.34063399583101,1.95628768205643,NA,NA,1.30246037244797,1.38211572170258,1.3338874578476,1.49773667918311,1.14640041192373,1.43950986862183,1.4436799287796,1.10982394218445,1.26802628380912,1.36381755769253,1.51879139741262,1.47018657128016,1.58359537124634,1.41242168347041,1.09303265810013,1.72296732664108,1.3088390145983,1.51658791303635,1.77142870426178,1.47204202413559,1.94596297740936,1.4206876622306,1.53146956861019,1.5359805226326,1.59842944145203,0.949409425258636,1.48409979684012,1.38588265577952,1.46111614704132,1.44158770821311,1.33313377201557,1.31633057859209
"Zone_SW_Bath_800",1.68331044912338,NA,1.37077361345291,NA,1.46295309066772,1.41968834400177,1.52152714729309,1.44492524862289,1.44290687888861,1.33654738217592,1.94356966018677,NA,NA,1.29796499013901,1.37985870242119,1.33261171976725,1.49537154038747,1.14183747768402,1.4425364335378,1.43994028568268,1.10982394218445,1.26787436008453,1.41275429725647,1.63071386019389,1.42623742989131,1.58151270151138,1.41072305043538,1.10495369136333,1.72800323367119,1.30729688916888,1.50967358052731,1.76894170045853,1.47204202413559,1.93094086647034,1.41144295533498,1.52905516326427,1.53009660542011,1.59842944145203,0.949409425258636,1.47595993961607,1.38534720738729,1.46055573225021,1.44778595187447,1.33462942391634,1.3161242140664
