"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.678229032856701,5.8145190083438e-07,TRUE
"Zone_NW_Bath_200","X1",0.593847077161199,2.69504821462283e-05,TRUE
"Zone_NW_Bath_400","X1",0.594651339749774,2.61148801802745e-05,TRUE
"Zone_NW_Bath_600","X1",0.596441009434513,2.43398650992508e-05,TRUE
"Zone_NW_Bath_800","X1",0.686197997815308,3.79140378574276e-07,TRUE
"Zone_SW_Bath_1000","X1",-0.0603420413446692,0.707831116049558,FALSE
"Zone_SW_Bath_200","X1",-0.0356189001810393,0.825023072224908,FALSE
"Zone_SW_Bath_400","X1",-0.0621677461717134,0.699399436349447,FALSE
"Zone_SW_Bath_600","X1",-0.0507028848811101,0.752898849246057,FALSE
"Zone_SW_Bath_800","X1",-0.0141681639232659,0.929940838650449,FALSE
"Zone_S_Bath_1000","X1",-0.392611611208123,0.0111149790653043,TRUE
"Zone_S_Bath_200","X1",-0.439229203356932,0.00406507030438445,TRUE
"Zone_S_Bath_400","X1",-0.439229203356932,0.00406507030438445,TRUE
"Zone_S_Bath_600","X1",-0.347407092296209,0.0260459723396181,TRUE
"Zone_S_Bath_800","X1",-0.423229475217342,0.00583204663503035,TRUE
"Zone_NW_Bath_1000","X2",-0.0545949862002249,0.72805538904201,FALSE
"Zone_NW_Bath_200","X2",0.166305181469606,0.286493602875049,FALSE
"Zone_NW_Bath_400","X2",0.110904714932966,0.478939279871157,FALSE
"Zone_NW_Bath_600","X2",0.106429179932983,0.496966251199185,FALSE
"Zone_NW_Bath_800","X2",-0.0504725001705434,0.747890206867537,FALSE
"Zone_SW_Bath_1000","X2",0.48680377608231,0.00124863831953841,TRUE
"Zone_SW_Bath_200","X2",0.563261904066744,0.000125999397693083,TRUE
"Zone_SW_Bath_400","X2",0.576741468000361,7.91719400519456e-05,TRUE
"Zone_SW_Bath_600","X2",0.563525435882799,0.000124883940770009,TRUE
"Zone_SW_Bath_800","X2",0.567501124665702,0.0001091057611784,TRUE
"Zone_S_Bath_1000","X2",-0.310217550302374,0.0483894277807788,TRUE
"Zone_S_Bath_200","X2",-0.351987965836471,0.0240149793045244,TRUE
"Zone_S_Bath_400","X2",-0.351987965836471,0.0240149793045244,TRUE
"Zone_S_Bath_600","X2",-0.347132269039945,0.026172220889295,TRUE
"Zone_S_Bath_800","X2",-0.328524703508996,0.035981963569096,TRUE
"Zone_NW_Bath_1000","X3",-0.00364824359645828,0.981476187641859,FALSE
"Zone_NW_Bath_200","X3",-0.0291541123052672,0.852772392187807,FALSE
"Zone_NW_Bath_400","X3",0.0299878117051636,0.848610560936774,FALSE
"Zone_NW_Bath_600","X3",0.0302627681775446,0.847238861825669,FALSE
"Zone_NW_Bath_800","X3",0.00484198085381392,0.97541665342163,FALSE
"Zone_SW_Bath_1000","X3",0.153707031329657,0.337313815569709,FALSE
"Zone_SW_Bath_200","X3",0.171435760999969,0.283838559647551,FALSE
"Zone_SW_Bath_400","X3",0.148036608390593,0.355649790307746,FALSE
"Zone_SW_Bath_600","X3",0.145481805968527,0.364104645641874,FALSE
"Zone_SW_Bath_800","X3",0.173114087154213,0.279079692296794,FALSE
"Zone_S_Bath_1000","X3",0.448358041668136,0.00328282861178961,TRUE
"Zone_S_Bath_200","X3",-0.259847044707636,0.100859978017873,FALSE
"Zone_S_Bath_400","X3",-0.259847044707636,0.100859978017873,FALSE
"Zone_S_Bath_600","X3",-0.0683854527216713,0.670955568946242,FALSE
"Zone_S_Bath_800","X3",0.296968058114098,0.0593621564013124,FALSE
