"Series","Trend","Estimate","CI_low","CI_high","p_value","significant","stars"
"Zone_NW_Bath_1000","X1",0.943914184912861,0.686083966732606,1.20174440309312,7.20902352673548e-13,TRUE,"***"
"Zone_NW_Bath_200","X1",0.977945355696492,0.712004768118681,1.2438859432743,5.70342516476335e-13,TRUE,"***"
"Zone_NW_Bath_400","X1",0.960489190117426,0.696231607448551,1.2247467727863,1.04973908355645e-12,TRUE,"***"
"Zone_NW_Bath_600","X1",0.949908740395205,0.687233964101766,1.21258351668864,1.36258295057774e-12,TRUE,"***"
"Zone_NW_Bath_800","X1",0.957309117972213,0.697089841470706,1.21752839447372,5.57778006063294e-13,TRUE,"***"
"Zone_SW_Bath_1000","X1",-0.264042258411621,-0.602527207557845,0.0744426907346021,0.126286542026734,FALSE,""
"Zone_SW_Bath_200","X1",-0.288526801707398,-0.661521140055837,0.0844675366410407,0.129490392193269,FALSE,""
"Zone_SW_Bath_400","X1",-0.304297911385837,-0.667816588842325,0.0592207660706506,0.100866645011623,FALSE,""
"Zone_SW_Bath_600","X1",-0.314911384240859,-0.677266239372653,0.0474434708909358,0.0885037093553277,FALSE,""
"Zone_SW_Bath_800","X1",-0.261649832011944,-0.626252340165734,0.102952676141846,0.159566899141569,FALSE,""
"Zone_S_Bath_1000","X1",-0.355500395524165,-0.751403372913518,0.0404025818651882,0.0784169156263276,FALSE,""
"Zone_S_Bath_200","X1",-0.327962350931754,-0.686499985431734,0.0305752835682249,0.0730012847556399,FALSE,""
"Zone_S_Bath_400","X1",-0.327962350931757,-0.686499985431737,0.0305752835682226,0.0730012847556378,FALSE,""
"Zone_S_Bath_600","X1",-0.347440562552042,-0.709301223482114,0.0144200983780304,0.0598550694837247,FALSE,""
"Zone_S_Bath_800","X1",-0.22803959852539,-0.570581914027104,0.114502716976323,0.191960773314814,FALSE,""
"Zone_NW_Bath_1000","X2",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X2",0.084309733166548,0.0156340688718213,0.152985397461275,0.0161215853002214,TRUE,"*"
"Zone_NW_Bath_400","X2",0.112509850170979,0.0426028433696435,0.182416856972313,0.00160823817838733,TRUE,"**"
"Zone_NW_Bath_600","X2",0.116878150114912,0.0461119265999147,0.18764437362991,0.00120753346253654,TRUE,"**"
"Zone_NW_Bath_800","X2",0.00577610349909182,-0.060177072578965,0.0717292795771486,0.863711597896485,FALSE,""
"Zone_SW_Bath_1000","X2",0.82275038995528,0.552712324023511,1.09278845588705,2.34928286508055e-09,TRUE,"***"
"Zone_SW_Bath_200","X2",0.914272975820822,0.596072433316713,1.23247351832493,1.78662815923158e-08,TRUE,"***"
"Zone_SW_Bath_400","X2",0.885911300381427,0.579752663696758,1.1920699370661,1.41618657497607e-08,TRUE,"***"
"Zone_SW_Bath_600","X2",0.883853370515945,0.580157280710805,1.18754946032109,1.16941525834703e-08,TRUE,"***"
"Zone_SW_Bath_800","X2",0.904899760662085,0.6185630061037,1.19123651522047,5.86548185062559e-10,TRUE,"***"
"Zone_S_Bath_1000","X2",-1.00321213437523,-1.31555266325179,-0.69087160549867,3.06917884629235e-10,TRUE,"***"
"Zone_S_Bath_200","X2",-0.633526199825871,-1.1845009360149,-0.0825514636368379,0.024219986904451,TRUE,"*"
"Zone_S_Bath_400","X2",-0.633526199825871,-1.1845009360149,-0.0825514636368376,0.0242199869044511,TRUE,"*"
"Zone_S_Bath_600","X2",-0.785282794184041,-1.22835457623398,-0.342211012134105,0.00051321571781344,TRUE,"***"
"Zone_S_Bath_800","X2",-0.811858190072213,-1.15139395295571,-0.472322427188719,2.78002937075477e-06,TRUE,"***"
"Zone_NW_Bath_1000","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_400","X3",-0.00826884118227388,-0.0797708087203675,0.0632331263558197,0.820688187909732,FALSE,""
"Zone_NW_Bath_600","X3",-0.0162864254766154,-0.0902048389109567,0.057631987957726,0.665858888048454,FALSE,""
"Zone_NW_Bath_800","X3",-0.00218988648836744,-0.059876688572188,0.0554969155954531,0.940689342291861,FALSE,""
"Zone_SW_Bath_1000","X3",0.0178186743865394,-0.619086582659551,0.65472393143263,0.956270841665355,FALSE,""
"Zone_SW_Bath_200","X3",-0.184839526489357,-0.888633356848545,0.518954303869831,0.606726794857216,FALSE,""
"Zone_SW_Bath_400","X3",-0.153232759019543,-0.838412611572621,0.531947093533535,0.66115152023095,FALSE,""
"Zone_SW_Bath_600","X3",-0.141162734772582,-0.825682187068108,0.543356717522945,0.686075199478463,FALSE,""
"Zone_SW_Bath_800","X3",-0.0749783649099735,-0.76861059375728,0.618653863937333,0.832214040824243,FALSE,""
"Zone_S_Bath_1000","X3",0.00762608555212148,-0.708826381974362,0.724078553078605,0.983355492842462,FALSE,""
"Zone_S_Bath_200","X3",0.624651556030174,0.133848822194605,1.11545428986574,0.0126144044306745,TRUE,"*"
"Zone_S_Bath_400","X3",0.624651556030174,0.133848822194604,1.11545428986574,0.0126144044306746,TRUE,"*"
"Zone_S_Bath_600","X3",0.44274142680801,-0.135368758459562,1.02085161207558,0.133349359402307,FALSE,""
"Zone_S_Bath_800","X3",0.271965376360657,-0.317239417291405,0.861170170012718,0.365634444919958,FALSE,""
