"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.744946504422658,1.01269969507577e-08,TRUE
"Zone_NW_Bath_200","X1",0.762395222856511,2.84355339300875e-09,TRUE
"Zone_NW_Bath_400","X1",0.744787050392433,1.02404046544176e-08,TRUE
"Zone_NW_Bath_600","X1",0.735747797634477,1.90037169274207e-08,TRUE
"Zone_NW_Bath_800","X1",0.755245325019759,4.84628718139e-09,TRUE
"Zone_SW_Bath_1000","X1",-0.321014138887465,0.0407129603420118,TRUE
"Zone_SW_Bath_200","X1",-0.349184469861341,0.0252416349671008,TRUE
"Zone_SW_Bath_400","X1",-0.358279287477075,0.0214421395256817,TRUE
"Zone_SW_Bath_600","X1",-0.366586624265064,0.0184016932256801,TRUE
"Zone_SW_Bath_800","X1",-0.328767462687372,0.0358369061161065,TRUE
"Zone_S_Bath_1000","X1",-0.147450298990461,0.357579518691716,FALSE
"Zone_S_Bath_200","X1",-0.161213601580537,0.313957151402737,FALSE
"Zone_S_Bath_400","X1",-0.161213601580537,0.313957151402737,FALSE
"Zone_S_Bath_600","X1",-0.160525662841931,0.316054047518449,FALSE
"Zone_S_Bath_800","X1",-0.0631549229530419,0.694855060933682,FALSE
"Zone_NW_Bath_1000","X2",-0.0971295282535027,0.535507647484036,FALSE
"Zone_NW_Bath_200","X2",-0.0377116572846877,0.810260306409315,FALSE
"Zone_NW_Bath_400","X2",-0.0139484458167483,0.929260667599033,FALSE
"Zone_NW_Bath_600","X2",-0.00926123252397279,0.952998596273067,FALSE
"Zone_NW_Bath_800","X2",-0.0946127410383915,0.546181696446892,FALSE
"Zone_SW_Bath_1000","X2",0.623710531263871,1.32098478810793e-05,TRUE
"Zone_SW_Bath_200","X2",0.699866603601884,3.53908618800017e-07,TRUE
"Zone_SW_Bath_400","X2",0.68067702523384,9.74035937062851e-07,TRUE
"Zone_SW_Bath_600","X2",0.680410686314032,9.87296324748704e-07,TRUE
"Zone_SW_Bath_800","X2",0.685796750538071,7.49033367345714e-07,TRUE
"Zone_S_Bath_1000","X2",-0.728495384085506,6.6904136594092e-08,TRUE
"Zone_S_Bath_200","X2",-0.493613090610114,0.00103969076167534,TRUE
"Zone_S_Bath_400","X2",-0.493613090610114,0.00103969076167534,TRUE
"Zone_S_Bath_600","X2",-0.593303749729496,4.34688747339657e-05,TRUE
"Zone_S_Bath_800","X2",-0.620522294809616,1.50553491857262e-05,TRUE
"Zone_NW_Bath_1000","X3",-0.0391562002486862,0.803133512668146,FALSE
"Zone_NW_Bath_200","X3",-0.040234691381061,0.79782289596824,FALSE
"Zone_NW_Bath_400","X3",-0.0472387209065267,0.763563122254936,FALSE
"Zone_NW_Bath_600","X3",-0.0550040485621484,0.726096527475087,FALSE
"Zone_NW_Bath_800","X3",-0.0421992820096386,0.788172295113209,FALSE
"Zone_SW_Bath_1000","X3",0.00790770798038848,0.96086440806587,FALSE
"Zone_SW_Bath_200","X3",-0.199408359697655,0.211318344916625,FALSE
"Zone_SW_Bath_400","X3",-0.166450188319143,0.298284674017253,FALSE
"Zone_SW_Bath_600","X3",-0.153991491551037,0.336409642994834,FALSE
"Zone_SW_Bath_800","X3",-0.0881469846498279,0.583671322629616,FALSE
"Zone_S_Bath_1000","X3",0.0224305410603394,0.889291110636279,FALSE
"Zone_S_Bath_200","X3",0.615686766262758,1.83080966439132e-05,TRUE
"Zone_S_Bath_400","X3",0.615686766262758,1.83080966439132e-05,TRUE
"Zone_S_Bath_600","X3",0.44270135980821,0.00375024462486038,TRUE
"Zone_S_Bath_800","X3",0.277366108413999,0.0791367822909837,FALSE
