"Series","Trend","Estimate","CI_low","CI_high","p_value","significant","stars"
"Zone_NW_Bath_1000","X1",0.960226357521515,0.6993963884803,1.22105632656273,5.37506430057118e-13,TRUE,"***"
"Zone_NW_Bath_200","X1",0.997805733757157,0.730244310797138,1.26536715671718,2.6871249583872e-13,TRUE,"***"
"Zone_NW_Bath_400","X1",0.984438196075723,0.717932658467029,1.25094373368442,4.49140334962503e-13,TRUE,"***"
"Zone_NW_Bath_600","X1",0.972994513290344,0.708130481949961,1.23785854463073,6.01905931100938e-13,TRUE,"***"
"Zone_NW_Bath_800","X1",0.968814572912164,0.706502196575074,1.23112694924925,4.52483210940509e-13,TRUE,"***"
"Zone_SW_Bath_1000","X1",-0.237693055902974,-0.578563402511565,0.103177290705617,0.171717217940191,FALSE,""
"Zone_SW_Bath_200","X1",-0.214112049982678,-0.589009228684404,0.160785128719048,0.262978625197501,FALSE,""
"Zone_SW_Bath_400","X1",-0.25086395816063,-0.615187537142761,0.1134596208215,0.177150296172077,FALSE,""
"Zone_SW_Bath_600","X1",-0.258462593324958,-0.621845616885465,0.10492043023555,0.163299788967027,FALSE,""
"Zone_SW_Bath_800","X1",-0.213385999605901,-0.579126624797279,0.152354625585478,0.252825984267762,FALSE,""
"Zone_S_Bath_1000","X1",-0.422083787413805,-0.815054460073627,-0.0291131147539831,0.0352767449928133,TRUE,"*"
"Zone_S_Bath_200","X1",-0.336744321427675,-0.690609147180503,0.0171205043251531,0.0621620599114233,FALSE,""
"Zone_S_Bath_400","X1",-0.336744321427674,-0.690609147180503,0.0171205043251538,0.0621620599114238,FALSE,""
"Zone_S_Bath_600","X1",-0.367905704082966,-0.722464320142035,-0.013347088023898,0.0419772791706453,TRUE,"*"
"Zone_S_Bath_800","X1",-0.262637482417395,-0.597322646859933,0.0720476820251427,0.124038223964019,FALSE,""
"Zone_NW_Bath_1000","X2",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X2",-0.0189130580607186,-0.0796426402207386,0.0418165240993012,0.541601495387422,FALSE,""
"Zone_NW_Bath_400","X2",-0.0487671405916829,-0.234699422441681,0.137165141258315,0.607204438279004,FALSE,""
"Zone_NW_Bath_600","X2",-0.0601523000476581,-0.258676566932963,0.138371966837647,0.552603326795462,FALSE,""
"Zone_NW_Bath_800","X2",0.000672466818828583,-0.094016396825996,0.0953613304636532,0.988894296255896,FALSE,""
"Zone_SW_Bath_1000","X2",-0.456966340962144,-2.85775040502254,1.94381772309825,0.70910345753187,FALSE,""
"Zone_SW_Bath_200","X2",-0.644003617808895,-3.02943187529752,1.74142463967973,0.596708803666303,FALSE,""
"Zone_SW_Bath_400","X2",-0.602662285650438,-2.94099851959733,1.73567394829645,0.6134577424796,FALSE,""
"Zone_SW_Bath_600","X2",-0.590794086140086,-2.95171086583147,1.7701226935513,0.623808461904768,FALSE,""
"Zone_SW_Bath_800","X2",-0.55406966762312,-3.06572386725875,1.95758453201251,0.665474640076666,FALSE,""
"Zone_S_Bath_1000","X2",0.559699679576527,-2.24128314143386,3.36068250058692,0.695320455095886,FALSE,""
"Zone_S_Bath_200","X2",0.862145604855721,0.240993610685632,1.48329759902581,0.00652053871061833,TRUE,"**"
"Zone_S_Bath_400","X2",0.862145604855722,0.24099361068563,1.48329759902581,0.00652053871061846,TRUE,"**"
"Zone_S_Bath_600","X2",0.787130254759919,-0.579952793615354,2.15421330313519,0.259110752612397,FALSE,""
"Zone_S_Bath_800","X2",0.665726523908745,-1.05346794315561,2.3849209909731,0.447876423279714,FALSE,""
"Zone_NW_Bath_1000","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_400","X3",0.0506374959034174,-0.0945177346255309,0.195792726432366,0.49414270651584,FALSE,""
"Zone_NW_Bath_600","X3",0.054474753306477,-0.12760102229272,0.236550528905674,0.557609254443313,FALSE,""
"Zone_NW_Bath_800","X3",-0.0220714254047611,-0.0873156995895076,0.0431728487799854,0.507308515858804,FALSE,""
"Zone_SW_Bath_1000","X3",0.697690554454781,-0.911751959712988,2.30713306862255,0.395524705731567,FALSE,""
"Zone_SW_Bath_200","X3",0.692697589433001,-1.54942899512098,2.93482417398698,0.544830625368466,FALSE,""
"Zone_SW_Bath_400","X3",0.678965413206916,-1.4248033212451,2.78273414765893,0.527024801338024,FALSE,""
"Zone_SW_Bath_600","X3",0.685593059958952,-1.37850583503382,2.74969195495172,0.515043570619594,FALSE,""
"Zone_SW_Bath_800","X3",0.729912987557552,-1.20745999027503,2.66728596539013,0.460256689408803,FALSE,""
"Zone_S_Bath_1000","X3",-0.812088321518765,-2.71507649378034,1.09089985074281,0.402928566436001,FALSE,""
"Zone_S_Bath_200","X3",-0.161153497847772,-3.08720504782071,2.76489805212517,0.914038665505297,FALSE,""
"Zone_S_Bath_400","X3",-0.161153497847772,-3.08720504782072,2.76489805212517,0.914038665505297,FALSE,""
"Zone_S_Bath_600","X3",-0.38989963563116,-3.06053503211819,2.28073576085587,0.774766987073753,FALSE,""
"Zone_S_Bath_800","X3",-0.49553639239366,-2.75773548668838,1.76666270190106,0.667681947353532,FALSE,""
