"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.746575430967464,9.0337869446158e-09,TRUE
"Zone_NW_Bath_200","X1",0.775562605713645,1.01311897153175e-09,TRUE
"Zone_NW_Bath_400","X1",0.75746591669289,4.11474488596442e-09,TRUE
"Zone_NW_Bath_600","X1",0.74700733130629,8.76300981469348e-09,TRUE
"Zone_NW_Bath_800","X1",0.75580008989199,4.65291475305104e-09,TRUE
"Zone_SW_Bath_1000","X1",-0.310584180010665,0.0481108586945169,TRUE
"Zone_SW_Bath_200","X1",-0.308501064818641,0.0497109921505339,TRUE
"Zone_SW_Bath_400","X1",-0.331696618050708,0.0341240925428055,TRUE
"Zone_SW_Bath_600","X1",-0.337294440862394,0.0310377205484113,TRUE
"Zone_SW_Bath_800","X1",-0.304192002703876,0.0531570710730711,FALSE
"Zone_S_Bath_1000","X1",-0.208789336144179,0.190177984240249,FALSE
"Zone_S_Bath_200","X1",-0.168423335677653,0.29251190349479,FALSE
"Zone_S_Bath_400","X1",-0.168423335677653,0.29251190349479,FALSE
"Zone_S_Bath_600","X1",-0.180162925521891,0.259664914659737,FALSE
"Zone_S_Bath_800","X1",-0.0977470268338361,0.543194512040559,FALSE
"Zone_NW_Bath_1000","X2",0.0266038168836551,0.865527536263423,FALSE
"Zone_NW_Bath_200","X2",0.0115311685358897,0.941496453652211,FALSE
"Zone_NW_Bath_400","X2",-0.00854848248478495,0.956612274169816,FALSE
"Zone_NW_Bath_600","X2",-0.0192489907691894,0.902490480998548,FALSE
"Zone_NW_Bath_800","X2",0.0240648714079775,0.878259512402437,FALSE
"Zone_SW_Bath_1000","X2",-0.318890788794755,0.0421386509961219,TRUE
"Zone_SW_Bath_200","X2",-0.494796317079984,0.00100673815491929,TRUE
"Zone_SW_Bath_400","X2",-0.460947772410895,0.00242126097741686,TRUE
"Zone_SW_Bath_600","X2",-0.449104949480285,0.00322509158463161,TRUE
"Zone_SW_Bath_800","X2",-0.403038441013055,0.00898158845093361,TRUE
"Zone_S_Bath_1000","X2",0.358763791844667,0.0212539539189555,TRUE
"Zone_S_Bath_200","X2",0.747863062522104,1.91695032279849e-08,TRUE
"Zone_S_Bath_400","X2",0.747863062522104,1.91695032279849e-08,TRUE
"Zone_S_Bath_600","X2",0.640580305144592,6.45079921818644e-06,TRUE
"Zone_S_Bath_800","X2",0.520367551899575,0.000487515602776337,TRUE
"Zone_NW_Bath_1000","X3",-0.11652165093095,0.456810822466225,FALSE
"Zone_NW_Bath_200","X3",-0.0874098204954525,0.5772793810498,FALSE
"Zone_NW_Bath_400","X3",-0.067252997421584,0.668288650477066,FALSE
"Zone_NW_Bath_600","X3",-0.0650069423819258,0.678759574834933,FALSE
"Zone_NW_Bath_800","X3",-0.117123497105079,0.454473082008767,FALSE
"Zone_SW_Bath_1000","X3",0.490849709712361,0.00112041157521016,TRUE
"Zone_SW_Bath_200","X3",0.443223014557639,0.00370483407974826,TRUE
"Zone_SW_Bath_400","X3",0.445274429330032,0.003530880065207,TRUE
"Zone_SW_Bath_600","X3",0.454187003809772,0.00285530301898261,TRUE
"Zone_SW_Bath_800","X3",0.493265633000787,0.00104954773957444,TRUE
"Zone_S_Bath_1000","X3",-0.551098129487301,0.000188422494677853,TRUE
"Zone_S_Bath_200","X3",0.0161472195512089,0.920184250808654,FALSE
"Zone_S_Bath_400","X3",0.0161472195512089,0.920184250808654,FALSE
"Zone_S_Bath_600","X3",-0.177482945177694,0.266937700418242,FALSE
"Zone_S_Bath_800","X3",-0.294561053518669,0.0615533926717209,FALSE
