"Series","Trend","Estimate","CI_low","CI_high","p_value","significant","stars"
"Zone_NW_Bath_1000","X1",1.5824898267367,1.46295845699463,1.70202119647876,1.90571551048145e-148,TRUE,"***"
"Zone_NW_Bath_200","X1",1.38356634870342,1.27483794273372,1.49229475467312,2.70780633630802e-137,TRUE,"***"
"Zone_NW_Bath_400","X1",1.4861125582481,1.37250653210269,1.59971858439351,5.63097571734633e-145,TRUE,"***"
"Zone_NW_Bath_600","X1",1.58578193803844,1.46603840641047,1.70552546966641,1.55156716325149e-148,TRUE,"***"
"Zone_NW_Bath_800","X1",1.60201909888339,1.48126836803917,1.7227698297276,4.56177428077911e-149,TRUE,"***"
"Zone_SW_Bath_1000","X1",-0.0523822818470546,-0.192592053967451,0.0878274902733415,0.464021300308841,FALSE,""
"Zone_SW_Bath_200","X1",0.0895147097084587,-0.0187941553071482,0.197823574724066,0.105261542595435,FALSE,""
"Zone_SW_Bath_400","X1",-0.0732133914605106,-0.176055653570581,0.0296288706495596,0.162925972045672,FALSE,""
"Zone_SW_Bath_600","X1",0.0889856730981885,-0.0238665951469019,0.201837941343279,0.122234934362811,FALSE,""
"Zone_SW_Bath_800","X1",0.115217584019678,-0.00191184633380351,0.232347014373159,0.0538585527656471,FALSE,""
"Zone_S_Bath_1000","X1",-0.711224219256813,-0.853936269799642,-0.568512168713985,1.54871817738207e-22,TRUE,"***"
"Zone_S_Bath_200","X1",-0.53826954240135,-0.639073559598285,-0.437465525204414,1.24099349466768e-25,TRUE,"***"
"Zone_S_Bath_400","X1",-0.538269542401347,-0.639073559598282,-0.437465525204411,1.24099349466829e-25,TRUE,"***"
"Zone_S_Bath_600","X1",-0.955499470597549,-1.07285211420923,-0.838146826985872,2.49574463849826e-57,TRUE,"***"
"Zone_S_Bath_800","X1",-0.84855201429268,-0.971939267159591,-0.72516476142577,2.08028773181532e-41,TRUE,"***"
"Zone_NW_Bath_1000","X2",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X2",-0.168859759500669,-0.192167744528389,-0.14555177447295,9.24202474467075e-46,TRUE,"***"
"Zone_NW_Bath_400","X2",0.00410023259569882,-0.0175015295398667,0.0257019947312644,0.709877246235287,FALSE,""
"Zone_NW_Bath_600","X2",-0.0249944177492071,-0.0457977510200715,-0.00419108447834271,0.0185315521113517,TRUE,"*"
"Zone_NW_Bath_800","X2",-0.0121642387324563,-0.0330249562880119,0.0086964788230992,0.253084975047885,FALSE,""
"Zone_SW_Bath_1000","X2",1.11174355775243,0.985780847813228,1.23770626769163,4.82038828779535e-67,TRUE,"***"
"Zone_SW_Bath_200","X2",0.783092587803704,0.683084854086712,0.883100321520696,3.7011579533247e-53,TRUE,"***"
"Zone_SW_Bath_400","X2",0.710994654881604,0.612093070284661,0.809896239478547,4.37524666866407e-45,TRUE,"***"
"Zone_SW_Bath_600","X2",0.823799220728144,0.719253790173549,0.928344651282739,8.25911995822224e-54,TRUE,"***"
"Zone_SW_Bath_800","X2",0.86961439513405,0.762506981621843,0.976721808646258,5.13892734608045e-57,TRUE,"***"
"Zone_S_Bath_1000","X2",0.0874985085607984,-0.104758299878451,0.279755317000047,0.372390556099698,FALSE,""
"Zone_S_Bath_200","X2",-0.599170500626121,-0.705155156465468,-0.493185844786775,1.5616963850607e-28,TRUE,"***"
"Zone_S_Bath_400","X2",-0.599170500626122,-0.705155156465467,-0.493185844786776,1.56169638506008e-28,TRUE,"***"
"Zone_S_Bath_600","X2",-0.458183493986629,-0.590168032474913,-0.326198955498345,1.0175168228355e-11,TRUE,"***"
"Zone_S_Bath_800","X2",-0.254643666765908,-0.410355749199388,-0.0989315843324291,0.00134956468102818,TRUE,"**"
"Zone_NW_Bath_1000","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_400","X3",-0.0591879567921724,-0.0789459906058525,-0.0394299229784923,4.3226959786738e-09,TRUE,"***"
"Zone_NW_Bath_600","X3",-0.017143687812245,-0.0357529572552298,0.00146558163073981,0.070979887058565,FALSE,""
"Zone_NW_Bath_800","X3",-0.000236602706893412,-0.019591094525951,0.0191178891121642,0.980884549527189,FALSE,""
"Zone_SW_Bath_1000","X3",-0.572707401877139,-0.722394180818824,-0.423020622935454,6.43566001644179e-14,TRUE,"***"
"Zone_SW_Bath_200","X3",-0.472001668392494,-0.584628970803641,-0.359374365981346,2.14167482088514e-16,TRUE,"***"
"Zone_SW_Bath_400","X3",-0.467382972678882,-0.574165484242543,-0.360600461115221,9.59618213178415e-18,TRUE,"***"
"Zone_SW_Bath_600","X3",-0.499124905169936,-0.616651404979523,-0.38159840536035,8.51887706305496e-17,TRUE,"***"
"Zone_SW_Bath_800","X3",-0.508553526535762,-0.630637297098297,-0.386469755973228,3.22908396021905e-16,TRUE,"***"
"Zone_S_Bath_1000","X3",1.17157270775756,1.06233557526877,1.28080984024634,4.24187864962542e-98,TRUE,"***"
"Zone_S_Bath_200","X3",0.49514677114179,0.406131734930226,0.584161807353354,1.12363299867573e-27,TRUE,"***"
"Zone_S_Bath_400","X3",0.495146771141789,0.406131734930225,0.584161807353352,1.12363299867588e-27,TRUE,"***"
"Zone_S_Bath_600","X3",0.680234635821786,0.585337860207838,0.775131411435734,7.77747127193398e-45,TRUE,"***"
"Zone_S_Bath_800","X3",0.896384544602324,0.801044803313815,0.991724285890832,7.892500887708e-76,TRUE,"***"
