"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.799622876071759,2.68805762508563e-81,TRUE
"Zone_NW_Bath_200","X1",0.758257474904303,3.60203412444931e-70,TRUE
"Zone_NW_Bath_400","X1",0.808113472259262,1.87335728948438e-85,TRUE
"Zone_NW_Bath_600","X1",0.812006937997812,5.7817926165576e-86,TRUE
"Zone_NW_Bath_800","X1",0.809708417922372,6.97878895563106e-85,TRUE
"Zone_SW_Bath_1000","X1",-0.112843462709448,0.0330521488624156,TRUE
"Zone_SW_Bath_200","X1",-0.0649309178600956,0.20722746984491,FALSE
"Zone_SW_Bath_400","X1",-0.184097421764551,0.000320414834538665,TRUE
"Zone_SW_Bath_600","X1",-0.0612273113974856,0.235628391012707,FALSE
"Zone_SW_Bath_800","X1",-0.00471863478443859,0.927533038527986,FALSE
"Zone_S_Bath_1000","X1",-0.295740719300273,6.33890664225997e-09,TRUE
"Zone_S_Bath_200","X1",-0.338502800731625,2.92148737156181e-12,TRUE
"Zone_S_Bath_400","X1",-0.338502800731625,2.92148737156181e-12,TRUE
"Zone_S_Bath_600","X1",-0.568119539113312,5.74179578305028e-35,TRUE
"Zone_S_Bath_800","X1",-0.425440575362275,2.34506325224772e-18,TRUE
"Zone_NW_Bath_1000","X2",0.126966672303708,0.0159346992481724,TRUE
"Zone_NW_Bath_200","X2",0.0155650810820539,0.7657038822481,FALSE
"Zone_NW_Bath_400","X2",0.157347522331615,0.00257310755145392,TRUE
"Zone_NW_Bath_600","X2",0.0904481398352759,0.0861485748096973,FALSE
"Zone_NW_Bath_800","X2",0.116023409343388,0.0277238343849309,TRUE
"Zone_SW_Bath_1000","X2",0.610198000191265,8.60827180205136e-38,TRUE
"Zone_SW_Bath_200","X2",0.57012393139179,4.71972465481677e-34,TRUE
"Zone_SW_Bath_400","X2",0.499971686707245,2.6688846029546e-25,TRUE
"Zone_SW_Bath_600","X2",0.578825745655733,4.20806804545398e-35,TRUE
"Zone_SW_Bath_800","X2",0.554329020106162,1.63564597169092e-31,TRUE
"Zone_S_Bath_1000","X2",0.264834914883803,2.2598267833915e-07,TRUE
"Zone_S_Bath_200","X2",-0.317754121485679,6.61966876972617e-11,TRUE
"Zone_S_Bath_400","X2",-0.317754121485679,6.61966876972617e-11,TRUE
"Zone_S_Bath_600","X2",0.0874534234729202,0.0833638791029433,FALSE
"Zone_S_Bath_800","X2",0.143988809749962,0.00464254249683316,TRUE
"Zone_NW_Bath_1000","X3",0.169416007354307,0.00125262434353129,TRUE
"Zone_NW_Bath_200","X3",0.0885284161560719,0.0894811187792916,FALSE
"Zone_NW_Bath_400","X3",0.0711536938775695,0.174957171273955,FALSE
"Zone_NW_Bath_600","X3",0.143129701588269,0.00644824826621915,TRUE
"Zone_NW_Bath_800","X3",0.163282956557924,0.00188238770215924,TRUE
"Zone_SW_Bath_1000","X3",-0.245294813741776,2.72798376459205e-06,TRUE
"Zone_SW_Bath_200","X3",-0.249414611029509,8.76678377816573e-07,TRUE
"Zone_SW_Bath_400","X3",-0.266102327762027,1.508917148298e-07,TRUE
"Zone_SW_Bath_600","X3",-0.245805575008561,1.35744570344983e-06,TRUE
"Zone_SW_Bath_800","X3",-0.25630926920609,5.05089315978028e-07,TRUE
"Zone_S_Bath_1000","X3",0.688512497392424,1.96456649532035e-53,TRUE
"Zone_S_Bath_200","X3",0.436329804196132,3.6796147723937e-20,TRUE
"Zone_S_Bath_400","X3",0.436329804196132,3.6796147723937e-20,TRUE
"Zone_S_Bath_600","X3",0.45135764072116,4.02535863745249e-21,TRUE
"Zone_S_Bath_800","X3",0.625587801348737,3.28891466782081e-43,TRUE
