"Parameter","m","R_structure","AICc","logLik","converged","degenerate","min_R_variance","min_Q_variance","degenerate_R_series","degenerate_Q_trend","delta_AICc","AICc_support"
"activity_degC_days_m2",3,"diagonal and unequal",-2341.2692969969,-3366.0122383789,FALSE,TRUE,-8.51897554962982e-11,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"activity_degC_days_m2",3,"equalvarcov",6536.28291240858,-3223.78725226869,FALSE,FALSE,0.570449076115527,1,NA,NA,8877.55220940548,"No support"
"activity_degC_days_m2",2,"equalvarcov",7524.00522479413,-3730.82556438707,TRUE,FALSE,0.688633061686796,1,NA,NA,9865.27452179103,"No support"
"activity_degC_days_m2",3,"diagonal and equal",7610.423724588,-3761.87346129239,FALSE,FALSE,0.0793859418742893,1,NA,NA,9951.6930215849,"No support"
"activity_degC_days_m2",2,"diagonal and unequal",8202.87072475288,-4057.08115844084,FALSE,FALSE,0.00075572361882481,1,NA,NA,10544.1400217498,"No support"
"activity_degC_days_m2",1,"equalvarcov",11121.6087247906,-5543.74988491621,TRUE,FALSE,1.0138978780356,1,NA,NA,13462.8780217875,"No support"
"activity_degC_days_m2",2,"diagonal and equal",11200.1190963282,-5569.89359527332,TRUE,FALSE,0.236518485069138,1,NA,NA,13541.3883933251,"No support"
"activity_degC_days_m2",1,"diagonal and unequal",11784.5434588312,-5862.1057765248,TRUE,FALSE,0.00813094833386636,1,NA,NA,14125.8127558281,"No support"
"activity_degC_days_m2",1,"diagonal and equal",13613.8711071155,-6790.88713775144,TRUE,FALSE,0.477869271217174,1,NA,NA,15955.1404041124,"No support"
"mean_area_km2",3,"diagonal and unequal",-964.48790443533,-819.877036828843,FALSE,TRUE,-1.59248539422006e-10,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"mean_area_km2",3,"equalvarcov",1794.21034886513,-852.357440293594,FALSE,FALSE,0.335181365221733,1,NA,NA,2758.69825330046,"No support"
"mean_area_km2",2,"diagonal and unequal",2006.1901373013,-958.347334511677,FALSE,FALSE,0.000901308456966411,1,NA,NA,2970.67804173663,"No support"
"mean_area_km2",3,"diagonal and equal",2947.22161616412,-1429.89657629648,FALSE,FALSE,0.0489881970719058,1,NA,NA,3911.70952059945,"No support"
"mean_area_km2",2,"equalvarcov",3059.49379330246,-1498.37410446784,TRUE,FALSE,0.496253057014056,1,NA,NA,4023.98169773779,"No support"
"mean_area_km2",1,"diagonal and unequal",4546.01752595498,-2242.65940159507,TRUE,FALSE,0.00174921525805217,1,NA,NA,5510.50543039031,"No support"
"mean_area_km2",1,"equalvarcov",5483.57042463881,-2724.67081979604,TRUE,FALSE,0.885141613508498,1,NA,NA,6448.05832907414,"No support"
"mean_area_km2",2,"diagonal and equal",5598.01386212962,-2768.65756968239,TRUE,FALSE,0.231730801038576,1,NA,NA,6562.50176656495,"No support"
"mean_area_km2",1,"diagonal and equal",6904.26035687181,-3436.02853419076,TRUE,FALSE,0.564428273040218,1,NA,NA,7868.74826130714,"No support"
"mean_duration_days",3,"diagonal and unequal",-3319.45653729158,153.970484354554,FALSE,TRUE,-4.77207883138211e-09,1,"Zone_NW_Bath_600; Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
