"Trend_A","Trend_B","Correlation","p_value","significant","Parameter_A","Parameter_B","same_parameter"
"mean_area_km2_X1","mean_area_km2_X1",1,NA,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_area_km2_X2","mean_area_km2_X1",-0.0830097715137056,0.164474267510679,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_area_km2_X3","mean_area_km2_X1",0.0666914070667075,0.264333163321082,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_duration_days_X1","mean_area_km2_X1",-0.00789015858160037,0.895054031007423,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_duration_days_X2","mean_area_km2_X1",-0.0278004072210912,0.642028499116402,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_duration_days_X3","mean_area_km2_X1",-0.0397242774046033,0.506444972427718,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_intensity_degC_X1","mean_area_km2_X1",-0.040321668716486,0.500068013563673,FALSE,"mean_intensity_degC","mean_area_km2",FALSE
"mean_intensity_degC_X2","mean_area_km2_X1",-0.0677992502618104,0.256462400464497,FALSE,"mean_intensity_degC","mean_area_km2",FALSE
"mean_intensity_degC_X3","mean_area_km2_X1",0.0545848929771961,0.361113249707229,FALSE,"mean_intensity_degC","mean_area_km2",FALSE
"number_of_events_X1","mean_area_km2_X1",-0.209874091803868,0.000387681456755802,TRUE,"number_of_events","mean_area_km2",FALSE
"number_of_events_X2","mean_area_km2_X1",0.0545958002676485,0.361017159364313,FALSE,"number_of_events","mean_area_km2",FALSE
"number_of_events_X3","mean_area_km2_X1",-0.200381920079183,0.000713264669473363,TRUE,"number_of_events","mean_area_km2",FALSE
"mean_area_km2_X1","mean_area_km2_X2",-0.0830097715137056,0.164474267510679,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_area_km2_X2","mean_area_km2_X2",1,NA,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_area_km2_X3","mean_area_km2_X2",-0.00959949735170719,0.872494580796945,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_duration_days_X1","mean_area_km2_X2",-0.110653194361224,0.0635060434423652,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_duration_days_X2","mean_area_km2_X2",-0.0397371107431839,0.50630753507512,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_duration_days_X3","mean_area_km2_X2",-0.0297263179880231,0.619130951990388,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_intensity_degC_X1","mean_area_km2_X2",-0.312103576132801,8.6931744182474e-08,TRUE,"mean_intensity_degC","mean_area_km2",FALSE
