"Series","Trend","Estimate","CI_low","CI_high","p_value","significant","stars"
"Zone_NW_Bath_1000","X1",1.12742669341261,0.99993018284278,1.25492320398244,2.71768491277402e-67,TRUE,"***"
"Zone_NW_Bath_200","X1",1.13294539517925,1.00332437850203,1.26256641185647,8.72070829295793e-66,TRUE,"***"
"Zone_NW_Bath_400","X1",1.13349937197426,1.00502913654616,1.26196960740236,5.32427161352878e-67,TRUE,"***"
"Zone_NW_Bath_600","X1",1.13948301344403,1.01076929708109,1.26819672980697,1.92951698504688e-67,TRUE,"***"
"Zone_NW_Bath_800","X1",1.12833134319806,1.0005682031145,1.25609448328161,4.00345196016945e-67,TRUE,"***"
"Zone_SW_Bath_1000","X1",-0.688193006679106,-0.841711519380092,-0.53467449397812,1.54801371843118e-18,TRUE,"***"
"Zone_SW_Bath_200","X1",-0.76986580842262,-0.934525981312613,-0.605205635532628,5.01115292211622e-20,TRUE,"***"
"Zone_SW_Bath_400","X1",-0.782329631954888,-0.950315187096608,-0.614344076813169,6.99078647261361e-20,TRUE,"***"
"Zone_SW_Bath_600","X1",-0.769927055615726,-0.933811235705592,-0.60604287552586,3.32564326816582e-20,TRUE,"***"
"Zone_SW_Bath_800","X1",-0.774019350991737,-0.938333191720689,-0.609705510262784,2.6404960158158e-20,TRUE,"***"
"Zone_S_Bath_1000","X1",-0.406372342461476,-0.581299782455936,-0.231444902467015,5.2842410886951e-06,TRUE,"***"
"Zone_S_Bath_200","X1",-0.617700118465301,-0.899093281119135,-0.336306955811468,1.68946975656799e-05,TRUE,"***"
"Zone_S_Bath_400","X1",-0.617700118465332,-0.899093281119166,-0.336306955811498,1.68946975656639e-05,TRUE,"***"
"Zone_S_Bath_600","X1",-0.66483023252707,-0.943690423198471,-0.385970041855668,2.97196775254495e-06,TRUE,"***"
"Zone_S_Bath_800","X1",-0.662406626381094,-0.884440900922281,-0.440372351839906,4.9972258247091e-09,TRUE,"***"
"Zone_NW_Bath_1000","X2",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X2",0.103503352032835,0.0780707478381784,0.128935956227491,1.50556752469376e-15,TRUE,"***"
"Zone_NW_Bath_400","X2",0.0441128263837502,0.0203933716805227,0.0678322810869777,0.000267298074581941,TRUE,"***"
"Zone_NW_Bath_600","X2",0.0202385482151398,-0.00295420264310384,0.0434312990733834,0.087208309524395,FALSE,""
"Zone_NW_Bath_800","X2",0.0260828222273491,0.00308475587299305,0.0490808885817051,0.0262255045093655,TRUE,"*"
"Zone_SW_Bath_1000","X2",0.772579332659857,0.64377907186923,0.901379593450483,6.54648804067178e-32,TRUE,"***"
"Zone_SW_Bath_200","X2",0.772995885017134,0.621983268722535,0.924008501311733,1.09629432780179e-23,TRUE,"***"
"Zone_SW_Bath_400","X2",0.810750917167319,0.661187205761478,0.960314628573159,2.29188892795975e-26,TRUE,"***"
"Zone_SW_Bath_600","X2",0.78552003567699,0.639206936740107,0.931833134613874,6.79875247700752e-26,TRUE,"***"
"Zone_SW_Bath_800","X2",0.796215132747175,0.65172928657698,0.940700978917369,3.41468198246497e-27,TRUE,"***"
"Zone_S_Bath_1000","X2",-0.784250406467599,-0.960918953499086,-0.607581859436112,3.30460358977675e-18,TRUE,"***"
"Zone_S_Bath_200","X2",0.0212132839882337,-0.387739846937714,0.430166414914181,0.919020541118236,FALSE,""
"Zone_S_Bath_400","X2",0.021213283988232,-0.387739846937718,0.430166414914182,0.919020541118243,FALSE,""
"Zone_S_Bath_600","X2",-0.282053669883417,-0.681326080100833,0.117218740333999,0.166188255477787,FALSE,""
"Zone_S_Bath_800","X2",-0.686733451508086,-0.96345832513706,-0.410008577879112,1.150725446166e-06,TRUE,"***"
"Zone_NW_Bath_1000","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_400","X3",-0.0136959744959042,-0.0327968167465798,0.00540486775477143,0.159913366729685,FALSE,""
"Zone_NW_Bath_600","X3",-0.004718992255035,-0.0248162859373111,0.0153783014272411,0.645362660568529,FALSE,""
"Zone_NW_Bath_800","X3",-0.00064464253957516,-0.0202643947312143,0.018975109652064,0.948653186179965,FALSE,""
"Zone_SW_Bath_1000","X3",-0.157382117674691,-0.339953971015172,0.0251897356657909,0.0911151191705554,FALSE,""
"Zone_SW_Bath_200","X3",-0.33104588027246,-0.519392384320006,-0.142699376224915,0.000571235566132377,TRUE,"***"
"Zone_SW_Bath_400","X3",-0.298675147218394,-0.493239661243383,-0.104110633193405,0.00262340187187977,TRUE,"**"
"Zone_SW_Bath_600","X3",-0.289647852725559,-0.479210120051645,-0.100085585399473,0.00274633009016797,TRUE,"**"
"Zone_SW_Bath_800","X3",-0.266957787845319,-0.458189754730446,-0.0757258209601913,0.00621742389276955,TRUE,"**"
"Zone_S_Bath_1000","X3",0.551857815093678,0.367436195069828,0.736279435117529,4.49299452124615e-09,TRUE,"***"
"Zone_S_Bath_200","X3",1.60410145718907,1.41578265370175,1.7924202606764,1.42536189578138e-62,TRUE,"***"
"Zone_S_Bath_400","X3",1.60410145718908,1.41578265370175,1.79242026067641,1.42536189578274e-62,TRUE,"***"
"Zone_S_Bath_600","X3",1.55763448056761,1.3649250601047,1.75034390103051,1.59597016523383e-56,TRUE,"***"
"Zone_S_Bath_800","X3",1.00926290052975,0.815178935898332,1.20334686516117,2.15115800132796e-24,TRUE,"***"
