"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.880837470904371,1.29744271925535e-63,TRUE
"Zone_NW_Bath_200","X1",0.868108826424743,4.90630061784466e-56,TRUE
"Zone_NW_Bath_400","X1",0.873425158318086,4.99053291469046e-60,TRUE
"Zone_NW_Bath_600","X1",0.878907510129376,1.05945317686322e-61,TRUE
"Zone_NW_Bath_800","X1",0.877469659261463,3.24258640983249e-62,TRUE
"Zone_SW_Bath_1000","X1",-0.600872691551026,2.08231608762522e-21,TRUE
"Zone_SW_Bath_200","X1",-0.618184379840489,1.12828756110872e-20,TRUE
"Zone_SW_Bath_400","X1",-0.60756243006617,9.56269464199575e-20,TRUE
"Zone_SW_Bath_600","X1",-0.606779405823019,4.33013976233933e-20,TRUE
"Zone_SW_Bath_800","X1",-0.603096238741096,4.1870680881988e-20,TRUE
"Zone_S_Bath_1000","X1",-0.266118916961726,0.000214559945161985,TRUE
"Zone_S_Bath_200","X1",-0.15836208962299,0.0553963852789557,FALSE
"Zone_S_Bath_400","X1",-0.15836208962299,0.0553963852789557,FALSE
"Zone_S_Bath_600","X1",-0.132332496156221,0.0985049117152153,FALSE
"Zone_S_Bath_800","X1",-0.293132029478277,0.000104738983845995,TRUE
"Zone_NW_Bath_1000","X2",-0.0204888333461406,0.777884208165765,FALSE
"Zone_NW_Bath_200","X2",0.0519686911501523,0.488407399134224,FALSE
"Zone_NW_Bath_400","X2",0.0245230098159271,0.738341607826166,FALSE
"Zone_NW_Bath_600","X2",0.000823278042504906,0.991053558779308,FALSE
"Zone_NW_Bath_800","X2",0.0162015675799332,0.823959771559422,FALSE
"Zone_SW_Bath_1000","X2",0.731659488096521,1.83912736013119e-35,TRUE
"Zone_SW_Bath_200","X2",0.6808488598952,2.87583362455375e-26,TRUE
"Zone_SW_Bath_400","X2",0.66488672045189,1.37994166533539e-24,TRUE
"Zone_SW_Bath_600","X2",0.683789909307497,5.5930965154793e-27,TRUE
"Zone_SW_Bath_800","X2",0.688004484623533,7.72020852813602e-28,TRUE
"Zone_S_Bath_1000","X2",-0.695679547132083,1.13688859562095e-28,TRUE
"Zone_S_Bath_200","X2",0.182547991721225,0.0268968241615391,TRUE
"Zone_S_Bath_400","X2",0.182547991721225,0.0268968241615391,TRUE
"Zone_S_Bath_600","X2",-0.0281260470768713,0.726585361806894,FALSE
"Zone_S_Bath_800","X2",-0.366665401342457,8.75080683086444e-07,TRUE
"Zone_NW_Bath_1000","X3",0.0508439020967434,0.483698479461448,FALSE
"Zone_NW_Bath_200","X3",0.0785096078447095,0.294824471404241,FALSE
"Zone_NW_Bath_400","X3",0.0548006018785081,0.455100848366353,FALSE
"Zone_NW_Bath_600","X3",0.0626284484372008,0.393199474518129,FALSE
"Zone_NW_Bath_800","X3",0.0557371877652111,0.443770111493459,FALSE
"Zone_SW_Bath_1000","X3",-0.206865483719931,0.00299108035593093,TRUE
"Zone_SW_Bath_200","X3",-0.372607320475076,2.0552143132057e-07,TRUE
"Zone_SW_Bath_400","X3",-0.302688054097937,3.27858978844491e-05,TRUE
"Zone_SW_Bath_600","X3",-0.321687915901002,7.56104961126817e-06,TRUE
"Zone_SW_Bath_800","X3",-0.288528530815112,5.66707359499902e-05,TRUE
"Zone_S_Bath_1000","X3",0.515745696139241,3.08894676606201e-14,TRUE
"Zone_S_Bath_200","X3",0.834405067595376,2.41082779202e-39,TRUE
"Zone_S_Bath_400","X3",0.834405067595376,2.41082779202e-39,TRUE
"Zone_S_Bath_600","X3",0.817330020006401,5.99291743052275e-39,TRUE
"Zone_S_Bath_800","X3",0.652163802073521,5.79212025929164e-22,TRUE
