"","1981_11","1982_02","1982_05","1982_07","1982_09","1983_03","1983_07","1983_08","1983_10","1983_11","1983_12","1984_07","1985_07","1985_09","1985_10","1986_09","1986_10","1987_03","1987_05","1987_07","1987_08","1987_09","1988_03","1988_06","1988_07","1988_11","1989_01","1989_02","1989_03","1989_05","1989_06","1989_07","1989_08","1989_10","1989_12","1990_01","1990_02","1990_03","1990_05","1990_07","1990_08","1990_09","1991_08","1991_09","1993_02","1993_06","1993_07","1994_03","1994_06","1994_07","1994_12","1995_01","1995_02","1995_03","1995_04","1995_07","1995_08","1995_10","1995_11","1995_12","1996_01","1996_02","1996_04","1996_06","1996_07","1997_02","1997_03","1997_04","1997_05","1997_06","1997_07","1997_08","1997_09","1997_10","1997_11","1997_12","1998_01","1998_02","1998_03","1998_04","1999_04","1999_05","1999_06","1999_08","1999_09","2000_03","2000_05","2000_06","2000_07","2000_08","2001_03","2001_08","2001_09","2002_01","2002_02","2002_03","2002_09","2002_10","2003_03","2003_06","2003_07","2003_08","2003_09","2004_02","2004_06","2004_07","2004_08","2004_09","2004_10","2005_05","2005_06","2005_07","2005_08","2005_10","2005_11","2006_03","2006_05","2006_06","2006_07","2006_08","2006_09","2006_10","2006_11","2006_12","2007_01","2007_02","2007_03","2007_07","2007_08","2007_10","2007_11","2007_12","2008_01","2008_02","2008_03","2008_04","2008_06","2008_07","2008_08","2008_09","2009_06","2009_07","2009_08","2009_10","2009_11","2009_12","2010_01","2010_02","2010_03","2010_04","2010_05","2010_06","2010_07","2010_08","2010_09","2011_01","2011_02","2011_03","2011_04","2011_05","2011_06","2011_07","2011_08","2011_09","2011_10","2011_12","2012_03","2012_05","2012_06","2012_08","2012_09","2012_10","2012_11","2013_04","2013_05","2013_07","2013_08","2013_09","2013_10","2013_11","2014_04","2014_05","2014_06","2014_08","2014_09","2014_10","2014_11","2015_04","2015_05","2015_06","2015_07","2015_08","2015_10","2015_11","2015_12","2016_01","2016_02","2016_06","2016_07","2016_08","2016_09","2016_11","2016_12","2017_01","2017_03","2017_04","2017_05","2017_06","2017_08","2017_09","2017_10","2017_11","2017_12","2018_07","2018_09","2018_10","2019_01","2019_02","2019_03","2019_07","2019_09","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_04","2021_05","2021_06","2021_08","2021_09","2021_10","2022_02","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02","2023_03","2023_04","2023_05","2023_06","2023_07","2023_08","2023_09","2023_10","2023_11","2023_12","2024_01","2024_02","2024_03","2024_04","2024_05","2024_07","2024_08","2024_10","2024_11","2024_12","2025_01","2025_02","2025_03","2025_04","2025_05","2025_06","2025_07","2025_08","2025_09","2025_10","2025_11"
"Zone_NW_Bath_1000",NA,6,NA,5,NA,NA,7.71428571428571,7.5,NA,12.6470588235294,5,7.75,5.33333333333333,NA,NA,7.55555555555556,NA,6,NA,NA,NA,5.2,5.16666666666667,5,5,10.1333333333333,5,6.33333333333333,6,8.83333333333333,6.1,32.1,20.56,6,10.9473684210526,13.4705882352941,13.84,7.91304347826087,9.27272727272727,15.0909090909091,7.09090909090909,NA,24.7142857142857,16.3333333333333,6,5.71428571428571,NA,NA,5.65,5,11,5,NA,5,NA,16.56,5,NA,6.58333333333333,23.125,6.2,8,5,NA,NA,71.04,56.5555555555556,9,13.3333333333333,5.6875,NA,6,6,6.59259259259259,5.875,7.5,11.1904761904762,15.7941176470588,17.6041666666667,NA,NA,NA,5.25,14.6511627906977,6.33333333333333,NA,5.2,8,5.5,NA,5,6,NA,12.6190476190476,10.1,8.375,11,6.8125,5,NA,NA,7.74193548387097,9.8,NA,11.6666666666667,28,24.1875,NA,NA,5,6.11111111111111,5.85714285714286,6,NA,NA,NA,23.8571428571429,15.4761904761905,19.3611111111111,NA,13.6666666666667,46.2558139534884,22.6666666666667,8.07142857142857,16.1111111111111,5.75,7.1578947368421,6.5,5,NA,NA,NA,5,9.6271186440678,NA,5,NA,6.375,5,7.5,18.6969696969697,5,NA,10.24,5,5,NA,NA,NA,12.4705882352941,6.8,6.2,NA,6.25,6.75,8.33333333333333,6.55555555555556,NA,25.7543859649123,8,NA,NA,NA,10.25,5.57142857142857,8,5,11.1428571428571,8.42857142857143,15.1515151515152,8.57142857142857,7.57142857142857,NA,NA,NA,14.8888888888889,6,NA,13,6.66666666666667,5.42857142857143,7.14285714285714,11.0952380952381,8.86363636363636,56.2258064516129,18.9090909090909,8.7,NA,NA,5.5,6.57142857142857,5.25,5,18.3636363636364,30.8235294117647,12.1724137931034,7.73913043478261,8.3125,NA,NA,NA,NA,6,NA,5,7.5,7.42105263157895,7,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,6.125,NA,NA,NA,9.06666666666667,5.2,NA,17.7173913043478,NA,NA,8.61111111111111,6,NA,NA,8,11.3877551020408,5,NA,20,15.21875,NA,NA,NA,10.6756756756757,10.3846153846154,5.14285714285714,11.9444444444444,77,32.9310344827586,47.4210526315789,7,5.875,42.3529411764706,20.8666666666667,31.5,16.6206896551724,8,NA,61.3846153846154,NA,15.25,19.4,42.7272727272727,27,8,8.65,6,NA,NA,8.0625,24.8055555555556,8.57142857142857,7.84,9.29411764705882,7,6.48148148148148,11.5,8,NA,NA,NA,NA,5.33333333333333
"Zone_NW_Bath_200",NA,6,NA,5,NA,NA,7.71428571428571,7.5,NA,13.1481481481481,5,7.75,5.33333333333333,NA,NA,7.75,NA,6,NA,NA,NA,5.2,5,5,5,10.3,5,6.5,6,8.8,6.1,31.6666666666667,20.95,6,10.9473684210526,13.90625,14.7619047619048,8.19047619047619,9.27272727272727,15.64,7.375,NA,25.304347826087,19.6666666666667,NA,5.66666666666667,NA,NA,5.76470588235294,NA,11,5,NA,5,NA,16.9565217391304,5,NA,6.58333333333333,25.72,6.38461538461539,8,5,NA,NA,71.5263157894737,59.5714285714286,9,13.3333333333333,5.73333333333333,NA,6,NA,6.52631578947368,5.85714285714286,7.72727272727273,11.2941176470588,14.72,17.6578947368421,NA,NA,NA,5.25,13.8823529411765,6.33333333333333,NA,5.2,8,5,NA,5,6,NA,14.75,10.6666666666667,8.6,11,6.85714285714286,5,NA,NA,8.03846153846154,8.83333333333333,NA,10.7931034482759,28,24.3333333333333,NA,NA,5,6.11111111111111,5.4375,6,NA,NA,NA,22.2307692307692,15.4444444444444,19.1538461538462,NA,13.6666666666667,54.7241379310345,NA,8.23076923076923,17.5,5.75,7.1578947368421,6.5,5,NA,NA,NA,NA,9.27906976744186,NA,5,NA,6.375,NA,7.5,18.84,5,NA,10.025,5,5,NA,NA,NA,12.7692307692308,6.8,6.2,NA,6.27272727272727,7.5,7.42857142857143,6.42857142857143,NA,25.9512195121951,8,NA,NA,NA,7,5.33333333333333,NA,5,11.1428571428571,8.42857142857143,14.24,7.25,7.33333333333333,NA,NA,NA,14.7692307692308,6,NA,13.4117647058824,6.66666666666667,5.42857142857143,6,11.7368421052632,5.8,60.04,17.5,9.33333333333333,NA,NA,5.5,6.8,5,5,18.32,34.3846153846154,13.5,7.89473684210526,8.6,NA,NA,NA,NA,6,NA,5,7.61538461538461,7.5,7,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,6.125,NA,NA,NA,5.8,5.2,NA,18.5151515151515,NA,NA,8.75,NA,NA,NA,8,11.972972972973,5,NA,20,15.5416666666667,NA,NA,NA,9.55555555555556,5.4,5.11764705882353,12.4642857142857,86,30.8571428571429,47.4210526315789,7.125,5.66666666666667,36.1153846153846,20.8666666666667,28,15.625,NA,NA,64.5714285714286,NA,15,11.3076923076923,38.5555555555556,27,8.08333333333333,7.75,NA,NA,NA,8.54545454545454,22.1428571428571,8.57142857142857,6.68421052631579,9.41666666666667,6.84615384615385,6.59090909090909,11,NA,NA,NA,NA,NA,NA
"Zone_NW_Bath_400",NA,6,NA,5,NA,NA,7.71428571428571,7.5,NA,12.8387096774194,5,7.75,5.33333333333333,NA,NA,7.64705882352941,NA,6,NA,NA,NA,5.2,5,5,5,9.83333333333333,5,6.33333333333333,6,8.8,6.1,32,21.5454545454545,6,10.9473684210526,13.4705882352941,14.1739130434783,8.19047619047619,9.27272727272727,15.0689655172414,7.1,NA,25.2692307692308,17.25,NA,5.71428571428571,NA,NA,5.68421052631579,5,11,5,NA,5,NA,16.9565217391304,5,NA,6.58333333333333,24.2068965517241,6.38461538461539,8,5,NA,NA,71.0909090909091,57.625,9,13.3333333333333,5.73333333333333,NA,6,6,6.59090909090909,5.85714285714286,7.72727272727273,10.85,15.0689655172414,18.4761904761905,NA,NA,NA,5.25,14.3947368421053,6.33333333333333,NA,5.2,8,5,NA,5,6,NA,13.25,10.6666666666667,8.375,11,6.8,5,NA,NA,7.8,9.19047619047619,NA,11.7272727272727,28,24.2857142857143,NA,NA,5,6.11111111111111,5.85,5.85714285714286,NA,NA,NA,24.3529411764706,15.421052631579,19.3548387096774,NA,13.6666666666667,49.8055555555556,39,8.23076923076923,16.7647058823529,5.75,7.1578947368421,6.5,5,NA,NA,NA,5,9.49019607843137,NA,5,NA,6.375,NA,7.5,18.4827586206897,5,NA,10.2727272727273,5,5,NA,NA,NA,12.5666666666667,6.8,6.2,NA,6.25,6.75,7.77777777777778,6.55555555555556,NA,25.8367346938776,8,NA,NA,NA,7,5.54545454545455,NA,5,11.1428571428571,8.42857142857143,14.9655172413793,7,8,NA,NA,NA,14.7692307692308,6,NA,13.4117647058824,6.66666666666667,5.42857142857143,7.14285714285714,11.7368421052632,6.31578947368421,56.4827586206897,17.75,9.57142857142857,NA,NA,5.5,6.63636363636364,5.5,5,18.3448275862069,31.8,12.52,7.85714285714286,8.55172413793103,NA,NA,NA,NA,6,NA,5,7.5,7.625,7,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,6.125,NA,NA,NA,7.8,5.2,NA,18.2051282051282,NA,NA,8.52941176470588,6,NA,NA,8,11.5454545454545,5,NA,20,15.1071428571429,NA,NA,NA,10.5806451612903,10.1111111111111,5.15,12.1875,92.25,31.4347826086957,47.4210526315789,7,5.85714285714286,39.8,20.8666666666667,29.5,16.1851851851852,8,NA,62.4705882352941,NA,16.7142857142857,15.5625,41.0666666666667,27,8,8.25,NA,NA,NA,8.38461538461539,24.1071428571429,8.57142857142857,7.68181818181818,9.5,7.11764705882353,6.56521739130435,11.3666666666667,5.5,NA,NA,NA,NA,5
"Zone_NW_Bath_600",NA,6,NA,5,NA,NA,7.71428571428571,7.5,NA,12.7878787878788,5,7.75,5.33333333333333,NA,NA,7.55555555555556,NA,6,NA,NA,NA,5.2,5,5,5,10.0714285714286,5,6.33333333333333,6,8.8,6.1,32.1,21.5454545454545,6,10.9473684210526,13.4705882352941,13.84,8.04545454545454,9.27272727272727,15.0645161290323,7.09090909090909,NA,24.7142857142857,17.25,NA,5.71428571428571,NA,NA,5.65,5,11,5,NA,5,NA,16.5416666666667,5,NA,6.58333333333333,23.7096774193548,6.38461538461539,8,5,NA,NA,71.125,57.625,9,13.3333333333333,5.6875,NA,6,6,6.52,5.85714285714286,7.72727272727273,10.85,14.9677419354839,18,NA,NA,NA,5.25,14.625,6.33333333333333,NA,5.2,8,5.5,NA,5,6,NA,12.45,10.1,8.375,11,6.8,5,NA,NA,7.74193548387097,9.65217391304348,NA,11.6666666666667,28,24.2333333333333,NA,NA,5,6.11111111111111,5.85714285714286,6,NA,NA,NA,25.578947368421,15.421052631579,19.5454545454545,NA,13.6666666666667,47.925,39,8.23076923076923,16.7647058823529,5.75,7.1578947368421,6.5,5,NA,NA,NA,5,9.52727272727273,NA,5,NA,6.375,NA,7.5,18.9032258064516,5,NA,10.2127659574468,5,5,NA,NA,NA,12.5,6.8,6.2,NA,6.25,6.75,8.18181818181818,6.55555555555556,NA,25.811320754717,8,NA,NA,NA,7.5,5.57142857142857,NA,5,11.1428571428571,8.42857142857143,15.0645161290323,7.76923076923077,7.57142857142857,NA,NA,NA,14.7692307692308,6,NA,13,6.66666666666667,5.42857142857143,7.14285714285714,11.4,7.85,56.0333333333333,18.4,9,NA,NA,5.5,6.53846153846154,5.33333333333333,5,18.258064516129,31.5625,12.5769230769231,7.73913043478261,8.32258064516129,NA,NA,NA,NA,6,NA,5,7.5,7.47058823529412,7,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,6.125,NA,NA,NA,8,5.2,NA,17.7674418604651,NA,NA,8.52941176470588,6,NA,NA,8,11.4347826086957,5,NA,20,15.1666666666667,NA,NA,NA,10.7058823529412,10.0909090909091,5.15,12.0882352941176,92.25,32.4074074074074,47.4210526315789,7,5.85714285714286,41.3125,20.8666666666667,29.6666666666667,16.4285714285714,8.16666666666667,NA,60.972972972973,NA,16.7142857142857,15.7222222222222,42.5,27,8,8.55555555555556,NA,NA,NA,8,23.96875,8.57142857142857,7.75,9.33333333333333,7.11764705882353,6.52,11.4375,6,NA,NA,NA,NA,5.33333333333333
"Zone_NW_Bath_800",NA,6,NA,5,NA,NA,7.71428571428571,7.5,NA,12.7878787878788,5,7.75,5.33333333333333,NA,NA,7.55555555555556,NA,6,NA,NA,NA,5.2,5.16666666666667,5,5,10.0714285714286,5,6.33333333333333,6,8.83333333333333,6.1,32.1,21.2173913043478,6,10.9473684210526,13.4705882352941,13.84,7.91304347826087,9.27272727272727,15.09375,7.09090909090909,NA,24.7142857142857,18,6,5.71428571428571,NA,NA,5.65,5,11,5,NA,5,NA,16.56,5,NA,6.58333333333333,23.125,6.28571428571429,8,5,NA,NA,71.125,56.5555555555556,9,13.3333333333333,5.6875,NA,6,6,6.59259259259259,5.875,7.5,11.1904761904762,16.28125,18,NA,NA,NA,5.25,14.6904761904762,6.33333333333333,NA,5.2,8,5.5,NA,5,6,NA,12.45,10.1,8.375,11,6.8125,5,NA,NA,7.74193548387097,9.45833333333333,NA,11.8648648648649,28,24.2258064516129,NA,NA,5,6.11111111111111,5.85714285714286,6,NA,NA,NA,24.55,15.5,19.5588235294118,NA,13.6666666666667,47.047619047619,39,8.07142857142857,16.7647058823529,5.75,7.1578947368421,6.5,5,NA,NA,NA,5,9.54385964912281,NA,5,NA,6.375,5,7.5,18.90625,5,NA,10.2291666666667,5,5,NA,NA,NA,12.5151515151515,6.8,6.2,NA,6.25,6.75,8.18181818181818,6.55555555555556,NA,25.8,8,NA,NA,NA,7.33333333333333,5.57142857142857,8,5,11.1428571428571,8.42857142857143,15.0625,7.76923076923077,7.57142857142857,NA,NA,NA,14.8888888888889,6,NA,13,6.66666666666667,5.42857142857143,7.14285714285714,11.0952380952381,7.76190476190476,56.2258064516129,18.4,9,NA,NA,5.5,6.53846153846154,5.33333333333333,5,18.4375,31.2121212121212,12.6666666666667,7.73913043478261,8.3125,NA,NA,NA,NA,6,NA,5,7.5,7.44444444444444,7,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,6.125,NA,NA,NA,8.64285714285714,5.2,NA,17.8636363636364,NA,NA,8.61111111111111,6,NA,NA,8,11.3125,5,NA,20,15.2258064516129,NA,NA,NA,10.7142857142857,10,5.14285714285714,12.0571428571429,91.2,32.4074074074074,47.4210526315789,7,5.85714285714286,41.6969696969697,20.8666666666667,29.6666666666667,16.6206896551724,8,NA,61.3421052631579,NA,16.7142857142857,15.421052631579,42.7272727272727,27,8,8.42105263157895,NA,NA,NA,8,24.9117647058824,8.57142857142857,7.75,9.375,7.11111111111111,6.5,11.5151515151515,6,NA,NA,NA,NA,5.33333333333333
"Zone_SW_Bath_1000",5.3,NA,NA,NA,NA,7.9,6.85714285714286,NA,NA,19.0384615384615,NA,NA,5,NA,5,5.5,6,5,5,NA,5.2,12.875,NA,NA,NA,12,NA,5.75,NA,6,NA,30.8421052631579,15.2857142857143,9.2,7,12,9.44444444444444,5.26666666666667,13.3333333333333,11.7,6.41176470588235,6.71428571428571,30.45,14,NA,NA,NA,NA,7,NA,8.45833333333333,NA,7,NA,7.25,8.07692307692308,6.16666666666667,25.8571428571429,11,20.2666666666667,10,NA,NA,10,7.75,46.5652173913044,43.4,9.58333333333333,9.28571428571429,8.4375,7,NA,6.5,5.8,NA,NA,NA,11.4285714285714,13.1851851851852,5.33333333333333,NA,5.75,NA,11,7.66666666666667,5.44444444444444,7,8.58823529411765,5,8,NA,NA,5,9.88,8.57142857142857,7.35,13.4,5,NA,NA,5,8.6,8,NA,7.85714285714286,NA,14.25,8.66666666666667,NA,9,10.3684210526316,6.36363636363636,7.26666666666667,7,5.5,5,13.5,28.5555555555556,36.5333333333333,6,9.63636363636364,31.1333333333333,27,5.5,8.66666666666667,NA,NA,7.25,5,6,8.6,7.66666666666667,7.81818181818182,16.0975609756098,NA,5,NA,6,NA,NA,20.8571428571429,5,NA,16.4285714285714,7,NA,NA,6.66666666666667,6,11.4074074074074,6,NA,5,NA,10,11.6875,5.88888888888889,7.61538461538461,43.8620689655172,NA,6,NA,NA,14.6666666666667,8.85,NA,5,NA,NA,17,17.5625,7.7,7,NA,NA,8.375,12.5,8.66666666666667,11.8333333333333,NA,NA,6,NA,9.5,38.5714285714286,19.7368421052632,8.83333333333333,14.625,9.08333333333333,8.66666666666667,5,5.88888888888889,8.33333333333333,9.95652173913044,35.0952380952381,21.0869565217391,5.33333333333333,5,9,20.1666666666667,NA,6,16.0769230769231,5.5,NA,6,19.7916666666667,8.88888888888889,5,NA,9,9.25,NA,8,14.8,6.2,NA,6,5,9,NA,NA,30,9.5,NA,NA,14.5625,NA,6.85714285714286,5.33333333333333,NA,7,11.25,5.5,18.0952380952381,11,NA,NA,11.0588235294118,13,5,9.75,9.69230769230769,7.66666666666667,5,10.5882352941176,NA,32.4,30.6111111111111,6,27,23.0454545454545,17.25,9.72222222222222,14.6,8,5,92.5,22.2857142857143,46.6,41.6190476190476,52.5,NA,9,11.15,NA,6,NA,8,25.3461538461538,15.1428571428571,7.76923076923077,8,8.4,8.125,7.66666666666667,18.3333333333333,8,9.16666666666667,NA,5,6
"Zone_SW_Bath_200",5.375,NA,NA,NA,NA,8.4,6.5,NA,NA,24.8461538461538,NA,NA,5,NA,5,5.5,6,5,5,NA,5,13.1111111111111,NA,NA,NA,12.9166666666667,NA,5.66666666666667,NA,6,NA,30.9090909090909,15,9.45454545454546,7.4,13,9.44444444444444,5.22222222222222,13.3333333333333,14.0833333333333,6.3,6.375,30.5833333333333,14,NA,NA,NA,NA,7,NA,10.0769230769231,NA,7,NA,7.33333333333333,11,6.75,33.75,15.3333333333333,22,9.33333333333333,NA,NA,10,8.125,44.4615384615385,51,9.2,9.625,7.3,7.33333333333333,NA,6.5,5.8,NA,NA,NA,11.9166666666667,15.1666666666667,5.5,NA,6,NA,10.3333333333333,7,5.33333333333333,7,7.9,5,8,NA,NA,5,11.8,8.57142857142857,8.08333333333333,13.5,5,NA,NA,5,9.92307692307692,7.66666666666667,NA,7.66666666666667,NA,12.8181818181818,NA,NA,NA,9.54545454545454,5.81818181818182,6.5,7,5.5,5,16,26.5,33.9,6,9.83333333333333,34.3333333333333,30,5.5,6,NA,NA,7.25,NA,7,10.6666666666667,8.25,7.2,16.2173913043478,NA,NA,NA,NA,NA,NA,19.1666666666667,5,NA,15.9090909090909,7.33333333333333,NA,NA,7.5,5.5,11.5882352941176,6.16666666666667,NA,NA,NA,10,11.4545454545455,5.5,9.85714285714286,44.5625,NA,6,NA,NA,14.6666666666667,9.09090909090909,NA,NA,NA,NA,13.5,16.7142857142857,7,7,NA,NA,9.5,12.5,9.66666666666667,14.625,NA,NA,6,NA,5,33.9166666666667,16.8333333333333,7,18.3333333333333,10,9.75,5,5.4,8,10.4285714285714,38.9166666666667,21.9090909090909,6,5,9,24.1428571428571,NA,6,17.3333333333333,5.5,NA,6,20.3076923076923,8.72727272727273,5,NA,9,8,NA,8,14.25,6,NA,6,NA,NA,NA,NA,NA,5,NA,NA,16.5,NA,7.16666666666667,NA,NA,NA,5,5.5,16.1666666666667,NA,NA,NA,12.2222222222222,NA,NA,10.6666666666667,10.125,NA,NA,11.625,NA,58,25.6,6,NA,19.6923076923077,18.1428571428571,9.42857142857143,15.5,NA,5,49,18.6666666666667,7,32.625,52.5,NA,NA,9.18181818181818,NA,6,NA,7,24.6923076923077,10.5,7.14285714285714,8,6.66666666666667,8.5,7,18.3333333333333,8.66666666666667,10.25,NA,NA,6
"Zone_SW_Bath_400",5.375,NA,NA,NA,NA,8.42857142857143,6.75,NA,NA,23.6875,NA,NA,5,NA,5,5.5,6,5,5,NA,5.33333333333333,12.6363636363636,NA,NA,NA,11.8571428571429,NA,5.66666666666667,NA,6,NA,31.8461538461538,17.25,9,7.4,13,9.44444444444444,5.33333333333333,13.3333333333333,13.2857142857143,6.46153846153846,7.09090909090909,29.7857142857143,14,NA,NA,NA,NA,7,NA,9.8,NA,NA,NA,6.85714285714286,9.11111111111111,6.27272727272727,28.8,13.6,21.2727272727273,10.3333333333333,NA,NA,10,7.4,43.5,50.6666666666667,10.2,10.1,8,7.33333333333333,NA,6.5,5.8,NA,NA,NA,11.8571428571429,14.4761904761905,5.5,NA,5.5,NA,10.3333333333333,7.66666666666667,5.16666666666667,7,8.16666666666667,5,8,NA,NA,5,11.1111111111111,8.57142857142857,7.92857142857143,13.5,5,NA,NA,5,9.53333333333333,7.8,NA,7,NA,13,5,NA,NA,9.84615384615385,5.76923076923077,6.55555555555556,7,5.5,5,16,29.1666666666667,35.5,6,8.71428571428571,33.4736842105263,30,6,NA,NA,NA,7.25,NA,7,8.33333333333333,8.3,8.6,16.2222222222222,NA,NA,NA,NA,NA,NA,20.0714285714286,5,NA,15.6363636363636,7.33333333333333,NA,NA,7.5,6,11.4,6.33333333333333,NA,5,NA,NA,11.6428571428571,5,9.85714285714286,47.2777777777778,NA,6,NA,NA,14.6666666666667,9.33333333333333,NA,NA,NA,NA,13.5,17.3,6.66666666666667,7,NA,NA,8.5,18,9,12.8,NA,NA,6,NA,5,34.7142857142857,18,7.5,17.8333333333333,9.5,14,5,5.5,8,10.6875,34.5714285714286,20.8125,5.5,5,9,20.4444444444444,NA,6,16.8181818181818,5.5,NA,6,21.1333333333333,9,5,NA,9,8,NA,8,15.3333333333333,6.5,NA,6,NA,NA,NA,NA,NA,5,NA,NA,15.5,NA,7,6,NA,NA,8,5.5,16.2857142857143,NA,NA,NA,11.6666666666667,NA,NA,10.6666666666667,9.88888888888889,NA,NA,10.9,NA,58,27.1666666666667,6,NA,20.4,18.1428571428571,8.66666666666667,13.9333333333333,NA,5,49,20.8181818181818,41,36.1764705882353,52.5,NA,NA,9.28571428571429,NA,6,NA,6.75,20.1666666666667,12.2,7.55555555555556,8,6.66666666666667,8.5,7,18.3333333333333,9.5,11.6666666666667,NA,NA,NA
"Zone_SW_Bath_600",5.3,NA,NA,NA,NA,8.25,6.6,NA,NA,21.45,NA,NA,5,NA,5,5.5,6,5,5,NA,5.25,13.1538461538462,NA,NA,NA,12.0666666666667,NA,5.66666666666667,NA,6,NA,31.9333333333333,15,8.78571428571429,7,12,9.44444444444444,5.30769230769231,13.3333333333333,12.75,6.4,6.84615384615385,30.4375,14,NA,NA,NA,NA,7,NA,9.16666666666667,NA,7,NA,7.25,8.8,6.16666666666667,29.1666666666667,12.8823529411765,21.0833333333333,9.75,NA,NA,10,7.66666666666667,45.1578947368421,51,9.66666666666667,9.83333333333333,8.15384615384615,7,NA,6.5,5.8,NA,NA,NA,11.875,13.6666666666667,5.33333333333333,NA,5.66666666666667,NA,10.3333333333333,7.66666666666667,5.28571428571429,7,8.21428571428571,5,8,NA,NA,5,10.6,8.57142857142857,7.8125,13.4,5,NA,NA,5,8.94444444444444,7.28571428571429,NA,7,NA,13.0666666666667,5,NA,NA,10.2,5.85714285714286,6.54545454545455,7,5.5,5,16,28.6,36.0833333333333,6,8.75,32.9090909090909,30,5.5,6,NA,NA,7.25,NA,7,9.5,8.16666666666667,7.85714285714286,16.2903225806452,NA,NA,NA,NA,NA,NA,20.375,5,NA,14.3846153846154,7,NA,NA,7.5,6,11.6363636363636,6.125,NA,5,NA,10,11.8666666666667,5.33333333333333,8.77777777777778,46.5238095238095,NA,6,NA,NA,14.6666666666667,9.13333333333333,NA,NA,NA,NA,13.5,17.7272727272727,6.71428571428571,7,NA,NA,8.85714285714286,12.5,9.125,12.4545454545455,NA,NA,6,NA,5,34.875,18.0625,7,17.8333333333333,9.5,9.75,5,5.71428571428571,7.875,10.5555555555556,36.5,21.1176470588235,5.5,5,9,19.9090909090909,NA,6,16.0769230769231,5.5,NA,6,21.8235294117647,9.23076923076923,5,NA,9,8,NA,8,14.25,6.5,NA,6,NA,NA,NA,NA,NA,5,NA,NA,15.7727272727273,NA,6.85714285714286,5.5,NA,NA,6.5,5.5,16.9375,NA,NA,NA,11.6923076923077,NA,NA,10.6666666666667,9.8,NA,NA,10.6363636363636,NA,58,27.7857142857143,6,NA,19.6111111111111,17.5,8.09090909090909,14.3529411764706,NA,5,49,21.3076923076923,55.5,36.3157894736842,52.5,NA,NA,9.53333333333333,NA,6,NA,6.6,22.6315789473684,12.1666666666667,7.3,8,6.66666666666667,8.42857142857143,7,18.3333333333333,8.66666666666667,10.25,NA,NA,6
"Zone_SW_Bath_800",5.3,NA,NA,NA,NA,8,6.66666666666667,NA,NA,20.4090909090909,NA,NA,5,NA,5,5.5,6,5,5,NA,5.22222222222222,13.1538461538462,NA,NA,NA,12.0666666666667,NA,5.66666666666667,NA,6,NA,31.6875,15,8.78571428571429,7,12,9.44444444444444,5.28571428571429,13.3333333333333,12.2941176470588,6.3125,6.71428571428571,30.2352941176471,14,NA,NA,NA,NA,7,NA,9,NA,7,NA,7.25,8.54545454545454,6.16666666666667,29.1666666666667,12.2631578947368,20.9230769230769,9.75,NA,NA,10,7.61538461538461,45.45,51,9.85714285714286,9.83333333333333,8.42857142857143,7,NA,6.5,5.8,NA,NA,NA,11.6470588235294,13.32,5.33333333333333,NA,5.75,NA,10,7.66666666666667,5.28571428571429,7,8.33333333333333,5,8,NA,NA,5,10.4285714285714,8.57142857142857,7.8125,13.4,5,NA,NA,5,8.78947368421053,7.28571428571429,NA,7,NA,13.1875,8,NA,6,10.1875,5.8,6.75,7,5.5,5,16,29.2727272727273,36.0833333333333,6,8.75,32.75,30,5.5,6,NA,NA,7.25,NA,7,9.5,7.92307692307692,7.5,16.3030303030303,NA,5,NA,NA,NA,NA,20.5882352941176,5,NA,14.3846153846154,7,NA,NA,7.5,6,11.5652173913043,6.125,NA,5,NA,10,11.8666666666667,5.57142857142857,8.4,44.8695652173913,NA,6,NA,NA,14.6666666666667,8.9375,NA,NA,NA,NA,12.8,18.3333333333333,6.875,7,NA,NA,8.85714285714286,12.5,9.125,12.4545454545455,NA,NA,6,NA,5,35.1764705882353,18.4117647058824,8.25,16,9.11111111111111,9.75,5,5.75,8.33333333333333,10.5263157894737,38,21.1176470588235,5.5,5,9,19.9090909090909,NA,6,16.0769230769231,5.5,NA,6,22.1666666666667,9.07142857142857,5,NA,9,8,NA,8,14.25,6.5,NA,6,NA,NA,NA,NA,NA,6.5,NA,NA,15.4166666666667,NA,6.85714285714286,5.5,NA,NA,6.5,5.33333333333333,16.8823529411765,NA,NA,NA,11.5714285714286,NA,NA,10.6666666666667,9.63636363636364,5,NA,10.3333333333333,NA,58,28.6666666666667,6,NA,20.3157894736842,18.1111111111111,7.91666666666667,14.5555555555556,NA,5,73.8,21.3076923076923,55.5,36.3157894736842,52.5,NA,NA,9.8125,NA,6,NA,6.66666666666667,23,12.1666666666667,7.27272727272727,8,6.66666666666667,8.42857142857143,7,18.3333333333333,8.66666666666667,10.25,NA,NA,6
