"Series","Trend","Estimate","CI_low","CI_high","p_value","significant","stars"
"Zone_NW_Bath_1000","X1",0.127510899159221,0.0652227091755725,0.189799089142869,6.01387493431973e-05,TRUE,"***"
"Zone_NW_Bath_200","X1",0.094059641324456,0.030814918953096,0.157304363695816,0.00355776065665464,TRUE,"**"
"Zone_NW_Bath_400","X1",0.125004807065143,0.0628067369224041,0.187202877207883,8.17850887202451e-05,TRUE,"***"
"Zone_NW_Bath_600","X1",0.124591537289011,0.0624350762594678,0.186747998318554,8.54015205024125e-05,TRUE,"***"
"Zone_NW_Bath_800","X1",0.127581258971753,0.0652771585470483,0.189885359396459,5.98365389859731e-05,TRUE,"***"
"Zone_SW_Bath_1000","X1",0.0147155849654641,-0.383418884530077,0.412850054461006,0.942249443229081,FALSE,""
"Zone_SW_Bath_200","X1",-0.0643006552271756,-0.481360729804342,0.352759419349991,0.762515297323961,FALSE,""
"Zone_SW_Bath_400","X1",-0.0733183701745003,-0.488743672920774,0.342106932571774,0.729407461327096,FALSE,""
"Zone_SW_Bath_600","X1",-0.0703348993691909,-0.487093849496226,0.346424050757844,0.740813670418199,FALSE,""
"Zone_SW_Bath_800","X1",-0.0455356871532894,-0.458084252687961,0.367012878381382,0.828727360231879,FALSE,""
"Zone_S_Bath_1000","X1",-0.0306016634698706,-0.562709804410797,0.501506477471056,0.910254140933549,FALSE,""
"Zone_S_Bath_200","X1",-0.431559227581193,-0.907353452788987,0.0442349976266004,0.0754458356515711,FALSE,""
"Zone_S_Bath_400","X1",-0.431559227581172,-0.907353452788842,0.0442349976264989,0.0754458356515101,FALSE,""
"Zone_S_Bath_600","X1",-0.320017932664598,-0.816073970643947,0.17603810531475,0.206078994912963,FALSE,""
"Zone_S_Bath_800","X1",-0.186635819155275,-0.711815193871878,0.338543555561329,0.486101394140254,FALSE,""
"Zone_NW_Bath_1000","X2",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X2",0.0248756771847418,0.0060424054817457,0.0437089488877379,0.00963131285549264,TRUE,"**"
"Zone_NW_Bath_400","X2",0.00401383857034376,-0.00577051185986413,0.0137981890005516,0.421375649854422,FALSE,""
"Zone_NW_Bath_600","X2",0.000933541141553272,-0.0084312489941932,0.0102983312772997,0.845094275675372,FALSE,""
"Zone_NW_Bath_800","X2",0.000742526244717347,-0.00867424604126675,0.0101592985307014,0.877179226731713,FALSE,""
"Zone_SW_Bath_1000","X2",0.633464111294566,0.376407716410742,0.89052050617839,1.36574519352521e-06,TRUE,"***"
"Zone_SW_Bath_200","X2",0.66292850907236,0.378076308263336,0.947780709881383,5.08211757884709e-06,TRUE,"***"
"Zone_SW_Bath_400","X2",0.661395517336914,0.376971809151117,0.945819225522711,5.17224972306654e-06,TRUE,"***"
"Zone_SW_Bath_600","X2",0.666456143081703,0.385380224618778,0.947532061544627,3.36389534308398e-06,TRUE,"***"
"Zone_SW_Bath_800","X2",0.663540200948713,0.3949685827749,0.932111819122527,1.28319416879594e-06,TRUE,"***"
"Zone_S_Bath_1000","X2",0.257985136125201,-0.456410201002702,0.972380473253104,0.479075938375826,FALSE,""
"Zone_S_Bath_200","X2",0.202926714950647,-0.513721495447027,0.919574925348321,0.578904876748606,FALSE,""
"Zone_S_Bath_400","X2",0.202926714950643,-0.513721495446884,0.919574925348169,0.578904876748536,FALSE,""
"Zone_S_Bath_600","X2",0.2199762620636,-0.496461950722894,0.936414474850093,0.547313747500337,FALSE,""
"Zone_S_Bath_800","X2",0.269874757388664,-0.451354656114657,0.991104170891984,0.463318596966819,FALSE,""
"Zone_NW_Bath_1000","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_400","X3",-0.00461574050529942,-0.0139325850514593,0.00470110404086047,0.331546723331786,FALSE,""
"Zone_NW_Bath_600","X3",-0.000797560802708502,-0.0105413993631747,0.00894627775775765,0.87254345619283,FALSE,""
"Zone_NW_Bath_800","X3",0.000836247251354819,-0.00907770649461926,0.0107502009973289,0.868688969011683,FALSE,""
"Zone_SW_Bath_1000","X3",0.312063127575497,-0.117555246554136,0.741681501705131,0.154543572237785,FALSE,""
"Zone_SW_Bath_200","X3",0.329814602352826,-0.088755120983829,0.748384325689482,0.12249975388278,FALSE,""
"Zone_SW_Bath_400","X3",0.326452637625648,-0.0871137414945936,0.74001901674589,0.121835130568687,FALSE,""
"Zone_SW_Bath_600","X3",0.32237266574005,-0.0960821220097555,0.740827453489855,0.131060447111377,FALSE,""
"Zone_SW_Bath_800","X3",0.311939516840896,-0.114778205489132,0.738657239170923,0.151922326373879,FALSE,""
"Zone_S_Bath_1000","X3",0.92390968943111,0.759923705059824,1.08789567380239,2.38074677949918e-28,TRUE,"***"
"Zone_S_Bath_200","X3",0.830751234507097,0.642474752117002,1.01902771689719,5.23428579907043e-18,TRUE,"***"
"Zone_S_Bath_400","X3",0.830751234507094,0.642474752117026,1.01902771689716,5.23428579901495e-18,TRUE,"***"
"Zone_S_Bath_600","X3",0.865862573263161,0.719731718561394,1.01199342796493,3.52790744838509e-31,TRUE,"***"
"Zone_S_Bath_800","X3",0.905511581970787,0.766879577582465,1.04414358635911,1.59735340690207e-37,TRUE,"***"
