"Series","Trend","Estimate","CI_low","CI_high","p_value","significant","stars"
"Zone_NW_Bath_1000","X1",0.324727577270188,0.23515044271427,0.414304711826106,1.20236834109425e-12,TRUE,"***"
"Zone_NW_Bath_200","X1",0.266092298983246,0.174833740831773,0.357350857134719,1.09784198338548e-08,TRUE,"***"
"Zone_NW_Bath_400","X1",0.30626033072169,0.216750350585562,0.395770310857818,1.99950748580302e-11,TRUE,"***"
"Zone_NW_Bath_600","X1",0.320248411955568,0.230604075857888,0.409892748053247,2.52621377338906e-12,TRUE,"***"
"Zone_NW_Bath_800","X1",0.319885085380796,0.230390934725407,0.409379236036185,2.45870239397568e-12,TRUE,"***"
"Zone_SW_Bath_1000","X1",0.272301135421084,-0.0775357669921212,0.622138037834289,0.127117176820779,FALSE,""
"Zone_SW_Bath_200","X1",0.200573858790521,-0.143383255478194,0.544530973059236,0.25306930361455,FALSE,""
"Zone_SW_Bath_400","X1",0.233854326378157,-0.122263379609241,0.589972032365556,0.19807219898553,FALSE,""
"Zone_SW_Bath_600","X1",0.234596223539698,-0.124546235565389,0.593738682644785,0.200449379331678,FALSE,""
"Zone_SW_Bath_800","X1",0.244490712031493,-0.114044493859227,0.603025917922212,0.181376164092143,FALSE,""
"Zone_S_Bath_1000","X1",-0.368049534523921,-0.732258064679938,-0.00384100436790313,0.0476323225979814,TRUE,"*"
"Zone_S_Bath_200","X1",-0.891795440450846,-1.17651035753086,-0.607080523370836,8.30020622723267e-10,TRUE,"***"
"Zone_S_Bath_400","X1",-0.891795440450923,-1.17651035753094,-0.607080523370909,8.30020622720974e-10,TRUE,"***"
"Zone_S_Bath_600","X1",-0.743098353748187,-1.05299520500044,-0.433201502495935,2.60446077828035e-06,TRUE,"***"
"Zone_S_Bath_800","X1",-0.542158700655293,-0.88231177216204,-0.202005629148547,0.0017845800024535,TRUE,"**"
"Zone_NW_Bath_1000","X2",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X2",-0.0887811073462968,-0.11205080090373,-0.0655114137888639,7.55361331321314e-14,TRUE,"***"
"Zone_NW_Bath_400","X2",-0.0392938380379948,-0.0558936672987808,-0.0226940087772088,3.49293907877164e-06,TRUE,"***"
"Zone_NW_Bath_600","X2",-0.0229711797431157,-0.039049067118511,-0.00689329236772034,0.00510573281612835,TRUE,"**"
"Zone_NW_Bath_800","X2",-0.0160041740267558,-0.0318063867804452,-0.00020196127306641,0.0471429762328706,TRUE,"*"
"Zone_SW_Bath_1000","X2",0.442843976094317,0.152945346814273,0.732742605374361,0.00275340503521467,TRUE,"**"
"Zone_SW_Bath_200","X2",0.336980249640909,0.0416281365164373,0.63233236276538,0.0253380619523132,TRUE,"*"
"Zone_SW_Bath_400","X2",0.379445171172089,0.0763032794030127,0.682587062941165,0.0141551105192774,TRUE,"*"
"Zone_SW_Bath_600","X2",0.392345380728335,0.0874600050172697,0.6972307564394,0.011662237823747,TRUE,"*"
"Zone_SW_Bath_800","X2",0.402274357130877,0.0990712210215175,0.705477493240236,0.00931206875793975,TRUE,"**"
"Zone_S_Bath_1000","X2",1.13103165703893,0.914347392401848,1.34771592167602,1.44818674082801e-24,TRUE,"***"
"Zone_S_Bath_200","X2",0.700613982720755,0.362168620678093,1.03905934476342,4.96409079590643e-05,TRUE,"***"
"Zone_S_Bath_400","X2",0.700613982720755,0.36216862067805,1.03905934476346,4.96409079591743e-05,TRUE,"***"
"Zone_S_Bath_600","X2",0.827111891701741,0.521112082895295,1.13311170050819,1.17240360701038e-07,TRUE,"***"
"Zone_S_Bath_800","X2",1.01040781513398,0.755049021207538,1.26576660906042,8.81923561918385e-15,TRUE,"***"
"Zone_NW_Bath_1000","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_400","X3",-0.00325257763712805,-0.0169800075708228,0.0104748522965667,0.642365543916385,FALSE,""
"Zone_NW_Bath_600","X3",0.00951398691020644,-0.00494574368249814,0.023973717502911,0.19719430563501,FALSE,""
"Zone_NW_Bath_800","X3",0.00047775727948964,-0.0139949951994523,0.0149505097584316,0.94841286415754,FALSE,""
"Zone_SW_Bath_1000","X3",1.01730556858116,0.863148285680144,1.17146285148218,2.89071193185597e-38,TRUE,"***"
"Zone_SW_Bath_200","X3",1.04250350812524,0.89467198880676,1.19033502744372,1.88804327641552e-43,TRUE,"***"
"Zone_SW_Bath_400","X3",1.06935730855781,0.916859350535699,1.22185526657992,5.54835135172871e-43,TRUE,"***"
"Zone_SW_Bath_600","X3",1.07495418450695,0.920173937189315,1.22973443182458,3.39732604778511e-42,TRUE,"***"
"Zone_SW_Bath_800","X3",1.06829931156783,0.913596156580547,1.22300246655511,9.78603518611712e-42,TRUE,"***"
"Zone_S_Bath_1000","X3",0.18483091541045,-0.214180131683471,0.583841962504371,0.363931312173692,FALSE,""
"Zone_S_Bath_200","X3",0.426060952732543,-0.00490333869271159,0.857025244157797,0.0526641919794272,FALSE,""
"Zone_S_Bath_400","X3",0.426060952732546,-0.00490333869272713,0.857025244157819,0.0526641919794357,FALSE,""
"Zone_S_Bath_600","X3",0.41951600949914,-0.00126121669520279,0.840293235693484,0.0506906589165072,FALSE,""
"Zone_S_Bath_800","X3",0.291189209278317,-0.120554055761895,0.702932474318529,0.165714128676245,FALSE,""
