"","1981_11","1982_02","1982_05","1982_07","1982_09","1983_03","1983_07","1983_08","1983_10","1983_11","1983_12","1984_07","1985_07","1985_09","1985_10","1986_09","1986_10","1987_03","1987_05","1987_07","1987_08","1987_09","1988_03","1988_06","1988_07","1988_11","1989_01","1989_02","1989_03","1989_05","1989_06","1989_07","1989_08","1989_10","1989_12","1990_01","1990_02","1990_03","1990_05","1990_07","1990_08","1990_09","1991_08","1991_09","1993_02","1993_06","1993_07","1994_03","1994_06","1994_07","1994_12","1995_01","1995_02","1995_03","1995_04","1995_07","1995_08","1995_10","1995_11","1995_12","1996_01","1996_02","1996_04","1996_06","1996_07","1997_02","1997_03","1997_04","1997_05","1997_06","1997_07","1997_08","1997_09","1997_10","1997_11","1997_12","1998_01","1998_02","1998_03","1998_04","1999_04","1999_05","1999_06","1999_08","1999_09","2000_03","2000_05","2000_06","2000_07","2000_08","2001_03","2001_08","2001_09","2002_01","2002_02","2002_03","2002_09","2002_10","2003_03","2003_06","2003_07","2003_08","2003_09","2004_02","2004_06","2004_07","2004_08","2004_09","2004_10","2005_05","2005_06","2005_07","2005_08","2005_10","2005_11","2006_03","2006_05","2006_06","2006_07","2006_08","2006_09","2006_10","2006_11","2006_12","2007_01","2007_02","2007_03","2007_07","2007_08","2007_10","2007_11","2007_12","2008_01","2008_02","2008_03","2008_04","2008_06","2008_07","2008_08","2008_09","2009_06","2009_07","2009_08","2009_10","2009_11","2009_12","2010_01","2010_02","2010_03","2010_04","2010_05","2010_06","2010_07","2010_08","2010_09","2011_01","2011_02","2011_03","2011_04","2011_05","2011_06","2011_07","2011_08","2011_09","2011_10","2011_12","2012_03","2012_05","2012_06","2012_08","2012_09","2012_10","2012_11","2013_04","2013_05","2013_07","2013_08","2013_09","2013_10","2013_11","2014_04","2014_05","2014_06","2014_08","2014_09","2014_10","2014_11","2015_04","2015_05","2015_06","2015_07","2015_08","2015_10","2015_11","2015_12","2016_01","2016_02","2016_06","2016_07","2016_08","2016_09","2016_11","2016_12","2017_01","2017_03","2017_04","2017_05","2017_06","2017_08","2017_09","2017_10","2017_11","2017_12","2018_07","2018_09","2018_10","2019_01","2019_02","2019_03","2019_07","2019_09","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_04","2021_05","2021_06","2021_08","2021_09","2021_10","2022_02","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02","2023_03","2023_04","2023_05","2023_06","2023_07","2023_08","2023_09","2023_10","2023_11","2023_12","2024_01","2024_02","2024_03","2024_04","2024_05","2024_07","2024_08","2024_10","2024_11","2024_12","2025_01","2025_02","2025_03","2025_04","2025_05","2025_06","2025_07","2025_08","2025_09","2025_10","2025_11"
"Zone_NW_Bath_1000",NA,1,NA,1,NA,NA,7,2,NA,34,5,8,12,NA,NA,18,NA,8,NA,NA,NA,5,6,1,1,15,3,3,4,6,10,10,25,2,19,34,25,23,11,33,11,NA,28,6,1,14,NA,NA,20,2,3,6,NA,2,NA,25,2,NA,12,32,15,1,2,NA,NA,25,9,3,3,16,NA,2,1,27,8,12,21,34,48,NA,NA,NA,4,43,3,NA,5,18,2,NA,2,1,NA,21,10,16,4,16,1,NA,NA,31,25,NA,39,1,32,NA,NA,1,9,21,10,NA,NA,NA,21,21,36,NA,3,43,3,14,18,4,19,4,3,NA,NA,NA,2,59,NA,3,NA,8,1,2,33,2,NA,50,3,1,NA,NA,NA,34,5,5,NA,12,4,12,9,NA,57,1,NA,NA,NA,4,14,1,5,14,7,33,14,7,NA,NA,NA,27,1,NA,18,6,7,7,21,22,31,11,10,NA,NA,2,14,4,2,33,34,29,23,32,NA,NA,NA,NA,1,NA,2,14,19,8,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,8,NA,NA,NA,15,5,NA,46,NA,NA,18,1,NA,NA,2,49,5,NA,1,32,NA,NA,NA,37,13,21,36,6,29,19,10,8,34,15,4,29,9,NA,39,NA,8,20,33,2,16,20,1,NA,NA,16,36,7,25,17,19,27,34,4,NA,NA,NA,NA,3
"Zone_NW_Bath_200",NA,1,NA,1,NA,NA,7,2,NA,27,5,8,12,NA,NA,16,NA,8,NA,NA,NA,5,5,1,1,10,2,2,4,5,10,6,20,2,19,32,21,21,11,25,8,NA,23,3,NA,12,NA,NA,17,NA,3,6,NA,2,NA,23,2,NA,12,25,13,1,1,NA,NA,19,7,1,3,15,NA,2,NA,19,7,11,17,25,38,NA,NA,NA,4,34,3,NA,5,18,1,NA,2,1,NA,12,9,15,4,14,1,NA,NA,26,18,NA,29,1,24,NA,NA,1,9,16,6,NA,NA,NA,13,18,26,NA,3,29,NA,13,16,4,19,4,1,NA,NA,NA,NA,43,NA,3,NA,8,NA,2,25,2,NA,40,3,1,NA,NA,NA,26,5,5,NA,11,2,7,7,NA,41,1,NA,NA,NA,1,6,NA,3,14,7,25,8,3,NA,NA,NA,26,1,NA,17,6,7,4,19,15,25,4,6,NA,NA,2,10,1,2,25,26,18,19,25,NA,NA,NA,NA,1,NA,2,13,14,5,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,8,NA,NA,NA,5,5,NA,33,NA,NA,16,NA,NA,NA,2,37,1,NA,1,24,NA,NA,NA,27,5,17,28,1,21,19,8,3,26,15,1,24,NA,NA,28,NA,6,13,27,2,12,12,NA,NA,NA,11,21,7,19,12,13,22,26,NA,NA,NA,NA,NA,NA
"Zone_NW_Bath_400",NA,1,NA,1,NA,NA,7,2,NA,31,5,8,12,NA,NA,17,NA,8,NA,NA,NA,5,5,1,1,12,2,3,4,5,10,8,22,2,19,34,23,21,11,29,10,NA,26,4,NA,14,NA,NA,19,1,3,6,NA,2,NA,23,2,NA,12,29,13,1,1,NA,NA,22,8,2,3,15,NA,2,1,22,7,11,20,29,42,NA,NA,NA,4,38,3,NA,5,18,1,NA,2,1,NA,16,9,16,4,15,1,NA,NA,30,21,NA,33,1,28,NA,NA,1,9,20,7,NA,NA,NA,17,19,31,NA,3,36,1,13,17,4,19,4,2,NA,NA,NA,2,51,NA,3,NA,8,NA,2,29,2,NA,44,3,1,NA,NA,NA,30,5,5,NA,12,4,9,9,NA,49,1,NA,NA,NA,1,11,NA,4,14,7,29,11,5,NA,NA,NA,26,1,NA,17,6,7,7,19,19,29,8,7,NA,NA,2,11,2,2,29,30,25,21,29,NA,NA,NA,NA,1,NA,2,14,16,6,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,8,NA,NA,NA,10,5,NA,39,NA,NA,17,1,NA,NA,2,44,3,NA,1,28,NA,NA,NA,31,9,20,32,4,23,19,10,7,30,15,2,27,4,NA,34,NA,7,16,30,2,15,16,NA,NA,NA,13,28,7,22,14,17,23,30,2,NA,NA,NA,NA,1
"Zone_NW_Bath_600",NA,1,NA,1,NA,NA,7,2,NA,33,5,8,12,NA,NA,18,NA,8,NA,NA,NA,5,5,1,1,14,2,3,4,5,10,10,22,2,19,34,25,22,11,31,11,NA,28,4,NA,14,NA,NA,20,2,3,6,NA,2,NA,24,2,NA,12,31,13,1,1,NA,NA,24,8,2,3,16,NA,2,1,25,7,11,20,31,46,NA,NA,NA,4,40,3,NA,5,18,2,NA,2,1,NA,20,10,16,4,15,1,NA,NA,31,23,NA,36,1,30,NA,NA,1,9,21,9,NA,NA,NA,19,19,33,NA,3,40,1,13,17,4,19,4,3,NA,NA,NA,2,55,NA,3,NA,8,NA,2,31,2,NA,47,3,1,NA,NA,NA,32,5,5,NA,12,4,11,9,NA,53,1,NA,NA,NA,2,14,NA,4,14,7,31,13,7,NA,NA,NA,26,1,NA,18,6,7,7,20,20,30,10,9,NA,NA,2,13,3,2,31,32,26,23,31,NA,NA,NA,NA,1,NA,2,14,17,7,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,8,NA,NA,NA,12,5,NA,43,NA,NA,17,1,NA,NA,2,46,4,NA,1,30,NA,NA,NA,34,11,20,34,4,27,19,10,7,32,15,3,28,6,NA,37,NA,7,18,32,2,16,18,NA,NA,NA,15,32,7,24,15,17,25,32,3,NA,NA,NA,NA,3
"Zone_NW_Bath_800",NA,1,NA,1,NA,NA,7,2,NA,33,5,8,12,NA,NA,18,NA,8,NA,NA,NA,5,6,1,1,14,2,3,4,6,10,10,23,2,19,34,25,23,11,32,11,NA,28,5,1,14,NA,NA,20,2,3,6,NA,2,NA,25,2,NA,12,32,14,1,2,NA,NA,24,9,3,3,16,NA,2,1,27,8,12,21,32,46,NA,NA,NA,4,42,3,NA,5,18,2,NA,2,1,NA,20,10,16,4,16,1,NA,NA,31,24,NA,37,1,31,NA,NA,1,9,21,9,NA,NA,NA,20,20,34,NA,3,42,1,14,17,4,19,4,3,NA,NA,NA,2,57,NA,3,NA,8,1,2,32,2,NA,48,3,1,NA,NA,NA,33,5,5,NA,12,4,11,9,NA,55,1,NA,NA,NA,3,14,1,5,14,7,32,13,7,NA,NA,NA,27,1,NA,18,6,7,7,21,21,31,10,9,NA,NA,2,13,3,2,32,33,27,23,32,NA,NA,NA,NA,1,NA,2,14,18,7,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,8,NA,NA,NA,14,5,NA,44,NA,NA,18,1,NA,NA,2,48,4,NA,1,31,NA,NA,NA,35,12,21,35,5,27,19,10,7,33,15,3,29,7,NA,38,NA,7,19,33,2,16,19,NA,NA,NA,15,34,7,24,16,18,26,33,3,NA,NA,NA,NA,3
"Zone_SW_Bath_1000",10,NA,NA,NA,NA,10,7,NA,NA,26,NA,NA,2,NA,1,2,1,1,1,NA,10,16,NA,NA,NA,16,NA,4,NA,3,NA,19,7,15,6,4,9,15,3,20,17,14,20,2,NA,NA,NA,NA,3,NA,24,NA,2,NA,8,13,12,7,24,15,5,NA,NA,1,16,23,5,12,14,16,7,NA,2,5,NA,NA,NA,21,27,3,NA,4,NA,9,3,9,1,17,1,2,NA,NA,2,25,7,20,5,3,NA,NA,2,25,10,NA,7,NA,20,3,NA,3,19,22,15,1,2,5,2,27,15,1,11,30,2,2,3,NA,NA,4,1,2,5,15,11,41,NA,1,NA,1,NA,NA,21,2,NA,14,4,NA,NA,3,3,27,9,NA,1,NA,1,16,9,13,29,NA,1,NA,NA,3,20,NA,1,NA,NA,7,16,10,1,NA,NA,8,2,9,12,NA,NA,1,NA,2,21,19,6,8,12,6,5,9,9,23,21,23,3,2,1,12,NA,1,13,2,NA,3,24,18,1,NA,1,4,NA,1,5,5,NA,3,2,1,NA,NA,1,6,NA,NA,32,NA,7,3,NA,1,4,4,21,1,NA,NA,17,1,1,4,13,3,1,17,NA,5,18,3,2,22,12,18,20,1,2,8,14,5,21,6,NA,1,20,NA,1,NA,8,26,7,13,1,5,8,3,3,4,6,NA,1,2
"Zone_SW_Bath_200",8,NA,NA,NA,NA,5,2,NA,NA,13,NA,NA,2,NA,1,2,1,1,1,NA,5,9,NA,NA,NA,12,NA,3,NA,2,NA,11,5,11,5,3,9,9,3,12,10,8,12,1,NA,NA,NA,NA,3,NA,13,NA,1,NA,6,6,8,4,12,9,3,NA,NA,1,8,13,4,5,8,10,6,NA,2,5,NA,NA,NA,12,18,2,NA,1,NA,3,1,6,1,10,1,2,NA,NA,2,15,7,12,4,3,NA,NA,1,13,6,NA,3,NA,11,NA,NA,NA,11,11,6,1,2,2,1,14,10,1,6,15,1,2,1,NA,NA,4,NA,1,3,8,5,23,NA,NA,NA,NA,NA,NA,12,2,NA,11,3,NA,NA,2,2,17,6,NA,NA,NA,1,11,4,7,16,NA,1,NA,NA,3,11,NA,NA,NA,NA,4,7,4,1,NA,NA,6,2,6,8,NA,NA,1,NA,1,12,12,2,3,7,4,3,5,7,14,12,11,1,2,1,7,NA,1,9,2,NA,3,13,11,1,NA,1,3,NA,1,4,1,NA,3,NA,NA,NA,NA,NA,3,NA,NA,16,NA,6,NA,NA,NA,1,2,12,NA,NA,NA,9,NA,NA,3,8,NA,NA,8,NA,1,10,3,NA,13,7,7,12,NA,1,4,9,1,16,6,NA,NA,11,NA,1,NA,2,13,4,7,1,3,6,2,3,3,4,NA,NA,1
"Zone_SW_Bath_400",8,NA,NA,NA,NA,7,4,NA,NA,16,NA,NA,2,NA,1,2,1,1,1,NA,6,11,NA,NA,NA,14,NA,3,NA,2,NA,13,4,12,5,3,9,12,3,14,13,11,14,1,NA,NA,NA,NA,3,NA,15,NA,NA,NA,7,9,11,5,15,11,3,NA,NA,1,10,18,3,5,10,12,6,NA,2,5,NA,NA,NA,14,21,2,NA,2,NA,3,3,6,1,12,1,2,NA,NA,2,18,7,14,4,3,NA,NA,1,15,5,NA,4,NA,13,1,NA,NA,13,13,9,1,2,2,1,18,10,1,7,19,1,1,NA,NA,NA,4,NA,1,3,10,5,27,NA,NA,NA,NA,NA,NA,14,2,NA,11,3,NA,NA,2,3,20,6,NA,1,NA,NA,14,5,7,18,NA,1,NA,NA,3,12,NA,NA,NA,NA,4,10,6,1,NA,NA,6,1,7,10,NA,NA,1,NA,1,14,14,2,6,6,2,3,6,7,16,14,16,2,2,1,9,NA,1,11,2,NA,3,15,12,1,NA,1,3,NA,1,3,4,NA,2,NA,NA,NA,NA,NA,2,NA,NA,20,NA,6,1,NA,NA,1,2,14,NA,NA,NA,12,NA,NA,3,9,NA,NA,10,NA,1,12,3,NA,15,7,9,15,NA,1,4,11,3,17,6,NA,NA,14,NA,1,NA,4,18,5,9,1,3,6,2,3,2,3,NA,NA,NA
"Zone_SW_Bath_600",10,NA,NA,NA,NA,8,5,NA,NA,20,NA,NA,2,NA,1,2,1,1,1,NA,8,13,NA,NA,NA,15,NA,3,NA,2,NA,15,5,14,6,4,9,13,3,16,15,13,16,1,NA,NA,NA,NA,3,NA,18,NA,1,NA,8,10,12,6,17,12,4,NA,NA,1,12,19,4,6,12,13,7,NA,2,5,NA,NA,NA,16,24,3,NA,3,NA,3,3,7,1,14,1,2,NA,NA,2,20,7,16,5,3,NA,NA,1,18,7,NA,4,NA,15,1,NA,NA,15,14,11,1,2,3,1,20,12,1,8,22,1,2,1,NA,NA,4,NA,1,4,12,7,31,NA,NA,NA,NA,NA,NA,16,2,NA,13,4,NA,NA,2,3,22,8,NA,1,NA,1,15,6,9,21,NA,1,NA,NA,3,15,NA,NA,NA,NA,4,11,7,1,NA,NA,7,2,8,11,NA,NA,1,NA,1,16,16,3,6,8,4,4,7,8,18,16,17,2,2,1,11,NA,1,13,2,NA,3,17,13,1,NA,1,3,NA,1,4,4,NA,3,NA,NA,NA,NA,NA,3,NA,NA,22,NA,7,2,NA,NA,2,2,16,NA,NA,NA,13,NA,NA,3,10,NA,NA,11,NA,1,14,3,NA,18,8,11,17,NA,1,4,13,4,19,6,NA,NA,15,NA,1,NA,5,19,6,10,1,3,7,2,3,3,4,NA,NA,1
"Zone_SW_Bath_800",10,NA,NA,NA,NA,9,6,NA,NA,22,NA,NA,2,NA,1,2,1,1,1,NA,9,13,NA,NA,NA,15,NA,3,NA,2,NA,16,5,14,6,4,9,14,3,17,16,14,17,1,NA,NA,NA,NA,3,NA,20,NA,1,NA,8,11,12,6,19,13,4,NA,NA,1,13,20,4,7,12,14,7,NA,2,5,NA,NA,NA,17,25,3,NA,4,NA,4,3,7,1,15,1,2,NA,NA,2,21,7,16,5,3,NA,NA,2,19,7,NA,4,NA,16,2,NA,1,16,15,12,1,2,3,1,22,12,1,8,24,1,2,1,NA,NA,4,NA,1,4,13,8,33,NA,1,NA,NA,NA,NA,17,2,NA,13,4,NA,NA,2,3,23,8,NA,1,NA,1,15,7,10,23,NA,1,NA,NA,3,16,NA,NA,NA,NA,5,12,8,1,NA,NA,7,2,8,11,NA,NA,1,NA,1,17,17,4,7,9,4,4,8,9,19,17,17,2,2,1,11,NA,1,13,2,NA,3,18,14,1,NA,1,3,NA,1,4,4,NA,3,NA,NA,NA,NA,NA,4,NA,NA,24,NA,7,2,NA,NA,2,3,17,NA,NA,NA,14,NA,NA,3,11,1,NA,12,NA,1,15,3,NA,19,9,12,18,NA,1,5,13,4,19,6,NA,NA,16,NA,1,NA,6,20,6,11,1,3,7,2,3,3,4,NA,NA,1
