"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.434163415864546,3.14490184176267e-10,TRUE
"Zone_NW_Bath_200","X1",0.370686085769171,3.01833737883829e-07,TRUE
"Zone_NW_Bath_400","X1",0.418870673486992,2.19945731446062e-09,TRUE
"Zone_NW_Bath_600","X1",0.435552851238071,4.18738002271506e-10,TRUE
"Zone_NW_Bath_800","X1",0.43239586184818,4.19886571436038e-10,TRUE
"Zone_SW_Bath_1000","X1",0.244435302104444,0.000426079105893281,TRUE
"Zone_SW_Bath_200","X1",0.233736298781126,0.00145009986070118,TRUE
"Zone_SW_Bath_400","X1",0.255579766668272,0.000497277469507958,TRUE
"Zone_SW_Bath_600","X1",0.256361496109303,0.000412513565049109,TRUE
"Zone_SW_Bath_800","X1",0.253141091001624,0.000440674017876824,TRUE
"Zone_S_Bath_1000","X1",-0.27205521366615,0.00015247132986962,TRUE
"Zone_S_Bath_200","X1",-0.615218937604538,1.12595707702219e-16,TRUE
"Zone_S_Bath_400","X1",-0.615218937604538,1.12595707702219e-16,TRUE
"Zone_S_Bath_600","X1",-0.53461050258314,5.5210135051398e-13,TRUE
"Zone_S_Bath_800","X1",-0.384713826114741,2.22117521250648e-07,TRUE
"Zone_NW_Bath_1000","X2",-0.242716572520401,0.000693629677315254,TRUE
"Zone_NW_Bath_200","X2",-0.310995483791308,2.14509945939135e-05,TRUE
"Zone_NW_Bath_400","X2",-0.274915796754927,0.000134456527516153,TRUE
"Zone_NW_Bath_600","X2",-0.257931650735456,0.000352032723673615,TRUE
"Zone_NW_Bath_800","X2",-0.25208289053392,0.000434858946928635,TRUE
"Zone_SW_Bath_1000","X2",0.0241202517060989,0.732020532578345,FALSE
"Zone_SW_Bath_200","X2",-0.0117521274556535,0.87453880617237,FALSE
"Zone_SW_Bath_400","X2",0.0266438530353217,0.721067794403121,FALSE
"Zone_SW_Bath_600","X2",0.0296002888884087,0.68837550899173,FALSE
"Zone_SW_Bath_800","X2",0.0137296780056978,0.85126193675587,FALSE
"Zone_S_Bath_1000","X2",0.619493716269196,2.04446337602462e-21,TRUE
"Zone_S_Bath_200","X2",0.257592201217836,0.00163378151940784,TRUE
"Zone_S_Bath_400","X2",0.257592201217836,0.00163378151940784,TRUE
"Zone_S_Bath_600","X2",0.410189617682878,9.54028676639039e-08,TRUE
"Zone_S_Bath_800","X2",0.534961904794234,5.69370678437832e-14,TRUE
"Zone_NW_Bath_1000","X3",-0.226808985086832,0.00155848743781941,TRUE
"Zone_NW_Bath_200","X3",-0.249746019033312,0.000721986424952507,TRUE
"Zone_NW_Bath_400","X3",-0.233451922920582,0.00126301757771869,TRUE
"Zone_NW_Bath_600","X3",-0.223788084056033,0.00202042281900184,TRUE
"Zone_NW_Bath_800","X3",-0.227564428590368,0.00154549875082183,TRUE
"Zone_SW_Bath_1000","X3",0.560953642334674,2.63765824685626e-18,TRUE
"Zone_SW_Bath_200","X3",0.561288494327073,1.39870448998015e-16,TRUE
"Zone_SW_Bath_400","X3",0.584464330174813,4.6411724256955e-18,TRUE
"Zone_SW_Bath_600","X3",0.592973518126661,4.78821094757746e-19,TRUE
"Zone_SW_Bath_800","X3",0.588299250492377,5.52279718600992e-19,TRUE
"Zone_S_Bath_1000","X3",-0.0821195496925738,0.261282022615172,FALSE
"Zone_S_Bath_200","X3",0.0763978164615064,0.357723353930637,FALSE
"Zone_S_Bath_400","X3",0.0763978164615064,0.357723353930637,FALSE
"Zone_S_Bath_600","X3",0.0767132322291886,0.339607550310333,FALSE
"Zone_S_Bath_800","X3",0.010202878398805,0.894943784911657,FALSE
