"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.162571463219131,0.0242619556057528,TRUE
"Zone_NW_Bath_200","X1",0.067052025258714,0.371141573316816,FALSE
"Zone_NW_Bath_400","X1",0.138363830165779,0.0582761624016786,FALSE
"Zone_NW_Bath_600","X1",0.162617920674507,0.0257675858240708,TRUE
"Zone_NW_Bath_800","X1",0.158755157294512,0.028266485428637,TRUE
"Zone_SW_Bath_1000","X1",0.34507102376055,4.31680028456203e-07,TRUE
"Zone_SW_Bath_200","X1",0.33270181301685,4.19174870332027e-06,TRUE
"Zone_SW_Bath_400","X1",0.35733243071497,7.34770783093093e-07,TRUE
"Zone_SW_Bath_600","X1",0.363563482843545,3.38675356537264e-07,TRUE
"Zone_SW_Bath_800","X1",0.35049898831074,7.639759775498e-07,TRUE
"Zone_S_Bath_1000","X1",-0.101778799680005,0.163448626851501,FALSE
"Zone_S_Bath_200","X1",-0.4569840334501,5.94886634866819e-09,TRUE
"Zone_S_Bath_400","X1",-0.4569840334501,5.94886634866819e-09,TRUE
"Zone_S_Bath_600","X1",-0.329182398317614,2.5580560780561e-05,TRUE
"Zone_S_Bath_800","X1",-0.167850358566682,0.0286768230059546,TRUE
"Zone_NW_Bath_1000","X2",-0.298470184271346,2.61121512391815e-05,TRUE
"Zone_NW_Bath_200","X2",-0.326942291625937,7.47976187721345e-06,TRUE
"Zone_NW_Bath_400","X2",-0.318246437176391,8.55744420712387e-06,TRUE
"Zone_NW_Bath_600","X2",-0.31169398611991,1.33555216976723e-05,TRUE
"Zone_NW_Bath_800","X2",-0.303305362632688,1.99764138930719e-05,TRUE
"Zone_SW_Bath_1000","X2",-0.136417852851676,0.0517065389228769,FALSE
"Zone_SW_Bath_200","X2",-0.183705767644217,0.0127987846021501,TRUE
"Zone_SW_Bath_400","X2",-0.152839752901187,0.0394145573988267,TRUE
"Zone_SW_Bath_600","X2",-0.146899421775604,0.0454136369846144,TRUE
"Zone_SW_Bath_800","X2",-0.153762848835067,0.034648287810091,TRUE
"Zone_S_Bath_1000","X2",0.640238151518567,3.44395596254397e-23,TRUE
"Zone_S_Bath_200","X2",0.447963208849658,1.27584270771012e-08,TRUE
"Zone_S_Bath_400","X2",0.447963208849658,1.27584270771012e-08,TRUE
"Zone_S_Bath_600","X2",0.545590380600847,1.4787849771163e-13,TRUE
"Zone_S_Bath_800","X2",0.605273322314253,2.27716297172998e-18,TRUE
"Zone_NW_Bath_1000","X3",-0.313418348084557,9.5757607375879e-06,TRUE
"Zone_NW_Bath_200","X3",-0.331759523918324,5.37653530620211e-06,TRUE
"Zone_NW_Bath_400","X3",-0.31985478859199,7.65939338241777e-06,TRUE
"Zone_NW_Bath_600","X3",-0.311506678766349,1.35244683839247e-05,TRUE
"Zone_NW_Bath_800","X3",-0.314954126902424,9.09488732296707e-06,TRUE
"Zone_SW_Bath_1000","X3",0.48570547252268,1.79191584488485e-13,TRUE
"Zone_SW_Bath_200","X3",0.476706226532606,8.99727814223597e-12,TRUE
"Zone_SW_Bath_400","X3",0.49818037105488,8.30650271037601e-13,TRUE
"Zone_SW_Bath_600","X3",0.508344246275724,1.29177658139398e-13,TRUE
"Zone_SW_Bath_800","X3",0.506636809524428,1.02144415533243e-13,TRUE
"Zone_S_Bath_1000","X3",0.000863875802632585,0.99058714050122,FALSE
"Zone_S_Bath_200","X3",0.180501776820152,0.0286850665094298,TRUE
"Zone_S_Bath_400","X3",0.180501776820152,0.0286850665094298,TRUE
"Zone_S_Bath_600","X3",0.160476979382942,0.0446715504998049,TRUE
"Zone_S_Bath_800","X3",0.0838315686576524,0.277089824484047,FALSE
