"","1981_Summer","1981_Autumn","1982_Winter","1982_Spring","1982_Summer","1982_Autumn","1983_Winter","1983_Spring","1983_Summer","1983_Autumn","1984_Winter","1984_Spring","1984_Summer","1984_Autumn","1985_Winter","1985_Spring","1985_Summer","1985_Autumn","1986_Winter","1986_Spring","1986_Summer","1986_Autumn","1987_Winter","1987_Spring","1987_Summer","1987_Autumn","1988_Winter","1988_Spring","1988_Summer","1988_Autumn","1989_Winter","1989_Spring","1989_Summer","1989_Autumn","1990_Winter","1990_Spring","1990_Summer","1990_Autumn","1991_Winter","1991_Spring","1991_Summer","1991_Autumn","1992_Winter","1992_Spring","1992_Summer","1992_Autumn","1993_Winter","1993_Spring","1993_Summer","1993_Autumn","1994_Winter","1994_Spring","1994_Summer","1994_Autumn","1995_Winter","1995_Spring","1995_Summer","1995_Autumn","1996_Winter","1996_Spring","1996_Summer","1996_Autumn","1997_Winter","1997_Spring","1997_Summer","1997_Autumn","1998_Winter","1998_Spring","1998_Summer","1998_Autumn","1999_Winter","1999_Spring","1999_Summer","1999_Autumn","2000_Winter","2000_Spring","2000_Summer","2000_Autumn","2001_Winter","2001_Spring","2001_Summer","2001_Autumn","2002_Winter","2002_Spring","2002_Summer","2002_Autumn","2003_Winter","2003_Spring","2003_Summer","2003_Autumn","2004_Winter","2004_Spring","2004_Summer","2004_Autumn","2005_Winter","2005_Spring","2005_Summer","2005_Autumn","2006_Winter","2006_Spring","2006_Summer","2006_Autumn","2007_Winter","2007_Spring","2007_Summer","2007_Autumn","2008_Winter","2008_Spring","2008_Summer","2008_Autumn","2009_Winter","2009_Spring","2009_Summer","2009_Autumn","2010_Winter","2010_Spring","2010_Summer","2010_Autumn","2011_Winter","2011_Spring","2011_Summer","2011_Autumn","2012_Winter","2012_Spring","2012_Summer","2012_Autumn","2013_Winter","2013_Spring","2013_Summer","2013_Autumn","2014_Winter","2014_Spring","2014_Summer","2014_Autumn","2015_Winter","2015_Spring","2015_Summer","2015_Autumn","2016_Winter","2016_Spring","2016_Summer","2016_Autumn","2017_Winter","2017_Spring","2017_Summer","2017_Autumn","2018_Winter","2018_Spring","2018_Summer","2018_Autumn","2019_Winter","2019_Spring","2019_Summer","2019_Autumn","2020_Winter","2020_Spring","2020_Summer","2020_Autumn","2021_Winter","2021_Spring","2021_Summer","2021_Autumn","2022_Winter","2022_Spring","2022_Summer","2022_Autumn","2023_Winter","2023_Spring","2023_Summer","2023_Autumn","2024_Winter","2024_Spring","2024_Summer","2024_Autumn","2025_Winter","2025_Spring","2025_Summer","2025_Autumn"
"Zone_NW_Bath_1000",0,0,1464204580.28033,0,1083888026.94442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901392495.083132,0,0,0,2253933385.99146,0,2011402638.2566,1578736233.35946,4187341804.60099,7984406599.70275,0,0,6019693845.4716,NA,501508045.542281,0,0,0,0,0,0,0,0,0,0,1033199526.84275,0,0,0,0,0,1891707629.71585,0,3369151428.86267,0,4590394471.07321,0,0,0,0,0,0,NA,414157741.058678,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1008730433.08432,1624765097.6529,1935688701.81979,0,NA,0,2246674707.36769,0,1024897143.36608,0,0,0,0,0,0,0,0,2317996749.26482,0,0,0,0,5906185178.07397,NA,NA,0,2496667061.38603,0,4969044897.61651,1112042045.36825,NA,0,0,0,0,1294233088.73445,725160325.328335,NA,0,0,0,NA,2438231761.03724,2184728541.12603,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1075487714.47534,3082671102.63263,8106142877.04188,0,0,0,1403845666.77778,1758457561.33393,NA,0,0,0,0,0,0,0,0,0,0,0,0,2627453025.68861,0,0,0,860781743.396186,0,0,0,NA,NA,NA,NA,1546703264.93062,NA,NA,2453488841.20804,0,NA,NA,NA,390800789.212744,0
"Zone_NW_Bath_200",0,0,1464204580.28033,0,1083888026.94442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901392495.083132,0,0,0,2253933385.99146,0,2011402638.2566,1578736233.35946,4187341804.60099,6675359201.64775,0,0,6019693845.4716,NA,501508045.542281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3369151428.86267,0,4590394471.07321,0,0,1732139122.68371,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1008730433.08432,1624765097.6529,1935688701.81979,0,NA,0,2246674707.36769,0,1024897143.36608,0,0,0,0,0,0,0,0,2317996749.26482,0,0,0,0,5906185178.07397,NA,NA,0,2496667061.38603,0,0,1112042045.36825,NA,0,0,0,0,1294233088.73445,725160325.328335,NA,0,0,3455576160.00197,NA,332162313.973163,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1075487714.47534,2713871896.18323,8106142877.04188,0,0,0,1403845666.77778,1758457561.33393,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2275579964.18995,860781743.396186,0,0,0,NA,1665256911.17777,NA,NA,0,NA,NA,0,0,NA,NA,0,0,0
"Zone_NW_Bath_400",0,0,1464204580.28033,0,1083888026.94442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901392495.083132,0,0,0,2253933385.99146,0,2011402638.2566,1578736233.35946,4187341804.60099,5501910528.01865,0,0,6019693845.4716,NA,501508045.542281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939104763.05709,0,3369151428.86267,0,4590394471.07321,0,0,1732139122.68371,0,0,0,NA,414157741.058678,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1008730433.08432,1624765097.6529,1935688701.81979,0,NA,0,2246674707.36769,0,1024897143.36608,0,0,0,0,0,0,0,0,2317996749.26482,0,0,0,0,5906185178.07397,NA,NA,0,2496667061.38603,0,4969044897.61651,1112042045.36825,NA,0,0,0,0,1294233088.73445,725160325.328335,NA,0,0,3948197899.27615,NA,332162313.973163,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1075487714.47534,5798079262.31131,8106142877.04188,0,0,0,1403845666.77778,1758457561.33393,NA,0,0,0,0,0,0,0,0,0,0,0,0,2627453025.68861,0,0,0,860781743.396186,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,6214035072.91926,390800789.212744,1260617273.69679
"Zone_NW_Bath_600",0,0,1464204580.28033,0,1083888026.94442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901392495.083132,0,0,0,2253933385.99146,0,2011402638.2566,1578736233.35946,4187341804.60099,5501910528.01865,0,0,6019693845.4716,NA,501508045.542281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1891707629.71585,0,3369151428.86267,0,4590394471.07321,0,0,1732139122.68371,0,0,0,NA,414157741.058678,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1008730433.08432,1624765097.6529,1935688701.81979,0,NA,0,2246674707.36769,0,1024897143.36608,0,0,0,0,0,0,0,0,2317996749.26482,0,0,0,0,5906185178.07397,NA,NA,0,2496667061.38603,0,4969044897.61651,1112042045.36825,NA,0,0,0,0,1294233088.73445,725160325.328335,NA,0,0,0,NA,941968152.567965,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1075487714.47534,2449004569.56319,8106142877.04188,0,0,0,1403845666.77778,1758457561.33393,NA,0,0,0,0,0,0,0,0,0,0,0,0,2627453025.68861,0,0,0,860781743.396186,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,390800789.212744,0
"Zone_NW_Bath_800",0,0,1464204580.28033,0,1083888026.94442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901392495.083132,0,0,0,2253933385.99146,0,2011402638.2566,1578736233.35946,4187341804.60099,5501910528.01865,0,0,6019693845.4716,NA,501508045.542281,0,0,0,0,0,0,0,0,0,0,1033199526.84275,0,0,0,0,0,1891707629.71585,0,3369151428.86267,0,4590394471.07321,0,0,0,0,0,0,NA,414157741.058678,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1008730433.08432,1624765097.6529,1935688701.81979,0,NA,0,2246674707.36769,0,1024897143.36608,0,0,0,0,0,0,0,0,2317996749.26482,0,0,0,0,5906185178.07397,NA,NA,0,2496667061.38603,0,4969044897.61651,1112042045.36825,NA,0,0,0,0,1294233088.73445,725160325.328335,NA,0,0,0,NA,1824860452.73678,2184728541.12603,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1075487714.47534,2449004569.56319,8106142877.04188,0,0,0,1403845666.77778,1758457561.33393,NA,0,0,0,0,0,0,0,0,0,0,0,0,2627453025.68861,0,0,0,860781743.396186,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,390800789.212744,0
"Zone_SW_Bath_1000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677572913.29789,1638305720.25399,0,0,3229267113.92365,1700901742.37506,1144023251.16008,1378186787.22077,0,0,0,0,0,4842246710.81788,0,1652934808.22186,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3056647434.69461,0,NA,NA,0,1187469894.39438,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,3111029917.27429,0,0,0,0,2241190181.0826,0,NA,210535341.204622,0,1173133637.26233,0,0,6395663713.68487,2597576894.55489,0,0,548638708.094466,0,0,0,3260020718.66853,5284449526.82815,1147384279.84488,NA,NA,NA,0,0,3295356364.92873,NA,NA,1174139696.51748,1330999832.94051,0,0,0,0,0,1701357663.50888,7977333524.69013,4481150114.84341,0,NA,NA,1460244744.52248,0,633097374.024211,351237883.880148,0,3017009359.23029,0,0,4044648479.22435,0,0,1657980957.97776,3765246464.99229,0,0,7311509491.43007,NA,NA,0,2663699858.89858,NA,2909993161.2358,2568598660.34766,NA,1507947966.64879,1140284736.62146,0,0,2506407126.84857,0,5493989091.59137,0,2033165242.95861,0,294822438.996299,0,0,4405418895.36663,0,0,0,0,841948408.237319,0,3612140580.62175,0,NA,NA,8934075276.26861,NA,NA,0,1318555769.95523,NA,1015063091.44869,NA,0,391779607.235601
"Zone_SW_Bath_200",0,0,0,0,0,0,0,0,2428331134.59022,0,0,0,0,0,0,0,2677572913.29789,1638305720.25399,0,0,3229267113.92365,1700901742.37506,1144023251.16008,1378186787.22077,0,0,0,0,0,4842246710.81788,3183367905.01407,3192151118.0327,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452602595.49984,0,NA,NA,0,1187469894.39438,0,0,0,NA,NA,0,0,0,0,0,0,1586325404.05704,4790332949.2564,0,0,3111029917.27429,0,0,0,0,2241190181.0826,0,NA,210535341.204622,0,1173133637.26233,0,0,2593357002.4641,2003554905.27997,0,0,0,0,0,0,2505190513.57527,5284449526.82815,450096407.24637,4972276450.25114,NA,NA,1351654476.54064,0,3295356364.92873,8610709960.13028,NA,0,0,0,0,0,0,0,915143676.017467,5535418992.31674,3064079621.33285,0,NA,NA,1460244744.52248,0,0,0,0,3017009359.23029,0,0,4044648479.22435,0,0,1657980957.97776,3299218777.74992,0,0,2606311385.48236,6667295412.0998,NA,0,2663699858.89858,NA,2909993161.2358,2568598660.34766,NA,1507947966.64879,5091442542.7731,0,0,2506407126.84857,0,3668513906.94864,0,0,0,3127018634.19933,0,0,457849433.477301,0,2828156810.10299,0,0,0,0,0,384739718.729285,0,NA,4882708858.77942,NA,NA,0,1318555769.95523,NA,502709973.146403,9566753144.56689,0,1709498303.3425
"Zone_SW_Bath_400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677572913.29789,1638305720.25399,0,0,3229267113.92365,1700901742.37506,1144023251.16008,1378186787.22077,0,0,0,0,0,4842246710.81788,3183367905.01407,3192151118.0327,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1187469894.39438,0,0,0,NA,NA,0,0,0,0,0,0,2856058026.45625,4790332949.2564,0,0,3111029917.27429,0,0,0,0,2241190181.0826,0,NA,210535341.204622,0,1173133637.26233,0,0,2593357002.4641,1413011415.92803,0,0,2172313304.38325,0,0,0,3260020718.66853,5284449526.82815,469177007.061339,5009640437.76479,NA,NA,0,0,3295356364.92873,8610709960.13028,NA,0,0,0,0,0,0,0,915143676.017467,5535418992.31674,1417070493.51056,0,NA,NA,1460244744.52248,0,0,0,0,3017009359.23029,0,0,3129848642.06659,0,0,1657980957.97776,3299218777.74992,0,0,5946824902.53118,7453688815.34955,NA,0,2663699858.89858,NA,2909993161.2358,2568598660.34766,NA,1507947966.64879,5091442542.7731,0,0,2506407126.84857,0,2491555022.36202,0,0,0,2126715187.35042,0,2586919360.5088,874492657.511534,0,2079097523.00132,0,0,0,0,0,384739718.729285,0,NA,4882708858.77942,NA,NA,0,1318555769.95523,NA,502709973.146403,9566753144.56689,0,0
"Zone_SW_Bath_600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677572913.29789,1638305720.25399,0,0,3229267113.92365,1700901742.37506,1144023251.16008,1378186787.22077,0,0,0,0,0,4842246710.81788,3183367905.01407,3192151118.0327,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452602595.49984,0,NA,NA,0,1187469894.39438,0,0,0,NA,NA,0,0,0,0,0,0,0,4790332949.2564,0,0,3111029917.27429,0,0,0,0,2241190181.0826,0,NA,210535341.204622,0,1173133637.26233,0,0,2593357002.4641,2003554905.27997,0,0,2172313304.38325,0,0,0,3260020718.66853,5284449526.82815,692665237.734397,7494838494.38705,NA,NA,1351654476.54064,0,3295356364.92873,8610709960.13028,NA,0,0,0,0,0,0,0,915143676.017467,7977333524.69013,4481150114.84341,0,NA,NA,1460244744.52248,0,0,0,0,3017009359.23029,0,0,4044648479.22435,0,0,1657980957.97776,3299218777.74992,0,0,5946824902.53118,8739322273.47376,NA,0,2663699858.89858,NA,2909993161.2358,2568598660.34766,NA,1507947966.64879,5091442542.7731,0,0,2506407126.84857,0,3668513906.94864,0,0,0,3127018634.19933,0,4640493244.11335,1332342090.98883,0,2828156810.10299,0,0,0,0,0,384739718.729285,0,NA,4882708858.77942,NA,NA,0,1318555769.95523,NA,502709973.146403,9566753144.56689,0,1709498303.3425
"Zone_SW_Bath_800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677572913.29789,1638305720.25399,0,0,3229267113.92365,1700901742.37506,1144023251.16008,1378186787.22077,0,0,0,0,0,4842246710.81788,3183367905.01407,3192151118.0327,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452602595.49984,0,NA,NA,0,1187469894.39438,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,3111029917.27429,0,0,0,0,2241190181.0826,0,NA,210535341.204622,0,1173133637.26233,0,0,6395663713.68487,2003554905.27997,0,0,0,0,0,2086536271.5372,3260020718.66853,5284449526.82815,692665237.734397,7494838494.38705,NA,NA,1351654476.54064,0,3295356364.92873,8610709960.13028,NA,1174139696.51748,0,0,0,0,0,0,915143676.017467,7977333524.69013,4481150114.84341,0,NA,NA,1460244744.52248,0,0,0,0,3017009359.23029,0,0,4044648479.22435,0,0,1657980957.97776,3299218777.74992,0,0,6610356080.16753,9619097064.70452,NA,0,2663699858.89858,NA,2909993161.2358,2568598660.34766,NA,1507947966.64879,5091442542.7731,0,0,2506407126.84857,0,3668513906.94864,0,0,0,0,0,4640493244.11335,1332342090.98883,0,2828156810.10299,0,0,0,0,2253389389.10764,384739718.729285,0,NA,4882708858.77942,NA,NA,0,1318555769.95523,NA,502709973.146403,9566753144.56689,0,1709498303.3425
