"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.799860260037273,9.59564101312982e-36,TRUE
"Zone_NW_Bath_200","X1",0.715914219885405,5.81249813524871e-26,TRUE
"Zone_NW_Bath_400","X1",0.69146612755066,1.64933823621481e-23,TRUE
"Zone_NW_Bath_600","X1",0.803181319158435,3.05935724672019e-36,TRUE
"Zone_NW_Bath_800","X1",0.804955673514241,1.64623886444801e-36,TRUE
"Zone_SW_Bath_1000","X1",-0.175083063582211,0.0304147644848868,TRUE
"Zone_SW_Bath_200","X1",-0.0424386978527439,0.596493985338033,FALSE
"Zone_SW_Bath_400","X1",-0.0336232268780753,0.674923716412022,FALSE
"Zone_SW_Bath_600","X1",-0.0346288181314008,0.665777145000304,FALSE
"Zone_SW_Bath_800","X1",-0.0339743842829321,0.671724196435784,FALSE
"Zone_S_Bath_1000","X1",-0.371138322639063,1.84490203974011e-06,TRUE
"Zone_S_Bath_200","X1",-0.637245218228604,1.59423821579581e-20,TRUE
"Zone_S_Bath_400","X1",-0.637245218228604,1.59423821579581e-20,TRUE
"Zone_S_Bath_600","X1",-0.508081837833606,3.2574729848172e-12,TRUE
"Zone_S_Bath_800","X1",-0.452073287856744,1.96285258788685e-09,TRUE
"Zone_NW_Bath_1000","X2",-0.0246803124424241,0.760498185193426,FALSE
"Zone_NW_Bath_200","X2",0.175405633486513,0.0279970337107531,TRUE
"Zone_NW_Bath_400","X2",-0.0805705724382795,0.317378584539474,FALSE
"Zone_NW_Bath_600","X2",-0.0276223019024014,0.732970855672236,FALSE
"Zone_NW_Bath_800","X2",-0.0192598380465321,0.811986448609739,FALSE
"Zone_SW_Bath_1000","X2",-0.803742493178825,7.15541974981251e-36,TRUE
"Zone_SW_Bath_200","X2",-0.824532486475372,2.01538561895761e-40,TRUE
"Zone_SW_Bath_400","X2",-0.834295332287944,3.47441720917623e-42,TRUE
"Zone_SW_Bath_600","X2",-0.836390073597216,1.4044874436021e-42,TRUE
"Zone_SW_Bath_800","X2",-0.833911663337302,4.0957616393388e-42,TRUE
"Zone_S_Bath_1000","X2",0.210812677623478,0.00825084401858075,TRUE
"Zone_S_Bath_200","X2",0.422772939351665,1.1375945821588e-08,TRUE
"Zone_S_Bath_400","X2",0.422772939351665,1.1375945821588e-08,TRUE
"Zone_S_Bath_600","X2",0.327734471487486,1.73040389511019e-05,TRUE
"Zone_S_Bath_800","X2",0.306675453743729,8.00583325950115e-05,TRUE
"Zone_NW_Bath_1000","X3",0.0549257420184177,0.497266249170668,FALSE
"Zone_NW_Bath_200","X3",0.0137264884782515,0.864517825221112,FALSE
"Zone_NW_Bath_400","X3",-0.142135266683974,0.0767289946861259,FALSE
"Zone_NW_Bath_600","X3",0.0229474098687706,0.776856657121565,FALSE
"Zone_NW_Bath_800","X3",0.0493405600396775,0.542071062156183,FALSE
"Zone_SW_Bath_1000","X3",-0.0740739854324295,0.362832230074551,FALSE
"Zone_SW_Bath_200","X3",0.037520630200051,0.639750980244221,FALSE
"Zone_SW_Bath_400","X3",0.0289281334713431,0.718242042698292,FALSE
"Zone_SW_Bath_600","X3",0.0292753393963585,0.715005659497394,FALSE
"Zone_SW_Bath_800","X3",-0.039288357047528,0.62405253856092,FALSE
"Zone_S_Bath_1000","X3",0.601383304203562,1.02908144789844e-16,TRUE
"Zone_S_Bath_200","X3",-0.0259377089466933,0.738577825737944,FALSE
"Zone_S_Bath_400","X3",-0.0259377089466933,0.738577825737944,FALSE
"Zone_S_Bath_600","X3",0.559071439461945,5.97990040836767e-15,TRUE
"Zone_S_Bath_800","X3",0.516103423472075,2.85124081158844e-12,TRUE
