"Parameter","m","R_structure","AICc","logLik","converged","degenerate","min_R_variance","min_Q_variance","degenerate_R_series","degenerate_Q_trend","delta_AICc","AICc_support"
"activity_degC_days_m2",3,"diagonal and unequal",15.5143684550509,-1687.96819899374,FALSE,TRUE,-1.39675813732659e-11,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"activity_degC_days_m2",3,"equalvarcov",3625.6907215162,-1767.99739501934,FALSE,FALSE,0.484368649624881,1,NA,NA,3610.17635306115,"No support"
"activity_degC_days_m2",2,"equalvarcov",3907.16142600131,-1922.15822577749,TRUE,FALSE,0.600133866120494,1,NA,NA,3891.64705754626,"No support"
"activity_degC_days_m2",3,"diagonal and equal",3996.32315713043,-1954.35164705836,TRUE,FALSE,0.123011331294694,1,NA,NA,3980.80878867538,"No support"
"activity_degC_days_m2",2,"diagonal and unequal",4057.99257151825,-1984.14832002037,TRUE,FALSE,0.0126338690082758,1,NA,NA,4042.4782030632,"No support"
"activity_degC_days_m2",1,"equalvarcov",4866.05488107707,-2415.89788931076,TRUE,FALSE,0.79501063001997,1,NA,NA,4850.54051262202,"No support"
"activity_degC_days_m2",2,"diagonal and equal",4952.70854086324,-2445.95835727709,TRUE,FALSE,0.261056567635182,1,NA,NA,4937.19417240819,"No support"
"activity_degC_days_m2",1,"diagonal and unequal",5199.13806736119,-2569.17312052606,TRUE,FALSE,0.0234903599270733,1,NA,NA,5183.62369890613,"No support"
"activity_degC_days_m2",1,"diagonal and equal",5884.26313651051,-2926.01646034159,TRUE,FALSE,0.52053948672939,1,NA,NA,5868.74876805546,"No support"
"mean_area_km2",3,"diagonal and unequal",-594.558821447154,-550.491949188586,FALSE,TRUE,-2.48469813955504e-09,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"mean_area_km2",3,"equalvarcov",1494.93352342222,-702.176859430978,FALSE,FALSE,0.398114248090366,1,NA,NA,2089.49234486937,"No support"
"mean_area_km2",2,"diagonal and unequal",1531.82030702731,-720.620251233524,FALSE,TRUE,3.62362492605647e-06,1,"Zone_SW_Bath_600",NA,2126.37912847446,"No support"
"mean_area_km2",2,"equalvarcov",2117.04041616257,-1026.8793812079,TRUE,FALSE,0.501896297821364,1,NA,NA,2711.59923760973,"No support"
"mean_area_km2",3,"diagonal and equal",2160.76377408461,-1036.15011620897,TRUE,FALSE,0.0733064489242011,1,NA,NA,2755.32259553176,"No support"
"mean_area_km2",1,"diagonal and unequal",2938.85605630927,-1438.82764080796,TRUE,FALSE,0.00136422105981136,1,NA,NA,3533.41487775642,"No support"
"mean_area_km2",1,"equalvarcov",3271.38477400209,-1618.49648431218,TRUE,FALSE,0.666958521788435,1,NA,NA,3865.94359544924,"No support"
"mean_area_km2",2,"diagonal and equal",3282.54034067871,-1610.66978299268,TRUE,FALSE,0.244170443048946,1,NA,NA,3877.09916212587,"No support"
"mean_area_km2",1,"diagonal and equal",4201.59774814635,-2084.62484976095,TRUE,FALSE,0.655743441583767,1,NA,NA,4796.1565695935,"No support"
"mean_duration_days",3,"diagonal and unequal",-1805.85454472063,80.3122120526942,FALSE,TRUE,-2.48065048180516e-10,1,"Zone_NW_Bath_600; Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"mean_duration_days",2,"diagonal and unequal",342.621247455869,-126.020721447804,FALSE,TRUE,1.33738180649266e-05,1,"Zone_NW_Bath_600; Zone_SW_Bath_600",NA,2148.4757921765,"No support"
"mean_duration_days",3,"equalvarcov",629.314172336738,-269.367183888239,FALSE,FALSE,0.583802591708038,1,NA,NA,2435.16871705737,"No support"
"mean_duration_days",2,"equalvarcov",996.121042706703,-466.419694479966,TRUE,FALSE,0.626835996555805,1,NA,NA,2801.97558742733,"No support"
"mean_duration_days",3,"diagonal and equal",999.903978511264,-455.720218422299,FALSE,FALSE,0.0366200043324615,1,NA,NA,2805.75852323189,"No support"
"mean_duration_days",2,"diagonal and equal",1704.98103807665,-821.890131691649,TRUE,FALSE,0.0824688057454902,1,NA,NA,3510.83558279728,"No support"
"mean_duration_days",1,"equalvarcov",1712.24497524402,-838.926584933152,TRUE,FALSE,0.722596139964282,1,NA,NA,3518.09951996465,"No support"
"mean_duration_days",1,"diagonal and unequal",2315.33613389851,-1127.06767960258,TRUE,FALSE,0.00279570194748717,1,NA,NA,4121.19067861914,"No support"
"mean_duration_days",1,"diagonal and equal",3043.18207625624,-1505.4170138159,TRUE,FALSE,0.290906756738358,1,NA,NA,4849.03662097686,"No support"
"mean_intensity_degC",3,"diagonal and unequal",-1320.37789721117,-193.843033830135,FALSE,TRUE,-3.09765868570901e-10,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"mean_intensity_degC",3,"equalvarcov",385.718433361468,-147.636239534348,FALSE,FALSE,0.845138232682203,1,NA,NA,1706.09633057264,"No support"
"mean_intensity_degC",2,"diagonal and unequal",760.804429377028,-335.179237542127,TRUE,FALSE,0.001079121878111,1,NA,NA,2081.1823265882,"No support"
"mean_intensity_degC",2,"equalvarcov",1011.79554707535,-474.289930400419,FALSE,FALSE,0.888382308000738,1,NA,NA,2332.17344428651,"No support"
"mean_intensity_degC",3,"diagonal and equal",1131.61659132513,-521.640394427996,FALSE,FALSE,0.0353527786039581,1,NA,NA,2451.9944885363,"No support"
"mean_intensity_degC",1,"equalvarcov",2317.45044006614,-1141.53931480828,TRUE,FALSE,0.994393558983771,1,NA,NA,3637.82833727731,"No support"
"mean_intensity_degC",1,"diagonal and unequal",2430.49992587367,-1184.68045895643,TRUE,FALSE,0.00133579912899735,1,NA,NA,3750.87782308484,"No support"
"mean_intensity_degC",2,"diagonal and equal",2442.35450540681,-1190.607748723,TRUE,FALSE,0.125335294088284,1,NA,NA,3762.73240261798,"No support"
"mean_intensity_degC",1,"diagonal and equal",3089.69268411832,-1528.68119330385,TRUE,FALSE,0.253783545647913,1,NA,NA,4410.07058132949,"No support"
