"Trend_A","Trend_B","Correlation","p_value","significant","Parameter_A","Parameter_B","same_parameter"
"mean_area_km2_X1","mean_area_km2_X1",1,NA,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_area_km2_X2","mean_area_km2_X1",0.111218016101901,0.19738240783602,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_area_km2_X3","mean_area_km2_X1",0.0950688919198892,0.270919939970074,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_duration_days_X1","mean_area_km2_X1",-0.0644834218414306,0.455767095080682,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_duration_days_X2","mean_area_km2_X1",-0.00105213849492922,0.99030060711711,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_duration_days_X3","mean_area_km2_X1",0.0230709599896193,0.789774548206247,FALSE,"mean_duration_days","mean_area_km2",FALSE
"mean_intensity_degC_X1","mean_area_km2_X1",0.0505466479282006,0.558949254166766,FALSE,"mean_intensity_degC","mean_area_km2",FALSE
"mean_intensity_degC_X2","mean_area_km2_X1",0.0776304451976624,0.369015480293125,FALSE,"mean_intensity_degC","mean_area_km2",FALSE
"mean_intensity_degC_X3","mean_area_km2_X1",0.0490157052051514,0.570930899510332,FALSE,"mean_intensity_degC","mean_area_km2",FALSE
"number_of_events_X1","mean_area_km2_X1",-0.154769086175637,0.0720030177824309,FALSE,"number_of_events","mean_area_km2",FALSE
"number_of_events_X2","mean_area_km2_X1",-0.218023344121873,0.0107769256354448,TRUE,"number_of_events","mean_area_km2",FALSE
"number_of_events_X3","mean_area_km2_X1",-0.113349467760479,0.188877114021246,FALSE,"number_of_events","mean_area_km2",FALSE
"mean_area_km2_X1","mean_area_km2_X2",0.111218016101901,0.19738240783602,FALSE,"mean_area_km2","mean_area_km2",TRUE
"mean_area_km2_X2","mean_area_km2_X2",1,NA,FALSE,"mean_area_km2","mean_area_km2",TRUE
