"Series","Trend","Estimate","CI_low","CI_high","p_value","significant","stars"
"Zone_NW_Bath_1000","X1",1.0624258117476,0.896483704322464,1.22836791917273,4.0536449864294e-36,TRUE,"***"
"Zone_NW_Bath_200","X1",1.03302982139134,0.868566020464673,1.19749362231801,7.91128807798366e-35,TRUE,"***"
"Zone_NW_Bath_400","X1",1.0443298605844,0.879852232803103,1.2088074883657,1.49738925419141e-35,TRUE,"***"
"Zone_NW_Bath_600","X1",1.06548587668036,0.899073431581432,1.23189832177928,4.02434311540553e-36,TRUE,"***"
"Zone_NW_Bath_800","X1",1.05353715822873,0.888500571745617,1.21857374471184,6.43978171192431e-36,TRUE,"***"
"Zone_SW_Bath_1000","X1",-0.958386556444311,-1.12755420237175,-0.789218910516878,1.20225878605768e-28,TRUE,"***"
"Zone_SW_Bath_200","X1",-1.02503354613567,-1.21298262879989,-0.837084463471452,1.14330113715988e-26,TRUE,"***"
"Zone_SW_Bath_400","X1",-1.0482869510779,-1.23857880677257,-0.857995095383222,3.55156009926566e-27,TRUE,"***"
"Zone_SW_Bath_600","X1",-1.02715613217253,-1.21218146439889,-0.842130799946175,1.4260081723723e-27,TRUE,"***"
"Zone_SW_Bath_800","X1",-1.02912467248699,-1.21334418513039,-0.844905159843597,6.70731922533643e-28,TRUE,"***"
"Zone_S_Bath_1000","X1",0.380586547766619,0.139275691512646,0.621897404020591,0.00199360975523187,TRUE,"**"
"Zone_S_Bath_200","X1",-0.0750902428962265,-0.373429078152539,0.223248592360085,0.621792046084422,FALSE,""
"Zone_S_Bath_400","X1",-0.0750902428962129,-0.373429078152525,0.223248592360099,0.621792046084484,FALSE,""
"Zone_S_Bath_600","X1",0.0833376175301546,-0.212122178643022,0.378797413703331,0.58038054278127,FALSE,""
"Zone_S_Bath_800","X1",0.278961576432654,-0.00137294364075741,0.559296096506066,0.051132627567959,FALSE,""
"Zone_NW_Bath_1000","X2",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X2",0.0869361910378975,0.0457211417078217,0.128151240367973,3.56172632764191e-05,TRUE,"***"
"Zone_NW_Bath_400","X2",0.0390470738226438,-0.00108020301424083,0.0791743506595284,0.0564943192703449,FALSE,""
"Zone_NW_Bath_600","X2",0.00744917108057386,-0.0327730954310658,0.0476714375922135,0.716615576502061,FALSE,""
"Zone_NW_Bath_800","X2",0.00979754008802937,-0.029988005714097,0.0495830858901557,0.629338344175065,FALSE,""
"Zone_SW_Bath_1000","X2",0.326290448009412,0.136555019948921,0.516025876069902,0.000750114322665835,TRUE,"***"
"Zone_SW_Bath_200","X2",0.426182606891523,0.208631561252746,0.6437336525303,0.000123249773455478,TRUE,"***"
"Zone_SW_Bath_400","X2",0.449814192683662,0.238621203952104,0.661007181415219,2.98675468860495e-05,TRUE,"***"
"Zone_SW_Bath_600","X2",0.416475149876293,0.20956579084396,0.623384508908627,7.97696081823879e-05,TRUE,"***"
"Zone_SW_Bath_800","X2",0.40536475017027,0.198884500304199,0.611845000036341,0.000119170084003749,TRUE,"***"
"Zone_S_Bath_1000","X2",-1.04032197728284,-1.21428280216767,-0.866361152398002,9.94988314339189e-32,TRUE,"***"
"Zone_S_Bath_200","X2",-0.7094801503404,-1.26375464009637,-0.155205660584431,0.0121147185765655,TRUE,"*"
"Zone_S_Bath_400","X2",-0.709480150340401,-1.26375464009637,-0.155205660584431,0.0121147185765654,TRUE,"*"
"Zone_S_Bath_600","X2",-0.847269373313555,-1.35599264340685,-0.338546103220261,0.00109740931677737,TRUE,"**"
"Zone_S_Bath_800","X2",-1.18341203714572,-1.45293158323469,-0.913892491056747,7.57528206177932e-18,TRUE,"***"
"Zone_NW_Bath_1000","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_400","X3",-0.00877773081448717,-0.0422316627761647,0.0246762011471904,0.607069864044055,FALSE,""
"Zone_NW_Bath_600","X3",-0.00803566408759456,-0.0451968760512382,0.0291255478760491,0.671698124443583,FALSE,""
"Zone_NW_Bath_800","X3",-0.000829375187375492,-0.0374687065874843,0.0358099562127333,0.964612555982683,FALSE,""
"Zone_SW_Bath_1000","X3",-0.202264870311728,-0.416359521503462,0.0118297808800054,0.064073749027484,FALSE,""
"Zone_SW_Bath_200","X3",-0.273405289843227,-0.52630220964261,-0.0205083700438448,0.0340985051988634,TRUE,"*"
"Zone_SW_Bath_400","X3",-0.241390472891217,-0.502794691484311,0.0200137457018764,0.0703106210130387,FALSE,""
"Zone_SW_Bath_600","X3",-0.236573526424427,-0.485178993869154,0.0120319410203002,0.0621665237538008,FALSE,""
"Zone_SW_Bath_800","X3",-0.236605617380232,-0.481525267477234,0.00831403271677073,0.0583005595293599,FALSE,""
"Zone_S_Bath_1000","X3",0.152819513560888,-0.308290003803896,0.613929030925672,0.515973052416715,FALSE,""
"Zone_S_Bath_200","X3",1.12656020671747,0.770806244066659,1.48231416936829,5.41481231932571e-10,TRUE,"***"
"Zone_S_Bath_400","X3",1.12656020671747,0.770806244066659,1.48231416936828,5.41481231932546e-10,TRUE,"***"
"Zone_S_Bath_600","X3",1.02435950691801,0.621356579372887,1.42736243446313,6.29731033803593e-07,TRUE,"***"
"Zone_S_Bath_800","X3",0.4264195389601,-0.0983078404363648,0.951146918356565,0.111213118791796,FALSE,""
