"","1981_Autumn","1982_Winter","1982_Spring","1982_Summer","1983_Winter","1983_Summer","1983_Autumn","1984_Summer","1985_Summer","1985_Autumn","1986_Summer","1986_Autumn","1987_Winter","1987_Spring","1987_Summer","1988_Winter","1988_Spring","1988_Summer","1988_Autumn","1989_Winter","1989_Spring","1989_Summer","1989_Autumn","1990_Winter","1990_Spring","1990_Summer","1991_Summer","1993_Winter","1993_Spring","1993_Summer","1994_Winter","1994_Spring","1994_Summer","1994_Autumn","1995_Winter","1995_Spring","1995_Summer","1995_Autumn","1996_Winter","1996_Spring","1996_Summer","1997_Winter","1997_Spring","1997_Summer","1997_Autumn","1998_Winter","1998_Spring","1999_Spring","1999_Summer","2000_Winter","2000_Spring","2000_Summer","2001_Winter","2001_Summer","2002_Winter","2002_Summer","2002_Autumn","2003_Winter","2003_Spring","2003_Summer","2004_Winter","2004_Spring","2004_Summer","2004_Autumn","2005_Spring","2005_Summer","2005_Autumn","2006_Winter","2006_Spring","2006_Summer","2006_Autumn","2007_Winter","2007_Summer","2007_Autumn","2008_Winter","2008_Spring","2008_Summer","2009_Spring","2009_Summer","2009_Autumn","2010_Winter","2010_Spring","2010_Summer","2011_Winter","2011_Spring","2011_Summer","2011_Autumn","2012_Winter","2012_Spring","2012_Summer","2012_Autumn","2013_Spring","2013_Summer","2013_Autumn","2014_Spring","2014_Summer","2014_Autumn","2015_Spring","2015_Summer","2015_Autumn","2016_Winter","2016_Spring","2016_Summer","2016_Autumn","2017_Winter","2017_Spring","2017_Summer","2017_Autumn","2018_Summer","2018_Autumn","2019_Winter","2019_Summer","2019_Autumn","2020_Winter","2020_Spring","2020_Summer","2020_Autumn","2021_Spring","2021_Summer","2021_Autumn","2022_Winter","2022_Spring","2022_Summer","2022_Autumn","2023_Winter","2023_Spring","2023_Summer","2023_Autumn","2024_Winter","2024_Spring","2024_Summer","2024_Autumn","2025_Winter","2025_Spring","2025_Summer","2025_Autumn"
"Zone_NW_Bath_1000",NA,62.3111282615433,NA,62.3111282615435,NA,72.9775253893155,76.9604894880027,66.9305217964364,81.6128034509906,NA,73.8771752536043,NA,75.3235659958556,NA,71.0347337087018,85.2412307806253,89.1545155049665,95.8496656378659,70.8131393281209,74.332104005789,89.4864251992487,74.4299827145256,69.7308324076291,77.8757139509899,82.7518729495493,72.9425019258894,78.2726340057577,89.1545155049662,76.2203969793098,NA,NA,76.0746291480194,70.709212541646,94.7341007946992,89.9888005481452,NA,70.9702547344854,72.5574786942514,75.5122498128912,89.1545155049664,NA,81.2749549897947,76.619448522835,86.6377691326497,86.2549516981181,78.0779082823726,NA,77.4217888414264,81.0837854377654,NA,75.4172536937556,65.6707498392078,84.1284693383487,89.1545155049665,70.5004590476758,83.2818414884431,83.2877318394388,92.502971108365,NA,77.9414982598639,NA,77.8869669523626,79.566752427831,NA,79.469362611424,70.2096045289486,NA,NA,76.6166251529998,69.0241186827123,73.7616293481401,85.0739987588572,76.2877775307845,NA,77.3472541211674,70.1495988333882,89.0118629605116,76.8558271591198,62.3111282615434,83.9864275445089,NA,82.0050138344458,80.6342472429339,72.4778525023582,86.0585580366297,70.7020984244693,78.8517618921356,90.4912075562496,80.7715685527276,72.9424353409368,64.2310906277734,NA,76.1730773552183,76.5795405768352,82.7662005282042,79.478579227285,67.0902844292052,90.8287433066657,67.2293441845958,80.4190251659307,76.9823470233658,77.2053412901647,NA,95.8496656378659,95.8496656378661,73.661902344535,NA,NA,85.1723691495552,NA,NA,89.1519934457888,NA,85.7958764957056,73.9139028422461,73.124661289159,87.4794390403445,72.3753194001145,82.8130043266394,NA,NA,75.8282290490385,77.3643892678889,77.3388447101384,74.1172382768622,73.6802988733529,74.0322784615759,76.9092476374027,80.3378525882269,68.1888419558831,NA,77.1229364463209,79.007644860264,75.0978379787605,NA,65.6709582146999
"Zone_NW_Bath_200",NA,62.3111282615433,NA,62.3111282615435,NA,72.9775253893155,77.9359486219012,66.9305217964364,81.6128034509906,NA,74.2731705925991,NA,75.3235659958556,NA,71.0347337087018,84.4585738357571,89.1545155049665,95.8496656378659,72.7124786645611,79.3625720164104,89.8212120571254,75.0113178597235,69.7308324076291,78.2804887239521,82.7518729495493,73.0283230423191,82.6164832025352,NA,76.0201650022903,NA,NA,76.3305078741566,NA,94.7341007946992,89.9888005481452,NA,70.9935998538988,73.0982460449077,76.123032845566,89.1545155049667,NA,82.7598079397771,78.7136462024967,94.1763183731154,87.0394799634352,79.4679852399717,NA,77.4217888414264,81.807531764297,NA,75.4172536937556,62.3111282615432,84.1284693383487,89.1545155049665,70.6937987153074,83.2818414884431,83.1678552881336,92.502971108365,NA,79.513041093111,NA,80.2475367154052,80.2829406272784,NA,79.469362611424,70.6695630708569,NA,NA,77.5379026527783,69.9917762086269,78.715633612653,85.5165519760231,85.7916840290351,NA,79.0918523657103,70.1495988333882,88.9405366882842,78.2868759914773,62.3111282615434,84.4838929135238,NA,82.4198079205405,83.4409246507799,72.8634304759372,86.8163435736816,62.3111282615432,65.670530805601,94.7341007946992,80.7715685527276,72.8185540345535,63.4312104962568,NA,76.0607940434606,76.727548887249,82.8334699222018,81.820589899528,65.2508178598788,90.8287433066657,67.348557379187,81.3614783398268,79.4156162925836,78.2868759914773,NA,95.8496656378659,95.8496656378661,74.6512198517361,NA,NA,84.9068927258611,NA,NA,89.1519934457888,NA,89.4832585015137,75.3302070000938,83.9146101440493,87.4794390403445,70.9741180265925,83.4942865916909,NA,NA,77.6011603118161,78.9841501507157,79.5399255303422,75.4399946740186,73.2276846808621,78.014411826293,79.088728095717,80.9353406093366,69.5879818714682,NA,79.7689918795759,81.5935129785162,78.3291831562429,NA,NA
"Zone_NW_Bath_400",NA,62.3111282615433,NA,62.3111282615435,NA,72.9775253893155,77.4792917302402,66.9305217964364,81.6128034509906,NA,74.1622813616474,NA,75.3235659958556,NA,71.0347337087018,84.4585738357571,89.1545155049665,95.8496656378659,71.8186640477978,77.4993199399481,89.8212120571254,75.1287405284859,69.7308324076291,78.0424690458351,82.7518729495493,73.2509882549076,79.3169958820365,NA,76.2203969793098,NA,NA,76.4453795549219,72.3880536664197,94.7341007946992,89.9888005481452,NA,70.9935998538988,72.6912676939578,76.123032845566,89.1545155049667,NA,81.7210335704715,76.4796876664664,86.6377691326497,86.6705724683058,78.6649234370538,NA,77.4217888414264,81.3455675132656,NA,75.4172536937556,62.3111282615432,84.1284693383487,89.1545155049665,70.535223034251,83.2818414884431,82.8966129284036,92.502971108365,NA,78.4916812805881,NA,79.294585586593,79.8738252522157,NA,79.469362611424,70.0693310186513,NA,NA,76.8601376411195,69.402933742398,72.9885860928977,85.4139046348421,78.2437233173296,NA,77.7308470770581,70.1495988333882,88.9405366882842,77.4729192895775,62.3111282615434,84.2985109355827,NA,82.1848419537402,80.6342472429339,72.7572659041076,86.3757450751679,62.3111282615432,68.7230907373493,90.8253805690704,80.7715685527276,73.5561636434392,62.9831776023715,NA,76.0607940434606,76.727548887249,82.8334527552645,80.0484942954334,67.1994915996863,90.8287433066657,66.8906092775831,80.8264958798622,77.839894598922,77.4729192895775,NA,95.8496656378659,95.8496656378661,73.7802352375395,NA,NA,84.9068927258611,NA,NA,89.1519934457888,NA,86.4667176757783,74.6189428856891,72.9712400777416,87.4794390403445,72.7506559377188,83.1051174648544,NA,NA,76.9281963880597,77.6451079805312,78.1452188971989,74.6543569245112,73.1088456056597,74.7528258661183,78.2511343212199,80.6209016527524,70.2874088792772,NA,78.4836517318753,80.0835018200987,77.5075950710697,NA,62.3111282615436
"Zone_NW_Bath_600",NA,62.3111282615433,NA,62.3111282615435,NA,72.9775253893155,77.1399073439114,66.9305217964364,81.6128034509906,NA,73.8771752536043,NA,75.3235659958556,NA,71.0347337087018,84.4585738357571,89.1545155049665,95.8496656378659,71.1804082111521,77.4993199399481,89.8212120571254,74.7929739016225,69.7308324076291,77.6812598166255,82.7518729495493,72.9245303750441,78.971359423864,NA,76.2203969793098,NA,NA,76.0746291480194,70.709212541646,94.7341007946992,89.9888005481452,NA,70.77181443662,72.3647500778836,76.123032845566,89.1545155049667,NA,81.4668061505391,76.2468463000915,86.6377691326497,86.0768759246762,78.2041421905608,NA,77.4217888414264,81.0233622887916,NA,75.4172536937556,65.6707498392078,84.1284693383487,89.1545155049665,70.5244406093127,83.2818414884431,82.8966129284036,92.502971108365,NA,77.8627692659142,NA,78.252623491828,79.5423518784764,NA,79.469362611424,70.1722545627586,NA,NA,76.5328019864392,69.1258468929442,72.6655348659563,85.4139046348421,76.2877775307845,NA,77.3421549999158,70.1495988333882,88.9405366882842,76.8198840574292,62.3111282615434,84.0611469187417,NA,81.9844950149062,80.6342472429339,72.6049500430048,86.0153318177644,63.9912516136135,68.549008279305,90.8253805690704,80.7715685527276,73.0536048884402,64.2310906277734,NA,76.0607940434606,76.5795405768352,82.6304441353237,79.4839678058315,67.237771583694,90.8287433066657,67.1337875409133,80.3968121333464,77.2383062041354,76.8198840574292,NA,95.8496656378659,95.8496656378661,73.6197927643822,NA,NA,84.9068927258611,NA,NA,89.1519934457888,NA,85.4325006457123,73.9428433792322,72.9712400777416,87.4794390403445,72.3639782863799,82.7816225904056,NA,NA,76.0337414522968,77.0111756726107,77.5294070623756,74.4446813540597,73.3683296421783,73.5403415355316,77.6918913498462,80.2108089728391,69.9611271361662,NA,77.3761373416083,79.4511756749387,75.7212831433385,NA,65.6709582146999
"Zone_NW_Bath_800",NA,62.3111282615433,NA,62.3111282615435,NA,72.9775253893155,77.1399073439114,66.9305217964364,81.6128034509906,NA,73.8771752536043,NA,75.3235659958556,NA,71.0347337087018,85.2412307806253,89.1545155049665,95.8496656378659,71.1804082111521,77.4993199399481,89.4864251992487,75.0017907257075,69.7308324076291,77.8757139509899,82.7518729495493,73.1172589914119,79.7262811999643,89.1545155049662,76.2203969793098,NA,NA,76.0746291480194,70.709212541646,94.7341007946992,89.9888005481452,NA,70.9702547344854,72.5574786942514,76.2151694448345,89.1545155049664,NA,81.4204050190768,76.619448522835,86.6377691326497,86.2549516981181,78.4337483397101,NA,77.4217888414264,81.2509776169744,NA,75.4172536937556,65.6707498392078,84.1284693383487,89.1545155049665,70.5244406093127,83.2818414884431,83.2877318394388,92.502971108365,NA,78.1483899975472,NA,78.5472692219128,79.7443258760407,NA,79.469362611424,70.1722545627586,NA,NA,77.1638876623656,69.3201696867769,73.1003714122623,85.4139046348421,76.2877775307845,NA,77.5507864796801,70.1495988333882,89.0118629605116,77.2053412901647,62.3111282615434,84.1439209348149,NA,82.1136670357765,80.6342472429339,72.6049500430048,86.2512139542608,72.3790062440644,78.8517618921356,90.4912075562496,80.7715685527276,73.246333504808,64.2310906277734,NA,76.1730773552183,76.5795405768352,82.7662005282042,79.8525882455921,67.237771583694,90.8287433066657,67.1337875409133,80.6491706271138,77.4365818127399,77.2053412901647,NA,95.8496656378659,95.8496656378661,73.8172284291528,NA,NA,85.1723691495552,NA,NA,89.1519934457888,NA,86.2511772180714,74.2885632002716,73.124661289159,87.4794390403445,72.5918127916313,82.9871997811979,NA,NA,76.4086207109445,77.6986267414623,78.3675272420157,74.5696130878312,73.4936185009006,75.0261657246173,78.0302006859439,80.3378525882269,70.9713054713662,NA,77.6474413929755,79.7443741498002,76.0056686485919,NA,65.6709582146999
"Zone_SW_Bath_1000",42.462468649988,NA,NA,NA,40.106049908967,47.8962733710358,45.620491540883,NA,55.5871400068864,35.3918266538666,53.905333237362,52.2235264678374,35.3918266538666,58.9496952769246,42.1256486096949,NA,NA,NA,51.5912232172085,57.2681530746529,48.8566842401633,45.3509470303761,47.3423571305829,49.9668878440905,56.7079917635658,45.4347345633572,50.6229506189575,NA,NA,NA,NA,56.7079917635658,NA,42.9674990548042,33.7075177710384,39.1802944199421,47.3467330935553,45.7902088261496,38.759475465685,35.3918266538666,42.9672343926317,43.5735820772208,44.4189644220021,42.0054006351817,45.4915137830477,47.3250574241526,49.9804546201768,48.0173016649935,45.6779992367432,46.6110212259383,52.4183815578237,44.6496625547229,NA,52.2235264678375,48.3167665499521,51.5504060670509,51.1019905440072,NA,NA,48.6089369049758,NA,49.3351688644131,45.6042149302535,NA,42.923308452785,45.1286905849809,56.427778824396,36.7388694860256,52.3451545813938,48.2309080171735,38.6081776208959,35.3916020571424,58.1090564594151,37.5239363772644,43.7483583359283,45.4933807478947,58.9496952769246,46.292166789886,58.9496952769246,49.8178805122692,40.4433736625105,45.054291614438,40.4426037008808,44.8168479638474,51.2352645432353,49.9762206458925,46.6683183119698,58.9496952769246,NA,49.7874178673802,51.2132252423704,NA,38.7742756780625,48.8574459279622,35.3918266538666,51.7802922158957,46.1837680281163,41.0967434490306,52.9324638113412,48.78760261953,41.5401796791899,58.9496952769246,38.7587667520294,40.0534494726571,55.586610872381,43.7921240198352,35.3918266538666,36.2336361853205,46.1629309555396,42.1266558900322,35.9529822022374,32.0232088882101,NA,40.719830665619,47.0682050886514,43.5688757680536,46.3311727329672,52.6209310334053,47.2730813749175,32.0232088882101,38.7597706293503,49.5360742455491,51.8909214118472,46.9479002022465,45.5241060966577,45.578319606277,55.4455809629961,45.1013255222532,48.2961968638985,46.8371837966869,52.2235264678376,47.5699320016377,53.428232120157,54.3252655786023,40.4408007286245,36.2336442001943
"Zone_SW_Bath_200",42.1257496467729,NA,NA,NA,39.4327562761298,55.5871400068864,47.3027115564738,NA,55.5871400068864,35.3918266538666,53.905333237362,52.2235264678374,35.3918266538666,58.9496952769246,42.1625084898828,NA,NA,NA,52.7831505104016,56.7076390072289,43.8101787217826,45.7959820751996,48.1531321026642,50.7269691735201,56.7079917635658,46.6786231287338,50.2594058830975,NA,NA,NA,NA,56.7079917635658,NA,43.420069520835,35.3918266538667,38.7592680057526,50.9594805079265,48.1704153754428,37.6368766678013,35.3918266538666,44.2291708189649,45.523198626353,46.1076286268489,41.8450742962157,45.4915137830477,49.2302362742625,50.5412225820919,52.2235264678376,51.6611121340699,47.1716590829699,53.3978965592677,44.6496625547229,NA,52.2235264678375,49.3001280933802,52.223277909727,51.1019905440072,NA,NA,52.7093584701302,NA,57.8288435202452,49.4683269933114,NA,45.1850781527554,48.039945352535,56.427778824396,37.0757986416086,53.3021255321715,48.7813772042036,39.9549513930938,35.3918266538667,57.2684176419055,38.5716734753817,44.9784195101356,NA,NA,48.2952852983577,58.9496952769246,50.6407985391421,40.4433736625105,46.8928645300492,35.3918266538667,45.1198787525985,52.8526614202815,49.9762206458925,49.1612988392802,NA,NA,54.9854627123117,53.4842521474976,NA,39.1325323589545,51.3812880457855,35.3918266538666,51.941212652622,47.7330231318767,41.4437533428154,53.9044587650839,50.7526424326276,42.737681021363,58.9496952769246,38.9992152229928,40.2546296057976,55.586610872381,45.2708508070356,35.3918266538666,37.0756756567479,46.7523700825375,45.4933807478947,36.5144746456946,NA,NA,49.9762206458926,50.5385683842446,42.1254742994897,39.6010026878246,48.2952852983577,52.2222221825787,NA,NA,52.2930592062247,53.4841278684423,52.7251770532864,51.4021602881907,47.8144012281422,54.7459720548714,49.4328846664268,54.4654170321262,49.4683269933114,52.2235264678376,51.7038366521175,55.4789337106653,54.0917962223125,38.4781061234624,35.3918266538667
"Zone_SW_Bath_400",42.5467426437083,NA,NA,NA,41.1645832570997,49.6986593643346,47.1740547735367,NA,55.5871400068864,35.3918266538666,53.905333237362,52.2235264678374,35.3918266538666,58.9496952769246,42.7376997040323,NA,NA,NA,51.2607826787189,56.7076390072289,43.8101787217826,47.0112086793789,48.1277159269422,50.228479055984,56.7079917635658,46.183208854499,50.059324841038,NA,NA,NA,NA,56.7079917635658,NA,43.9211432776925,NA,39.72150410081,48.1936544488313,47.3947667194219,39.8819266817359,35.3918266538666,44.4821667970769,45.8653014043802,45.883757970129,41.8450742962157,45.4915137830477,48.6163389551606,50.5412225820919,48.8584536078663,51.1000447920327,47.7329830788838,53.2019009649272,44.6496625547229,NA,52.2235264678375,48.7679461424861,52.223277909727,51.1019905440072,NA,NA,53.7165065264069,NA,53.0615752975215,47.1751480026196,NA,45.2326277768738,47.2313570084742,56.427778824396,38.7597706293504,52.9685265241976,49.2412721109386,39.6441418382942,NA,57.2684176419055,39.058251578187,45.142036176397,NA,NA,47.8951232142387,58.9496952769246,50.946975264186,40.7239741680372,46.8371990123623,45.493380747895,45.7966121784337,52.5957707467175,49.9762206458925,49.697563499772,NA,NA,53.3990929485498,51.6617856299351,NA,39.5067542126524,49.867066180985,35.3918266538666,51.7411316105625,48.3749280836881,43.0603959052858,53.0633474358016,50.4591372329787,42.1258850354131,58.9496952769246,39.3200537693712,40.2888767105063,55.586610872381,45.0420624977826,35.3918266538666,37.0756756567479,47.1733323332578,42.9683772052027,37.0757986416085,NA,NA,57.2684176419055,49.3612876505265,44.0900895216493,41.2849746755665,47.8951232142387,49.6983439763437,NA,NA,51.8491288106387,51.5493380391104,52.6413013766094,51.3248094625077,48.2192820264969,54.7459720548714,46.8634916639607,54.4654170321262,47.8951232142387,52.2235264678376,48.8255613935575,54.962716275871,54.0917962223125,39.60041994598,NA
"Zone_SW_Bath_600",42.462468649988,NA,NA,NA,40.4429886816956,49.530711230737,46.1643183538507,NA,55.5871400068864,35.3918266538666,53.905333237362,52.2235264678374,35.3918266538666,58.9496952769246,42.6434937407668,NA,NA,NA,51.1006584132274,56.7076390072289,43.8101787217826,45.4901634672133,47.6951387176398,50.099140973317,56.7079917635658,45.9721073205392,49.6987154323423,NA,NA,NA,NA,56.7079917635658,NA,43.2477622871927,35.3918266538667,39.1802944199421,48.2397653272938,46.9868381402194,38.7594016747686,35.3918266538666,44.0893677767485,44.6717922654562,45.2321269914887,42.0054006351817,45.4915137830477,47.9452503789297,49.9804546201768,48.8586086373597,51.1000447920327,45.9699607324528,52.8212771093684,44.6496625547229,NA,52.2235264678375,48.5525495532187,51.5504060670509,51.1019905440072,NA,NA,52.1138584402338,NA,53.0615752975215,46.7263784971371,NA,44.8183270966382,46.4197112182156,56.427778824396,37.6371226375225,52.7254272693794,48.3891471117146,39.4723743750383,35.3918266538667,57.2684176419055,38.7588973146565,44.7000653744233,NA,NA,47.1739043968472,58.9496952769246,49.3741415829571,40.7239741680372,46.1411366301281,40.4426037008808,45.1054099539597,52.2218769273584,49.9762206458925,47.7342222667563,NA,NA,53.368599786784,51.501705194529,NA,38.9389540766348,49.7754164096542,35.3918266538666,51.3805222018668,45.7705009584472,41.9849922914531,52.2825389301006,49.7291442874547,42.2249120723211,58.9496952769246,39.2179712048467,40.0534494726571,55.586610872381,44.4704163776159,35.3918266538666,37.0756756567479,46.7523700825375,42.9683772052027,36.5144746456946,NA,NA,49.9762206458926,48.7034771982156,44.4104046057953,40.4429886816955,47.1739043968472,49.6337728009593,NA,NA,51.6622613915926,51.3047544624955,52.3407631765246,50.6329072878034,47.2848923814159,54.7459720548714,46.369362651646,54.4654170321262,47.9593762463792,52.2235264678376,48.5046500706649,54.9503315061785,53.7714215292553,38.4781061234624,35.3918266538667
"Zone_SW_Bath_800",42.462468649988,NA,NA,NA,41.0041433557177,48.85782281693,46.1033240260365,NA,55.5871400068864,35.3918266538666,53.905333237362,52.2235264678374,35.3918266538666,58.9496952769246,42.8306037360595,NA,NA,NA,51.1006584132274,56.7076390072289,43.8101787217826,45.4902139894525,47.6951387176398,50.0683673213769,56.7079917635658,45.9396246170268,49.6492882661966,NA,NA,NA,NA,56.7079917635658,NA,43.4723241332629,35.3918266538667,39.1802944199421,48.0409952681054,46.6357282486287,38.7594016747686,35.3918266538666,44.197368774529,44.6497002863303,45.3843671024951,42.0054006351817,45.4915137830477,47.8313589005216,49.9804546201768,48.0173016649935,49.5581119454888,45.9699607324528,52.7812945029045,44.6496625547229,NA,52.2235264678375,48.5098467515973,51.5504060670509,51.1019905440072,NA,NA,49.8515068018489,NA,53.0615752975215,46.6493161378094,NA,45.1769493488682,46.3605200840589,56.427778824396,37.6371226375225,52.6796191551095,48.3891471117146,39.4129274564415,35.3918266538667,57.2684176419055,38.8020848556668,44.8411070882649,45.4933807478947,NA,47.0750500645559,58.9496952769246,49.3741415829571,40.7239741680372,46.0946289293304,40.4426037008808,45.3049690010919,52.0756494012742,49.9762206458925,47.5941696718275,NA,NA,52.0254543813926,51.1712987461961,NA,38.9389540766348,49.7754164096542,35.3918266538666,51.3310950357211,45.8618591957825,42.085308208716,51.8018941291596,49.338775111645,42.2249120723211,58.9496952769246,39.2179712048467,40.0534494726571,55.586610872381,44.3957120592652,35.3918266538666,37.0756756567479,46.7523700825375,42.9683772052027,36.5144746456946,NA,NA,48.8555106713931,48.4359691606888,44.4104046057953,40.7235223527142,47.0750500645559,49.3380305114547,NA,NA,51.3563908692615,48.1569270337534,52.3328148322502,50.5985257527023,47.0806150371307,53.5684683654704,46.369362651646,54.4654170321262,47.8052515277239,52.2235264678376,48.3522273017657,54.8382125143557,53.7714215292553,38.4781061234624,35.3918266538667
