"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.829353140348707,4.79053216462482e-28,TRUE
"Zone_NW_Bath_200","X1",0.805158853921528,1.18431458038725e-24,TRUE
"Zone_NW_Bath_400","X1",0.813761384346834,5.09746272475627e-26,TRUE
"Zone_NW_Bath_600","X1",0.826837249654278,1.71041632304018e-27,TRUE
"Zone_NW_Bath_800","X1",0.823464610550484,2.38080893147456e-27,TRUE
"Zone_SW_Bath_1000","X1",-0.747222041614165,5.83644204957077e-22,TRUE
"Zone_SW_Bath_200","X1",-0.751726725870976,3.01006854131561e-21,TRUE
"Zone_SW_Bath_400","X1",-0.742856753242615,5.20717252261521e-20,TRUE
"Zone_SW_Bath_600","X1",-0.752408694523177,2.64737665107685e-21,TRUE
"Zone_SW_Bath_800","X1",-0.749945235556684,2.76665723237408e-21,TRUE
"Zone_S_Bath_1000","X1",0.207857890692643,0.0308795089433818,TRUE
"Zone_S_Bath_200","X1",-0.139564106189046,0.17736696763976,FALSE
"Zone_S_Bath_400","X1",-0.139564106189046,0.17736696763976,FALSE
"Zone_S_Bath_600","X1",-0.0535472543786071,0.594846084954431,FALSE
"Zone_S_Bath_800","X1",0.0279666248710398,0.780227493076734,FALSE
"Zone_NW_Bath_1000","X2",0.133339213935198,0.173000095168907,FALSE
"Zone_NW_Bath_200","X2",0.181130455446177,0.0670982519494283,FALSE
"Zone_NW_Bath_400","X2",0.1706263299069,0.0818140746838755,FALSE
"Zone_NW_Bath_600","X2",0.141847914557188,0.148902495311169,FALSE
"Zone_NW_Bath_800","X2",0.142093131692195,0.146230458096117,FALSE
"Zone_SW_Bath_1000","X2",0.179611232433475,0.0537007954809762,FALSE
"Zone_SW_Bath_200","X2",0.23630951263664,0.0129394901014581,TRUE
"Zone_SW_Bath_400","X2",0.232024538784333,0.0161810751018386,TRUE
"Zone_SW_Bath_600","X2",0.231665319457645,0.0148837235289703,TRUE
"Zone_SW_Bath_800","X2",0.215977063396347,0.0228076557050507,TRUE
"Zone_S_Bath_1000","X2",-0.797335350801451,5.48181312576236e-25,TRUE
"Zone_S_Bath_200","X2",-0.255321878224056,0.0125191938136112,TRUE
"Zone_S_Bath_400","X2",-0.255321878224056,0.0125191938136112,TRUE
"Zone_S_Bath_600","X2",-0.328562653835366,0.000794933277459287,TRUE
"Zone_S_Bath_800","X2",-0.718101918155765,1.98521550281789e-17,TRUE
"Zone_NW_Bath_1000","X3",0.0347138242314996,0.723886388735874,FALSE
"Zone_NW_Bath_200","X3",0.0804622801233588,0.419120456970165,FALSE
"Zone_NW_Bath_400","X3",0.0487194956676972,0.621628581234596,FALSE
"Zone_NW_Bath_600","X3",0.0453935731936443,0.645649129533219,FALSE
"Zone_NW_Bath_800","X3",0.0390836166912716,0.690798708554145,FALSE
"Zone_SW_Bath_1000","X3",-0.174545517138711,0.0609350583005057,FALSE
"Zone_SW_Bath_200","X3",-0.198675483122552,0.037460236087409,TRUE
"Zone_SW_Bath_400","X3",-0.168001062084165,0.0836800211083666,FALSE
"Zone_SW_Bath_600","X3",-0.165053757255587,0.0848590977858765,FALSE
"Zone_SW_Bath_800","X3",-0.158613704073657,0.0963673560520222,FALSE
"Zone_S_Bath_1000","X3",0.0425139540908554,0.662202355419129,FALSE
"Zone_S_Bath_200","X3",0.771203750206778,6.09761655261655e-20,TRUE
"Zone_S_Bath_400","X3",0.771203750206778,6.09761655261655e-20,TRUE
"Zone_S_Bath_600","X3",0.720077318940091,2.1367296845467e-17,TRUE
"Zone_S_Bath_800","X3",0.195756629201154,0.0486324087545375,TRUE
