"Series","Trend","Estimate","CI_low","CI_high","p_value","significant","stars"
"Zone_NW_Bath_1000","X1",0.739898618542374,0.592120765924812,0.887676471159937,9.87784252129031e-23,TRUE,"***"
"Zone_NW_Bath_200","X1",0.813435620519542,0.65778903919835,0.969082201840734,1.27088809419058e-24,TRUE,"***"
"Zone_NW_Bath_400","X1",0.75503815010216,0.605684425477444,0.904391874726877,3.82953354413077e-23,TRUE,"***"
"Zone_NW_Bath_600","X1",0.751146846017184,0.602156848085379,0.900136843948989,5.01578474996097e-23,TRUE,"***"
"Zone_NW_Bath_800","X1",0.753151528902995,0.603993406630669,0.902309651175321,4.30910427929845e-23,TRUE,"***"
"Zone_SW_Bath_1000","X1",0.412145942352053,0.244811246082298,0.579480638621807,1.38328392167343e-06,TRUE,"***"
"Zone_SW_Bath_200","X1",0.548892744235612,0.349713690945816,0.748071797525409,6.61889608513151e-08,TRUE,"***"
"Zone_SW_Bath_400","X1",0.446389601174147,0.249340964115567,0.643438238232726,8.99342884983369e-06,TRUE,"***"
"Zone_SW_Bath_600","X1",0.406955586909796,0.212595506113694,0.601315667705898,4.06388149552275e-05,TRUE,"***"
"Zone_SW_Bath_800","X1",0.454092054553888,0.262980293667116,0.64520381544066,3.20878143871632e-06,TRUE,"***"
"Zone_S_Bath_1000","X1",-0.559913088100923,-0.772353942987079,-0.347472233214767,2.39518047996787e-07,TRUE,"***"
"Zone_S_Bath_200","X1",-0.683261550309959,-0.846157371224812,-0.520365729395106,2.01797905470985e-16,TRUE,"***"
"Zone_S_Bath_400","X1",-0.683261550309942,-0.846157371224794,-0.520365729395091,2.01797905471207e-16,TRUE,"***"
"Zone_S_Bath_600","X1",-0.713305134538744,-0.881298825323454,-0.545311443754034,8.6452742363797e-17,TRUE,"***"
"Zone_S_Bath_800","X1",-0.658751495868457,-0.851924373245444,-0.46557861849147,2.32821801607867e-11,TRUE,"***"
"Zone_NW_Bath_1000","X2",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X2",-0.0581614340992482,-0.0937207409610219,-0.0226021272374744,0.00134710073537893,TRUE,"**"
"Zone_NW_Bath_400","X2",0.00937924435426777,-0.024820808635687,0.0435792973442225,0.59091314498534,FALSE,""
"Zone_NW_Bath_600","X2",0.0147125268530738,-0.018947843473975,0.0483728971801227,0.391624112854805,FALSE,""
"Zone_NW_Bath_800","X2",0.0140098888601575,-0.0195893870294445,0.0476091647497596,0.41378779540573,FALSE,""
"Zone_SW_Bath_1000","X2",0.174080988644453,-0.103099797399361,0.451261774688266,0.218345911138547,FALSE,""
"Zone_SW_Bath_200","X2",0.0766653624731789,-0.299954634987918,0.453285359934276,0.689912826836268,FALSE,""
"Zone_SW_Bath_400","X2",0.174321349178165,-0.199763999467878,0.548406697824208,0.3610687352489,FALSE,""
"Zone_SW_Bath_600","X2",0.197225561829513,-0.169704129184014,0.564155252843039,0.292118674977634,FALSE,""
"Zone_SW_Bath_800","X2",0.170582712915204,-0.183447769214895,0.524613195045303,0.344980307216348,FALSE,""
"Zone_S_Bath_1000","X2",0.674113941955419,0.459225089697009,0.889002794213828,7.82307392497245e-10,TRUE,"***"
"Zone_S_Bath_200","X2",0.11553332870188,-0.142845442685879,0.373912100089638,0.380816808039713,FALSE,""
"Zone_S_Bath_400","X2",0.115533328701879,-0.142845442685877,0.373912100089636,0.38081680803971,FALSE,""
"Zone_S_Bath_600","X2",0.238397182044455,-0.0111273515773403,0.487921715666251,0.061129041787117,FALSE,""
"Zone_S_Bath_800","X2",0.546071781788672,0.334159533318136,0.757984030259207,4.40456862907915e-07,TRUE,"***"
"Zone_NW_Bath_1000","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_400","X3",0.0224536940760325,-0.0116336468952561,0.0565410350473212,0.196686643891373,FALSE,""
"Zone_NW_Bath_600","X3",0.0201510684774779,-0.0157727136924702,0.056074850647426,0.271584378584095,FALSE,""
"Zone_NW_Bath_800","X3",0.0196946437169166,-0.0159811702654959,0.055370457699329,0.279257987736993,FALSE,""
"Zone_SW_Bath_1000","X3",-0.442188032243536,-0.568329849850508,-0.316046214636564,6.39230290254146e-12,TRUE,"***"
"Zone_SW_Bath_200","X3",-0.610101021908579,-0.717913499964406,-0.502288543852752,1.38328324161648e-28,TRUE,"***"
"Zone_SW_Bath_400","X3",-0.603288361267761,-0.743100005674978,-0.463476716860543,2.73732596632767e-17,TRUE,"***"
"Zone_SW_Bath_600","X3",-0.590320381136934,-0.738083738854063,-0.442557023419806,4.87355634136249e-15,TRUE,"***"
"Zone_SW_Bath_800","X3",-0.570317495834885,-0.70571661798966,-0.43491837368011,1.51133925275278e-16,TRUE,"***"
"Zone_S_Bath_1000","X3",0.0858368750533328,-0.28201958839485,0.453693338501515,0.647423345093539,FALSE,""
"Zone_S_Bath_200","X3",-0.279865208509994,-0.467026943226965,-0.0927034737930235,0.00338136209176915,TRUE,"**"
"Zone_S_Bath_400","X3",-0.279865208509994,-0.467026943226963,-0.0927034737930255,0.00338136209176881,TRUE,"**"
"Zone_S_Bath_600","X3",-0.241363219418143,-0.44283163983746,-0.0398947989988262,0.0188706567210271,TRUE,"*"
"Zone_S_Bath_800","X3",0.0222261048093132,-0.284042992267727,0.328495201886353,0.886893922813867,FALSE,""
