"","1981_Autumn","1982_Winter","1982_Spring","1982_Summer","1983_Winter","1983_Summer","1983_Autumn","1984_Summer","1985_Summer","1985_Autumn","1986_Summer","1986_Autumn","1987_Winter","1987_Spring","1987_Summer","1988_Winter","1988_Spring","1988_Summer","1988_Autumn","1989_Winter","1989_Spring","1989_Summer","1989_Autumn","1990_Winter","1990_Spring","1990_Summer","1991_Summer","1993_Winter","1993_Spring","1993_Summer","1994_Winter","1994_Spring","1994_Summer","1994_Autumn","1995_Winter","1995_Spring","1995_Summer","1995_Autumn","1996_Winter","1996_Spring","1996_Summer","1997_Winter","1997_Spring","1997_Summer","1997_Autumn","1998_Winter","1998_Spring","1999_Spring","1999_Summer","2000_Winter","2000_Spring","2000_Summer","2001_Winter","2001_Summer","2002_Winter","2002_Summer","2002_Autumn","2003_Winter","2003_Spring","2003_Summer","2004_Winter","2004_Spring","2004_Summer","2004_Autumn","2005_Spring","2005_Summer","2005_Autumn","2006_Winter","2006_Spring","2006_Summer","2006_Autumn","2007_Winter","2007_Summer","2007_Autumn","2008_Winter","2008_Spring","2008_Summer","2009_Spring","2009_Summer","2009_Autumn","2010_Winter","2010_Spring","2010_Summer","2011_Winter","2011_Spring","2011_Summer","2011_Autumn","2012_Winter","2012_Spring","2012_Summer","2012_Autumn","2013_Spring","2013_Summer","2013_Autumn","2014_Spring","2014_Summer","2014_Autumn","2015_Spring","2015_Summer","2015_Autumn","2016_Winter","2016_Spring","2016_Summer","2016_Autumn","2017_Winter","2017_Spring","2017_Summer","2017_Autumn","2018_Summer","2018_Autumn","2019_Winter","2019_Summer","2019_Autumn","2020_Winter","2020_Spring","2020_Summer","2020_Autumn","2021_Spring","2021_Summer","2021_Autumn","2022_Winter","2022_Spring","2022_Summer","2022_Autumn","2023_Winter","2023_Spring","2023_Summer","2023_Autumn","2024_Winter","2024_Spring","2024_Summer","2024_Autumn","2025_Winter","2025_Spring","2025_Summer","2025_Autumn"
"Zone_NW_Bath_1000",NA,6,NA,5,NA,7.60714285714286,8.82352941176471,7.75,5.33333333333333,NA,7.55555555555556,NA,6,NA,5.2,5.16666666666667,5,5,10.1333333333333,5.77777777777778,7.46666666666667,26.33,8.47368421052632,11.741210571185,9.27272727272727,11.0909090909091,20.5238095238095,6,5.71428571428571,NA,NA,5.65,5,11,5,NA,10.78,14.8541666666667,7.1,5,NA,63.7977777777778,9.34027777777778,6,6.65586419753086,14.8629201680672,NA,5.25,10.4922480620155,NA,6.6,5.5,5,6,10.3646825396825,11,6.8125,5,NA,8.77096774193548,NA,11.6666666666667,26.09375,NA,5.55555555555556,5.92857142857143,NA,NA,19.6666666666667,16.5138888888889,25.6646363971945,9.67300194931774,5.75,NA,7.3135593220339,5,6.29166666666667,18.6969696969697,5,6.74666666666667,NA,8.49019607843137,6.5,7.44444444444444,16.8771929824561,10.25,6.78571428571429,5,9.78571428571428,11.8614718614719,7.57142857142857,NA,10.4444444444444,9.83333333333333,7.88888888888889,32.5447214076246,13.8045454545455,5.5,5.91071428571429,18.0623885918004,9.95577211394303,8.3125,NA,6,5,7.30701754385965,NA,NA,12.5,NA,NA,6.125,NA,7.13333333333333,17.7173913043478,7.30555555555556,8,8.19387755102041,17.609375,NA,NA,10.6756756756757,9.15730565730566,52.4506957047792,18.4093137254902,22.995785440613,34.6923076923077,17.325,25.9090909090909,7.325,NA,13.8131613756614,8.04470588235294,8.66049382716049,NA,5.33333333333333
"Zone_NW_Bath_200",NA,6,NA,5,NA,7.60714285714286,9.07407407407407,7.75,5.33333333333333,NA,7.75,NA,6,NA,5.2,5,5,5,10.3,5.83333333333333,7.45,26.3083333333333,8.47368421052632,12.2862103174603,9.27272727272727,11.5075,22.4855072463768,NA,5.66666666666667,NA,NA,5.76470588235294,NA,11,5,NA,10.9782608695652,16.1516666666667,7.19230769230769,5,NA,65.5488721804511,9.35555555555556,6,6.70357712462976,14.5573374613003,NA,5.25,10.1078431372549,NA,6.6,5,5,6,11.3388888888889,11,6.85714285714286,5,NA,8.43589743589744,NA,10.7931034482759,26.1666666666667,NA,5.55555555555556,5.71875,NA,NA,18.8376068376068,16.4102564102564,31.4774535809019,10.1359649122807,5.75,NA,9.27906976744186,5,6.9375,18.84,5,6.675,NA,8.58974358974359,6.88636363636364,6.92857142857143,16.9756097560976,7,5.33333333333333,5,9.78571428571428,10.745,7.33333333333333,NA,10.3846153846154,10.0392156862745,7.7218045112782,32.92,13.4166666666667,5.5,5.9,19.2348717948718,10.6973684210526,8.6,NA,6,5,7.37179487179487,NA,NA,13,NA,NA,6.125,NA,5.5,18.5151515151515,8.75,8,8.48648648648649,17.7708333333333,NA,NA,9.55555555555556,7.66064425770308,54.7593984962406,16.3023504273504,21.4972222222222,64.5714285714286,13.1538461538462,24.5462962962963,7.75,NA,13.0865800865801,7.64901034637877,8.79545454545454,NA,NA
"Zone_NW_Bath_400",NA,6,NA,5,NA,7.60714285714286,8.91935483870968,7.75,5.33333333333333,NA,7.64705882352941,NA,6,NA,5.2,5,5,5,9.83333333333333,5.77777777777778,7.45,26.7727272727273,8.47368421052632,11.9449924897495,9.27272727272727,11.0844827586207,21.2596153846154,NA,5.71428571428571,NA,NA,5.68421052631579,5,11,5,NA,10.9782608695652,15.3951149425287,7.19230769230769,5,NA,64.3579545454545,9.35555555555556,6,6.72510822510823,14.798385331144,NA,5.25,10.3640350877193,NA,6.6,5,5,6,10.7638888888889,11,6.8,5,NA,8.4952380952381,NA,11.7272727272727,26.1428571428571,NA,5.55555555555556,5.85357142857143,NA,NA,19.8869969040248,16.510752688172,32.3454415954416,9.89086687306501,5.75,NA,7.24509803921569,5,6.9375,18.4827586206897,5,6.75757575757576,NA,8.52222222222222,6.5,7.16666666666667,16.9183673469388,7,5.54545454545455,5,9.78571428571428,10.9827586206897,8,NA,10.3846153846154,10.0392156862745,8.10275689223058,31.3992740471869,13.6607142857143,5.5,6.06818181818182,18.3816091954023,10.1885714285714,8.55172413793103,NA,6,5,7.375,NA,NA,13,NA,NA,6.125,NA,6.5,18.2051282051282,7.26470588235294,8,8.27272727272727,17.5535714285714,NA,NA,10.5806451612903,9.14953703703704,57.0352784134249,17.552380952381,22.183950617284,35.2352941176471,16.1383928571429,25.3555555555556,8.25,NA,13.6877289377289,8.09982174688057,7.81062801932367,NA,5
"Zone_NW_Bath_600",NA,6,NA,5,NA,7.60714285714286,8.8939393939394,7.75,5.33333333333333,NA,7.55555555555556,NA,6,NA,5.2,5,5,5,10.0714285714286,5.77777777777778,7.45,26.8227272727273,8.47368421052632,11.7853475935829,9.27272727272727,11.0777126099707,20.9821428571429,NA,5.71428571428571,NA,NA,5.65,5,11,5,NA,10.7708333333333,15.1465053763441,7.19230769230769,5,NA,64.375,9.34027777777778,6,6.70147186147186,14.6059139784946,NA,5.25,10.4791666666667,NA,6.6,5.5,5,6,10.3083333333333,11,6.8,5,NA,8.69705469845722,NA,11.6666666666667,26.1166666666667,NA,5.55555555555556,5.92857142857143,NA,NA,20.5,16.6060606060606,31.7185897435897,9.89086687306501,5.75,NA,7.26363636363636,5,6.9375,18.9032258064516,5,6.73758865248227,NA,8.5,6.5,7.36868686868687,16.9056603773585,7.5,5.57142857142857,5,9.78571428571428,11.4168734491315,7.57142857142857,NA,10.3846153846154,9.83333333333333,7.99047619047619,31.9416666666667,13.7,5.5,5.93589743589744,18.2735215053763,10.1580267558528,8.32258064516129,NA,6,5,7.3235294117647,NA,NA,13,NA,NA,6.125,NA,6.6,17.7674418604651,7.26470588235294,8,8.21739130434783,17.5833333333333,NA,NA,10.7058823529412,9.10971479500891,57.3594866796621,18.0565476190476,22.3206349206349,34.5698198198198,16.218253968254,25.8333333333333,8.55555555555556,NA,13.5133928571429,8.06699346405229,7.98583333333333,NA,5.33333333333333
"Zone_NW_Bath_800",NA,6,NA,5,NA,7.60714285714286,8.8939393939394,7.75,5.33333333333333,NA,7.55555555555556,NA,6,NA,5.2,5.16666666666667,5,5,10.0714285714286,5.77777777777778,7.46666666666667,26.6586956521739,8.47368421052632,11.741210571185,9.27272727272727,11.0923295454545,21.3571428571429,6,5.71428571428571,NA,NA,5.65,5,11,5,NA,10.78,14.8541666666667,7.14285714285714,5,NA,63.8402777777778,9.34027777777778,6,6.65586419753086,15.1572420634921,NA,5.25,10.5119047619048,NA,6.6,5.5,5,6,10.3083333333333,11,6.8125,5,NA,8.60013440860215,NA,11.8648648648649,26.1129032258065,NA,5.55555555555556,5.92857142857143,NA,NA,20.025,16.6127450980392,31.3730158730159,9.89086687306501,5.75,NA,7.2719298245614,5,6.29166666666667,18.90625,5,6.74305555555556,NA,8.5050505050505,6.5,7.36868686868687,16.9,7.33333333333333,6.78571428571429,5,9.78571428571428,11.4158653846154,7.57142857142857,NA,10.4444444444444,9.83333333333333,7.88888888888889,31.9938556067588,13.7,5.5,5.93589743589744,18.2165404040404,10.2028985507246,8.3125,NA,6,5,7.31481481481481,NA,NA,12.5,NA,NA,6.125,NA,6.92142857142857,17.8636363636364,7.30555555555556,8,8.15625,17.6129032258065,NA,NA,10.7142857142857,9.06666666666667,57.0094866796621,18.1847041847042,22.3846743295019,34.6710526315789,16.0676691729323,25.9090909090909,8.42105263157895,NA,13.827731092437,8.0787037037037,8.0050505050505,NA,5.33333333333333
"Zone_SW_Bath_1000",5.3,NA,NA,NA,7.9,6.85714285714286,19.0384615384615,NA,5,5,5.5,6,5,5,9.0375,NA,NA,NA,12,5.75,6,23.0639097744361,8.1,8.9037037037037,13.3333333333333,8.27535014005602,22.225,NA,NA,NA,NA,7,NA,8.45833333333333,7,7.25,7.12179487179487,19.0412698412698,10,10,7.75,44.9826086956522,9.10218253968254,6.75,5.8,12.3068783068783,5.33333333333333,5.75,9.33333333333333,5.44444444444444,7.79411764705882,6.5,NA,5,8.60047619047619,13.4,5,NA,NA,7.2,NA,7.85714285714286,11.4583333333333,NA,9.68421052631579,6.81515151515151,6.25,5,21.0277777777778,17.389898989899,21.2111111111111,8.66666666666667,6.125,7.42222222222222,11.9578713968958,5,6,20.8571428571429,5,11.7142857142857,6.33333333333333,8.7037037037037,7.5,8.39725783475783,24.9310344827586,14.6666666666667,8.85,5,NA,17.28125,7.35,NA,9.84722222222222,11.8333333333333,6,24.0357142857143,14.2850877192982,10.7916666666667,5.44444444444444,17.7950310559006,13.2101449275362,5,14.5833333333333,11.0384615384615,5.5,11.5601851851852,5,9.125,11.4,6.2,5.5,9,NA,19.75,14.5625,6.0952380952381,7.91666666666667,14.547619047619,11.0588235294118,13,5,9.72115384615385,7.7516339869281,31.5055555555556,18.6818181818182,13.8574074074074,35.1666666666667,36.8349206349206,30.75,11.15,6,16.1630036630037,8.05641025641026,11.375,8.58333333333333,5.5
"Zone_SW_Bath_200",5.375,NA,NA,NA,8.4,6.5,24.8461538461538,NA,5,5,5.5,6,5,5,9.05555555555556,NA,NA,NA,12.9166666666667,5.66666666666667,6,22.9545454545455,8.42727272727273,9.22222222222222,13.3333333333333,8.91944444444444,22.2916666666667,NA,NA,NA,NA,7,NA,10.0769230769231,7,7.33333333333333,8.875,23.6944444444444,9.33333333333333,10,8.125,47.7307692307692,8.70833333333333,6.91666666666667,5.8,13.5416666666667,5.5,6,8.66666666666667,5.33333333333333,7.45,6.5,NA,5,9.48492063492064,13.5,5,NA,NA,7.52991452991453,NA,7.66666666666667,12.8181818181818,NA,9.54545454545454,6.15909090909091,6.25,5,21.25,16.5777777777778,23.2777777777778,6,7.25,8.63888888888889,11.7086956521739,NA,NA,19.1666666666667,5,11.6212121212121,6.5,8.87745098039216,10,8.93722943722944,25.28125,14.6666666666667,9.09090909090909,NA,NA,15.1071428571429,7,NA,10.5555555555556,14.625,6,19.4583333333333,11.9166666666667,12.6944444444444,5.2,19.1150793650794,13.9545454545455,5,16.5714285714286,11.6666666666667,5.5,11.6783216783217,5,8.5,11.125,6,6,NA,NA,5,16.5,7.16666666666667,5.25,16.1666666666667,12.2222222222222,NA,NA,10.3958333333333,11.625,41.8,12.8461538461538,14.3571428571429,27,19.4305555555556,52.5,9.18181818181818,6,14.0641025641026,7.26984126984127,11.2777777777778,9.45833333333333,6
"Zone_SW_Bath_400",5.375,NA,NA,NA,8.42857142857143,6.75,23.6875,NA,5,5,5.5,6,5,5,8.98484848484848,NA,NA,NA,11.8571428571429,5.66666666666667,6,24.5480769230769,8.2,9.25925925925926,13.3333333333333,8.94605394605395,21.8928571428571,NA,NA,NA,NA,7,NA,9.8,NA,6.85714285714286,7.69191919191919,21.2242424242424,10.3333333333333,10,7.4,47.0833333333333,9.43333333333333,6.91666666666667,5.8,13.1666666666667,5.5,5.5,9,5.16666666666667,7.58333333333333,6.5,NA,5,9.2037037037037,13.5,5,NA,NA,7.44444444444444,NA,7,9,NA,9.84615384615385,6.16239316239316,6.25,5,22.5833333333333,16.7380952380952,23.1578947368421,NA,7.25,7.87777777777778,12.4111111111111,NA,NA,20.0714285714286,5,11.4848484848485,6.75,8.86666666666667,5,8.83333333333333,26.6388888888889,14.6666666666667,9.33333333333333,NA,NA,15.4,6.83333333333333,NA,11.8333333333333,12.8,6,19.8571428571429,12.75,13.7777777777778,5.25,17.7529761904762,13.15625,5,14.7222222222222,11.4090909090909,5.5,12.0444444444444,5,8.5,11.6666666666667,6.5,6,NA,NA,5,15.5,6.5,6.75,16.2857142857143,11.6666666666667,NA,NA,10.2777777777778,10.9,42.5833333333333,13.2,13.5809523809524,27,32.6648841354724,52.5,9.28571428571429,6,13.0388888888889,7.40740740740741,11.2777777777778,10.5833333333333,NA
"Zone_SW_Bath_600",5.3,NA,NA,NA,8.25,6.6,21.45,NA,5,5,5.5,6,5,5,9.20192307692308,NA,NA,NA,12.0666666666667,5.66666666666667,6,23.4666666666667,7.89285714285714,8.91737891737892,13.3333333333333,8.66538461538462,22.21875,NA,NA,NA,NA,7,NA,9.16666666666667,7,7.25,7.48333333333333,21.0441176470588,9.75,10,7.66666666666667,48.0789473684211,9.21794871794872,6.75,5.8,12.7708333333333,5.33333333333333,5.66666666666667,9,5.28571428571429,7.60714285714286,6.5,NA,5,8.99464285714286,13.4,5,NA,NA,7.07671957671958,NA,7,9.03333333333333,NA,10.2,6.2012987012987,6.25,5,22.3,16.9444444444444,22.8030303030303,6,7.25,8.22222222222222,12.073732718894,NA,NA,20.375,5,10.6923076923077,6.75,8.88068181818182,7.5,8.65925925925926,26.2619047619048,14.6666666666667,9.13333333333333,NA,NA,15.6136363636364,6.85714285714286,NA,10.1607142857143,12.4545454545455,6,19.9375,12.53125,12.3611111111111,5.35714285714286,18.3101851851852,13.3088235294118,5,14.4545454545455,11.0384615384615,5.5,12.3514328808446,5,8.5,11.125,6.5,6,NA,NA,5,15.7727272727273,6.17857142857143,6,16.9375,11.6923076923077,NA,NA,10.2333333333333,10.6363636363636,42.8928571428571,12.8055555555556,13.3146167557932,27,37.7078272604588,52.5,9.53333333333333,6,13.7994152046784,7.32222222222222,11.2539682539683,9.45833333333333,6
"Zone_SW_Bath_800",5.3,NA,NA,NA,8,6.66666666666667,20.4090909090909,NA,5,5,5.5,6,5,5,9.18803418803419,NA,NA,NA,12.0666666666667,5.66666666666667,6,23.34375,7.89285714285714,8.91005291005291,13.3333333333333,8.44030112044818,22.1176470588235,NA,NA,NA,NA,7,NA,9,7,7.25,7.3560606060606,20.7843004948268,9.75,10,7.61538461538461,48.225,9.37301587301587,6.75,5.8,12.4835294117647,5.33333333333333,5.75,8.83333333333333,5.28571428571429,7.66666666666667,6.5,NA,5,8.9375,13.4,5,NA,NA,7.0250626566416,NA,7,10.59375,NA,8.09375,6.275,6.25,5,22.6363636363636,16.9444444444444,22.75,6,7.25,8.14102564102564,11.9015151515152,5,NA,20.5882352941176,5,10.6923076923077,6.75,8.84510869565217,7.5,8.61269841269841,25.4347826086957,14.6666666666667,8.9375,NA,NA,15.5666666666667,6.9375,NA,10.1607142857143,12.4545454545455,6,20.0882352941176,13.3308823529412,11.6203703703704,5.375,18.953216374269,13.3088235294118,5,14.4545454545455,11.0384615384615,5.5,12.4126984126984,5,8.5,11.125,6.5,6,NA,NA,6.5,15.4166666666667,6.17857142857143,5.91666666666667,16.8823529411765,11.5714285714286,NA,NA,10.1515151515152,7.66666666666667,43.3333333333333,13.1578947368421,13.5277777777778,39.4,37.7078272604588,52.5,9.8125,6,13.9444444444444,7.31313131313131,11.2539682539683,9.45833333333333,6
"Zone_S_Bath_1000",5,NA,5.83333333333333,10.1428571428571,6.4,NA,6.66666666666667,NA,5.5,5,NA,NA,6.63636363636364,NA,8,NA,NA,8,NA,NA,NA,8.85625,11.1428571428571,6,6,8.1,11.6952380952381,NA,NA,5.66666666666667,5,NA,NA,6,6.57142857142857,7.33333333333333,7.83333333333333,11.7012987012987,8.125,6.77777777777778,8,19.9230769230769,9.47916666666667,7.93589743589744,6.75,12.25,7,5.76666666666667,5,6.33333333333333,7.33333333333333,8.5,NA,NA,5.83333333333333,NA,NA,NA,5,6.92307692307692,5.16666666666667,5,9.5,7,17.2857142857143,6.25,NA,5,11.6428571428571,12.2585978835979,10.467032967033,5.5,6,9.6,9.17592592592593,5.5,6.33333333333333,8.64285714285714,9.80681818181818,6.55555555555556,8,10.8888888888889,13.1981351981352,6,20.0233002291826,9.72727272727273,10.8,NA,5.33333333333333,NA,6,6.4,13.1947368421053,10.0833333333333,13.8863636363636,22.4545454545455,19.4545454545455,14.2021739130435,NA,19.1458333333333,18.6071428571429,NA,12.4799498746867,10.125,NA,11.8671328671329,7,22.15,24.6666666666667,NA,6.66666666666667,7.25,11.5,17.5185185185185,7.97777777777778,10.9404761904762,6.52597402597403,10.9852941176471,8,6.77777777777778,NA,7.16666666666667,10.0526315789474,48.9515151515152,21.6617647058824,16.4814814814815,5,66.4150793650794,27,11.375,15.75,30.1388888888889,16.0174603174603,9.3015873015873,23.5486111111111,12.0384615384615
"Zone_S_Bath_200",5,NA,5,7.6,6.5,NA,6.78571428571429,NA,6,5,NA,NA,6.83333333333333,NA,8.27777777777778,NA,NA,8,NA,NA,NA,11.4166666666667,11.8,6,6,8.16666666666667,10.9166666666667,NA,NA,5.66666666666667,NA,NA,NA,5.66666666666667,6.5,7.8,NA,11.6190476190476,8,6.77777777777778,9,27.125,6.45,8.64285714285714,6.66666666666667,14.45,NA,6,NA,6.5,6,8.5,NA,NA,5.83333333333333,NA,NA,NA,5,7.75,5.33333333333333,NA,NA,NA,16.5714285714286,5.5,NA,NA,14.8571428571429,13.2222222222222,13,5.4,NA,9.5,14.125,6,5,9.33333333333333,9.5,5,8,11.1111111111111,12.6507936507937,6.4,24.5694444444444,20.8333333333333,11,NA,5.4,NA,NA,6.33333333333333,14.8388888888889,6.25,7.83333333333333,10.5,17.8333333333333,13.5833333333333,NA,26.1833333333333,20.75,NA,15.6428571428571,10.125,NA,11.75,5.4,28.75,25.1666666666667,NA,6,7.25,NA,20,10.25,12.1666666666667,6.2,17.8333333333333,NA,5,NA,5.33333333333333,9.5,16.9444444444444,12.4285714285714,11.1142857142857,5,57.7,44.5,9.83333333333333,NA,42.2,9.375,10,13.3333333333333,10
"Zone_S_Bath_400",5,NA,5,7.6,6.5,NA,6.78571428571429,NA,6,5,NA,NA,6.83333333333333,NA,8.27777777777778,NA,NA,8,NA,NA,NA,11.4166666666667,11.8,6,6,8.16666666666667,10.9166666666667,NA,NA,5.66666666666667,NA,NA,NA,5.66666666666667,6.5,7.8,NA,11.6190476190476,8,6.77777777777778,9,27.125,6.45,8.64285714285714,6.66666666666667,14.45,NA,6,NA,6.5,6,8.5,NA,NA,5.83333333333333,NA,NA,NA,5,7.75,5.33333333333333,NA,NA,NA,16.5714285714286,5.5,NA,NA,14.8571428571429,13.2222222222222,13,5.4,NA,9.5,14.125,6,5,9.33333333333333,9.5,5,8,11.1111111111111,12.6507936507937,6.4,24.5694444444444,20.8333333333333,11,NA,5.4,NA,NA,6.33333333333333,14.8388888888889,6.25,7.83333333333333,10.5,17.8333333333333,13.5833333333333,NA,26.1833333333333,20.75,NA,15.6428571428571,10.125,NA,11.75,5.4,28.75,25.1666666666667,NA,6,7.25,NA,20,10.25,12.1666666666667,6.2,17.8333333333333,NA,5,NA,5.33333333333333,9.5,16.9444444444444,12.4285714285714,11.1142857142857,5,57.7,44.5,9.83333333333333,NA,42.2,9.375,10,13.3333333333333,10
"Zone_S_Bath_600",5,NA,5.2,9,6.4,NA,6.78571428571429,NA,5.5,5,NA,NA,6.71428571428571,NA,8.44444444444444,NA,NA,8,NA,NA,NA,10.5,12,6,6,8.425,12.4642857142857,NA,NA,5.66666666666667,5,NA,NA,6,6.625,7.33333333333333,NA,11.8703703703704,8,6.77777777777778,8.875,21.1666666666667,9.51282051282051,8.44444444444444,6.71428571428571,14.9166666666667,NA,6.25,5,6.4,7,8.5,NA,NA,5.875,NA,NA,NA,5,7.28571428571429,5.2,5,7,NA,14.6,6.25,NA,5,13.8,13.5416666666667,12.5416666666667,5.57142857142857,NA,9.7,12.8522727272727,6.5,5,11.4,11,5.33333333333333,8,11.125,12.5916666666667,6.33333333333333,20.8611111111111,12.0714285714286,11.75,NA,5.42857142857143,NA,NA,6.5,13.6969696969697,8.6,8.875,16,19.375,13.4166666666667,NA,23.625,20.5333333333333,NA,14.6111111111111,10.125,NA,12.1071428571429,5.4,30.1,25.125,NA,6,7.25,NA,19.5833333333333,10.375,13,6.45714285714286,18,8,5,NA,5.4,11.4,18.2916666666667,14.7,11.989417989418,5,60.0138888888889,44.5,10.1111111111111,NA,37.9375,11.1666666666667,9.91666666666667,12.25,10.0625
"Zone_S_Bath_800",5,NA,5.5,10.1428571428571,6.4,NA,6.625,NA,5.5,5,NA,NA,6.5,NA,8.25925925925926,NA,NA,8,NA,NA,NA,9.11538461538461,12,6,6,8.625,10.6166666666667,NA,NA,5.66666666666667,5,NA,NA,6,6.72727272727273,7.33333333333333,8,11.5393939393939,8,6.77777777777778,8.2,19.9230769230769,9.5,7.95833333333333,6.75,13.6417112299465,NA,6.2,5,6.33333333333333,7,8.5,NA,NA,5.90909090909091,NA,NA,NA,5,7.1,5.16666666666667,5,7,NA,16.7692307692308,6.25,NA,5,12.1538461538462,12.5826118326118,11.5285714285714,5.44444444444444,NA,9.6,11.5583333333333,5.5,7,9,11.625,5.2,8,10.9545454545455,13.3333333333333,6.33333333333333,20.7892857142857,8.56666666666667,10.8,NA,5.375,NA,NA,6.57142857142857,13.3625,8.375,14.9444444444444,16.3333333333333,20.0625,14.8169934640523,NA,20.2670454545455,22.1875,NA,13.8983516483516,10.125,NA,12.537037037037,6.7,22.8545454545455,26.2727272727273,NA,5.5,7.25,NA,16.4126984126984,8.3939393939394,11.05,6.53333333333333,17.3636363636364,8,5.5,NA,5.25,11.2727272727273,37.8666666666667,17.8333333333333,12.7301587301587,5,64.5443722943723,24.75,10.9166666666667,NA,33.4583333333333,13.8888888888889,9.65714285714286,10.3717948717949,11.1818181818182
