"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.61624309353567,2.03911210703351e-12,TRUE
"Zone_NW_Bath_200","X1",0.674588111645135,5.62334045051473e-15,TRUE
"Zone_NW_Bath_400","X1",0.635496350900946,3.28130035634321e-13,TRUE
"Zone_NW_Bath_600","X1",0.632810074365648,4.41839867231451e-13,TRUE
"Zone_NW_Bath_800","X1",0.631158036240013,4.09022047674588e-13,TRUE
"Zone_SW_Bath_1000","X1",0.319216678050914,0.000478204610279158,TRUE
"Zone_SW_Bath_200","X1",0.410844483644008,8.26364721299648e-06,TRUE
"Zone_SW_Bath_400","X1",0.344827698612705,0.000275563891676335,TRUE
"Zone_SW_Bath_600","X1",0.312971161074795,0.000871533626119115,TRUE
"Zone_SW_Bath_800","X1",0.34997058072342,0.00016639968163057,TRUE
"Zone_S_Bath_1000","X1",-0.295928049075392,0.00187374202011994,TRUE
"Zone_S_Bath_200","X1",-0.507832709250217,1.49684121118572e-07,TRUE
"Zone_S_Bath_400","X1",-0.507832709250217,1.49684121118572e-07,TRUE
"Zone_S_Bath_600","X1",-0.513284253732039,4.05104081278781e-08,TRUE
"Zone_S_Bath_800","X1",-0.402882880977087,2.69135813090973e-05,TRUE
"Zone_NW_Bath_1000","X2",0.153229831203,0.116841880378492,FALSE
"Zone_NW_Bath_200","X2",0.111157345733203,0.263642098135421,FALSE
"Zone_NW_Bath_400","X2",0.165162003656658,0.0922334118095312,FALSE
"Zone_NW_Bath_600","X2",0.170182522729149,0.0826235803737862,FALSE
"Zone_NW_Bath_800","X2",0.167394276707542,0.0863234159701342,FALSE
"Zone_SW_Bath_1000","X2",0.281412616401978,0.00221206741445541,TRUE
"Zone_SW_Bath_200","X2",0.225509731239347,0.0178485228600313,TRUE
"Zone_SW_Bath_400","X2",0.310318287370583,0.00114212857968808,TRUE
"Zone_SW_Bath_600","X2",0.319618880966801,0.000664958360411439,TRUE
"Zone_SW_Bath_800","X2",0.300053192146552,0.00137651733746947,TRUE
"Zone_S_Bath_1000","X2",0.559075454995403,3.20343587880467e-10,TRUE
"Zone_S_Bath_200","X2",0.0927986743925699,0.371082324071653,FALSE
"Zone_S_Bath_400","X2",0.0927986743925699,0.371082324071653,FALSE
"Zone_S_Bath_600","X2",0.205451377060572,0.0392932768986634,TRUE
"Zone_S_Bath_800","X2",0.457582954479121,1.33010411693119e-06,TRUE
"Zone_NW_Bath_1000","X3",0.0605315528974086,0.537639314409171,FALSE
"Zone_NW_Bath_200","X3",0.0624851769330943,0.530640175979539,FALSE
"Zone_NW_Bath_400","X3",0.0740568092038825,0.452770364154537,FALSE
"Zone_NW_Bath_600","X3",0.0711564235386615,0.470710612458813,FALSE
"Zone_NW_Bath_800","X3",0.0738046527141977,0.452122023617946,FALSE
"Zone_SW_Bath_1000","X3",-0.342404904936916,0.000168385207802876,TRUE
"Zone_SW_Bath_200","X3",-0.466868884925689,2.72907909527449e-07,TRUE
"Zone_SW_Bath_400","X3",-0.482642614470745,1.40484448689106e-07,TRUE
"Zone_SW_Bath_600","X3",-0.475051697148559,1.57298936972546e-07,TRUE
"Zone_SW_Bath_800","X3",-0.449835307723169,7.30518659127796e-07,TRUE
"Zone_S_Bath_1000","X3",-0.0626289169602676,0.519628699024104,FALSE
"Zone_S_Bath_200","X3",-0.351624967676024,0.00047561805865204,TRUE
"Zone_S_Bath_400","X3",-0.351624967676024,0.00047561805865204,TRUE
"Zone_S_Bath_600","X3",-0.331515563016473,0.000707853826111833,TRUE
"Zone_S_Bath_800","X3",-0.115471616138622,0.247802332522139,FALSE
