"","1981_Summer","1981_Autumn","1982_Winter","1982_Spring","1982_Summer","1982_Autumn","1983_Winter","1983_Spring","1983_Summer","1983_Autumn","1984_Winter","1984_Spring","1984_Summer","1984_Autumn","1985_Winter","1985_Spring","1985_Summer","1985_Autumn","1986_Winter","1986_Spring","1986_Summer","1986_Autumn","1987_Winter","1987_Spring","1987_Summer","1987_Autumn","1988_Winter","1988_Spring","1988_Summer","1988_Autumn","1989_Winter","1989_Spring","1989_Summer","1989_Autumn","1990_Winter","1990_Spring","1990_Summer","1990_Autumn","1991_Winter","1991_Spring","1991_Summer","1991_Autumn","1992_Winter","1992_Spring","1992_Summer","1992_Autumn","1993_Winter","1993_Spring","1993_Summer","1993_Autumn","1994_Winter","1994_Spring","1994_Summer","1994_Autumn","1995_Winter","1995_Spring","1995_Summer","1995_Autumn","1996_Winter","1996_Spring","1996_Summer","1996_Autumn","1997_Winter","1997_Spring","1997_Summer","1997_Autumn","1998_Winter","1998_Spring","1998_Summer","1998_Autumn","1999_Winter","1999_Spring","1999_Summer","1999_Autumn","2000_Winter","2000_Spring","2000_Summer","2000_Autumn","2001_Winter","2001_Spring","2001_Summer","2001_Autumn","2002_Winter","2002_Spring","2002_Summer","2002_Autumn","2003_Winter","2003_Spring","2003_Summer","2003_Autumn","2004_Winter","2004_Spring","2004_Summer","2004_Autumn","2005_Winter","2005_Spring","2005_Summer","2005_Autumn","2006_Winter","2006_Spring","2006_Summer","2006_Autumn","2007_Winter","2007_Spring","2007_Summer","2007_Autumn","2008_Winter","2008_Spring","2008_Summer","2008_Autumn","2009_Winter","2009_Spring","2009_Summer","2009_Autumn","2010_Winter","2010_Spring","2010_Summer","2010_Autumn","2011_Winter","2011_Spring","2011_Summer","2011_Autumn","2012_Winter","2012_Spring","2012_Summer","2012_Autumn","2013_Winter","2013_Spring","2013_Summer","2013_Autumn","2014_Winter","2014_Spring","2014_Summer","2014_Autumn","2015_Winter","2015_Spring","2015_Summer","2015_Autumn","2016_Winter","2016_Spring","2016_Summer","2016_Autumn","2017_Winter","2017_Spring","2017_Summer","2017_Autumn","2018_Winter","2018_Spring","2018_Summer","2018_Autumn","2019_Winter","2019_Spring","2019_Summer","2019_Autumn","2020_Winter","2020_Spring","2020_Summer","2020_Autumn","2021_Winter","2021_Spring","2021_Summer","2021_Autumn","2022_Winter","2022_Spring","2022_Summer","2022_Autumn","2023_Winter","2023_Spring","2023_Summer","2023_Autumn","2024_Winter","2024_Spring","2024_Summer","2024_Autumn","2025_Winter","2025_Spring","2025_Summer","2025_Autumn"
"Zone_NW_Bath_1000",NA,NA,1.22120523452759,NA,1.08480715751648,NA,NA,NA,1.38255071640015,1.51184380054474,NA,NA,1.60881066322327,NA,NA,NA,1.67563009262085,NA,NA,NA,1.85495591163635,1.52548277378082,1.28983950614929,NA,1.78702354431152,1.62689542770386,1.11725795269012,2.0732250213623,1.63981699943542,1.40090870857239,0.986327330271403,1.76523023843765,1.58491402864456,1.55993421872457,1.15965751806895,1.67891979217529,1.66634166240692,NA,NA,NA,1.87460654973984,NA,NA,NA,NA,NA,0.887463271617889,1.45989286899567,NA,NA,NA,1.55414545536041,0.955180943012238,1.33416438102722,1.17915111780167,NA,1.57839385668437,1.34835278987885,1.1511704325676,1.77028179168701,NA,NA,1.33950984477997,1.72043784459432,1.4944720864296,1.42694516976674,1.17026869455973,1.1719251871109,NA,NA,NA,1.73809683322906,1.87372559309006,NA,NA,1.49570828676224,1.54737830162048,NA,1.72917485237122,1.17157471179962,1.66265332698822,NA,1.08847536643346,NA,1.62127017974854,1.77932345867157,1.06044840812683,NA,1.77917391061783,1.50962376594543,NA,1.89267480373383,1.68947470188141,NA,NA,1.56516921520233,1.59330499172211,NA,NA,1.93934059143066,1.66288197040558,1.73387265205383,1.09241590897242,NA,1.54546648263931,NA,1.0017666220665,1.41782706975937,1.64760597546895,NA,NA,1.9024840593338,1.75284349918365,1.41667433579763,1.25536096096039,1.87296692530314,1.76515954732895,NA,0.944896638393402,1.80744592348735,1.52953052520752,1.1899122595787,1.11242783069611,1.78355538845062,1.7266594171524,1.31989705562592,NA,NA,1.83127218484879,1.6008106470108,NA,1.68847608566284,1.96477425098419,1.70601427555084,NA,1.85337162017822,1.44065070152283,1.42986583709717,1.13133347034454,2.04980397224426,NA,1.21513330936432,0.913245856761932,1.639097849528,NA,NA,NA,NA,1.82811903953552,NA,NA,NA,1.45574140548706,NA,0.909297853708267,1.99608027935028,1.62970805168152,1.20874524116516,NA,1.45498073101044,1.74465298652649,NA,NA,1.53151476383209,1.7067224184672,1.39145394166311,1.15275235970815,1.75777292251587,1.5013548930486,1.80656361579895,1.24491210778554,1.45472073554993,NA,1.35679479440053,0.946543534596761,1.44940610726674,0.99400520324707,1.21937811374664
"Zone_NW_Bath_200",NA,NA,1.22120523452759,NA,1.08480715751648,NA,NA,NA,1.38255071640015,1.5254812836647,NA,NA,1.60881066322327,NA,NA,NA,1.67563009262085,NA,NA,NA,1.87907385826111,1.52548277378082,1.28983950614929,NA,1.78702354431152,1.62689542770386,1.15110313892365,2.0732250213623,1.63981699943542,1.41476255655289,1.00779245297114,1.77959883213043,1.65320670604706,1.55993421872457,1.18214476108551,1.67891979217529,1.78270918130875,NA,NA,NA,1.93939530849457,NA,NA,NA,NA,NA,NA,1.48512327671051,NA,NA,NA,1.57098150253296,NA,1.33416438102722,1.17915111780167,NA,1.58541003863017,1.3594001531601,1.16579538583755,1.78537809848785,NA,NA,1.38434809446335,1.7524665594101,1.58194649219513,1.47145473957062,1.19941484928131,1.20771872997284,NA,NA,NA,1.73809683322906,1.94204169511795,NA,NA,1.49570828676224,1.56745648384094,NA,1.72917485237122,1.17157471179962,1.66265332698822,NA,1.11307402451833,NA,1.62127017974854,1.81395709514618,1.06044840812683,NA,1.78186184167862,1.56241512298584,NA,1.88142824172974,1.75018608570099,NA,NA,1.56516921520233,1.64021080732346,NA,NA,1.9479643702507,1.66039458910624,1.83302084604899,1.09636018673579,NA,1.62667483091354,NA,1.08747100830078,1.41782706975937,1.65821913878123,NA,NA,2.00884699821472,1.8571138381958,1.44542300701141,1.25536096096039,1.90940129756927,1.7982411980629,NA,0.95918795466423,1.87094298998515,1.6622200012207,1.54402446746826,1.16358435153961,1.78355538845062,1.87182158231735,1.53958439826965,NA,NA,1.84282910823822,1.60314959287643,NA,1.72421860694885,2.06474117437998,1.76697699228923,NA,1.85337162017822,1.59581140677134,1.45059510072072,1.15748131275177,2.1051664352417,NA,1.21513330936432,0.913245856761932,1.68330176671346,NA,NA,NA,NA,1.8362272977829,NA,NA,NA,1.45574140548706,NA,0.904237806797028,2.05086302757263,1.84631061553955,1.20874524116516,NA,1.46179848909378,1.77851021289825,NA,NA,1.58136069774628,1.78296613693237,1.43969889481862,1.16512348254522,1.81631020704905,2.14747667312622,1.86981201171875,1.24711048603058,1.53243637084961,NA,1.39617462952932,1.00557059049606,1.60608214139938,NA,NA
"Zone_NW_Bath_400",NA,NA,1.22120523452759,NA,1.08480715751648,NA,NA,NA,1.38255071640015,1.51596730947495,NA,NA,1.60881066322327,NA,NA,NA,1.67563009262085,NA,NA,NA,1.86636185646057,1.52548277378082,1.28983950614929,NA,1.78702354431152,1.62689542770386,1.15110313892365,2.0732250213623,1.63981699943542,1.40743142366409,1.00494442383448,1.77959883213043,1.61879467964172,1.55993421872457,1.16451791922251,1.67891979217529,1.69643813371658,NA,NA,NA,1.89667284488678,NA,NA,NA,NA,NA,NA,1.45989286899567,NA,NA,NA,1.56035387516022,0.950098395347595,1.33416438102722,1.17915111780167,NA,1.58541003863017,1.35424554347992,1.15585607290268,1.78537809848785,NA,NA,1.3584491610527,1.73659133911133,1.4944720864296,1.46825651327769,1.18145267168681,1.18635439872742,NA,NA,NA,1.73809683322906,1.91801434755325,NA,NA,1.49570828676224,1.56745648384094,NA,1.72917485237122,1.17157471179962,1.66265332698822,NA,1.09794207413991,NA,1.62127017974854,1.7907440662384,1.06044840812683,NA,1.7947233915329,1.5273106098175,NA,1.89708375930786,1.74653166532516,NA,NA,1.56516921520233,1.61047977209091,NA,NA,1.95835173130035,1.67165605227153,1.76258885860443,1.09511266152064,NA,1.57845437526703,NA,1.00062455733617,1.41782706975937,1.65821913878123,NA,NA,1.94625949859619,1.78582346439362,1.42903133233388,1.25536096096039,1.88725856939952,1.76515954732895,NA,0.945730119943619,1.84015770753225,1.6622200012207,1.52566659450531,1.10889422893524,1.78355538845062,1.76062154769897,1.34716653823853,NA,NA,1.84282910823822,1.60314959287643,NA,1.69498610496521,1.99372152487437,1.73072600364685,NA,1.85337162017822,1.56917679309845,1.43891358375549,1.14356309175491,2.06050252914429,NA,1.21513330936432,0.913245856761932,1.64066672325134,NA,NA,NA,NA,1.8362272977829,NA,NA,NA,1.45574140548706,NA,0.911468356847763,2.00954675674438,1.6278909444809,1.20874524116516,NA,1.5000861287117,1.75891244411469,NA,NA,1.54676997661591,1.72024182478587,1.40280636151632,1.16527096430461,1.82454959551493,1.61532390117645,1.84071711699168,1.24554713567098,1.54223120212555,NA,1.36289385954539,0.936891655127207,1.45358069737752,0.99400520324707,1.26168632507324
"Zone_NW_Bath_600",NA,NA,1.22120523452759,NA,1.08480715751648,NA,NA,NA,1.38255071640015,1.5139679312706,NA,NA,1.60881066322327,NA,NA,NA,1.67563009262085,NA,NA,NA,1.85495591163635,1.52548277378082,1.28983950614929,NA,1.78702354431152,1.62689542770386,1.15110313892365,2.0732250213623,1.63981699943542,1.40263247489929,1.00494442383448,1.77959883213043,1.58971709012985,1.55993421872457,1.16070040067037,1.67891979217529,1.67406660318375,NA,NA,NA,1.88076502084732,NA,NA,NA,NA,NA,NA,1.45989286899567,NA,NA,NA,1.55414545536041,0.955180943012238,1.33416438102722,1.17915111780167,NA,1.58224602540334,1.3485734462738,1.15392863750458,1.78537809848785,NA,NA,1.34844529628754,1.72669267654419,1.4944720864296,1.45325267314911,1.17819913228353,1.17385280132294,NA,NA,NA,1.73809683322906,1.90660148859024,NA,NA,1.49570828676224,1.54737830162048,NA,1.72917485237122,1.17157471179962,1.66265332698822,NA,1.09097041686376,NA,1.62127017974854,1.7907440662384,1.06044840812683,NA,1.78653955459595,1.51248836517334,NA,1.88226616382599,1.74596005678177,NA,NA,1.56516921520233,1.60465371608734,NA,NA,1.94673609733582,1.67378123601278,1.74750312169393,1.09511266152064,NA,1.54546648263931,NA,1.00172827641169,1.41782706975937,1.65821913878123,NA,NA,1.91756594181061,1.77535951137543,1.42072109381358,1.25536096096039,1.87935014565786,1.76515954732895,NA,0.947471380233765,1.82248365879059,1.53444957733154,1.53876411914825,1.10889422893524,1.78355538845062,1.74008566141129,1.31989705562592,NA,NA,1.84282910823822,1.6008106470108,NA,1.68987941741943,1.97953029473623,1.71393219629924,NA,1.85337162017822,1.48296046257019,1.43735766410828,1.13711136579514,2.04762244224548,NA,1.21513330936432,0.913245856761932,1.63764083385468,NA,NA,NA,NA,1.8362272977829,NA,NA,NA,1.45574140548706,NA,0.9073606133461,2.00176286697388,1.6278909444809,1.20874524116516,NA,1.49498170614243,1.74906182289124,NA,NA,1.53628158569336,1.70870061715444,1.39895470937093,1.15284506479899,1.81336537996928,1.59605485200882,1.83119634787242,1.24364495277405,1.54118204116821,NA,1.35709571838379,0.934011201063792,1.46561745802561,0.99400520324707,1.21937811374664
"Zone_NW_Bath_800",NA,NA,1.22120523452759,NA,1.08480715751648,NA,NA,NA,1.38255071640015,1.5139679312706,NA,NA,1.60881066322327,NA,NA,NA,1.67563009262085,NA,NA,NA,1.85495591163635,1.52548277378082,1.28983950614929,NA,1.78702354431152,1.62689542770386,1.11725795269012,2.0732250213623,1.63981699943542,1.40263247489929,1.00494442383448,1.76523023843765,1.58936893939972,1.55993421872457,1.15965751806895,1.67891979217529,1.67409557104111,NA,NA,NA,1.87743049860001,NA,NA,NA,NA,NA,0.887463271617889,1.45989286899567,NA,NA,NA,1.55414545536041,0.955180943012238,1.33416438102722,1.17915111780167,NA,1.57839385668437,1.34835278987885,1.15172392129898,1.77028179168701,NA,NA,1.34635412693024,1.72527925173442,1.4944720864296,1.42694516976674,1.17123878002167,1.17548394203186,NA,NA,NA,1.73809683322906,1.88260525465012,NA,NA,1.49570828676224,1.54737830162048,NA,1.72917485237122,1.17157471179962,1.66265332698822,NA,1.09097041686376,NA,1.62127017974854,1.77932345867157,1.06044840812683,NA,1.78608429431915,1.50897896289825,NA,1.89600622653961,1.74276965856552,NA,NA,1.56516921520233,1.60465371608734,NA,NA,1.94563108682632,1.67051498095195,1.74166111151377,1.09387077887853,NA,1.54546648263931,NA,1.00137327114741,1.41782706975937,1.64760597546895,NA,NA,1.9073634147644,1.76832842826843,1.42077883084615,1.25536096096039,1.87851671377818,1.76515954732895,NA,0.947471380233765,1.81908186276754,1.52865159511566,1.23855078220367,1.11242783069611,1.78355538845062,1.74045950174332,1.31989705562592,NA,NA,1.83127218484879,1.6008106470108,NA,1.68847608566284,1.97249674797058,1.71034276485443,NA,1.85337162017822,1.48296046257019,1.43069664637248,1.13328677415848,2.04980397224426,NA,1.21513330936432,0.913245856761932,1.63799301783244,NA,NA,NA,NA,1.82811903953552,NA,NA,NA,1.45574140548706,NA,0.90321758389473,2.00130581855774,1.62970805168152,1.20874524116516,NA,1.49348521232605,1.7512698173523,NA,NA,1.54055941104889,1.70775898297628,1.39832305908203,1.15232400099436,1.82156848907471,1.6262913942337,1.82891539732615,1.24274297555288,1.54167604446411,NA,1.36118133862813,0.949630161126455,1.46516664822896,0.99400520324707,1.21937811374664
"Zone_SW_Bath_1000",NA,1.68331044912338,NA,NA,NA,NA,1.12983620166779,NA,1.09621798992157,1.61406463384628,NA,NA,NA,NA,NA,NA,1.33052802085876,1.59537816047668,NA,NA,1.43558275699615,1.40379393100739,1.11404705047607,1.37449038028717,1.67129176855087,1.69815123081207,NA,NA,NA,1.44484883546829,0.944357872009277,1.39766049385071,1.78307008743286,1.4478219350179,0.995036045710246,1.37187361717224,1.56840415795644,1.6070419549942,NA,NA,1.92459720373154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44028425216675,NA,1.14560437202454,1.06122434139252,1.17342102527618,1.41187155246735,1.51347740491231,1.13341796398163,1.44544410705566,1.40272772312164,NA,1.20064556598663,1.54946303367615,1.53489486376445,1.66590321063995,1.1596274971962,1.09162545204163,NA,NA,NA,1.31173706054688,1.46732354164124,NA,0.99346387386322,1.39892286062241,1.66534066200256,NA,NA,NA,1.10982394218445,NA,1.07225124041239,1.04985332489014,1.57982635498047,1.49537646770477,NA,NA,1.47420748074849,1.40713930130005,NA,1.3505734205246,1.45688589413961,NA,NA,1.43006926774979,1.39617427190145,1.44344246387482,1.11894261837006,1.40102032820384,1.68258094787598,1.76582705974579,0.921639323234558,NA,1.37570959329605,1.41298562288284,1.07836087544759,1.15491700172424,1.10619163513184,NA,NA,1.75435388088226,1.6500723361969,1.71991914510727,0.921265333890915,1.42609751224518,1.4428836107254,NA,1.0706475575765,1.83884358406067,1.44051992893219,1.72087490558624,1.05233228206635,0.875739574432373,1.85633355379105,1.51081830263138,NA,NA,1.40834828217824,1.62510216236115,NA,1.34544813632965,2.23471355438232,1.7931182384491,NA,1.41714719931285,1.30370163917542,1.504798412323,1.02927428483963,1.3282778263092,1.99054272969564,1.36547362804413,0.971777081489563,1.5357266664505,1.46843600273132,1.67754518985748,NA,NA,1.37669676542282,1.92548167705536,0.969931960105896,NA,1.09632897377014,NA,0.963151425123215,1.74761718511581,1.49684470891953,1.30755066871643,NA,1.27464592456818,1.63698053359985,1.40521419048309,0.822612166404724,1.36859667301178,1.37187846501668,1.38991194963455,1.04433369636536,1.46566474437714,1.44347210725149,1.62916696071625,1.2895608941714,1.26193463802338,1.08823490142822,1.38203330834707,0.902012467384338,1.48582375049591,1.54819816350937,1.29436922073364
"Zone_SW_Bath_200",NA,1.70065248012543,NA,NA,NA,NA,1.21810185909271,NA,0.940558791160584,1.67958068847656,NA,NA,NA,NA,NA,NA,1.33052802085876,1.59537816047668,NA,NA,1.43558275699615,1.40379393100739,1.11404705047607,1.37449038028717,1.78242069482803,1.76969337463379,NA,NA,NA,1.45493721961975,0.934315621852875,1.2711124420166,1.8418949842453,1.49161581198374,1.00449128945669,1.37187361717224,1.59185167153676,1.65986442565918,NA,NA,1.9702639579773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44028425216675,NA,1.17715668678284,1.01038634777069,1.16271781921387,1.4625350634257,1.571990331014,1.16806268692017,1.44544410705566,1.41437244415283,NA,1.26369905471802,1.59113427003225,1.5455664396286,1.66590321063995,1.19763535261154,1.1020302772522,NA,NA,NA,1.30923140048981,1.51889252662659,NA,1.03750860691071,1.43748915195465,1.73065251111984,NA,NA,NA,1.10982394218445,NA,1.09733215967814,1.04985332489014,1.60650861263275,1.51102554798126,NA,NA,1.36228940884272,1.39001309871674,NA,1.46615505218506,1.73160016536713,NA,NA,1.75945150852203,1.44128473599752,1.44344246387482,1.09759044647217,1.41186388333639,1.66805656750997,1.83924380938212,1.09686481952667,NA,1.40311717987061,1.54007609685262,1.10447690884272,NA,NA,NA,NA,1.75661134719849,1.64974200725555,1.7390792965889,0.978609204292297,1.50071946779887,1.4918966293335,NA,1.10964020093282,1.89435915152232,1.44051992893219,1.79682838916779,NA,NA,1.94865697622299,1.5705304145813,NA,NA,1.42805834611257,1.65887451171875,NA,1.34544813632965,2.26646327972412,1.89496630430222,NA,1.45226307710012,1.28039773305257,1.57947901884715,1.0766504406929,1.3282778263092,2.07893792788188,1.37865322828293,0.971777081489563,1.59319166342417,1.46843600273132,1.70368007818858,NA,NA,1.41983509063721,2.05713129043579,0.949409425258636,NA,NA,NA,1.01634061336517,1.79927897453308,1.60767793655396,1.45004749298096,NA,1.27049547433853,1.64828503131866,NA,NA,1.47357285022736,1.82036530971527,1.29550665616989,1.11351329088211,1.54283932844798,1.49778644243876,1.51713367303212,1.29195493459702,1.47627854347229,1.08823490142822,1.42455200354258,0.922995408376058,1.50490283966064,1.61516261100769,1.38725435733795
"Zone_SW_Bath_400",NA,1.70698070526123,NA,NA,NA,NA,1.15935885906219,NA,1.06101334095001,1.65883988142014,NA,NA,NA,NA,NA,NA,1.33052802085876,1.59537816047668,NA,NA,1.43558275699615,1.40379393100739,1.11404705047607,1.37449038028717,1.81448394060135,1.7185161113739,NA,NA,NA,1.44843077659607,0.934315621852875,1.2711124420166,1.82264685630798,1.52180659770966,1.00190756718318,1.37187361717224,1.58342774709066,1.64906179904938,NA,NA,1.97372454404831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44028425216675,NA,1.17246389389038,NA,1.20588600635529,1.4307454029719,1.55561558405558,1.16698217391968,1.44544410705566,1.38807451725006,NA,1.2482448220253,1.58135414123535,1.5455664396286,1.66590321063995,1.18288153409958,1.08335947990417,NA,NA,NA,1.27920424938202,1.50663340091705,NA,1.04193317890167,1.41392362117767,1.69047731161118,NA,NA,NA,1.10982394218445,NA,1.08977782726288,1.04985332489014,1.60650861263275,1.51102554798126,NA,NA,1.35881076256434,1.34464955329895,NA,1.41971409320831,1.58986979722977,NA,NA,1.72290527820587,1.39507571856181,1.44344246387482,1.14600467681885,1.40072564284007,1.6942097345988,1.84154613812764,NA,NA,1.40311717987061,1.53769481182098,1.09529362122218,NA,NA,NA,NA,1.75201833248138,1.68772661685944,1.73900407552719,0.962217688560486,1.48515876134237,1.39387059211731,NA,1.10063433647156,1.8851451476415,1.44051992893219,1.77319359779358,NA,NA,1.96098673343658,1.59102308750153,NA,NA,1.45964284737905,1.64046108722687,NA,1.34544813632965,2.30833578109741,1.92005467414856,NA,1.50018990039825,1.26127723852793,1.57067247231801,1.06526815891266,1.3282778263092,2.03611115614573,1.36994987726212,0.971777081489563,1.57741912206014,1.46843600273132,1.70368007818858,NA,NA,1.43160444498062,1.97290778160095,0.957440853118896,NA,NA,NA,1.05858826637268,1.84245628118515,1.50368636846542,1.4268491268158,NA,1.25792557001114,1.63944172859192,NA,NA,1.46441036462784,1.79919004440308,1.29569727182388,1.10412847995758,1.53855395317078,1.49778644243876,1.5447719891866,1.3066197236379,1.4413880109787,1.08823490142822,1.40864769617716,0.920909722646078,1.50490283966064,1.620649933815,NA
"Zone_SW_Bath_600",NA,1.68331044912338,NA,NA,NA,NA,1.15902066230774,NA,1.04856073856354,1.64406609535217,NA,NA,NA,NA,NA,NA,1.33052802085876,1.59537816047668,NA,NA,1.43558275699615,1.40379393100739,1.11404705047607,1.37449038028717,1.69258093833923,1.70046806335449,NA,NA,NA,1.44492524862289,0.934315621852875,1.2711124420166,1.82409292459488,1.47489273548126,0.996699194113413,1.37187361717224,1.57851819197337,1.62754619121552,NA,NA,1.95628768205643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44028425216675,NA,1.16463649272919,1.01038634777069,1.17342102527618,1.41174296538035,1.54596316814423,1.16243600845337,1.44544410705566,1.39378225803375,NA,1.2386691570282,1.57723466555277,1.53489486376445,1.66590321063995,1.17503076791763,1.08913969993591,NA,NA,NA,1.30526280403137,1.50663340091705,NA,1.01718056201935,1.41959810256958,1.68101143836975,NA,NA,NA,1.10982394218445,NA,1.08525045712789,1.04985332489014,1.57982635498047,1.49537646770477,NA,NA,1.35508571068446,1.39001309871674,NA,1.41971409320831,1.56833004951477,NA,NA,1.7227429151535,1.40383052825928,1.44344246387482,1.12672364711761,1.39691809813182,1.67767182985942,1.82848676045736,1.09686481952667,NA,1.40311717987061,1.52381030718486,1.09303265810013,NA,NA,NA,NA,1.75296974182129,1.68302237987518,1.72793859243393,0.962217688560486,1.45055683453878,1.4428836107254,NA,1.09178924560547,1.88450475533803,1.44051992893219,1.76330137252808,NA,NA,1.94820708036423,1.59465032815933,NA,NA,1.41885499159495,1.63160312175751,NA,1.34544813632965,2.30579149723053,1.88639187812805,NA,1.45016725858053,1.25179044405619,1.56010528405507,1.06085938215256,1.3282778263092,2.02360423405965,1.36547362804413,0.971777081489563,1.57886362075806,1.46843600273132,1.70368007818858,NA,NA,1.41983509063721,1.95561814308167,0.949409425258636,NA,NA,NA,1.01634061336517,1.79170745611191,1.47510778903961,1.41936373710632,NA,1.25894939899445,1.63974916934967,NA,NA,1.46251899003983,1.79308569431305,1.29372853040695,1.09796357154846,1.51107736428579,1.49778644243876,1.54498207569122,1.30524277687073,1.44606566429138,1.08823490142822,1.40501375993093,0.913084586461385,1.4967139561971,1.61516261100769,1.38725435733795
"Zone_SW_Bath_800",NA,1.68331044912338,NA,NA,NA,NA,1.14642763137817,NA,1.07835817337036,1.62915432453156,NA,NA,NA,NA,NA,NA,1.33052802085876,1.59537816047668,NA,NA,1.43558275699615,1.40379393100739,1.11404705047607,1.37449038028717,1.70931512117386,1.70046806335449,NA,NA,NA,1.44492524862289,0.934315621852875,1.2711124420166,1.8210181593895,1.47489273548126,0.995785812536875,1.37187361717224,1.57536868254344,1.6070419549942,NA,NA,1.94356966018677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44028425216675,NA,1.15564572811127,1.01038634777069,1.17342102527618,1.41168753306071,1.53999988238017,1.15917158126831,1.44544410705566,1.39321947097778,NA,1.23257339000702,1.57420309384664,1.53489486376445,1.66590321063995,1.17024916410446,1.08501410484314,NA,NA,NA,1.31173706054688,1.50793612003326,NA,1.01718056201935,1.41288274526596,1.67837768793106,NA,NA,NA,1.10982394218445,NA,1.08489596843719,1.04985332489014,1.57982635498047,1.49537646770477,NA,NA,1.42033469676971,1.39001309871674,NA,1.41971409320831,1.73621374368668,NA,NA,1.42432862520218,1.41603994369507,1.44344246387482,1.12672364711761,1.39113597075144,1.67839666207631,1.82660182317098,1.09686481952667,NA,1.40311717987061,1.52041304111481,1.08829925457637,1.15491700172424,NA,NA,NA,1.75844764709473,1.69768810272217,1.72793859243393,0.962217688560486,1.44695854187012,1.4428836107254,NA,1.08474397659302,1.87483791510264,1.44051992893219,1.75812304019928,NA,NA,1.9286966919899,1.60918670892715,NA,NA,1.41885499159495,1.63160312175751,NA,1.34544813632965,2.3206661939621,1.83396190404892,NA,1.44797833760579,1.26634073257446,1.52000979582469,1.05120176076889,1.3282778263092,2.02360423405965,1.36547362804413,0.971777081489563,1.56317317485809,1.46843600273132,1.70368007818858,NA,NA,1.41983509063721,1.95561814308167,0.949409425258636,NA,NA,NA,0.986882150173187,1.78309679031372,1.47510778903961,1.41421413421631,NA,1.25669795274734,1.64264571666718,NA,NA,1.45571118593216,1.63621962070465,1.28973639011383,1.09344667196274,1.48790848255157,1.49242635567983,1.59924920399984,1.31600191195806,1.42952215671539,1.08823490142822,1.40375753243764,0.912465492884318,1.4967139561971,1.61516261100769,1.38725435733795
