"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.582039038532668,1.36687046393525e-11,TRUE
"Zone_NW_Bath_200","X1",0.478370401526116,1.43290396119878e-07,TRUE
"Zone_NW_Bath_400","X1",0.55330306647727,2.50442464771669e-10,TRUE
"Zone_NW_Bath_600","X1",0.552414540994775,2.7112291499233e-10,TRUE
"Zone_NW_Bath_800","X1",0.580381368753614,1.61080908083807e-11,TRUE
"Zone_SW_Bath_1000","X1",-0.0293199090639819,0.749544604921582,FALSE
"Zone_SW_Bath_200","X1",-0.107381702329934,0.255463450431894,FALSE
"Zone_SW_Bath_400","X1",-0.102557012076655,0.284124020322549,FALSE
"Zone_SW_Bath_600","X1",-0.097827164465589,0.300443264589018,FALSE
"Zone_SW_Bath_800","X1",-0.0565159369442077,0.548556324444132,FALSE
"Zone_S_Bath_1000","X1",-0.22298144351424,0.0170949982433781,TRUE
"Zone_S_Bath_200","X1",-0.334866554221763,0.000660573298607492,TRUE
"Zone_S_Bath_400","X1",-0.334866554221763,0.000660573298607492,TRUE
"Zone_S_Bath_600","X1",-0.38646573478318,3.92909264352778e-05,TRUE
"Zone_S_Bath_800","X1",-0.346770900826462,0.000220786823815302,TRUE
"Zone_NW_Bath_1000","X2",-0.051389971471768,0.588806517941943,FALSE
"Zone_NW_Bath_200","X2",-0.10017424672496,0.300014634377418,FALSE
"Zone_NW_Bath_400","X2",-0.0557704414730139,0.55918506762424,FALSE
"Zone_NW_Bath_600","X2",-0.0469183394955808,0.623258597087344,FALSE
"Zone_NW_Bath_800","X2",-0.0570544465918776,0.548344362527925,FALSE
"Zone_SW_Bath_1000","X2",-0.2785468525968,0.00197690917003376,TRUE
"Zone_SW_Bath_200","X2",-0.326806571285847,0.000386921803293716,TRUE
"Zone_SW_Bath_400","X2",-0.333371195401644,0.000349735940676109,TRUE
"Zone_SW_Bath_600","X2",-0.323820371584657,0.000440509882333155,TRUE
"Zone_SW_Bath_800","X2",-0.28509176796512,0.00201356724120246,TRUE
"Zone_S_Bath_1000","X2",0.450065856524468,5.06170494605048e-07,TRUE
"Zone_S_Bath_200","X2",0.0379899808839716,0.70746782482781,FALSE
"Zone_S_Bath_400","X2",0.0379899808839716,0.70746782482781,FALSE
"Zone_S_Bath_600","X2",0.169865848299818,0.0802558089804076,FALSE
"Zone_S_Bath_800","X2",0.353830209312973,0.000160415681821691,TRUE
"Zone_NW_Bath_1000","X3",-0.032122129918868,0.735548953988809,FALSE
"Zone_NW_Bath_200","X3",-0.0379971125208308,0.694858947715018,FALSE
"Zone_NW_Bath_400","X3",-0.000175468216885237,0.998534966326937,FALSE
"Zone_NW_Bath_600","X3",-0.00382200119152542,0.9680974041886,FALSE
"Zone_NW_Bath_800","X3",-0.0342493757159758,0.718747291129642,FALSE
"Zone_SW_Bath_1000","X3",0.437710105451573,5.15374222188608e-07,TRUE
"Zone_SW_Bath_200","X3",0.378904218589382,3.22303328300416e-05,TRUE
"Zone_SW_Bath_400","X3",0.401062710020377,1.28757597660836e-05,TRUE
"Zone_SW_Bath_600","X3",0.397631705967427,1.18247065483502e-05,TRUE
"Zone_SW_Bath_800","X3",0.380242563251282,2.76912133150188e-05,TRUE
"Zone_S_Bath_1000","X3",0.0286396778806458,0.762286053277341,FALSE
"Zone_S_Bath_200","X3",-0.424296376805854,1.08584631947797e-05,TRUE
"Zone_S_Bath_400","X3",-0.424296376805854,1.08584631947797e-05,TRUE
"Zone_S_Bath_600","X3",-0.308363280306671,0.00123187671763877,TRUE
"Zone_S_Bath_800","X3",-0.0829002465189227,0.391443690241742,FALSE
