"Series","Trend","Estimate","CI_low","CI_high","p_value","significant","stars"
"Zone_NW_Bath_1000","X1",0.807978354291194,0.657434751678203,0.958521956904185,7.04186623549082e-26,TRUE,"***"
"Zone_NW_Bath_200","X1",0.782483219993376,0.632301577367762,0.932664862618989,1.75407996856747e-24,TRUE,"***"
"Zone_NW_Bath_400","X1",0.80581973061588,0.65538057718494,0.956258884046819,8.78118299996443e-26,TRUE,"***"
"Zone_NW_Bath_600","X1",0.806941109018054,0.655938127286993,0.957944090749116,1.13970037964452e-25,TRUE,"***"
"Zone_NW_Bath_800","X1",0.800497481583819,0.650701417540241,0.950293545627398,1.13875679684035e-25,TRUE,"***"
"Zone_SW_Bath_1000","X1",0.0148995328387565,-0.223801961542834,0.253601027220347,0.90263039504017,FALSE,""
"Zone_SW_Bath_200","X1",-0.0464170691887997,-0.282378004812239,0.189543866434639,0.699826688548324,FALSE,""
"Zone_SW_Bath_400","X1",-0.0409336202107427,-0.280052949576507,0.198185709155021,0.737235686536813,FALSE,""
"Zone_SW_Bath_600","X1",-0.0576109012023357,-0.30002194294547,0.184800140540799,0.641357991118474,FALSE,""
"Zone_SW_Bath_800","X1",-0.0247634313234169,-0.269603340452081,0.220076477805248,0.842862501659355,FALSE,""
"Zone_S_Bath_1000","X1",-0.479827381367879,-0.721096208131338,-0.23855855460442,9.70261058545355e-05,TRUE,"***"
"Zone_S_Bath_200","X1",-0.81847776153172,-1.04658532202589,-0.59037020103755,2.02734538784825e-12,TRUE,"***"
"Zone_S_Bath_400","X1",-0.818477761531731,-1.0465853220259,-0.590370201037561,2.02734538784709e-12,TRUE,"***"
"Zone_S_Bath_600","X1",-0.686993994331798,-0.890366106386883,-0.483621882276713,3.57290888553116e-11,TRUE,"***"
"Zone_S_Bath_800","X1",-0.577902551248539,-0.795544139209958,-0.36026096328712,1.94748143002367e-07,TRUE,"***"
"Zone_NW_Bath_1000","X2",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X2",-0.119734596452577,-0.159611315396932,-0.079857877508222,3.97993294293401e-09,TRUE,"***"
"Zone_NW_Bath_400","X2",0.00715739575158945,-0.0291403352357934,0.0434551267389723,0.699143439046176,FALSE,""
"Zone_NW_Bath_600","X2",0.0242525776024403,-0.0131919758978879,0.0616971311027685,0.204278802258569,FALSE,""
"Zone_NW_Bath_800","X2",0.0111352070487359,-0.0250331864472168,0.0473036005446886,0.546231660082877,FALSE,""
"Zone_SW_Bath_1000","X2",0.397099855332865,0.0803801966938577,0.713819513971871,0.0139953501192679,TRUE,"*"
"Zone_SW_Bath_200","X2",0.375587478065715,0.0586748222857843,0.692500133845645,0.0201876583456194,TRUE,"*"
"Zone_SW_Bath_400","X2",0.392847152233353,0.0731117157176079,0.712582588749097,0.0160342266826241,TRUE,"*"
"Zone_SW_Bath_600","X2",0.399587649150741,0.0747592913435912,0.72441600695789,0.0159066690884131,TRUE,"*"
"Zone_SW_Bath_800","X2",0.364928833497412,0.0322465226570974,0.697611144337727,0.0315598747244583,TRUE,"*"
"Zone_S_Bath_1000","X2",0.396273881233364,0.0690237347247695,0.723524027741959,0.0176270554408376,TRUE,"*"
"Zone_S_Bath_200","X2",-0.418215369620341,-0.714877780261547,-0.121552958979134,0.00572675488673177,TRUE,"**"
"Zone_S_Bath_400","X2",-0.418215369620341,-0.714877780261549,-0.121552958979132,0.00572675488673205,TRUE,"**"
"Zone_S_Bath_600","X2",-0.14217202130066,-0.432594850578393,0.148250807977072,0.337321940226501,FALSE,""
"Zone_S_Bath_800","X2",0.160326357612552,-0.153284510374538,0.473937225599642,0.316350065728668,FALSE,""
"Zone_NW_Bath_1000","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_200","X3",0,0,0,NA,FALSE,""
"Zone_NW_Bath_400","X3",0.00880263809957616,-0.0288098099634158,0.0464150861625682,0.646449161163807,FALSE,""
"Zone_NW_Bath_600","X3",0.0240544347424836,-0.016709284079694,0.0648181535646612,0.247450777538673,FALSE,""
"Zone_NW_Bath_800","X3",0.00162913609984751,-0.0366319490432325,0.0398902212429275,0.933490396939553,FALSE,""
"Zone_SW_Bath_1000","X3",0.807080880666314,0.612584711543732,1.0015770497889,4.18579402309986e-16,TRUE,"***"
"Zone_SW_Bath_200","X3",0.802636342180635,0.609281282141772,0.995991402219499,4.08524691324268e-16,TRUE,"***"
"Zone_SW_Bath_400","X3",0.81048104080019,0.613477936493567,1.00748414510681,7.42048714445267e-16,TRUE,"***"
"Zone_SW_Bath_600","X3",0.822856980256832,0.62267243143774,1.02304152907592,7.85637997244547e-16,TRUE,"***"
"Zone_SW_Bath_800","X3",0.851388275795196,0.657391295530273,1.04538525606012,7.85914167937508e-18,TRUE,"***"
"Zone_S_Bath_1000","X3",-0.754317904541781,-0.982143620166682,-0.52649218891688,8.62197481935031e-11,TRUE,"***"
"Zone_S_Bath_200","X3",-0.561956501952689,-0.815756260438667,-0.30815674346671,1.42678147872319e-05,TRUE,"***"
"Zone_S_Bath_400","X3",-0.561956501952689,-0.815756260438669,-0.308156743466709,1.42678147872333e-05,TRUE,"***"
"Zone_S_Bath_600","X3",-0.602748926636872,-0.811206486283599,-0.394291366990144,1.45168141326575e-08,TRUE,"***"
"Zone_S_Bath_800","X3",-0.706188235918202,-0.910571176213742,-0.501805295622662,1.26918631021619e-11,TRUE,"***"
