"","1981_Autumn","1982_Winter","1982_Spring","1982_Summer","1983_Winter","1983_Summer","1983_Autumn","1984_Summer","1985_Summer","1985_Autumn","1986_Summer","1986_Autumn","1987_Winter","1987_Spring","1987_Summer","1988_Winter","1988_Spring","1988_Summer","1988_Autumn","1989_Winter","1989_Spring","1989_Summer","1989_Autumn","1990_Winter","1990_Spring","1990_Summer","1991_Summer","1993_Winter","1993_Spring","1993_Summer","1994_Winter","1994_Spring","1994_Summer","1994_Autumn","1995_Winter","1995_Spring","1995_Summer","1995_Autumn","1996_Winter","1996_Spring","1996_Summer","1997_Winter","1997_Spring","1997_Summer","1997_Autumn","1998_Winter","1998_Spring","1999_Spring","1999_Summer","2000_Winter","2000_Spring","2000_Summer","2001_Winter","2001_Summer","2002_Winter","2002_Summer","2002_Autumn","2003_Winter","2003_Spring","2003_Summer","2004_Winter","2004_Spring","2004_Summer","2004_Autumn","2005_Spring","2005_Summer","2005_Autumn","2006_Winter","2006_Spring","2006_Summer","2006_Autumn","2007_Winter","2007_Summer","2007_Autumn","2008_Winter","2008_Spring","2008_Summer","2009_Spring","2009_Summer","2009_Autumn","2010_Winter","2010_Spring","2010_Summer","2011_Winter","2011_Spring","2011_Summer","2011_Autumn","2012_Winter","2012_Spring","2012_Summer","2012_Autumn","2013_Spring","2013_Summer","2013_Autumn","2014_Spring","2014_Summer","2014_Autumn","2015_Spring","2015_Summer","2015_Autumn","2016_Winter","2016_Spring","2016_Summer","2016_Autumn","2017_Winter","2017_Spring","2017_Summer","2017_Autumn","2018_Summer","2018_Autumn","2019_Winter","2019_Summer","2019_Autumn","2020_Winter","2020_Spring","2020_Summer","2020_Autumn","2021_Spring","2021_Summer","2021_Autumn","2022_Winter","2022_Spring","2022_Summer","2022_Autumn","2023_Winter","2023_Spring","2023_Summer","2023_Autumn","2024_Winter","2024_Spring","2024_Summer","2024_Autumn","2025_Winter","2025_Spring","2025_Summer","2025_Autumn"
"Zone_NW_Bath_1000",NA,1,NA,1,NA,4.5,19.5,8,12,NA,18,NA,8,NA,5,6,1,1,15,3.33333333333333,8,17.5,10.5,27.3333333333333,11,22,17,1,14,NA,NA,20,2,3,4,NA,13.5,22,8,2,NA,17,7.33333333333333,1.5,15.6666666666667,34.3333333333333,NA,4,23,NA,11.5,2,2,1,15.6666666666667,4,16,1,NA,28,NA,39,16.5,NA,5,15.5,NA,NA,21,19.5,20,13.6666666666667,3.5,NA,30.5,3,3.66666666666667,33,2,18,NA,14.6666666666667,8,10.5,29,4,7.5,5,10.5,23.5,7,NA,14,12,11.6666666666667,26.5,10.5,2,9,23,26,32,NA,1,2,13.6666666666667,NA,NA,16,NA,NA,8,NA,10,46,9.5,2,27,16.5,NA,NA,37,23.3333333333333,18,17.3333333333333,16,24,14,17,10.5,NA,19.6666666666667,20.3333333333333,21.6666666666667,NA,3
"Zone_NW_Bath_200",NA,1,NA,1,NA,4.5,16,8,12,NA,16,NA,8,NA,5,5,1,1,10,2.66666666666667,7.5,13,10.5,24.6666666666667,11,16.5,13,NA,12,NA,NA,17,NA,3,4,NA,12.5,18.5,7,1,NA,13,6.33333333333333,2,12.3333333333333,26.6666666666667,NA,4,18.5,NA,11.5,1,2,1,12,4,14,1,NA,22,NA,29,12.5,NA,5,11,NA,NA,15.5,14.5,21,13,2.5,NA,43,3,5,25,2,14.6666666666667,NA,12,6.5,7,21,1,6,3,10.5,16.5,3,NA,13.5,11.5,10,20,5,2,5.5,17.6666666666667,18.5,25,NA,1,2,10.6666666666667,NA,NA,15,NA,NA,8,NA,5,33,16,2,19,12.5,NA,NA,27,16.6666666666667,13.6666666666667,12.3333333333333,13.3333333333333,28,9.5,13.6666666666667,12,NA,13,14.6666666666667,24,NA,NA
"Zone_NW_Bath_400",NA,1,NA,1,NA,4.5,18,8,12,NA,17,NA,8,NA,5,5,1,1,12,3,7.5,15,10.5,26,11,19.5,15,NA,14,NA,NA,19,1,3,4,NA,12.5,20.5,7,1,NA,15,6.66666666666667,1.5,13.3333333333333,30.3333333333333,NA,4,20.5,NA,11.5,1,2,1,13.6666666666667,4,15,1,NA,25.5,NA,33,14.5,NA,5,13.5,NA,NA,18,17,16.6666666666667,13.3333333333333,3,NA,26.5,3,5,29,2,16,NA,13.3333333333333,8,9,25,1,11,4,10.5,20,5,NA,13.5,11.5,11,24,7.5,2,6.5,20.3333333333333,23,29,NA,1,2,12,NA,NA,15,NA,NA,8,NA,7.5,39,9,2,23.5,14.5,NA,NA,31,20.3333333333333,15.3333333333333,15.6666666666667,14.6666666666667,19,11.5,15.6666666666667,16,NA,16,17.6666666666667,18.3333333333333,NA,1
"Zone_NW_Bath_600",NA,1,NA,1,NA,4.5,19,8,12,NA,18,NA,8,NA,5,5,1,1,14,3,7.5,16,10.5,27,11,21,16,NA,14,NA,NA,20,2,3,4,NA,13,21.5,7,1,NA,16,7,1.5,14.3333333333333,32.3333333333333,NA,4,21.5,NA,11.5,2,2,1,15.3333333333333,4,15,1,NA,27,NA,36,15.5,NA,5,15,NA,NA,19,18,18,13.3333333333333,3.5,NA,28.5,3,5,31,2,17,NA,14,8,10,27,2,14,4,10.5,22,7,NA,13.5,12,11.3333333333333,25,9.5,2,8,21.6666666666667,24.5,31,NA,1,2,12.6666666666667,NA,NA,15,NA,NA,8,NA,8.5,43,9,2,25,15.5,NA,NA,34,21.6666666666667,16.6666666666667,16.3333333333333,15.3333333333333,21.5,12.5,16.6666666666667,18,NA,18,18.6666666666667,20,NA,3
"Zone_NW_Bath_800",NA,1,NA,1,NA,4.5,19,8,12,NA,18,NA,8,NA,5,6,1,1,14,3,8,16.5,10.5,27.3333333333333,11,21.5,16.5,1,14,NA,NA,20,2,3,4,NA,13.5,22,7.5,2,NA,16.5,7.33333333333333,1.5,15.6666666666667,33,NA,4,22.5,NA,11.5,2,2,1,15.3333333333333,4,16,1,NA,27.5,NA,37,16,NA,5,15,NA,NA,20,18.5,19,13.3333333333333,3.5,NA,29.5,3,3.66666666666667,32,2,17.3333333333333,NA,14.3333333333333,8,10,28,3,7.5,5,10.5,22.5,7,NA,14,12,11.6666666666667,26,9.5,2,8,22.3333333333333,25,32,NA,1,2,13,NA,NA,16,NA,NA,8,NA,9.5,44,9.5,2,26,16,NA,NA,35,22.6666666666667,17,16.6666666666667,15.6666666666667,22.5,13,17,19,NA,18.6666666666667,19.3333333333333,20.6666666666667,NA,3
"Zone_SW_Bath_1000",10,NA,NA,NA,10,7,26,NA,2,1,2,1,1,1,13,NA,NA,NA,16,4,3,13,10.5,9.33333333333333,3,17,11,NA,NA,NA,NA,3,NA,24,2,8,12.5,15.3333333333333,5,1,16,14,14,4.5,5,24,3,4,6,9,9,1.5,NA,2,17.3333333333333,5,3,NA,NA,12.3333333333333,NA,7,11.5,NA,11,18.5,1.5,5,14.5,9,11.3333333333333,3,2.5,7.33333333333333,26,1,1,21,2,9,3,18,1,12.6666666666667,15,3,20,1,NA,11.5,5.5,NA,6.33333333333333,12,1,11.5,12.5,8.66666666666667,7,17.6666666666667,13,2,6.5,7,2,15,1,2.5,3,5,2.5,1,NA,3.5,32,5,3,11,17,1,1,8.5,7,11.5,9,16.6666666666667,3.66666666666667,13.3333333333333,3.5,20,1,13.6666666666667,6.33333333333333,4.66666666666667,5,1.5
"Zone_SW_Bath_200",8,NA,NA,NA,5,2,13,NA,2,1,2,1,1,1,7,NA,NA,NA,12,3,2,8,8,7,3,10,6.5,NA,NA,NA,NA,3,NA,13,1,6,7,8.33333333333333,3,1,8,8.5,7.66666666666667,4,5,15,2,1,2,6,5.5,1.5,NA,2,11.3333333333333,4,3,NA,NA,6.66666666666667,NA,3,11,NA,11,8.5,1.5,2,7.5,5.66666666666667,6,1,4,4,14,NA,NA,12,2,7,2,11.5,1,7.33333333333333,8.5,3,11,NA,NA,5.5,2.5,NA,4.66666666666667,8,1,6.5,7,4.66666666666667,4,11,6,2,4,5,2,9,1,2,2.5,1,3,NA,NA,3,16,6,1.5,12,9,NA,NA,5.5,8,5.5,8,8.66666666666667,2.5,8.66666666666667,6,11,1,6.33333333333333,3.66666666666667,3.66666666666667,3.5,1
"Zone_SW_Bath_400",8,NA,NA,NA,7,4,16,NA,2,1,2,1,1,1,8.5,NA,NA,NA,14,3,2,8.5,8.5,8,3,12.6666666666667,7.5,NA,NA,NA,NA,3,NA,15,NA,7,10,10.3333333333333,3,1,10,10.5,9,4,5,17.5,2,2,3,6,6.5,1.5,NA,2,13,4,3,NA,NA,7,NA,4,7,NA,13,11,1.5,2,9.5,6,7,NA,4,4.66666666666667,16,NA,NA,14,2,7,2.5,13,1,8.66666666666667,9.5,3,12,NA,NA,7,3.5,NA,4.66666666666667,10,1,7.5,8,4.66666666666667,4.5,12.3333333333333,9,2,5,6,2,10,1,2,2,4,2,NA,NA,2,20,3.5,1.5,14,12,NA,NA,6,10,6.5,9,10.3333333333333,2.5,10.3333333333333,6,14,1,9,4.33333333333333,3.66666666666667,2.5,NA
"Zone_SW_Bath_600",10,NA,NA,NA,8,5,20,NA,2,1,2,1,1,1,10.5,NA,NA,NA,15,3,2,10,10,8.66666666666667,3,14.6666666666667,8.5,NA,NA,NA,NA,3,NA,18,1,8,11,11.6666666666667,4,1,12,11.5,10.3333333333333,4.5,5,20,3,3,3,7,7.5,1.5,NA,2,14.3333333333333,5,3,NA,NA,8.66666666666667,NA,4,8,NA,15,12.5,1.5,3,10.5,7,8.33333333333333,1,4,5.66666666666667,19,NA,NA,16,2,8.5,2.5,15,1,10,11,3,15,NA,NA,7.5,4,NA,5.66666666666667,11,1,8.5,9.5,6,5.5,14,9.5,2,6,7,2,11,1,2,2.5,4,3,NA,NA,3,22,4.5,2,16,13,NA,NA,6.5,11,7.5,10.5,12,2.5,12,6,15,1,10,4.66666666666667,4,3.5,1
"Zone_SW_Bath_800",10,NA,NA,NA,9,6,22,NA,2,1,2,1,1,1,11,NA,NA,NA,15,3,2,10.5,10,9,3,15.6666666666667,9,NA,NA,NA,NA,3,NA,20,1,8,11.5,12.6666666666667,4,1,13,12,11,4.5,5,21,3,4,3.5,7,8,1.5,NA,2,14.6666666666667,5,3,NA,NA,9.33333333333333,NA,4,9,NA,8.5,13.5,1.5,3,11.5,7,9,1,4,6,20.5,1,NA,17,2,8.5,2.5,15.5,1,10.6666666666667,12,3,16,NA,NA,8.5,4.5,NA,5.66666666666667,11,1,9,10.5,6.66666666666667,6,15,9.5,2,6,7,2,11.6666666666667,1,2,2.5,4,3,NA,NA,4,24,4.5,2.5,17,14,NA,NA,7,6.5,8,11,13,3,12,6,16,1,10.6666666666667,5,4,3.5,1
