"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.755278100694584,8.47647301492899e-21,TRUE
"Zone_NW_Bath_200","X1",0.718595661708865,1.27594586233353e-17,TRUE
"Zone_NW_Bath_400","X1",0.749504649163249,3.67141622871259e-20,TRUE
"Zone_NW_Bath_600","X1",0.749910771324877,3.41590889514933e-20,TRUE
"Zone_NW_Bath_800","X1",0.748762538495475,2.76231400699719e-20,TRUE
"Zone_SW_Bath_1000","X1",-0.0628797017105965,0.502497746399514,FALSE
"Zone_SW_Bath_200","X1",-0.0899920007668544,0.34980845549324,FALSE
"Zone_SW_Bath_400","X1",-0.101336900311772,0.298990157033807,FALSE
"Zone_SW_Bath_600","X1",-0.101275571975418,0.292449692865479,FALSE
"Zone_SW_Bath_800","X1",-0.0756465187898626,0.430056381887476,FALSE
"Zone_S_Bath_1000","X1",-0.357847927589173,0.000143356835764621,TRUE
"Zone_S_Bath_200","X1",-0.620675763810157,1.95664275776277e-11,TRUE
"Zone_S_Bath_400","X1",-0.620675763810157,1.95664275776277e-11,TRUE
"Zone_S_Bath_600","X1",-0.57071203723781,4.63399948174807e-10,TRUE
"Zone_S_Bath_800","X1",-0.455812992913814,1.47839687466881e-06,TRUE
"Zone_NW_Bath_1000","X2",0.0767009685785511,0.434523918025891,FALSE
"Zone_NW_Bath_200","X2",-0.0288912535366238,0.772048643959261,FALSE
"Zone_NW_Bath_400","X2",0.0851300505506225,0.387890002073327,FALSE
"Zone_NW_Bath_600","X2",0.100951951342011,0.305510737090196,FALSE
"Zone_NW_Bath_800","X2",0.0872547045173445,0.37379436062253,FALSE
"Zone_SW_Bath_1000","X2",0.306065477758213,0.000833908425965574,TRUE
"Zone_SW_Bath_200","X2",0.333120641226973,0.000376521521986273,TRUE
"Zone_SW_Bath_400","X2",0.365623106591603,0.000107687543971749,TRUE
"Zone_SW_Bath_600","X2",0.353595395906101,0.000151042051865104,TRUE
"Zone_SW_Bath_800","X2",0.304018587810018,0.00117897426341518,TRUE
"Zone_S_Bath_1000","X2",0.368466963840341,8.72197940306352e-05,TRUE
"Zone_S_Bath_200","X2",-0.332517305908699,0.00099377107302464,TRUE
"Zone_S_Bath_400","X2",-0.332517305908699,0.00099377107302464,TRUE
"Zone_S_Bath_600","X2",-0.0689298606940715,0.493388636439571,FALSE
"Zone_S_Bath_800","X2",0.185813126384013,0.0615101285559693,FALSE
"Zone_NW_Bath_1000","X3",-0.0588802232488942,0.548811691074308,FALSE
"Zone_NW_Bath_200","X3",-0.0560022169084457,0.574207825161358,FALSE
"Zone_NW_Bath_400","X3",-0.0555273582601366,0.573700879677786,FALSE
"Zone_NW_Bath_600","X3",-0.0428041997625481,0.664607310339857,FALSE
"Zone_NW_Bath_800","X3",-0.060700461392932,0.536502911842799,FALSE
"Zone_SW_Bath_1000","X3",0.648706782841232,3.43421674816292e-15,TRUE
"Zone_SW_Bath_200","X3",0.634729747993522,9.62096398663015e-14,TRUE
"Zone_SW_Bath_400","X3",0.62277833862304,7.93814468562085e-13,TRUE
"Zone_SW_Bath_600","X3",0.65090890078017,1.38429177202994e-14,TRUE
"Zone_SW_Bath_800","X3",0.675500663684465,4.21787170544314e-16,TRUE
"Zone_S_Bath_1000","X3",-0.5208486893636,7.53269390227886e-09,TRUE
"Zone_S_Bath_200","X3",-0.248655110025341,0.0151071967326982,TRUE
"Zone_S_Bath_400","X3",-0.248655110025341,0.0151071967326982,TRUE
"Zone_S_Bath_600","X3",-0.340821501473597,0.000487360017265918,TRUE
"Zone_S_Bath_800","X3",-0.451254801854284,1.93567886778005e-06,TRUE
