"","1981_Autumn","1982_Winter","1982_Spring","1982_Summer","1983_Winter","1983_Summer","1983_Autumn","1984_Summer","1985_Summer","1985_Autumn","1986_Summer","1986_Autumn","1987_Winter","1987_Spring","1987_Summer","1988_Winter","1988_Spring","1988_Summer","1988_Autumn","1989_Winter","1989_Spring","1989_Summer","1989_Autumn","1990_Winter","1990_Spring","1990_Summer","1991_Summer","1993_Winter","1993_Spring","1993_Summer","1994_Winter","1994_Spring","1994_Summer","1994_Autumn","1995_Winter","1995_Spring","1995_Summer","1995_Autumn","1996_Winter","1996_Spring","1996_Summer","1997_Winter","1997_Spring","1997_Summer","1997_Autumn","1998_Winter","1998_Spring","1999_Spring","1999_Summer","2000_Winter","2000_Spring","2000_Summer","2001_Winter","2001_Summer","2002_Winter","2002_Summer","2002_Autumn","2003_Winter","2003_Spring","2003_Summer","2004_Winter","2004_Spring","2004_Summer","2004_Autumn","2005_Spring","2005_Summer","2005_Autumn","2006_Winter","2006_Spring","2006_Summer","2006_Autumn","2007_Winter","2007_Summer","2007_Autumn","2008_Winter","2008_Spring","2008_Summer","2009_Spring","2009_Summer","2009_Autumn","2010_Winter","2010_Spring","2010_Summer","2011_Winter","2011_Spring","2011_Summer","2011_Autumn","2012_Winter","2012_Spring","2012_Summer","2012_Autumn","2013_Spring","2013_Summer","2013_Autumn","2014_Spring","2014_Summer","2014_Autumn","2015_Spring","2015_Summer","2015_Autumn","2016_Winter","2016_Spring","2016_Summer","2016_Autumn","2017_Winter","2017_Spring","2017_Summer","2017_Autumn","2018_Summer","2018_Autumn","2019_Winter","2019_Summer","2019_Autumn","2020_Winter","2020_Spring","2020_Summer","2020_Autumn","2021_Spring","2021_Summer","2021_Autumn","2022_Winter","2022_Spring","2022_Summer","2022_Autumn","2023_Winter","2023_Spring","2023_Summer","2023_Autumn","2024_Winter","2024_Spring","2024_Summer","2024_Autumn","2025_Winter","2025_Spring","2025_Summer","2025_Autumn"
"Zone_NW_Bath_1000",NA,62.3111282615433,NA,62.3111282615435,NA,350.864548691174,1508.74027254699,535.444174371491,979.353641411888,NA,1329.78915456488,NA,602.588527966845,NA,355.173668543509,511.447384683752,89.1545155049665,95.8496656378659,1062.19708992181,244.606645592837,709.859483825022,1335.47202131676,795.241225521834,2139.51283863864,910.270602445042,1647.7816199351,1309.34743617596,89.1545155049662,1067.08555771034,NA,NA,1521.49258296039,141.418425083292,284.202302384098,348.233472013139,NA,1057.67839335439,1642.74315723266,672.984122433581,178.309031009933,NA,1312.69840587796,574.394021484724,133.725928319207,1319.61370579484,2642.82857080419,NA,309.687155365706,1837.56171669804,NA,860.919714893748,131.341499678416,168.256938676697,89.1545155049665,1100.45582946443,333.127365953772,1332.60370943102,92.502971108365,NA,2189.37991093234,NA,3037.59171114214,1268.12114812548,NA,412.24683234014,1116.90677944946,NA,NA,1608.949128213,1456.73465626218,1534.89263755016,1134.597724671,268.403531067206,NA,2356.96701116822,210.448796500165,315.715064092939,2536.24229625095,124.622256523087,1394.56359093587,NA,1148.82947418068,637.808511151665,755.001953811089,2221.54717022765,282.808393697877,524.420315707618,452.456037781248,864.02514028795,1751.32445278475,449.617634394414,NA,1159.27826017155,903.853167286653,957.406019380733,2097.62706424021,704.653782506115,181.657486613331,621.254560516273,1775.51423015826,2004.40112437377,2470.57092128527,NA,95.8496656378659,191.699331275732,1033.91629747307,NA,NA,1362.75790639288,NA,NA,713.21594756631,NA,821.078358438155,3400.03953074332,786.599312981741,174.958878080689,2086.86944792707,1268.12114812548,NA,NA,2805.64447481443,1810.84744280791,1393.46438984594,1307.22033067676,1237.51106692108,1812.68924095195,1073.7350562,1321.11678116889,739.898776943663,NA,1511.85568534663,1595.90432958321,1659.9813888958,NA,197.0128746441
"Zone_NW_Bath_200",NA,62.3111282615433,NA,62.3111282615435,NA,350.864548691174,1263.78233206746,535.444174371491,979.353641411888,NA,1188.37072948159,NA,602.588527966845,NA,355.173668543509,422.292869178785,89.1545155049665,95.8496656378659,727.124786645611,201.945811183761,665.282226072539,1013.1011356019,795.241225521834,1943.12901989912,910.270602445042,1249.66503026611,1019.81223794395,NA,912.241980027484,NA,NA,1297.61863386066,NA,284.202302384098,348.233472013139,NA,978.585949893466,1386.04364648349,595.571177198256,89.1545155049667,NA,1023.16320764595,495.299319213384,188.352636746231,1057.08643540532,2092.35626394044,NA,309.687155365706,1503.44926071355,NA,860.919714893748,62.3111282615432,168.256938676697,89.1545155049665,854.065484334635,333.127365953772,1164.34997403387,92.502971108365,NA,1758.43167224529,NA,2327.17856474675,978.585949893466,NA,412.24683234014,807.957587356318,NA,NA,1210.84542061489,1103.20820641655,1645.85561462589,1086.34085971838,204.412279453592,NA,3400.94965172554,210.448796500165,428.995338386926,1957.17189978693,124.622256523087,1157.75920880407,NA,955.806008692677,524.192695477029,510.04401333156,1642.47677376363,62.3111282615432,394.023184833606,284.202302384098,864.02514028795,1247.98687820399,190.29363148877,NA,1114.70100241907,869.337981578217,828.933846623696,1618.74322845031,328.353717221695,181.657486613331,393.085496614925,1389.46729918225,1468.23252590141,1957.17189978693,NA,95.8496656378659,191.699331275732,827.958757458233,NA,NA,1273.60339088792,NA,NA,713.21594756631,NA,447.416292507569,2485.89683100309,1342.63376230479,174.958878080689,1504.44205827615,978.585949893466,NA,NA,2095.23132841903,1322.69743801544,1090.98904949944,946.414683177554,1044.48760143307,2184.4035311362,751.364170485149,1072.00014916791,835.055782457619,NA,1034.88836269906,1185.72894482737,1881.4243387472,NA,NA
"Zone_NW_Bath_400",NA,62.3111282615433,NA,62.3111282615435,NA,350.864548691174,1408.55371187287,535.444174371491,979.353641411888,NA,1260.75878314801,NA,602.588527966845,NA,355.173668543509,422.292869178785,89.1545155049665,95.8496656378659,861.823968573574,222.716187270943,665.282226072539,1157.87251540731,795.241225521834,2041.88396087051,910.270602445042,1468.50261580006,1164.58361774936,NA,1067.08555771034,NA,NA,1452.46221154352,72.3880536664197,284.202302384098,348.233472013139,NA,978.585949893466,1530.8150262889,595.571177198256,89.1545155049667,NA,1167.93458745136,521.665725844112,133.725928319207,1132.83031252174,2361.12864746408,NA,309.687155365706,1648.22064051895,NA,860.919714893748,62.3111282615432,168.256938676697,89.1545155049665,965.754083081875,333.127365953772,1243.44919392605,92.502971108365,NA,2011.78040502289,NA,2616.72132435757,1123.35732969887,NA,412.24683234014,983.884531292498,NA,NA,1386.77236455107,1279.13515035273,1290.26558282447,1112.7072663491,235.567843584364,NA,2067.43937431501,210.448796500165,428.995338386926,2246.71465939775,124.622256523087,1254.27346200768,NA,1052.32026189628,637.808511151665,654.815393136968,1932.01953337444,62.3111282615432,755.953998110842,363.301522276282,864.02514028795,1506.37407368403,314.915888011858,NA,1114.70100241907,869.337981578217,904.677723740121,1908.28598806112,504.280661157874,181.657486613331,455.396624876469,1582.49580558946,1792.28643275588,2246.71465939775,NA,95.8496656378659,191.699331275732,916.636292350505,NA,NA,1273.60339088792,NA,NA,713.21594756631,NA,631.737282259069,2910.13877254187,742.022055229258,174.958878080689,1831.8569967823,1123.35732969887,NA,NA,2384.77408802985,1588.11084640411,1208.27367879022,1188.82066007046,1141.00185463668,1455.81073090746,896.135550290557,1223.48790340076,1124.59854206844,NA,1252.04622032841,1404.00557049814,1423.18204768321,NA,62.3111282615436
"Zone_NW_Bath_600",NA,62.3111282615433,NA,62.3111282615435,NA,350.864548691174,1475.90458506415,535.444174371491,979.353641411888,NA,1329.78915456488,NA,602.588527966845,NA,355.173668543509,422.292869178785,89.1545155049665,95.8496656378659,996.52571495613,222.716187270943,665.282226072539,1225.22338859859,795.241225521834,2109.79466680365,910.270602445042,1570.36867469978,1231.93449094064,NA,1067.08555771034,NA,NA,1521.49258296039,141.418425083292,284.202302384098,348.233472013139,NA,1013.1011356019,1598.16589948018,595.571177198256,89.1545155049667,NA,1235.28546064264,544.675849649736,133.725928319207,1200.74101845488,2495.83039384663,NA,309.687155365706,1715.57151371023,NA,860.919714893748,131.341499678416,168.256938676697,89.1545155049665,1078.56537114254,333.127365953772,1243.44919392605,92.502971108365,NA,2111.96696569701,NA,2817.09444570581,1190.70820289015,NA,412.24683234014,1084.07109196662,NA,NA,1454.12323774235,1346.48602354401,1380.06674707951,1112.7072663491,268.403531067206,NA,2202.14112069757,210.448796500165,428.995338386926,2381.4164057803,124.622256523087,1321.06450245709,NA,1097.2208440238,637.808511151665,722.166266328246,2066.721279757,127.982503227227,959.68611591027,363.301522276282,864.02514028795,1641.07582006659,449.617634394414,NA,1114.70100241907,903.853167286653,927.687847545745,1975.6368612524,638.982407540431,181.657486613331,555.583185550589,1672.29696984449,1894.1524916556,2381.4164057803,NA,95.8496656378659,191.699331275732,960.417208994294,NA,NA,1273.60339088792,NA,NA,713.21594756631,NA,699.088155450347,3179.54226530699,742.022055229258,174.958878080689,1932.04355745642,1190.70820289015,NA,NA,2585.14720937809,1677.91201065915,1298.07484304526,1233.72124219798,1185.90243676419,1625.02766299846,963.486423481835,1291.3986093339,1259.30028845099,NA,1386.74796671097,1470.79661094755,1534.87367026014,NA,197.0128746441
"Zone_NW_Bath_800",NA,62.3111282615433,NA,62.3111282615435,NA,350.864548691174,1475.90458506415,535.444174371491,979.353641411888,NA,1329.78915456488,NA,602.588527966845,NA,355.173668543509,511.447384683752,89.1545155049665,95.8496656378659,996.52571495613,222.716187270943,709.859483825022,1269.80064635107,795.241225521834,2139.51283863864,910.270602445042,1614.94593245226,1276.51174869312,89.1545155049662,1067.08555771034,NA,NA,1521.49258296039,141.418425083292,284.202302384098,348.233472013139,NA,1057.67839335439,1642.74315723266,640.148434950739,178.309031009933,NA,1279.86271839512,574.394021484724,133.725928319207,1319.61370579484,2555.26673751661,NA,309.687155365706,1804.7260292152,NA,860.919714893748,131.341499678416,168.256938676697,89.1545155049665,1078.56537114254,333.127365953772,1332.60370943102,92.502971108365,NA,2156.5442234495,NA,2906.24896121077,1235.28546064264,NA,412.24683234014,1084.07109196662,NA,NA,1543.27775324731,1391.06328129649,1469.22126258448,1112.7072663491,268.403531067206,NA,2291.29563620254,210.448796500165,315.715064092939,2470.57092128527,124.622256523087,1350.78267429208,NA,1126.93901585879,637.808511151665,722.166266328246,2155.87579526197,217.137018732193,524.420315707618,452.456037781248,864.02514028795,1685.65307781907,449.617634394414,NA,1159.27826017155,903.853167286653,957.406019380733,2064.79137675737,638.982407540431,181.657486613331,555.583185550589,1731.73331351447,1938.72974940808,2470.57092128527,NA,95.8496656378659,191.699331275732,990.135380829283,NA,NA,1362.75790639288,NA,NA,713.21594756631,NA,788.242670955313,3268.69678081195,786.599312981741,174.958878080689,2021.19807296138,1235.28546064264,NA,NA,2674.30172488306,1767.06652616412,1327.79301488025,1263.43941403297,1215.62060859918,1714.18217850342,1008.06368123432,1321.11678116889,1348.45480395596,NA,1446.18431038094,1530.23295461753,1594.31001393012,NA,197.0128746441
"Zone_SW_Bath_1000",424.62468649988,NA,NA,NA,401.06049908967,335.27391359725,1186.13278006296,NA,111.174280013773,35.3918266538666,107.810666474724,52.2235264678374,35.3918266538666,58.9496952769246,547.633470343642,NA,NA,NA,825.459571475335,229.072612298611,146.57005272049,582.966038950967,472.609062749609,458.244849110059,170.123975290697,771.114408705532,512.179514527721,NA,NA,NA,NA,170.123975290697,NA,1031.2199773153,67.4150355420768,313.442355359537,592.200925913944,730.064523030484,193.797377328425,35.3918266538666,687.475750282108,635.191634527849,625.652965433253,201.34830784225,227.457568915239,1138.90005008246,149.94136386053,192.069206659974,277.988254939228,419.499191033445,419.514924267606,63.1875618755272,NA,104.447052935675,828.898464852234,257.752030335255,153.305971632021,NA,NA,572.263906697302,NA,345.346182050891,534.9287070626,NA,478.529185741807,839.893853329384,85.0619876453487,183.694347430128,676.447982736076,419.508182652287,513.31811399443,106.174806171427,144.011682922273,296.575533014703,1170.98364043849,45.4933807478947,58.9496952769246,972.135502587606,117.899390553849,436.333937623134,121.330120987531,827.246358496273,40.4426037008808,576.226650699531,707.602711657414,149.928661937678,933.366366239395,58.9496952769246,NA,555.113435192868,277.126383318435,NA,252.205709664156,586.289351135547,35.3918266538666,543.336168935708,585.460050271608,366.208334769636,370.6020877157,844.059075610956,567.826426327863,117.899390553849,270.450154428086,308.343883221343,111.173221744762,687.965450894693,35.3918266538666,91.8468047604821,119.640374763925,210.633279450161,90.1632017273221,32.0232088882101,NA,164.260961773189,1506.18256283684,213.9959462831,126.374995654944,515.542598932265,803.642383373597,32.0232088882101,38.7597706293503,435.473637106878,339.749429403709,523.140518687602,420.636144273423,754.820051397925,194.842136979716,598.693378626586,184.459739444214,936.743675933739,52.2235264678376,630.684963018756,319.516567411232,254.919408710092,200.521524568245,53.0874030857135
"Zone_SW_Bath_200",337.005997174183,NA,NA,NA,197.163781380649,111.174280013773,614.935250234159,NA,111.174280013773,35.3918266538666,107.810666474724,52.2235264678374,35.3918266538666,58.9496952769246,296.559560153089,NA,NA,NA,633.397806124819,170.122917021687,87.6203574435652,367.290114132635,368.978768979807,354.338741473667,170.123975290697,467.25223707066,315.883475024065,NA,NA,NA,NA,170.123975290697,NA,564.460903770855,35.3918266538667,232.555608034515,353.771815108224,425.083295908268,112.910630003404,35.3918266538666,353.833366551719,398.452221361682,359.980484681499,176.918848494077,227.457568915239,741.258397041652,101.082445164184,52.2235264678376,109.489955654315,283.029954497819,268.705336846517,63.1875618755272,NA,104.447052935675,557.07307073497,208.893111638908,153.305971632021,NA,NA,330.190638899652,NA,173.486530560736,544.151596926426,NA,497.03585968031,411.90757368601,85.0619876453487,74.1515972832171,363.056738150391,271.238794597056,280.797831011608,35.3918266538667,229.073670567622,165.135001201207,655.380548287763,NA,NA,579.543423580292,117.899390553849,343.669860007148,80.8867473250209,550.065881537828,35.3918266538667,342.578362710185,428.739032672857,149.928661937678,540.774287232082,NA,NA,298.995612523323,135.601718888234,NA,187.606091948572,411.050304366284,35.3918266538666,317.565281793589,336.942472755542,202.193094539131,217.300092994534,550.880256458,276.315638088241,117.899390553849,166.81902659935,220.724359836712,111.173221744762,427.363863316186,35.3918266538666,75.8352003163771,103.62877031982,45.4933807478947,109.543423937084,NA,NA,149.928661937678,808.617094147914,252.752845796938,61.5060920487159,579.543423580292,469.999999643209,NA,NA,290.58949728978,427.873022947538,261.978141786703,395.898406277128,413.324018187449,140.64859851773,407.716445327031,326.792502192757,544.151596926426,52.2235264678376,313.910277446458,194.842489736053,199.333305626693,135.655187171002,35.3918266538667
"Zone_SW_Bath_400",340.373941149667,NA,NA,NA,288.152082799698,198.794637457338,754.784876376587,NA,111.174280013773,35.3918266538666,107.810666474724,52.2235264678374,35.3918266538666,58.9496952769246,364.801171198191,NA,NA,NA,717.650957502064,170.122917021687,87.6203574435652,395.088351515227,390.042626282224,396.465450831306,170.123975290697,585.202274290297,361.377625733589,NA,NA,NA,NA,170.123975290697,NA,658.817149165388,NA,278.05052870567,480.15194318114,512.703899321554,119.645780045208,35.3918266538666,444.821667970769,484.389745733717,420.639352294199,176.918848494077,227.457568915239,853.310186808536,101.082445164184,97.7169072157326,153.300134376098,286.397898473303,314.199487556041,63.1875618755272,NA,104.447052935675,629.529213898958,208.893111638908,153.305971632021,NA,NA,349.845445146541,NA,212.246301190086,340.316639546685,NA,588.024161099359,522.276161426783,85.0619876453487,77.5195412587008,452.361067581699,289.770952852117,328.536775081191,NA,229.073670567622,196.587082999385,748.052821694554,NA,NA,670.531724999342,117.899390553849,347.037803982631,101.950235672856,618.30749258293,45.493380747895,405.481767029066,474.233183382382,149.928661937678,596.370761997265,NA,NA,362.185676559781,179.411897610017,NA,190.974035924055,498.67066180985,35.3918266538666,363.059432503114,384.120595452808,208.927977242903,240.046783368481,611.5391240707,402.695766161157,117.899390553849,212.313177308874,266.218510546236,111.173221744762,472.858270679588,35.3918266538666,75.8352003163771,85.932856992887,171.873508820811,74.151597283217,NA,NA,114.536835283811,987.225753010529,150.807085260158,63.1900640364577,670.531724999342,596.380127716125,NA,NA,313.336187663727,515.493380391104,307.472292496228,443.076528974395,492.514530747456,140.64859851773,483.540286496782,326.792502192757,670.531724999342,52.2235264678376,428.493129968085,224.049275550575,199.333305626693,100.263360517136,NA
"Zone_SW_Bath_600",424.62468649988,NA,NA,NA,323.543909453565,247.653556153685,923.286367077014,NA,111.174280013773,35.3918266538666,107.810666474724,52.2235264678374,35.3918266538666,58.9496952769246,449.051916548404,NA,NA,NA,766.509876198411,170.122917021687,87.6203574435652,454.909637517267,456.597458305504,429.038063295537,170.123975290697,673.942050321337,403.502998408696,NA,NA,NA,NA,170.123975290697,NA,778.459721169468,35.3918266538667,313.442355359537,529.010861877486,573.36009356919,155.037606699075,35.3918266538666,529.072413320982,526.515118408824,476.806515861007,201.34830784225,227.457568915239,961.990391506923,149.94136386053,146.575825912079,153.300134376098,321.78972512717,356.324860231148,63.1875618755272,NA,104.447052935675,690.185408146594,257.752030335255,153.305971632021,NA,NA,417.809884264639,NA,212.246301190086,382.442012221792,NA,672.274906449572,582.097447428823,85.0619876453487,112.911367912567,494.486440256805,329.65181018681,384.703938648,35.3918266538667,229.073670567622,236.467940334078,874.428939719874,NA,NA,754.782470349555,117.899390553849,406.859089984671,101.950235672856,702.558237933143,40.4426037008808,461.648930595875,540.788015405661,149.928661937678,716.013334001345,NA,NA,386.615135907955,203.84135695819,NA,226.365862577922,547.529580506196,35.3918266538666,405.184805178221,443.941881454848,260.606110128885,288.905702064828,683.992593869624,427.12522550933,117.899390553849,254.438549983981,308.343883221343,111.173221744762,512.739128014281,35.3918266538666,75.8352003163771,103.62877031982,171.873508820811,109.543423937084,NA,NA,149.928661937678,1071.47649836074,192.932457935265,80.8859773633911,754.782470349555,645.239046412471,NA,NA,337.765647011901,564.35229908745,349.597665171334,502.897814976435,560.478969865554,140.64859851773,551.50472561488,326.792502192757,719.390643695688,52.2235264678376,472.863017983605,240.335581782691,215.619611858809,135.655187171002,35.3918266538667
"Zone_SW_Bath_800",424.62468649988,NA,NA,NA,369.03729020146,293.14693690158,1014.2731285728,NA,111.174280013773,35.3918266538666,107.810666474724,52.2235264678374,35.3918266538666,58.9496952769246,471.798606922351,NA,NA,NA,766.509876198411,170.122917021687,87.6203574435652,477.656327891214,456.597458305504,444.202523544835,170.123975290697,719.435431069232,426.249688782643,NA,NA,NA,NA,170.123975290697,NA,869.446482665258,35.3918266538667,313.442355359537,551.757552251434,618.853474317085,155.037606699075,35.3918266538666,574.565794068877,549.261808782771,507.135436359604,201.34830784225,227.457568915239,1007.48377225482,149.94136386053,192.069206659974,176.046824750045,321.78972512717,379.071550605095,63.1875618755272,NA,104.447052935675,705.349868395892,257.752030335255,153.305971632021,NA,NA,448.138804763235,NA,212.246301190086,427.935392969686,NA,381.630833972681,627.590828176718,85.0619876453487,112.911367912567,539.9798210047,329.65181018681,415.032859146596,35.3918266538667,229.073670567622,251.632400583376,942.669010841716,45.4933807478947,NA,800.27585109745,117.899390553849,406.859089984671,101.950235672856,725.30492830709,40.4426037008808,491.977851094472,586.281396153556,149.928661937678,761.506714749239,NA,NA,432.108516655849,226.588047332137,NA,226.365862577922,547.529580506196,35.3918266538666,427.931495552168,489.435262202743,290.935030627482,311.652392438775,729.485974617519,427.12522550933,117.899390553849,254.438549983981,308.343883221343,111.173221744762,543.068048512877,35.3918266538666,75.8352003163771,103.62877031982,171.873508820811,109.543423937084,NA,NA,195.422042685572,1162.46325985653,192.932457935265,103.632667737338,800.27585109745,690.732427160366,NA,NA,360.512337385848,327.66953029162,372.344355545282,525.644505350382,605.972350613448,163.395288891677,551.50472561488,326.792502192757,764.884024443583,52.2235264678376,503.191938482202,255.500042031989,215.619611858809,135.655187171002,35.3918266538667
