"Series","Trend","Correlation","p_value","significant"
"Zone_NW_Bath_1000","X1",0.758876430793037,4.34450578012781e-21,TRUE
"Zone_NW_Bath_200","X1",0.725420450946839,4.47027726598656e-18,TRUE
"Zone_NW_Bath_400","X1",0.75484502625616,1.4061538986057e-20,TRUE
"Zone_NW_Bath_600","X1",0.753760626288229,1.71208880500838e-20,TRUE
"Zone_NW_Bath_800","X1",0.752063911781098,1.52509081449541e-20,TRUE
"Zone_SW_Bath_1000","X1",-0.0565853985428482,0.546291157541802,FALSE
"Zone_SW_Bath_200","X1",-0.0516494263697756,0.592045990894418,FALSE
"Zone_SW_Bath_400","X1",-0.0783220598419816,0.42261851043591,FALSE
"Zone_SW_Bath_600","X1",-0.0808059391765052,0.40136162137196,FALSE
"Zone_SW_Bath_800","X1",-0.060205683045475,0.53020334353814,FALSE
"Zone_S_Bath_1000","X1",-0.379298802078093,5.15965905591705e-05,TRUE
"Zone_S_Bath_200","X1",-0.6045072121792,8.7669588951164e-11,TRUE
"Zone_S_Bath_400","X1",-0.6045072121792,8.7669588951164e-11,TRUE
"Zone_S_Bath_600","X1",-0.556264015173726,1.54671813045024e-09,TRUE
"Zone_S_Bath_800","X1",-0.455134593426471,1.53928047686943e-06,TRUE
"Zone_NW_Bath_1000","X2",0.075270203490153,0.443168115613843,FALSE
"Zone_NW_Bath_200","X2",-0.0348395468055305,0.726808794545147,FALSE
"Zone_NW_Bath_400","X2",0.0849156052938685,0.389090889462337,FALSE
"Zone_NW_Bath_600","X2",0.102033248804682,0.300332719128838,FALSE
"Zone_NW_Bath_800","X2",0.0854085129733584,0.384027050414649,FALSE
"Zone_SW_Bath_1000","X2",0.356162877912667,8.71166482393616e-05,TRUE
"Zone_SW_Bath_200","X2",0.378748841674262,4.50251912833754e-05,TRUE
"Zone_SW_Bath_400","X2",0.409640328457813,1.17892524073667e-05,TRUE
"Zone_SW_Bath_600","X2",0.39697012772525,1.75722589585379e-05,TRUE
"Zone_SW_Bath_800","X2",0.350291999815124,0.00016395614311869,TRUE
"Zone_S_Bath_1000","X2",0.292506635158904,0.00212681723265185,TRUE
"Zone_S_Bath_200","X2",-0.358328221568403,0.00036318828559807,TRUE
"Zone_S_Bath_400","X2",-0.358328221568403,0.00036318828559807,TRUE
"Zone_S_Bath_600","X2",-0.103648149670711,0.302322126172995,FALSE
"Zone_S_Bath_800","X2",0.140925554341523,0.15771501320124,FALSE
"Zone_NW_Bath_1000","X3",-0.0507360411300819,0.605506094785615,FALSE
"Zone_NW_Bath_200","X3",-0.0515708085564532,0.604916410682989,FALSE
"Zone_NW_Bath_400","X3",-0.0497853681848376,0.61401233021368,FALSE
"Zone_NW_Bath_600","X3",-0.0359953477256734,0.715450695300256,FALSE
"Zone_NW_Bath_800","X3",-0.0536915357451228,0.584634082900705,FALSE
"Zone_SW_Bath_1000","X3",0.630204507177066,3.46061799482542e-14,TRUE
"Zone_SW_Bath_200","X3",0.621405354286245,4.36865112607544e-13,TRUE
"Zone_SW_Bath_400","X3",0.603504158210169,5.97746526293929e-12,TRUE
"Zone_SW_Bath_600","X3",0.631129534360687,1.4584621517546e-13,TRUE
"Zone_SW_Bath_800","X3",0.658592394804596,3.96137955129212e-15,TRUE
"Zone_S_Bath_1000","X3",-0.548983933697735,7.66461848247925e-10,TRUE
"Zone_S_Bath_200","X3",-0.257317183966931,0.0118238563580993,TRUE
"Zone_S_Bath_400","X3",-0.257317183966931,0.0118238563580993,TRUE
"Zone_S_Bath_600","X3",-0.37096432157966,0.000134025551748205,TRUE
"Zone_S_Bath_800","X3",-0.477050805837404,3.99583119666123e-07,TRUE
