x,seasonal,trend,remainder,remainder_l1,remainder_l2,anomaly,observed,Zone
1981.6666666666667,5.198425379992964e-6,2.7794177110201844e-6,-7.977843091013149e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,-8.470329472543003e-22,NW
1981.75,3.7077778650314444e-6,2.758523928436591e-6,-6.466301793468036e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,-4.235164736271502e-22,NW
1981.8333333333335,-3.0040687042237503e-6,2.7376301458529976e-6,2.664385583707527e-7,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1981.9166666666667,-6.257319104819503e-6,2.7167363632694044e-6,3.5405827415500983e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1982,-1.2159381146419725e-5,2.695842580685811e-6,9.463538565733914e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1982.0833333333335,-1.1524670663916787e-5,2.674948798102218e-6,4392613740.841,-5.3696406970790796e-5,6.889430101583447e-5,No,4392613740.840991,NW
1982.1666666666667,-1.2014650086915708e-5,2.6540550155186244e-6,9.360595071397084e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,1.6940658945086007e-21,NW
1982.25,-1.2834086235896316e-5,2.6331612329350312e-6,1.0200925002961284e-5,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1982.3333333333335,-6.007027415108542e-7,2.612267450351438e-6,-2.011564708840584e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1982.4166666666667,9.333254424127234e-6,2.5913736677678444e-6,-1.1924628091895078e-5,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1982.5,2.1841164656929577e-5,2.5704798851842512e-6,3251664080.8332477,-5.3696406970790796e-5,6.889430101583447e-5,No,3251664080.833272,NW
1982.5833333333335,1.8314259645020895e-5,2.549586102600658e-6,-2.0863845747621554e-5,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1982.6666666666667,5.198425379992964e-6,2.528692320017065e-6,-7.72711770001003e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1982.75,3.7077778650314444e-6,2.5077985374334713e-6,-6.215576402464916e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,-4.235164736271502e-22,NW
1982.8333333333335,-3.0040687042237503e-6,2.486904754849878e-6,5.171639493738722e-7,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1982.9166666666667,-6.257319104819503e-6,2.4668711644241933e-6,3.7904479403953094e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1983,-1.2159381146419725e-5,2.446837573998508e-6,9.712543572421217e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1983.0833333333335,-1.1524670663916787e-5,2.4268039835728233e-6,9.097866680343963e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1983.1666666666667,-1.2014650086915708e-5,2.4067703931471386e-6,9.607879693768569e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1983.25,-1.2834086235896316e-5,2.3867368027214534e-6,1.0447349433174863e-5,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1983.3333333333335,-6.007027415108542e-7,2.3667032122957686e-6,-1.7660004707849144e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1983.4166666666667,9.333254424127234e-6,2.3466696218700834e-6,-1.1679924045997317e-5,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1983.5,2.1841164656929577e-5,2.3266360314443986e-6,46532548134.97227,-5.3696406970790796e-5,6.889430101583447e-5,No,46532548134.97229,NW
1983.5833333333335,1.8314259645020895e-5,2.306602441018714e-6,12102410342.648693,-5.3696406970790796e-5,6.889430101583447e-5,No,12102410342.648714,NW
1983.6666666666667,5.198425379992964e-6,2.2865688505930287e-6,-7.484994230585993e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1983.75,3.7077778650314444e-6,2.266535260167344e-6,-5.974313125198788e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1983.8333333333335,-3.0040687042237503e-6,2.246501669741659e-6,157361757298.98676,-5.3696406970790796e-5,6.889430101583447e-5,Yes,157361757298.98676,NW
1983.9166666666667,-6.257319104819503e-6,2.226468079315974e-6,221115462393.04944,-5.3696406970790796e-5,6.889430101583447e-5,Yes,221115462393.04944,NW
1984,-1.2159381146419725e-5,2.206434488890289e-6,9.952946657529436e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1984.0833333333335,-1.1524670663916787e-5,2.188841594016886e-6,9.3358290698999e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1984.1666666666667,-1.2014650086915708e-5,2.171248699143483e-6,9.843401387772224e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1984.25,-1.2834086235896316e-5,2.15365580427008e-6,1.0680430431626235e-5,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
1984.3333333333335,-6.007027415108542e-7,2.136062909396677e-6,-1.535360167885823e-6,-5.3696406970790796e-5,6.889430101583447e-5,No,0,NW
