season,Year,NW,SW,S
DJF,1981,0,42326465298.493256,3680840099.2641335
DJF,1982,1464204580.2803302,0,0
DJF,1983,88587760114.77747,50160987377.33237,7054850947.427748
DJF,1984,0,0,0
DJF,1985,0,0,0
DJF,1986,0,0,0
DJF,1987,0,0,0
DJF,1988,2791561203.0673256,3228164473.878585,0
DJF,1989,60489988268.32398,12624998166.508675,0
DJF,1990,169076753033.30417,23140678737.611797,0
DJF,1991,0,0,0
DJF,1992,0,0,0
DJF,1993,1033199526.8427501,0,0
DJF,1994,8693891317.969467,41359433533.006805,4774641321.096664
DJF,1995,53010898000.89586,23724494867.187717,19117374663.774628
DJF,1996,148568334450.56638,51756513588.72456,21582331401.6453
DJF,1997,47624789690.12533,16555351764.113983,0
DJF,1998,168398545167.72696,50803072261.639404,29490423353.821327
DJF,1999,0,0,0
DJF,2000,0,0,0
DJF,2001,0,0,0
DJF,2002,75781230920.12967,59413621791.896126,2188737007.1695833
DJF,2003,0,0,0
DJF,2004,0,0,5776795901.567228
DJF,2005,0,0,0
DJF,2006,140912975656.9084,63389898596.191574,11462153867.504425
DJF,2007,83944413636.57272,20048568126.83378,17609290442.573654
DJF,2008,82950020058.41678,96357994830.6414,42900021494.81195
DJF,2009,431411029.5781493,0,0
DJF,2010,725160325.3283346,610095784.0116448,1760219057.3818283
DJF,2011,31142296089.43963,48336512798.117325,3015946466.9988546
DJF,2012,0,0,0
DJF,2013,0,0,0
DJF,2014,4585537950.390467,0,42560891002.22925
DJF,2015,141228421011.3111,81871125993.91,51743949160.34776
DJF,2016,233392276115.8621,204468720630.7152,112372103827.80144
DJF,2017,0,5582798776.655907,47426011017.60588
DJF,2018,0,0,745091066.4449904
DJF,2019,0,2816209567.897032,1338570948.7916327
DJF,2020,22141830709.24646,12790084982.821531,79083387366.20456
DJF,2021,0,0,0
DJF,2022,232472418529.49176,42559344425.03206,40163909860.18828
DJF,2023,375700209340.7111,160098993062.83478,158604791622.84924
DJF,2024,576814733602.9109,390717116449.3995,285521629932.1991
DJF,2025,67863214774.26924,30477261511.198795,52840865244.88751
MAM,1982,0,0,15853206128.879818
MAM,1983,0,16801925616.104969,7596636173.917582
MAM,1984,0,0,0
MAM,1985,0,0,0
MAM,1986,0,0,0
MAM,1987,12949247075.737293,2522210038.380847,16948311609.304085
MAM,1988,6805308333.18955,0,0
MAM,1989,21447154696.70794,2695653393.7053413,0
MAM,1990,103921121644.60342,30913511796.00995,2830270567.7658143
MAM,1991,0,0,0
MAM,1992,0,0,0
MAM,1993,0,0,0
MAM,1994,0,0,832578091.3801394
MAM,1995,2246100952.5751133,15345837048.845474,11287002888.279514
MAM,1996,3474743778.139741,0,0
MAM,1997,771394572920.4204,382124612338.18994,97952437263.76129
MAM,1998,229894212868.8415,79317400687.04947,69274510155.17763
MAM,1999,0,6126480837.625412,7582477233.883928
MAM,2000,9137831469.850925,9835315347.691784,8761358638.44251
MAM,2001,2633495530.7372146,0,0
MAM,2002,31953433627.622406,30377621597.447983,13290262831.040634
MAM,2003,1024897143.3660815,0,0
MAM,2004,0,0,0
MAM,2005,1545331166.176546,1391024181.0248022,0
MAM,2006,87010622823.38629,7005234250.040388,932919938.3907287
MAM,2007,24896256080.683098,0,0
MAM,2008,44000484780.54579,53267054203.74995,24129025468.998287
MAM,2009,0,0,0
MAM,2010,185543787193.5821,110878327318.97504,52190368126.689766
MAM,2011,547806066940.6984,383571847768.86615,186119318417.86392
MAM,2012,19418877171.12571,0,14740817233.371422
MAM,2013,0,0,16572447534.93262
MAM,2014,29325992433.96804,1657980957.977758,44186646103.65693
MAM,2015,0,58207175890.26471,92118694583.4111
MAM,2016,0,0,0
MAM,2017,84223297388.90837,117890184581.18732,61652188577.21245
MAM,2018,0,0,0
MAM,2019,0,852304339.0516126,790185314.6679282
MAM,2020,268739734815.51074,78958370399.64969,38418509426.355286
MAM,2021,181785629965.41107,83779451662.17477,53217661291.02789
MAM,2022,0,9175494219.4721,14395641507.525509
MAM,2023,565484237055.2229,162222128225.7571,118346900828.20526
MAM,2024,104653384330.10306,53028507141.078186,45904672880.41173
MAM,2025,230781801725.14307,25551446057.58338,20678728744.82252
JJA,1982,1083888026.9444242,0,0
JJA,1983,19544986159.207,8997236107.495975,0
JJA,1984,20342892292.50689,0,0
JJA,1985,21372903869.79892,2677572913.2978907,0
JJA,1986,0,0,0
JJA,1987,0,16421167371.587734,7698091286.583512
JJA,1988,3590138871.6160617,0,3182541193.295844
JJA,1989,313126460191.2592,236092998337.33658,80540726309.33612
JJA,1990,191018486654.80255,99315557974.46964,33436877628.99097
JJA,1991,11854496890.153145,61429088752.072464,40785244940.38699
JJA,1992,0,0,0
JJA,1993,23568439899.323822,0,6347093663.219296
JJA,1994,36457823187.71987,6376779434.612827,0
JJA,1995,146414337533.9137,39894753348.01905,4810908599.542294
JJA,1996,0,33010446914.309486,56986675913.0406
JJA,1997,41113812491.919846,64457372583.15327,9173639592.243055
JJA,1998,0,0,0
JJA,1999,119312430962.28368,3790581722.144334,1652532243.2444038
JJA,2000,46817092663.04044,40844779451.05024,18271811987.69151
JJA,2001,1935688701.8197937,0,0
JJA,2002,0,0,0
JJA,2003,51839988416.32738,57479333215.91284,35850381942.89898
JJA,2004,522307329638.3909,90657491656.16689,4031082497.388545
JJA,2005,71863482733.1382,107190343535.5842,101046908407.7808
JJA,2006,503911140589.48145,406942217450.1828,175801996748.4825
JJA,2007,13134418196.236256,8577020184.243215,0
JJA,2008,18282242118.647675,0,13987755814.574818
JJA,2009,246140931185.43573,139714585425.59174,72125389642.61192
JJA,2010,27880651666.899063,4076181668.407271,130964236313.37679
JJA,2011,28339509009.82792,75512386700.84906,111516051079.53014
JJA,2012,235368465084.08734,27232878035.170525,0
