Zone,Year,activity_total,events_total,area_total_km2,intensity_mean_degC,duration_mean_days
NW,1981,0,0,0,NA,NA
NW,1982,7644277821.674263,2,124.62225652308675,1.1530061960220337,5.5
NW,1983,507679944723.32935,48,3719.2096424763286,1.4471972584724426,8.215336134453782
NW,1984,61028676877.520676,8,535.4441743714915,1.6088106632232666,7.75
NW,1985,64118711609.39675,12,979.3536414118876,1.6756300926208496,5.333333333333333
NW,1986,163644513916.38272,18,1329.789154564878,1.6902193427085876,7.555555555555555
NW,1987,65942524856.4923,13,957.7621965103538,1.5679194927215576,5.6
NW,1988,175638372168.51483,23,1758.6486557483981,1.5264234781265258,6.325
NW,1989,1223452550641.2314,82,6414.9653981057345,1.4339073181152344,11.319337231968811
NW,1990,1403054916486.3894,137,10624.372358231165,1.4527850661958965,11.11302952801674
NW,1991,936146455086.7551,34,2618.6948723519295,1.8746065497398376,20.523809523809526
NW,1992,0,0,0,NA,NA
NW,1993,73804918278.49971,15,1156.240073215303,1.173678070306778,5.857142857142858
NW,1994,135455143517.06802,25,1947.1133104277772,1.2811635931332905,7.216666666666667
NW,1995,680994615577.9811,79,6097.310045200376,1.3985984836305891,10.211388888888889
NW,1996,458896661653.72845,18,1524.277275877095,1.3575408856074014,6.4
NW,1997,2862332483209.6187,106,8574.871850233028,1.511011290550232,18.75839814814815
NW,1998,1218350218829.1743,103,7928.485712412565,1.170682817697525,14.862920168067227
NW,1999,760653324528.6299,50,3984.810588761785,1.8285160064697266,8.744832041343669
NW,2000,167864772398.6741,25,1853.180929465911,1.5129316250483196,6.233333333333333
NW,2001,13707552697.671024,3,257.41145418166377,1.5211342970530193,5.5
NW,2002,497070820435.4053,67,4967.098563778085,1.333203947544098,9.781309523809524
NW,2003,518307959179.2912,57,4471.262792973039,1.5321049988269806,7.5139784946236565
NW,2004,1611944374645.5645,72,5573.834007393097,1.7572080691655478,21.28472222222222
NW,2005,226058239480.67993,41,3058.3072235792006,1.579237103462219,5.742063492063492
NW,2006,4275756701581.657,141,10736.045481600826,1.7586181312799454,21.336431471813533
NW,2007,368809555927.8486,48,3940.60023614741,1.2736361384391786,8.103801169590643
NW,2008,468200599867.5803,75,5871.528011115424,1.3479714915156364,6.417019774011299
NW,2009,1265261885794.8743,89,6844.555325581642,1.581070113182068,8.787393939393938
NW,2010,733317143831.0055,60,4722.105444845382,1.7340968052546184,7.694117647058824
NW,2011,1984939301083.238,98,7284.747273190592,1.4026857614517212,10.352100489318534
NW,2012,974236026556.0594,80,6132.772858321067,1.575459082921346,9.31096681096681
NW,2013,707944016677.0822,52,4126.26285491641,1.7160414159297943,10.13888888888889
NW,2014,3374709893718.4487,109,8476.77975163485,1.786421537399292,16.62360005585812
NW,2015,1152137542691.6628,89,6750.709298120661,1.4949887480054582,11.91809905780494
NW,2016,1039650114978.4629,85,6575.222835670666,1.3819010555744171,8.556011056971514
NW,2017,318534931764.0224,43,3293.448223694949,1.4576348513364792,6.730263157894737
NW,2018,216288907376.6852,16,1362.757906392883,1.8281190395355225,12.5
NW,2019,43758471925.275314,8,713.2159475663104,1.4557414054870603,6.125
NW,2020,1324771193644.2107,87,6790.353751663803,1.4684168015207564,9.099194847020934
NW,2021,1176026473200.309,87,6709.981192105091,1.5998168587684631,12.901626275510203
NW,2022,2436149141304.67,161,12418.579972775955,1.5465776920318604,27.928525680275747
NW,2023,6652813506086.878,176,13407.042787097407,1.5546109477678935,22.824991288292505
NW,2024,2452145476755.62,131,9978.714953433879,1.3393202722072601,16.727094606782106
NW,2025,958600764672.9111,129,9964.670030081148,1.1751540303230286,7.9212760659819486
SW,1981,57840125572.25342,10,424.6246864998801,1.6833104491233826,5.3
SW,1982,0,0,0,NA,NA
SW,1983,608702156170.1368,43,1922.467192749879,1.3635458648204803,11.265201465201466
SW,1984,0,0,0,NA,NA
SW,1985,12947635900.65565,3,146.56610666763936,1.4629530906677246,5
SW,1986,14790506568.896118,3,160.03419294256136,1.41968834400177,5.75
SW,1987,298699578418.57764,28,1189.6084626180752,1.5058544397354126,7.01875
SW,1988,183224210956.08282,16,825.4595714753355,1.4448488354682922,12
SW,1989,1027358592414.4823,54,2486.792868420254,1.4561606049537659,12.346303258145364
SW,1990,581040834792.1493,82,3858.20174873747,1.333654522895813,9.267213552087501
SW,1991,727031280347.787,22,1024.3590290554428,1.9245972037315369,22.225
SW,1992,0,0,0,NA,NA
SW,1993,0,0,0,NA,NA
SW,1994,157351520310.0585,27,1201.343952605997,1.292944312095642,7.729166666666667
SW,1995,746046911487.8469,81,3755.4528118209537,1.3763365298509598,12.231057038199895
SW,1996,301933574714.2447,22,916.6649542643992,1.3271965980529785,9.25
SW,1997,1640679463540.5889,84,3777.4963499551964,1.480029781659444,17.071470626293998
SW,1998,436061564728.0461,51,2427.741464025457,1.1369601488113403,9.982363315696649
SW,1999,127714457967.06235,16,748.0457165384305,1.4154613812764485,8.13888888888889
SW,2000,174092860627.46426,30,1384.9041633197105,1.4243981838226318,6.806535947712418
SW,2001,6723570543.247814,2,104.44705293567496,1.1098239421844482,5
SW,2002,383294294379.3134,60,2897.7533965239777,1.2624551909310477,8.840285714285715
SW,2003,317684796788.7843,37,1716.791720091907,1.457440435886383,7.2
SW,2004,420564100945.96765,30,1415.2035961760907,1.430307775735855,10.257936507936508
SW,2005,469452305415.2945,62,2806.970053433079,1.4193637541362216,7.583120680489102
SW,2006,2795085371747.3765,95,4335.069202842429,1.5667227625846865,18.095398428731762
SW,2007,162774825735.24356,30,1283.9247710600828,1.3186692297458649,7.197222222222222
SW,2008,557131366201.1677,54,2446.4103569017934,1.0992382526397706,8.728935698447893
