time_start,time_end,time_peak,date_start,date_end,date_peak,index_start,index_end,index_peak,duration,duration_moderate,duration_strong,duration_severe,duration_extreme,intensity_max,intensity_mean,intensity_var,intensity_cumulative,intensity_max_relThresh,intensity_mean_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_max_abs,intensity_mean_abs,intensity_var_abs,intensity_cumulative_abs,category,rate_onset,rate_decline,n_events,lat,lon
738521.0,738562.0,738534.0,2023-01-01,2023-02-11,2023-01-14,0.0,41.0,13.0,42.0,15.0,27.0,0.0,0.0,1.9684926925166977,1.5404307560254173,0.34394885609960907,64.69809175306753,1.3017409539991789,0.8461311782743162,0.3809472377792668,35.53750948752128,18.699999,18.12262,0.60093206,761.15,Strong,0.016150197675151263,0.043115874907359214,4,36.125,350.125
738572.0,738701.0,738646.0,2023-02-21,2023-06-30,2023-05-06,51.0,180.0,125.0,130.0,82.0,48.0,0.0,0.0,2.4545233941847258,1.7022057050510915,0.37382067230018984,221.28674165664188,1.5444514366888242,0.803397383583391,0.36139618725089256,104.44165986584082,19.82,19.174002,1.4602377,2492.62,Strong,0.020679985916854528,0.02512478073195499,4,36.125,350.125
738713.0,738717.0,738714.0,2023-07-12,2023-07-16,2023-07-13,192.0,196.0,193.0,5.0,5.0,0.0,0.0,0.0,1.2125914789015262,1.1266621128205352,0.05736508278943847,5.6333105641026755,0.20735537621282774,0.12307101834204985,0.0575978465762925,0.6153550917102493,21.92,21.866,0.057131324,109.329994,Moderate,0.10957358985818762,0.08781109647267422,4,36.125,350.125
738782.0,738885.0,738872.0,2023-09-19,2023-12-31,2023-12-18,261.0,364.0,351.0,104.0,60.0,30.0,14.0,0.0,2.416080351798769,1.7088533110417454,0.37432477507673334,177.72074434834153,1.6704842352098055,0.8722834131557958,0.4032635537913717,90.71747496820277,20.17,21.535,1.2318825,2239.64,Severe,0.01668035731216185,0.027355213023296934,4,36.125,350.125
738521.0,738700.0,738671.0,2023-01-01,2023-06-29,2023-05-31,0.0,179.0,150.0,180.0,97.0,71.0,10.0,0.0,2.3977268588158402,1.6669359090934948,0.38240998269924364,300.04846363682907,1.4820647085866625,0.8295942036481747,0.38348746950295004,149.32695665667146,21.07,18.882444,1.3851558,3398.8398,Severe,0.0031430225987588043,0.042404945461133485,2,36.125,350.375
738782.0,738885.0,738866.0,2023-09-19,2023-12-31,2023-12-12,261.0,364.0,345.0,104.0,67.0,36.0,1.0,0.0,2.141383817118985,1.6612810615274514,0.269862810090652,172.77323039885493,1.3355492007347856,0.8129927366602216,0.31063818206266286,84.55124461266306,20.18,21.475769,1.3586303,2233.48,Severe,0.014076379265214553,0.00690856894734369,2,36.125,350.375
738521.0,738701.0,738671.0,2023-01-01,2023-06-30,2023-05-31,0.0,180.0,150.0,181.0,97.0,61.0,23.0,0.0,2.3353324397917703,1.6765896051543177,0.3753785139765535,303.4627185329315,1.4120000408541742,0.8600217920853015,0.3844023484385049,155.66394436743957,21.07,18.951658,1.3910007,3430.25,Severe,0.0011940051663306406,0.042308747862962584,3,36.125,350.625
738709.0,738717.0,738714.0,2023-07-08,2023-07-16,2023-07-13,188.0,196.0,193.0,9.0,9.0,0.0,0.0,0.0,1.4677263690579352,1.2531209966187846,0.12973117135463144,11.278088969569062,0.484451909219068,0.262451431657252,0.13401673212597848,2.362062884915268,22.25,22.006664,0.15846483,198.05998,Moderate,0.09578697003227564,0.15898103318456233,3,36.125,350.625
738781.0,738885.0,738866.0,2023-09-18,2023-12-31,2023-12-12,260.0,364.0,345.0,105.0,57.0,48.0,0.0,0.0,2.007446535172001,1.6798442067089177,0.20266170714807163,176.38364170443634,1.2135159892420617,0.8227693830217647,0.23686777178809654,86.3907852172853,20.06,21.514286,1.4914262,2259.0,Strong,0.012788299793703228,0.008212868345613569,3,36.125,350.625
738521.0,738717.0,738534.0,2023-01-01,2023-07-16,2023-01-14,0.0,196.0,13.0,197.0,114.0,58.0,24.0,0.0,2.344323988883726,1.6261358802986554,0.3814085662235608,320.3487684188351,1.7075153473884832,0.8103025391739367,0.41023559046713215,159.62960021726553,19.21,19.22589,1.5791712,3787.5,Severe,0.0004205916714726553,0.007886637972435816,3,36.125,350.875
